,https://roic.ai/company/FRC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,500000,700000,1000000,1100000,3800000,7500000,11800000,12400000,7300000,1200000,12500000,17200000,20400000,22222000,22640000,25062000,26401000,37050000,46499000,60827000,69172000,13700000,10000000,346643000,271209000,352088000,402472000,462070000,487006000,522145000,673428000,757660000,853828000,930329000,1064151000,1478000000
24,Net Income ratio,- -,-0.4545,-0.3333,-0.2703,-0.2895,-2.9231,-2.5862,-5.3636,20.6667,-1.5870,-0.1143,-17.8571,2.9153,2.7568,1.0818,0.8145,0.8825,0.5097,0.5205,0.6946,0.7909,0.1897,0.0294,0.0168,0.3278,0.2707,0.3026,0.3061,0.3146,0.2953,0.2886,0.3105,0.2968,0.2877,0.2859,0.2762,0.2980
25,EPS,0.01,0.13,0.11,0.13,0.14,0.45,0.73,0.70,0.69,0.41,0.07,0.75,0.82,0.99,1.05,1.11,1.86,1.85,2.55,1.83,2.21,2.33,0.11,0.08,2.79,2.10,2.73,2.85,3.21,3.16,3.27,4.07,4.44,4.89,5.25,5.85,7.78
26,EPS Diluted,0.01,0.13,0.11,0.13,0.14,0.43,0.67,0.69,0.60,0.38,0.07,0.62,0.76,0.91,0.99,1.09,1.74,1.70,2.41,1.72,2.08,2.21,0.11,0.08,2.75,2.10,2.65,2.76,3.10,3.07,3.18,3.93,4.31,4.81,5.20,5.81,7.68
27,Weighted Average Shares Outstanding,3945396,3945396,6173384,7890791,7853216,7937208,9765759,16848718,18049228,17941849,16355459,16584628,20965127,20526649,20618627,20335844,14449785,15679050,15480909,24840856,24435960,26487133,125900000,125900000,124133000,128858334,129061000,130051000,131326000,136420000,141689000,148752000,157624000,162948000,167908000,171933000,177000000
28,Weighted Average Shares Outstanding Diluted,3945396,3945396,6173384,7890791,7853216,8303541,10539285,17010725,20656338,19200926,16355459,20151215,22620269,22324604,20618627,20757346,14449785,15679050,15480909,24840856,26028814,28009285,125900000,125900000,125858000,128858334,132724000,134189000,135949000,140497000,145510000,154095000,162340000,165612000,169551000,173053000,180000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420239/000107878212000884/0001078782-12-000884-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,24200000,15300000,99000000,39400000,32600000,31100000,29300000,89100000,48800000,62592000,61894000,109857000,91213000,79810000,87987000,141762000,265196000,- -,- -,178553000,1528075000,630780000,602264000,807885000,817150000,1131110000,2107722000,2297021000,2811159000,1699557000,5094754000,12947000000
32,Short-Term Investments,- -,- -,- -,- -,- -,71900000,46700000,59300000,84200000,129600000,140900000,156600000,138600000,245100000,222202000,284520000,- -,- -,- -,- -,- -,1632873000,- -,- -,- -,75602000,722280000,960433000,1571206000,1393357000,2910801000,2007258000,2418088000,1779116000,1282169000,1906315000,3381000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,96100000,62000000,158300000,123600000,162200000,172000000,185900000,227700000,293900000,284794000,346414000,109857000,91213000,79810000,87987000,141762000,1898069000,- -,- -,178553000,1603677000,1353060000,1562697000,2379091000,2210507000,4041911000,4114980000,4715109000,4590275000,2981726000,7001069000,16328000000
34,Net Receivables,- -,- -,- -,- -,- -,6500000,8800000,8300000,8100000,10200000,- -,- -,- -,- -,- -,- -,22914000,23967000,25357000,33843000,54289000,124595000,- -,- -,- -,- -,137783000,112392000,- -,- -,178531000,225313000,369536000,333708000,381560000,430586000,501000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3890823000,5047096000,6287423000,7315954000,6915087000,15364000000,19249000000,19642030000,19402000000,22856221000,28296990000,33785443000,38244843000,42767966000,52073070000,62359726000,76327945000,91899157000,113799420000,135313000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4006003000,5152263000,6409253000,7512005000,8937751000,15364000000,19249000000,19820583000,21005677000,24347064000,29972079000,36164534000,40455350000,46988408000,56413363000,67444371000,81251928000,95262443000,121231075000,152142000000
38,PP&E,- -,- -,- -,- -,- -,2400000,2400000,2600000,3700000,4100000,4200000,4500000,4400000,9400000,18820000,20570000,29330000,46199000,46473000,58674000,61305000,79627000,94000000,99000000,92240000,97051000,118365000,142201000,166544000,165703000,172008000,207592000,296197000,332483000,1174305000,1355453000,1786000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27233000,60640000,61549000,68922000,71001000,183440000,- -,- -,- -,24604000,24604000,106549000,106549000,106549000,171616000,203177000,198447000,198447000,171616000,171616000,172000000
40,Intangible Assets,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,24262000,28491000,- -,15768000,14933000,19168000,25865000,40509000,284000000,230000000,24544000,157297000,151843000,176678000,162526000,159024000,190938000,174809000,157913000,129997000,105373000,81894000,66000000
41,Intangible Assets,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,24262000,28491000,27233000,76408000,76482000,88090000,96866000,223949000,284000000,230000000,24544000,181901000,176447000,283227000,269075000,265573000,362554000,377986000,356360000,328444000,276989000,253510000,238000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,726085000,727725000,866980000,1649734000,2393207000,- -,- -,3183000,1093004000,3149925000,3990170000,5512610000,7466704000,11458315000,16278831000,19683579000,17292349000,19549897000,19662096000,26921000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,116000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848692000,850680000,1013744000,1807905000,2696783000,428000000,445000000,119967000,1371956000,3444737000,4415598000,5948229000,7897980000,11992877000,16864409000,20336136000,17953276000,21001191000,21271059000,28945000000
46,Other Assets,63800000,140800000,184100000,363800000,363800000,706200000,932100000,1232500000,1417200000,1707300000,1904300000,2156600000,2423100000,2954300000,3598746000,3656383000,4197626000,5703387000,6853623000,8436741000,11127815000,14331317000,- -,- -,20060517000,23749589000,31236538000,38803275000,48060992000,56251310000,70974162000,90142181000,108116643000,117158480000,137264825000,163773193000,210032000000
47,Total Assets,63800000,140800000,184100000,363800000,363800000,706200000,932100000,1232500000,1417200000,1707300000,1904300000,2156600000,2423100000,2954300000,3598746000,3656383000,4197626000,4854695000,6002943000,7422997000,9319910000,11634534000,15792000000,19694000000,19940550000,22377633000,27791801000,34387677000,42112763000,48353330000,58981285000,73277772000,87780507000,99205204000,116263634000,142502134000,181087000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,5300000,- -,8100000,12300000,14800000,14600000,16300000,15300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,30500000,2200000,373500000,468500000,570500000,570500000,- -,23000000,216200000,304350000,262000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,100000000,350000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13273000000,13790000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,30500000,7500000,373500000,476600000,582800000,585300000,- -,39300000,231500000,304350000,262000000,- -,- -,- -,- -,- -,- -,13273000000,13790000000,- -,- -,- -,- -,- -,- -,- -,- -,100000000,100000000,350000000,- -,- -
54,Long-Term Debt,5000000,8300000,13200000,24200000,24200000,92600000,38800000,58500000,74600000,64900000,64100000,652400000,700300000,802400000,888028000,567816000,653672000,817466000,898349000,1137976000,1493270000,1654101000,67000000,3218000000,1172488000,693845000,2328970000,3281450000,5193132000,5710551000,4426802000,6711308000,9971807000,10373907000,14287145000,14524573000,6882000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,5000000,8300000,13200000,24200000,24200000,92600000,38800000,58500000,74600000,64900000,64100000,652400000,700300000,802400000,888028000,567816000,653672000,817466000,898349000,1137976000,1493270000,1654101000,67000000,3218000000,1172488000,693845000,2328970000,3281450000,5193132000,5710551000,4426802000,6711308000,9971807000,10373907000,14287145000,14524573000,6882000000
59,Other Liabilities,60400000,133200000,176800000,367200000,367200000,737700000,904100000,825400000,910300000,1082100000,1274800000,2682600000,2923900000,3356700000,3942264000,3704346000,4570947000,5299982000,6420853000,7959289000,10080470000,12351860000,- -,- -,19717131000,20846722000,27525749000,34270583000,43145848000,49285414000,57702404000,73080428000,89834013000,100801334000,120349672000,145276061000,172071000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,811541000,995115000,1405000000
61,Total Liabilities,55400000,124900000,163600000,343000000,343000000,675600000,872800000,1140400000,1312300000,1600000000,1796000000,2030200000,2262900000,2785800000,3358586000,3398530000,3917275000,4482516000,5522504000,6821313000,8587200000,10697759000,13340000000,17008000000,18544643000,20152877000,25196779000,30989133000,37952716000,43574863000,53275602000,66369120000,79962206000,90527427000,106412527000,130751488000,165189000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,115000000,115000000,- -,- -,- -,- -,- -,499525000,889525000,889525000,989525000,1139525000,990000000,940000000,1145000000,1545000000,3633000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000,189000,193000,168000,168000,251000,264000,310000,- -,- -,- -,1289000,1294000,1313000,1328000,1383000,1461000,1543000,1617000,1649000,1686000,1741000,2000000
64,Retained Earnings,- -,600000,1200000,2200000,2200000,6900000,14000000,25800000,35300000,39400000,40600000,53100000,70300000,90700000,112901000,135477000,160539000,186940000,220311000,254547000,297499000,337801000,- -,- -,- -,142362000,494450000,838752000,1213896000,1570871000,1949652000,2459540000,3051611000,3731205000,4484375000,5346355000,6569000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5357000,3252000,4084000,2512000,-122000,4904000000,5372000000,69000,78000,1186000,31376000,13271000,3096000,-5220000,6339000,-3840000,-19383000,5131000,23378000,-31000000
66,Other Total Stockholders Equity,8400000,15300000,19300000,18600000,18600000,23700000,45300000,66300000,69600000,67900000,67700000,73300000,89900000,77800000,127141000,122187000,119619000,90714000,107968000,129212000,168845000,335196000,- -,- -,- -,1994457000,2020832000,2027578000,2042027000,2313592000,2770265000,3301705000,3778913000,4024306000,4214915000,4834172000,5725000000
67,Total Stockholders Equity,8400000,15900000,20500000,20800000,20800000,30600000,59300000,92100000,104900000,107300000,108300000,126400000,160200000,168500000,240160000,257853000,280351000,283179000,331699000,453094000,584120000,788185000,2452000000,2686000000,1296317000,2138186000,2517762000,3398544000,4160047000,4778467000,5705683000,6908652000,7818301000,8677777000,9851107000,11750646000,15898000000
68,Total Liabilities And Stockholders Equity,63800000,140800000,184100000,363800000,363800000,706200000,932100000,1232500000,1417200000,1707300000,1904300000,2156600000,2423100000,2954300000,3598746000,3656383000,4197626000,4765695000,5854203000,7274407000,9171320000,11485944000,15792000000,19694000000,19840960000,22291063000,27714541000,34387677000,42112763000,48353330000,58981285000,73277772000,87780507000,99205204000,116263634000,142502134000,181087000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000000,148740000,148590000,148590000,148590000,- -,- -,99590000,86570000,77260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,63800000,140800000,184100000,363800000,363800000,706200000,932100000,1232500000,1417200000,1707300000,1904300000,2156600000,2423100000,2954300000,3598746000,3656383000,4197626000,4854695000,6002943000,7422997000,9319910000,11634534000,15792000000,19694000000,19940550000,22377633000,27791801000,34387677000,42112763000,48353330000,58981285000,73277772000,87780507000,99205204000,116263634000,142502134000,181087000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420239/000107878212000884/0001078782-12-000884-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,3800000,7500000,11800000,12400000,7300000,1200000,12500000,17200000,20400000,22222000,22640000,25062000,26401000,37050000,46499000,60827000,69172000,13700000,10000000,346643000,271209000,352088000,402472000,462070000,487006000,522145000,673428000,757660000,853828000,930329000,1064151000,1478000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12797000,12850000,15548000,14119000,17494000,26546000,46200000,67600000,-42636000,-16025000,-744000,43612000,63662000,61445000,70329000,85370000,91954000,114363000,137639000,166079000,184000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1100000,-2300000,200000,700000,1300000,-3000000,1000000,-3300000,2500000,-1904000,3055000,-4384000,-2773000,-762000,-5362000,-5810000,4784000,-1300000,-68800000,142166000,32609000,-59773000,-22730000,12162000,-41363000,-38171000,-43532000,8516000,-92598000,-69830000,-71242000,-79000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8072000,- -,- -,- -,24983000,23661000,21626000,27234000,27457000,34834000,56503000,75245000,93134000,104376000,149385000,240000000
77,Change in Working Capital,- -,- -,- -,- -,- -,-2800000,-7200000,-2000000,2200000,-18200000,8000000,-3000000,-7400000,-34400000,-7964000,-35778000,1043000,12986000,-2025000,30150000,-16660000,-34716000,936500000,224800000,-197972000,154000,-8693000,183540000,-31147000,65033000,-62888000,81350000,6953000,17687000,200028000,-72604000,385000000
78,Accounts Receivable,- -,- -,- -,- -,- -,-5000000,-2300000,-1000000,-4400000,-6100000,-1100000,-5200000,-4500000,-16100000,-11462000,-31607000,- -,- -,- -,- -,- -,-19051000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,3600000,-1300000,- -,5500000,-3000000,5100000,3700000,800000,-1100000,7480000,13718000,-8598000,-2191000,-1150000,627000,3835000,13739000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,4700000,-7300000,19900000,-23100000,21100000,10700000,10300000,-4900000,12700000,18831000,5726000,-178599000,34200000,-61470000,305139000,240561000,308500000,34000000,-23000000,-209787000,-118662000,-242011000,-189020000,28240000,-83370000,64810000,-634000,71810000,124790000,-364031000,-704507000,-1004000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,4600000,-9300000,29900000,-7800000,11500000,16900000,20800000,1600000,1200000,31185000,-4357000,-144081000,83664000,-11659000,390545000,296412000,382358000,1029100000,210600000,38414000,194268000,64528000,439500000,562221000,516208000,591059000,852485000,1012138000,1111204000,938511000,531262000,1204000000
84,CAPEX,- -,- -,- -,- -,- -,-1800000,-700000,- -,-1700000,-1400000,-1200000,-1400000,-1100000,-6700000,-12029000,-5418000,-13625000,-24963000,-8102000,-20852000,-12807000,-24807000,-35800000,-25100000,-14618000,-24899000,-46207000,-55061000,-60580000,-42070000,-52714000,-86748000,-166706000,-133875000,-167941000,-148667000,-198000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387179000,- -,- -,- -,- -,- -,-126313000,- -,- -,-115140000,-31804000,- -,- -,29265000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-35500000,-9000000,-19400000,-44200000,-49000000,-21000000,-36700000,-15100000,-203200000,-36121000,-103156000,-2092392000,-2927304000,-3645310000,-3751489000,-4477684000,-1175889000,- -,- -,-4673000,-1346659000,-2195894000,-876604000,-1617499000,-4265472000,-5769441000,-7914161000,-4517156000,-911358000,-4918027000,-3488478000,-9473000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,24700000,34400000,7200000,6800000,10200000,13100000,24300000,35100000,91200000,49498000,58221000,1377084000,1363584000,1731434000,1922900000,2415227000,485557000,- -,- -,3702000,226744000,186279000,137080000,297947000,2335659000,1931466000,3463061000,1292957000,3597395000,3149639000,3725986000,2812000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-189200000,-242000000,-222100000,-178700000,-264100000,-199500000,-243800000,-206300000,-433000000,-618992000,38944000,409206000,900238000,808299000,138502000,-3058000,-1097942000,-3974400000,-4125800000,-1805025000,-1638519000,-3770094000,-5502337000,-6219961000,-4214881000,-6267983000,-8760969000,-11093189000,-13614181000,-15127688000,-21943658000,-22284000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-201800000,-217300000,-234300000,-217800000,-304300000,-208600000,-257600000,-187400000,-551700000,-617644000,-11409000,-319727000,-688445000,-1113679000,-1710939000,-2078322000,-1425902000,-4010200000,-4150900000,-1820614000,-2758434000,-5825916000,-6423235000,-7600093000,-6186764000,-10273812000,-13330621000,-14484094000,-11062019000,-17034752000,-21854817000,-29143000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37004000,-15000,-6467000,- -,- -,- -,- -,- -,-2869425000,-506647000,-508394000,-482343000,-13318000,-385292000,-1281396000,-953670000,-1475973000,-2900000000,-3950000000,-6900000000,-8055000000
