,https://roic.ai/company/YSG,2018,2019,2020,2021
85,Acquisitions Net,-3000000,-29412000,-134724000,- -
86,Purchases of Investments,- -,-70000000,- -,- -
87,Sales/Maturities of Investments,- -,60000000,10000000,- -
88,Other Investing Activites,-1049000,-2421000,-158539000,- -
89,Cash Used for Investing Activites,-7877000,-148172000,-508832000,- -
90,Debt Repayment,-42101000,-17317000,-10000000,- -
91,Common Stock Issued,- -,- -,4380213000,- -
92,Common Stock Repurchased,- -,-117555000,-1567938000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,165779000,930103000,3878594000,- -
95,Cash Used/Provided by Financing Activities,123678000,795231000,6680869000,- -
96,Effect of Forex Changes on Cash,790000,10637000,-131856000,- -
97,Net Change In Cash,20384000,651517000,5056813000,- -
98,Cash at the End of Period,25062000,676579000,5733392000,- -
99,Cash at the Beginning of Period,4678000,25062000,676579000,- -
100,Free Cash Flow,-101084000,-114939000,-1367947000,- -
101,SEC Link,- -,- -,- -,undefined
102,Forex Rate,0.1453,0.1436,0.1532,0.1572
