,https://roic.ai/company/LWLG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1150.7841,- -,- -,- -,-1696.7020,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-1708057,-2657459,-4228748,-4242353,-2720884,-3712871,-3316343,-4426164,-3700437,-4393184,-4845681,-4135578,-5523538,-5601016,-6319407,-6599974,-16996443
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1160.2722,-Infinity,-Infinity,-Infinity,-1757.2736,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,64714,637,-106752,- -,- -,- -,- -,- -,-16616,251,-271632,-225842,-171944,-407563,-6708964026,-18614384557
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4409800,-4845430,-4407210,-5749380,-5772960,-6726970,-6715564000,-18631381000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1763.9200,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1721765,-2596519,-4223449,-4340607,-2721871,-3713232,- -,- -,- -,-4409800,-4845430,-4407210,-5749380,-5772960,-6726970,-6715564000,-18631381000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1160.3850,- -,- -,- -,-1763.9200,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.07,-0.10,-0.14,-0.12,-0.07,-0.09,-0.08,-0.09,-0.08,-0.08,-0.08,-0.07,-0.08,-0.08,-0.08,-0.07,-172.94
26,EPS Diluted,-0.07,-0.10,-0.14,-0.12,-0.07,-0.09,-0.08,-0.09,-0.08,-0.08,-0.08,-0.07,-0.08,-0.08,-0.08,-0.07,-172.94
27,Weighted Average Shares Outstanding,24098833,27190449,30983663,34726411,39431766,42253450,44386149,48778783,51672177,55637906,60326470,66201531,70876576,76395750,83299508,91859025,107730515
28,Weighted Average Shares Outstanding Diluted,24098833,27190449,30983663,34726411,39431766,42253450,44386149,48778783,51672177,55637906,60326470,66201531,70876576,76395750,83299508,91859025,107730515
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1325964/000094344012000284/0000943440-12-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000094344013000360/0000943440-13-000360-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335014000315/0001553350-14-000315-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000155335015000254/0001553350-15-000254-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000155335016001731/0001553350-16-001731-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335017000281/0001553350-17-000281-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335018000222/0001553350-18-000222-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335019000222/0001553350-19-000222-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335020000225/0001553350-20-000225-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335021000261/0001553350-21-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000155335022000198/0001553350-22-000198-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,150027,- -,480000,90000,460000,950000,360000,2940000,2270000,3165940,3730710,1956840,3482330,2174630,2236340,3307,23433
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,150027,- -,480000,90000,460000,950000,360000,2940000,2270000,3165940,3730710,1956840,3482330,2174630,2236340,3307,23433
34,Net Receivables,75100,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,445625,600000,20000,10000,50000,80000,40000,90000,130000,128230,264490,136950,584920,537950,372550,- -,232
37,Total Current Assets,670752,600000,600000,100000,510000,1030000,400000,3030000,2400000,3294170,3995200,2093790,4067250,2712580,2608890,3307,23665
38,PP&E,54496,40000,70000,60000,100000,100000,90000,300000,300000,375230,495060,425650,1176750,1800770,3276480,1874,2179
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,33862,40000,170000,210000,260000,350000,430000,490000,540000,610030,619770,667970,605780,938240,939480,916,848
41,Intangible Assets,33862,40000,170000,210000,260000,350000,430000,490000,540000,610030,619770,667970,605780,938240,939480,916,848
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,160000,30000,- -,10000,-10000,- -,- -,- -,-10,- -,- -,-10,- -,10,- -,536
45,Total Non-Current Assets,288358,240000,270000,270000,370000,440000,520000,790000,840000,985250,1114830,1093620,1782520,2739010,4215970,2790,3564
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7127
47,Total Assets,959110,840000,870000,370000,880000,1470000,920000,3820000,3240000,4279420,5110030,3187410,5849770,5451590,6824860,6096,27229
48,Accounts Payable,12290,170000,100000,70000,80000,70000,160000,100000,70000,178170,32850,65030,547810,150740,88420,169,216
49,Short-Term Debt,6164,6445,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156524,577707,220
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,94536,83555,120000,100000,50000,50000,80000,60000,50000,43670,70110,62860,100950,244610,752686,-577707,1150
53,Total Current Liabilities,112990,260000,220000,170000,130000,120000,240000,160000,120000,221840,102960,127890,648760,395350,997630,169,1586
54,Long-Term Debt,14242,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184300,149180,919510,- -,-1506
58,Total Non-Current Liabilities,14242,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184300,149180,919510,- -,-1148
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1422,-2295
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,859979,703454,- -
61,Total Liabilities,127232,270000,220000,170000,130000,120000,240000,160000,120000,221840,102960,127890,833060,544530,1917140,1591,438
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,26254,30000,30000,40000,40000,40000,50000,50000,50000,58380,65240,68080,74070,79180,87410,- -,111
64,Retained Earnings,-2459738,-5390000,-9620000,-13960000,-16680000,-20390000,-23880000,-28430000,-32340000,-36753990,-41599420,-46006630,-51756010,-57528970,-64255940,- -,-89603
65,Other Comprehensive Income/Loss,-325045,-26000,-213277,- -,-50000,-80000,-100000,-130000,-240000,-241510,-536700,-683850,- -,-1046090,-1663830,- -,- -
66,Other Total Stockholders Equity,3590407,5960772,10456457,14126538,17436988,21785621,24613009,32171046,35652632,40994702,47077948,49681922,56698655,63402942,70740074,5775446,114697
67,Total Stockholders Equity,831878,574772,653180,206538,746988,1355621,683009,3661046,3122632,4057582,5007068,3059522,5016715,4907062,4907714,5775446,25204
68,Total Liabilities And Stockholders Equity,959110,844772,873180,376538,876988,1475621,923009,3821046,3242632,4279422,5110028,3187412,5849775,5451592,6824854,5777037,25643
69,Minority Interest,- -,-4772,-3180,-6538,3012,-5621,-3009,-1046,-2632,-2,2,-2,-5,-2,6,-5770941,1586
70,Total Liabilities & Equity,959110,840000,870000,370000,880000,1470000,920000,3820000,3240000,4279420,5110030,3187410,5849770,5451590,6824860,6096,27229
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1325964/000094344012000284/0000943440-12-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000094344013000360/0000943440-13-000360-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335014000315/0001553350-14-000315-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000155335015000254/0001553350-15-000254-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000155335016001731/0001553350-16-001731-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335017000281/0001553350-17-000281-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335018000222/0001553350-18-000222-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335019000222/0001553350-19-000222-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335020000225/0001553350-20-000225-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335021000261/0001553350-21-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000155335022000198/0001553350-22-000198-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-1721765,-2596519,-4223449,-4340607,-2721871,-3713232,- -,- -,- -,-4409800,-4845430,-4407210,-5749380,-5772960,-6726970,-6715564000,-18631381000
74,Depreciation and Amortization,10222,330706,1566804,15757,16972,30166,35394,79217,126773,151183,179907,195610,325946,465795,698694,784419,878520000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1816430,674897,824726,1339692,436228,794738,387688,600727,539414,- -
77,Change in Working Capital,-745415,-217762,40000,-450000,450000,530000,-750000,2710000,-590000,792330,819910,-1926340,1452590,-1101260,-705970,-1608123,18942
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-33604,58030,-16632,96242,-58059,-37763,74261,-150567,32665,-55184,101587,-61337,115816,46487000
81,Other Working Capital,557762,340000,380000,-70000,380000,910000,160000,2870000,2280000,3072330,3892240,1965900,3418490,2317230,1611260,3137,22079
82,Other Non-Cash Items,1681660,1740900,1181964,3526532,1146924,1716385,-967765,-6974109,-3049700,-498642,-934834,2548420,-1233590,1619772,1367674,6710974427,7714216058
83,Cash Provided by Operating Activities,-775298,-742675,-1434681,-1248318,-1107975,-1436681,-1682371,-2368462,-2838030,-3140203,-3440755,-3153292,-4409696,-4400965,-4765845,-4873863,-10038626000
84,CAPEX,-38687,-8514,-182384,-48202,-108132,-108441,-111672,-348882,-179153,-294539,-309480,-193259,-265532,-1434863,-305670,-217984,-1097530000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,175387,- -,28524,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,62005,-48799,-84794,-93778,-83248,-69875,-81350,-29577,-44596,-81743,-394979,-82195,-59923,-18649000
89,Cash Used for Investing Activites,-238687,166873,-182384,80322,-108132,-108441,-111672,-348882,-179153,-294539,-309480,-173759,-265532,-1432363,-305670,-217984,-1116179000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-505726,-669649,- -
91,Common Stock Issued,1000000,425000,2301524,776770,1575372,2039000,1200000,4849999,2278500,4176148,4315000,1553190,5722060,4863535,5638960,5173300,2059464000
92,Common Stock Repurchased,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-4380,1303,-5536,- -,12500,- -,- -,444400,72508,153830,- -,- -,478651,-337909,- -,1658442,29221363000
95,Cash Used/Provided by Financing Activities,995620,426303,2095988,776770,1587872,2039000,1200000,5294399,2351008,4329978,4315000,1553190,6200711,4525626,5133234,6162093,31280827000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-18365,-149499,478923,-391226,371764,493878,-594043,2577055,-666175,895236,564765,-1773861,1525483,-1307702,61719,1070246,20126022000
98,Cash at the End of Period,150027,528,479451,88225,459989,953867,359824,2936879,2270704,3165940,3730705,1956844,3482327,2174625,2236344,3306590,23432612000
99,Cash at the Beginning of Period,168392,150027,528,479451,88225,459989,953867,359824,2936879,2270704,3165940,3730705,1956844,3482327,2174625,2236344,3306590000
100,Free Cash Flow,-813985,-751189,-1617065,-1296520,-1216107,-1545122,-1794043,-2717344,-3017183,-3434742,-3750235,-3346551,-4675228,-5835828,-5071515,-5091847,-11136156000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1325964/000094344012000284/0000943440-12-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000094344013000360/0000943440-13-000360-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335014000315/0001553350-14-000315-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000155335015000254/0001553350-15-000254-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000155335016001731/0001553350-16-001731-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335017000281/0001553350-17-000281-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335018000222/0001553350-18-000222-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335019000222/0001553350-19-000222-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335020000225/0001553350-20-000225-index.html,https://www.sec.gov/Archives/edgar/data/1325964/000155335021000261/0001553350-21-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1325964/000155335022000198/0001553350-22-000198-index.htm
102,false,,,,,,,,,,,,,,,,,
