,https://roic.ai/company/SBEV,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,24465,40771,76197,93158,92907,256274,52175541,99480188
67,Total Stockholders Equity,-59649,-20638,-1485,39669,-72865,-2659,-219107,-102003,8873227
68,Total Liabilities And Stockholders Equity,95715,166714,239748,355334,241028,408295,426059,9225888,9605913
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,6779457
70,Total Liabilities & Equity,95715,166714,239748,355334,241028,408295,426059,9225888,16385370
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1553788/000107997316001203/0001079973-16-001203-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000107997317000197/0001079973-17-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000107997318000224/0001079973-18-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000107997319000192/0001079973-19-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000175392620000051/0001753926-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000173112221000336/0001731122-21-000336-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000173112222000639/0001731122-22-000639-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-3242,-30089,19153,-48846,-147534,68206,-477234,-28674556,-29050822
74,Depreciation and Amortization,1912,28093,29763,55760,71917,62825,63758,194828,111567
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,160786,2329280,11128066
77,Change in Working Capital,-34320,26547,15106,26853,-108276,49704,-205100,-2910735,4734058
78,Accounts Receivable,-44188,-21536,-86880,-39191,54992,-149731,-8629,-385297,-629594
79,Inventory,-12542,-1772,-7275,-3642,22,-16486,11136,-220310,-1125206
80,Accounts Payable,22410,28232,63936,73858,17141,- -,- -,-64364,- -
81,Other Working Capital,-65722,-39175,-24069,2784,-105492,-55788,-260888,-3171623,1562435
82,Other Non-Cash Items,- -,-23335,-50947,-1654,166296,-118343,229385,7734833,-2055269
83,Cash Provided by Operating Activities,-35650,1216,13075,32113,-17597,62392,-228405,-21326350,-15132400
84,CAPEX,- -,-30387,-20585,-58424,-58275,-75633,-54385,-91066,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,6348,16047,8064,6446,-780252,- -
89,Cash Used for Investing Activites,- -,-30387,-20585,-52076,-42228,-67569,-47939,-780252,- -
90,Debt Repayment,-13448,-15690,-10055,-15721,-18913,-11567,-8523,-80741,-1673296
91,Common Stock Issued,33915,69100,- -,90000,35000,2000,100000,20182503,19630565
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8500,- -,- -,- -,- -,3803,201202,2393222,976514
95,Cash Used/Provided by Financing Activities,28967,53410,-10055,74279,16087,-5764,292679,22494984,18933783
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-6683,24239,-17565,54316,-43738,-10941,16335,388381,3750363
98,Cash at the End of Period,669,24908,7343,61659,17921,6980,23315,431020,4181383
99,Cash at the Beginning of Period,7352,669,24908,7343,61659,17921,6980,42639,431020
100,Free Cash Flow,-35650,-29171,-7510,-26311,-75872,-13241,-282790,-21417416,-15132400
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1553788/000107997316001203/0001079973-16-001203-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000107997317000197/0001079973-17-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000107997318000224/0001079973-18-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000107997319000192/0001079973-19-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000175392620000051/0001753926-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000173112221000336/0001731122-21-000336-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000173112222000639/0001731122-22-000639-index.htm
102,false,,,,,,,,,
