,https://roic.ai/company/PSTI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.0377,-29.5920,-66.0422,-59.6385,-7.4099,-Infinity,-482.1600,-617.5000,-1190.6957,-Infinity
17,Operating Income,-74453,-456960,-3004524,-2829753,-2332269,-6275065,-10429000,-6558000,-7439000,-11114000,-15031000,-22223000,-27850000,-25267000,-23319000,-28019000,-33731000,-35532000,-29476000,-50623000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.9930,-32.7290,-73.4828,-66.6675,-8.1907,-Infinity,-674.6200,-658.0000,-1281.5652,-Infinity
19,Total Other Income Expenses (Gains),- -,-246470,- -,740959,- -,-1962500,- -,-84000,-17000,43000,237000,1068000,918000,590000,73000,205000,7605000,225000,324000,758000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14794000,-21155000,-26932000,-24677000,-23246000,-27814000,-26126000,-35307000,-29152000,-49865000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20.6620,-31.1561,-71.0607,-65.1108,-8.1651,-Infinity,-522.5200,-653.8333,-1267.4783,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-77903,-462995,-2010350,-2098108,-2439724,-8428900,-10498000,-6636000,-7453000,-10848000,-14794000,-21155000,-26932000,-24677000,-23246000,-27814000,-26126000,-35307000,-29152000,-49865000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.6620,-31.1561,-71.0607,-65.1108,-8.1651,-Infinity,-522.5200,-653.8333,-1267.4783,-Infinity
25,EPS,-4.29,-20.00,-166.00,-100.00,-80.00,-58.00,-16.30,-6.30,-4.40,-3.50,-3.40,-3.80,-4.20,-3.50,-2.90,-3.20,-2.50,-2.90,-1.60,-1.77
26,EPS Diluted,-4.29,-20.00,-166.00,-100.00,-80.00,-60.00,-16.30,-6.30,-4.40,-3.50,-3.40,-3.80,-4.20,-3.50,-2.90,-3.20,-2.50,-2.90,-1.60,-1.77
27,Weighted Average Shares Outstanding,17500,18678,12111,16533,30497,144236,642236,1060288,1700499,3119882,4403186,5548135,6351440,7028433,7954798,8742620,10587676,12332912,18197303,28113636
28,Weighted Average Shares Outstanding Diluted,17500,18678,12565,16533,30497,144236,642236,1060288,1700499,3119882,4403186,5548135,6351440,7028433,7954798,8742620,10587676,12332912,18197303,28113636
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158780/000108503705001381/f10ksb063005.htm,https://www.sec.gov/Archives/edgar/data/1158780/000108503706001846/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1158780/000106299307003468/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1158780/000117891308002558/0001178913-08-002558-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891309002251/0001178913-09-002251-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891310002499/0001178913-10-002499-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891311002580/0001178913-11-002580-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891312002580/0001178913-12-002580-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891313002659/0001178913-13-002659-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891314002913/0001178913-14-002913-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891315002818/0001178913-15-002818-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891316006442/zk1618969.htm,https://www.sec.gov/Archives/edgar/data/1158780/000117891317002643/0001178913-17-002643-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891318002512/0001178913-18-002512-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000121390019017859/f10k2019_pluristemtherap.htm,https://www.sec.gov/Archives/edgar/data/1158780/000121390020026105/0001213900-20-026105-index.htm,https://www.sec.gov/Archives/edgar/data/1158780/000121390021047664/0001213900-21-047664-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,507337,668867,1889438,2374152,1653087,323000,2339000,1583000,42829000,30786000,9007000,4493000,22626000,6223000,4707000,8821000,4106000,8270000,31241000
32,Short-Term Investments,- -,- -,- -,- -,- -,3758327,1185000,- -,- -,- -,7023000,44890000,49412000,29417000,25985000,21399000,21079000,19599000,37514000,33709000
33,Cash and Short-Term Investments,- -,507337,668867,1889438,2374152,5411414,1508000,2339000,1583000,42829000,37809000,53897000,53905000,52043000,32208000,26106000,29900000,23705000,45784000,64950000
34,Net Receivables,- -,10281,15332,147781,101071,582433,249000,496000,1068000,154000,338000,- -,2263000,2508000,2481000,1174000,847000,1421000,1610000,1490000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,56910,61299,62323,59594,350000,100000,954000,314000,45000,1188000,5819000,2317000,907000,1736000,1289000,1245000,1067000,931000
37,Total Current Assets,- -,517618,741109,2098518,2537546,6053441,2107000,2935000,3605000,43297000,38192000,55085000,61987000,56868000,35596000,29016000,32036000,26371000,48461000,67371000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2227000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,333887,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,333887,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,325000,462000,631000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,143089,636089,521522,887183,673478,1477000,1203000,1555000,2088000,9228000,13231000,12036000,11287000,10345000,8518000,6924000,4939000,17071000,23940000
45,Total Non-Current Assets,- -,476976,636089,521522,887183,673478,1477000,1528000,2017000,2719000,9228000,13231000,12036000,11287000,10345000,8518000,6924000,4939000,17071000,26167000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,994594,1377198,2620040,3424729,6726919,3584000,4463000,5622000,46016000,47420000,68316000,74023000,68155000,45941000,37534000,38960000,31310000,65532000,93538000
48,Accounts Payable,- -,132564,112875,185073,351763,575877,918000,759000,1163000,1177000,1368000,2837000,3465000,3268000,2705000,1966000,3261000,2281000,1968000,2526000
49,Short-Term Debt,- -,123435,100023,18750,218750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,634000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,792000,772000,626000,472000,- -,- -,640000,- -,126000,40000
52,Other Current Liabilities,- -,- -,178715,247166,163867,156980,154000,81000,118000,841000,3362000,2312000,3306000,2443000,3070000,3448000,4647000,5877000,5893000,8317000
53,Total Current Liabilities,- -,255999,391613,450989,734380,732857,1072000,840000,1281000,2018000,5522000,5921000,7397000,6183000,5775000,5414000,8548000,8158000,7987000,11517000
54,Long-Term Debt,- -,- -,- -,- -,2065751,- -,36000,23000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23950000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3505000,3226000,2847000,2468000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,248178,628575,365925,1268828,96885,147000,206000,360000,576000,651000,1703000,1656000,1361000,2010000,1869000,1905000,1331000,1444000,920000
58,Total Non-Current Liabilities,- -,248178,628575,365925,3334579,96885,183000,229000,360000,576000,4156000,4929000,4503000,3829000,2010000,1869000,1905000,1331000,1444000,24870000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,- -,- -,- -,- -,- -,- -,- -,- -,1585000,734000
61,Total Liabilities,- -,504177,1020188,816914,4068959,829742,1255000,1069000,1641000,2594000,9678000,10850000,11900000,10012000,7785000,7283000,10453000,9489000,9431000,36387000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,218,268,636,636,9906,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,- -,- -
64,Retained Earnings,- -,-540898,-2551248,-4649356,-7089080,-15517980,-26016000,-32652000,-40105000,-50953000,-65747000,-86902000,-113834000,-138511000,-161757000,-189571000,-215697000,-251004000,-280156000,-330021000
65,Other Comprehensive Income/Loss,- -,-6748,-29208,-56180,-98716,-150956,-248000,-416000,-620000,-890000,-1318000,-2349000,3000000,2000000,1000000,2000000,-11215000,-13166000,-14662000,- -
66,Other Total Stockholders Equity,- -,1037845,2937198,6508026,6542930,21556207,28593000,36462000,44706000,95265000,104807000,146717000,172957000,194653000,198912000,217821000,255418000,285990000,350919000,- -
67,Total Stockholders Equity,- -,490417,357010,1803126,-644230,5897177,2329000,3394000,3981000,43422000,37742000,57466000,62123000,58143000,38156000,30251000,28507000,21821000,56101000,57151000
68,Total Liabilities And Stockholders Equity,- -,994594,1377198,2620040,3424729,6726919,3584000,4463000,5622000,46016000,47420000,68316000,74023000,68155000,45941000,37534000,38960000,31310000,65532000,93538000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,994594,1377198,2620040,3424729,6726919,3584000,4463000,5622000,46016000,47420000,68316000,74023000,68155000,45941000,37534000,38960000,31310000,65532000,93538000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1158780/000108503705001381/f10ksb063005.htm,https://www.sec.gov/Archives/edgar/data/1158780/000108503706001846/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1158780/000106299307003468/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1158780/000117891308002558/0001178913-08-002558-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891309002251/0001178913-09-002251-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891310002499/0001178913-10-002499-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891311002580/0001178913-11-002580-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891312002580/0001178913-12-002580-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891313002659/0001178913-13-002659-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891314002913/0001178913-14-002913-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891315002818/0001178913-15-002818-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891316006442/zk1618969.htm,https://www.sec.gov/Archives/edgar/data/1158780/000117891317002643/0001178913-17-002643-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891318002512/0001178913-18-002512-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000121390019017859/f10k2019_pluristemtherap.htm,https://www.sec.gov/Archives/edgar/data/1158780/000121390020026105/0001213900-20-026105-index.htm,https://www.sec.gov/Archives/edgar/data/1158780/000121390021047664/0001213900-21-047664-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-77903,-462995,-2010350,-2098108,-2439724,-8428900,-10498000,-6636000,-7453000,-10848000,-14794000,-21155000,-26932000,-24677000,-23246000,-27814000,-26126000,-35307000,-29152000,-49865000
74,Depreciation and Amortization,- -,21039,153644,202852,264834,224721,129000,173000,207000,312000,435000,1033000,1902000,2074000,2150000,2177000,2018000,1962000,1570000,1370000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2239000,1832000,3480000,4927000,2799000,5851000,4052000,3073000,3662000,6548000,5146000,2562000,13968000
77,Change in Working Capital,13744,261619,87877,1298033,155637,3517418,-4285584,1060000,229000,38955000,-8609000,16494000,5426000,-3905000,-20864000,-6219000,-114000,-5275000,22261000,15380000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-247000,-307000,656000,-166000,- -,-1990000,572000,-537000,1192000,978000,-121000,37000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-54000,132000,455000,-424000,1335000,1257000,-566000,-77000,-701000,1212000,-863000,-291000,578000
81,Other Working Capital,- -,261619,349496,1647529,1803166,5320584,1035000,2095000,2324000,41279000,32670000,49164000,54590000,50685000,29821000,23602000,23488000,18213000,40474000,55854000
82,Other Non-Cash Items,- -,-207931,257080,-1194613,-27940,1615370,10117584,-1098000,-223000,-37654000,14766000,-16058000,-5368000,1851000,20365000,6583000,-3706000,4021000,-23610000,-11763000
83,Cash Provided by Operating Activities,-64159,-388268,-1511749,-1791836,-2047193,-3071391,-4537000,-4262000,-5408000,-5755000,-3275000,-16887000,-19121000,-20605000,-18522000,-21611000,-21380000,-29453000,-26369000,-30910000
84,CAPEX,- -,- -,-125657,-68975,-48140,-290183,-840000,-313000,-389000,-962000,-1480000,-4309000,-1573000,-831000,-1750000,-378000,-342000,-239000,-270000,-373000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-3783746,- -,-8000,-2512000,-14000,-8165000,-18736000,-10854000,-4903000,-5064000,-3607000,-15975000,- -,-30188000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,2201000,1151000,1605000,911000,998000,2377000,14288000,27330000,8093000,8253000,21890000,1415000,- -,- -
88,Other Investing Activites,-15575,-52526,-1176,23326,-3653,-2057908,-76000,- -,- -,29000,-22150000,869000,122000,-59000,33000,30000,- -,-6000,- -,-6892000
89,Cash Used for Investing Activites,-15575,-52526,-126833,-45649,-51793,-6131837,1285000,830000,-1296000,-36000,-30797000,-19799000,1983000,21537000,1312000,4298000,5573000,1170000,-30458000,-7265000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-14000,-8000,-24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,2500,1017055,1800115,3139329,2583700,9140913,2246000,5462000,5954000,43400000,- -,34106000,10644000,16914000,790000,15718000,18631000,23467000,58163000,36589000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,78195,-69885,-3,-81273,- -,-658750,-324000,- -,2000,3661000,632000,2198000,1980000,287000,17000,79000,1290000,115000,2707000,24813000
95,Cash Used/Provided by Financing Activities,80695,947170,1800112,3058056,2583700,8482163,1922000,5448000,5948000,47037000,632000,36304000,12624000,17201000,807000,15797000,19921000,23582000,60870000,61402000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-618000
97,Net Change In Cash,80695,506376,161530,1220571,484714,-721065,-1330000,2016000,-756000,41246000,-33440000,-382000,-4514000,18133000,-16403000,-1516000,4114000,-4701000,4043000,22609000
98,Cash at the End of Period,961,507337,668867,1889438,2374152,1653087,323000,2339000,1583000,42829000,9389000,9007000,4493000,22626000,6223000,4707000,8821000,5186000,9229000,31838000
99,Cash at the Beginning of Period,- -,961,507337,668867,1889438,2374152,1653000,323000,2339000,1583000,42829000,9389000,9007000,4493000,22626000,6223000,4707000,9887000,5186000,9229000
100,Free Cash Flow,-64159,-388268,-1637406,-1860811,-2095333,-3361574,-5377000,-4575000,-5797000,-6717000,-4755000,-21196000,-20694000,-21436000,-20272000,-21989000,-21722000,-29692000,-26639000,-31283000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158780/000108503705001381/f10ksb063005.htm,https://www.sec.gov/Archives/edgar/data/1158780/000108503706001846/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1158780/000106299307003468/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1158780/000117891308002558/0001178913-08-002558-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891309002251/0001178913-09-002251-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891310002499/0001178913-10-002499-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891311002580/0001178913-11-002580-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891312002580/0001178913-12-002580-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891313002659/0001178913-13-002659-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891314002913/0001178913-14-002913-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891315002818/0001178913-15-002818-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891316006442/zk1618969.htm,https://www.sec.gov/Archives/edgar/data/1158780/000117891317002643/0001178913-17-002643-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000117891318002512/0001178913-18-002512-index.html,https://www.sec.gov/Archives/edgar/data/1158780/000121390019017859/f10k2019_pluristemtherap.htm,https://www.sec.gov/Archives/edgar/data/1158780/000121390020026105/0001213900-20-026105-index.htm,https://www.sec.gov/Archives/edgar/data/1158780/000121390021047664/0001213900-21-047664-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
