,https://roic.ai/company/PCYN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,314388,385645,524943,839449,1080462,1180202,1177112,1492163,1689210,1726531,1576927,1604903,1352775,1881797,1591619,1384040,1593795,2073663,2871627
38,PP&E,- -,- -,- -,- -,- -,- -,- -,49129,95398,77501,62962,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,483100,991620
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000,17000,17000,17000,17000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,792,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231274,942738,1008213,861945,724681,- -,591036,556359,662593,551817,420897,280370,208281,159874,95568
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,17958,22328,26449,8748,590656,556742,536914,515779,535832,1191230,489348,467006,501061,685358,700295,676839,615856,88004,266515
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,67087,117726,103950,71710,821930,1499480,1545127,1377724,1260513,1192022,1080384,1023365,1163654,1237175,1138192,974209,841137,747978,1370703
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,381475,503371,628893,911159,1902392,2679682,2722239,2869887,2949723,2918553,2657311,2628268,2516429,3118972,2729811,2358249,2434932,2821641,4242330
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,208111,98821,100499,125648,108076,105314,135066,184942,130453,151567,137057,112075,121358,358177,120584,95472,147445,167459,167588
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21201,22790,24498,26335,32211,49017,- -,- -,80000,125000,- -,- -,- -,57028,154022
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,373411,88472,75120,82220,111316,118747,129097,128006,146753,203882,169923,142254,159403,359520,319617,231004,228490,289466,315881
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,581522,187293,175619,207868,240593,246851,288661,339283,309417,404466,306980,254329,360761,842697,440201,326476,375935,513953,637491
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,20851,264558,90000,- -,469191,447042,423114,397367,314173,59454,- -,- -,- -,- -,- -,- -,- -,143972,653860
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,12000,11275,9063,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2360,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5898,2110,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,20851,278918,101275,9063,469191,447042,423114,397367,314173,59454,- -,- -,- -,5898,2110,- -,- -,143972,653860
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,2360,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9686,5898,2110,- -,- -,807882
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,602373,466211,276894,216931,709784,693893,711775,736650,623590,463920,306980,254329,360761,848595,442311,326476,375935,657925,1291351
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,186950,182950,170750,160750,159750,154950,154950,154950,154950,149950,149950,149950,149950,149950,136860,136860,126860,126860,126860
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,4384676,4388676,4400876,- -,4411876,- -,4416676,- -,- -,- -,- -,- -,- -,4421676,4434766,4434766,4444766,4444766,4444766
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-4798524,-4540466,-4225627,-3883398,-3385018,-2591837,-2567162,-2444389,-2251493,-2122993,-2227295,-2203687,-2421958,-2312389,-2300011,-2555738,-2528514,-2423795,-1656212
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-66155,-90180,-117795,-141384,-177591,-181742,-213964,-242951,-220454,-225208,-271758,-304558,-340426,-326961,-372644,-404659,-445941,-481125,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,72155,96180,123795,4719010,183591,4759368,219964,4820577,4798080,4802834,4849384,4882184,4918052,338101,388529,420544,461826,497010,35564
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,-220898,37160,351999,694228,1192608,1985789,2010464,2133237,2326133,2454633,2350331,2373939,2155668,2270377,2287500,2031773,2058997,2163716,2950978
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,381475,503371,628893,911159,1902392,2679682,2722239,2869887,2949723,2918553,2657311,2628268,2516429,3118972,2729811,2358249,2434932,2821641,4242329
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,381475,503371,628893,911159,1902392,2679682,2722239,2869887,2949723,2918553,2657311,2628268,2516429,3118972,2729811,2358249,2434932,2821641,4242330
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812306/000100009608000266/0001000096-08-000266-index.html,https://www.sec.gov/Archives/edgar/data/812306/000105050209000238/0001050502-09-000238-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009610000143/0001000096-10-000143-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009611000244/0001000096-11-000244-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009612000143/0001000096-12-000143-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009613000123/0001000096-13-000123-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009614000113/0001000096-14-000113-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009615000074/0001000096-15-000074-index.html,https://www.sec.gov/Archives/edgar/data/812306/000102189016000039/0001021890-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/812306/000114036117038557/0001140361-17-038557-index.htm,https://www.sec.gov/Archives/edgar/data/812306/000143774918017541/0001437749-18-017541-index.html,https://www.sec.gov/Archives/edgar/data/812306/000143774919019252/0001437749-19-019252-index.html,https://www.sec.gov/Archives/edgar/data/812306/000143774920020789/0001437749-20-020789-index.htm,https://www.sec.gov/Archives/edgar/data/812306/000143774921023489/0001437749-21-023489-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-519393,-697311,-855459,-600000,-318005,-686686,-137911,32006,258058,314839,342229,498380,793181,24675,122773,192896,128500,-104302,23608,-218271,109569,12378,-255727,27224,111658,767583
74,Depreciation and Amortization,9399,9620,6011,- -,6107,9862,13170,15984,24025,27617,23589,36207,35800,32220,28987,35738,33448,32519,32800,35868,37706,45681,47862,52646,23707,164312
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-63000,-77186,16004,-276850,-674191,18055,73831,118078,88626,91589,45311,-121215,80601,16608,383368,72089,48407,208925
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4745,- -,- -,- -,19679
77,Change in Working Capital,3850,- -,70185,-70185,-63171,63171,- -,-267134,465486,150972,282257,208288,93482,-44900,264429,226913,-57728,-52118,80627,-358560,47086,112318,-93854,160296,341850,674426
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43322,31796,-127363,96630,20488,-106868,27761,-266385,148327,17427,-51236,105898,-186315
79,Inventory,-17092,36290,48177,100000,5348,14333,-12570,-39219,-8202,-41599,-4542,16973,-50266,74660,-78789,-16446,9817,-18028,-63806,-157726,-254215,111317,459,-31722,-233691,-12010
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29753,49875,-54489,21114,-14510,-24983,9284,236819,-237594,-25111,51973,20014,129
81,Other Working Capital,- -,- -,70185,- -,-63171,- -,- -,-267134,198352,349324,631581,839869,933351,888451,1152880,1379793,1322065,1269947,1350574,992014,1039100,1151418,1057564,1217860,1559710,2234136
82,Other Non-Cash Items,22614,40903,154439,70185,-5926,128073,-92570,181930,-597024,-204244,-300870,-259530,-130101,130779,-222714,-444536,238078,18929,-361840,270153,-256280,7830,4850,-261418,-326850,-1555425
83,Cash Provided by Operating Activities,-483530,-646788,-624824,-600000,-380995,-485580,-217311,-37214,87545,211998,363209,206495,118171,160829,267306,129089,430924,-13383,-179494,-392025,18682,199560,86499,50837,198772,279500
84,CAPEX,-1764,-5948,-7133,- -,-15694,-32655,-8994,-1222,-68731,-9718,-9052,-54388,-1911,-11331,-8573,-56853,-7013,-12470,-10458,-66524,-73271,-35856,-46727,-28753,-23044,-65166
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-833,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-242825,- -,-101376,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239698,189659,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-11614,-18000,2000,- -,- -,-17000,1982,- -,- -,- -,- -,- -,-239698,- -,- -,- -,- -,- -,- -,- -,-133787,62084,61156,- -,-1181,545303
89,Cash Used for Investing Activites,-14211,-23948,-5133,- -,-15694,-49655,-7012,-1222,-68731,-9718,-9052,-54388,-241609,-14458,181086,-158229,-7013,-12470,-10458,-66524,-207058,43228,14429,-28753,-24225,480137
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22219,-23910,-77318,-237913,-108471,- -,- -,-66678,-198788,-3788,-2110,- -,-198949
91,Common Stock Issued,- -,- -,- -,600000,251000,- -,- -,57900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,473393,715850,347916,- -,534873,75000,205224,22085,-45755,-190308,-92360,-17608,-20560,- -,- -,- -,- -,- -,- -,80000,110000,70000,- -,- -,201000,- -
95,Cash Used/Provided by Financing Activities,473393,715850,347916,600000,785873,75000,205224,79985,-45755,-190308,-92360,-17608,-20560,-22219,-23910,-77318,-237913,-108471,- -,80000,43322,-128788,-3788,-2110,201000,-198949
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-24348,45114,-282041,- -,389184,-460235,205224,- -,-26941,11972,261797,134499,-143998,124152,424482,-106458,185998,-134324,-189952,-378549,-145054,114000,97140,19974,375547,560688
98,Cash at the End of Period,290007,335121,53080,100000,479334,19099,- -,41549,14608,26580,288377,422876,278878,403030,827512,721054,907052,772728,582776,204227,59173,173173,270313,290287,665834,1226522
99,Cash at the Beginning of Period,314355,290007,335121,100000,90150,479334,19099,- -,41549,14608,26580,288377,422876,278878,403030,827512,721054,907052,772728,582776,204227,59173,173173,270313,290287,665834
100,Free Cash Flow,-485294,-652736,-631957,-600000,-396689,-518235,-226305,-38436,18814,202280,354157,152107,116260,149498,258733,72236,423911,-25853,-189952,-458549,-54589,163704,39772,22084,175728,214334
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812306/000100009608000266/0001000096-08-000266-index.html,https://www.sec.gov/Archives/edgar/data/812306/000105050209000238/0001050502-09-000238-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009610000143/0001000096-10-000143-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009611000244/0001000096-11-000244-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009612000143/0001000096-12-000143-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009613000123/0001000096-13-000123-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009614000113/0001000096-14-000113-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009615000074/0001000096-15-000074-index.html,https://www.sec.gov/Archives/edgar/data/812306/000102189016000039/0001021890-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/812306/000114036117038557/0001140361-17-038557-index.htm,https://www.sec.gov/Archives/edgar/data/812306/000143774918017541/0001437749-18-017541-index.html,https://www.sec.gov/Archives/edgar/data/812306/000143774919019252/0001437749-19-019252-index.html,https://www.sec.gov/Archives/edgar/data/812306/000143774920020789/0001437749-20-020789-index.htm,https://www.sec.gov/Archives/edgar/data/812306/000143774921023489/0001437749-21-023489-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
