,https://roic.ai/company/ZEN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,9889000,42204000,29414000,131190000,137576000,300213000,286958000,565593000,539780000
33,Cash and Short-Term Investments,14200000,48688000,63614000,122469000,245640000,224867000,246946000,426731000,483549000,971023000,1015883000
34,Net Receivables,- -,3752000,7237000,11523000,26168000,37343000,57096000,85280000,127808000,199243000,273898000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2221000,3008000,5013000,11423000,17608000,24165000,60585000,81466000,105707000,128851000
37,Total Current Assets,- -,54661000,73859000,139005000,283231000,279818000,328207000,572596000,692823000,1275973000,1418632000
38,PP&E,3700000,8472000,15431000,41895000,56541000,62731000,59157000,75654000,192073000,178221000,167751000
39,Goodwill,- -,- -,- -,9240000,45346000,45347000,59131000,111584000,169647000,- -,176765000
40,Intangible Assets,- -,- -,- -,4912000,11704000,7949000,7903000,34743000,37236000,- -,20333000
41,Intangible Assets,- -,- -,- -,14152000,57050000,53296000,67034000,146327000,206883000,196218000,197098000
42,Investments,- -,- -,2225000,9205000,22336000,75168000,97447000,393671000,361948000,428678000,559652000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,925000,1221000,1531000,3528000,4272000,8359000,49631000,60862000,78189000,108146000
45,Total Non-Current Assets,- -,9397000,18877000,66783000,139455000,195467000,231997000,665283000,821766000,881306000,1032647000
46,Other Assets,21300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21300000,64058000,92736000,205788000,422686000,475285000,560204000,1237879000,1514589000,2157279000,2451279000
48,Accounts Payable,- -,1025000,3988000,4763000,9332000,4555000,5307000,16820000,38376000,15428000,49213000
49,Short-Term Debt,- -,337000,729000,3051000,- -,- -,- -,- -,21804000,155921000,160991000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,14529000,28473000,50908000,84210000,123276000,174524000,245243000,320642000,378935000,512933000
52,Other Current Liabilities,11500000,5246000,8963000,19427000,23857000,39387000,50893000,80700000,97859000,142358000,188202000
53,Total Current Liabilities,11500000,21137000,42153000,78149000,117399000,167218000,230724000,342763000,478681000,692642000,911339000
54,Long-Term Debt,- -,- -,23395000,3911000,- -,- -,- -,458176000,483464000,935576000,1042562000
55,Deferred Revenue,- -,601000,575000,823000,1405000,1257000,1213000,2719000,3320000,4423000,4277000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,72525000,72889000,9199000,10592000,7382000,6626000,17300000,91140000,92807000,3883000
58,Total Non-Current Liabilities,- -,73126000,96859000,13933000,11997000,8639000,7839000,478195000,577924000,1032806000,1050722000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,711000,374000,10000,- -,- -,- -,- -,105282000,108808000,84465000
61,Total Liabilities,11500000,94263000,139012000,92082000,129396000,175857000,238563000,820958000,1056605000,1725448000,1962061000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,212000,229000,755000,905000,971000,1031000,1080000,1130000,1174000,1215000
64,Retained Earnings,- -,-41883000,-64454000,-131869000,-215921000,-319720000,-430586000,-529128000,-698781000,-916883000,-1140243000
65,Other Comprehensive Income/Loss,-33200000,- -,10000,-528000,-2225000,-5197000,-2372000,-5724000,591000,3203000,-8911000
66,Other Total Stockholders Equity,- -,11466000,17939000,245348000,510531000,623374000,753568000,950693000,1155044000,1344337000,1637157000
67,Total Stockholders Equity,- -,-30205000,-46276000,113706000,293290000,299428000,321641000,416921000,457984000,431831000,489218000
68,Total Liabilities And Stockholders Equity,- -,64058000,92736000,205788000,422686000,475285000,560204000,1237879000,1514589000,2157279000,2451279000
69,Minority Interest,21300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,21300000,64058000,92736000,205788000,422686000,475285000,560204000,1237879000,1514589000,2157279000,2451279000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463172/000156459015000725/0001564590-15-000725-index.htm,https://www.sec.gov/Archives/edgar/data/1463172/000156459016013588/0001564590-16-013588-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000162828017001792/0001628280-17-001792-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000162828018002076/0001628280-18-002076-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000146317219000065/0001463172-19-000065-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000146317220000061/0001463172-20-000061-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000146317221000054/0001463172-21-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1463172/000146317222000027/0001463172-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-24365000,-22571000,-67415000,-84052000,-103799000,-110638000,-131084000,-169653000,-218178000,-223644000
74,Depreciation and Amortization,- -,2506000,5222000,11456000,19744000,27506000,31931000,36520000,38602000,42247000,37610000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-13784000,- -,- -,- -
76,Stock Based Compensation,- -,9640000,4854000,32139000,52556000,73779000,85049000,119483000,156730000,182204000,230185000
77,Change in Working Capital,- -,7000000,-1818000,29150000,104976000,-53232000,-15117000,132350000,-15691000,369189000,-4788000
78,Accounts Receivable,- -,-1404000,-3594000,-3846000,-14989000,-11808000,-21201000,-30007000,-50061000,-80945000,-87472000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,704000,2712000,947000,2017000,-3486000,1839000,7534000,22128000,-20804000,32703000
81,Other Working Capital,- -,33524000,31706000,60856000,165832000,112600000,97483000,229833000,214142000,583331000,56245000
82,Other Non-Cash Items,- -,123000,18318000,-3240000,-87891000,80268000,50870000,-64865000,79273000,-349034000,130399000
83,Cash Provided by Operating Activities,- -,-5096000,4005000,2090000,5333000,24522000,42095000,78620000,89261000,26428000,169762000
84,CAPEX,- -,-7087000,-11777000,-29678000,-27694000,-26957000,-23917000,-42328000,-46981000,-38523000,-29072000
85,Acquisitions Net,- -,- -,- -,-1896000,-43858000,- -,-16470000,-79363000,-70919000,- -,-7811000
86,Purchases of Investments,- -,- -,-12409000,-54330000,-70303000,-249048000,-177309000,-710226000,-455149000,-851156000,-968622000
87,Sales/Maturities of Investments,- -,- -,- -,14454000,69134000,93641000,147825000,242241000,506297000,507350000,846053000
88,Other Investing Activites,- -,-32000,- -,153000,- -,- -,- -,- -,- -,- -,-13925000
89,Cash Used for Investing Activites,- -,-7119000,-24186000,-71297000,-72721000,-182364000,-69871000,-589676000,-66752000,-382329000,-159452000
90,Debt Repayment,- -,-305000,-337000,-21112000,-6962000,-323000,- -,- -,- -,-708923000,- -
91,Common Stock Issued,- -,- -,- -,107494000,190094000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,47010000,25553000,9386000,19975000,35950000,43141000,529063000,48411000,1272740000,59225000
95,Cash Used/Provided by Financing Activities,- -,46705000,25216000,95768000,203107000,35627000,43141000,529063000,48411000,563817000,59225000
96,Effect of Forex Changes on Cash,- -,-40000,2000,-21000,242000,-334000,328000,-19000,101000,46000,-44000
97,Net Change In Cash,- -,34450000,5037000,26540000,135961000,-122549000,15693000,17988000,71021000,207962000,69491000
98,Cash at the End of Period,- -,48688000,53725000,80265000,216226000,93677000,109370000,128876000,199897000,407859000,477350000
99,Cash at the Beginning of Period,- -,14238000,48688000,53725000,80265000,216226000,93677000,110888000,128876000,199897000,407859000
100,Free Cash Flow,- -,-12183000,-7772000,-27588000,-22361000,-2435000,18178000,36292000,42280000,-12095000,140690000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1463172/000156459015000725/0001564590-15-000725-index.htm,https://www.sec.gov/Archives/edgar/data/1463172/000156459016013588/0001564590-16-013588-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000162828017001792/0001628280-17-001792-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000162828018002076/0001628280-18-002076-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000146317219000065/0001463172-19-000065-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000146317220000061/0001463172-20-000061-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000146317221000054/0001463172-21-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1463172/000146317222000027/0001463172-22-000027-index.htm
102,false,,,,,,,,,,,
