,https://roic.ai/company/NOW,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,5796000,54526000,43005000,65854000,86916000,100582000,143850000,153367000,287000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,14520000,109542000,98674000,148388000,215644000,249427000,300606000,394131000,1064000000
42,Investments,- -,- -,- -,- -,- -,- -,255356000,266772000,422667000,262658000,391442000,581856000,1013332000,1468006000,1630000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599633000,673111000,692000000
44,Other Non-Current Assets,- -,- -,- -,2179000,2386000,13683000,25291000,37542000,55362000,98566000,135130000,355948000,411445000,544108000,835000000
45,Total Non-Current Assets,- -,- -,- -,3877000,11853000,56025000,370727000,518093000,721417000,691232000,987340000,1534447000,3195529000,4193215000,5578000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,51369000,108746000,478114000,1168476000,1425079000,1807052000,2033767000,3397904000,3879140000,6022430000,8715057000,10798000000
48,Accounts Payable,- -,- -,- -,1570000,2098000,9604000,7405000,17829000,37369000,38080000,32109000,30733000,52960000,34236000,89000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,543418000,- -,- -,72236000,174000000
50,Tax Payable,- -,- -,- -,- -,- -,1941000,- -,- -,- -,- -,- -,- -,- -,58466000,101000000
51,Deferred Revenue,- -,- -,- -,31282000,66894000,153964000,252553000,409671000,593003000,861782000,1280499000,1651594000,2185754000,2962579000,3836000000
52,Other Current Liabilities,- -,- -,- -,12842000,18994000,48059000,68130000,79497000,101264000,171636000,244605000,330246000,514071000,668093000,850000000
53,Total Current Liabilities,- -,- -,- -,45694000,87986000,211627000,328088000,506997000,731636000,1071498000,2100631000,2012573000,2752785000,3737144000,4949000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,414777000,443764000,474534000,507812000,630018000,661707000,694981000,2062932000,2040000000
55,Deferred Revenue,- -,- -,- -,9449000,7752000,16397000,14169000,12567000,10751000,33319000,39884000,38597000,40038000,45346000,63000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,67488000,71389000,6685000,17183000,33076000,23317000,34177000,43239000,55064000,406685000,35154000,51000000
58,Total Non-Current Liabilities,- -,- -,- -,76937000,79141000,23082000,446129000,489407000,508602000,575308000,713141000,755368000,1141704000,2143432000,2154000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435889000,495015000,638000000
61,Total Liabilities,- -,- -,- -,122631000,167127000,234709000,774217000,996404000,1240238000,1646806000,2813772000,2767941000,3894489000,5880576000,7103000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,16000,21000,126000,140000,150000,160000,167000,174000,180000,189000,196000,- -
64,Retained Earnings,- -,- -,- -,-71286000,-61456000,-105488000,-179196000,-358583000,-557009000,-997390000,-1146520000,-978780000,-352244000,-233741000,-4000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-650000,1000000,-36000,-38107000,-12000000,-17000000,-21000000,6000000,-4000000,25000000,94229000,34000000
66,Other Total Stockholders Equity,- -,- -,- -,658000,2054000,348803000,611422000,799108000,1140663000,1405184000,1724478000,2093799000,2454996000,2973797000,- -
67,Total Stockholders Equity,- -,- -,- -,-71262000,-58381000,243405000,394259000,428675000,566814000,386961000,584132000,1111199000,2127941000,2834481000,3695000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,51369000,108746000,478114000,1168476000,1425079000,1807052000,2033767000,3397904000,3879140000,6022430000,8715057000,10798000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,51369000,108746000,478114000,1168476000,1425079000,1807052000,2033767000,3397904000,3879140000,6022430000,8715057000,10798000000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1373715/000137371514000044/now-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371515000067/now-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371516000324/0001373715-16-000324-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/0001373715-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000058/0001373715-18-000058-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/0001373715-19-000070-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000072/0001373715-20-000072-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000061/0001373715-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/0001373715-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-5900000,-29705000,9830000,-37348000,-73708000,-179387000,-198426000,-451804000,-149130000,-26704000,626698000,118503000,230000000
74,Depreciation and Amortization,- -,- -,200000,369000,1472000,13506000,24152000,42059000,60356000,83082000,113875000,149604000,252114000,336381000,472000000
75,Deferred Income Tax,- -,- -,- -,- -,-138000,-2440000,-1889000,-3235000,-3945000,-3424000,-9078000,-34180000,-575765000,-24481000,-34000000
76,Stock Based Compensation,- -,- -,- -,545000,2954000,27937000,65581000,154319000,257713000,317580000,394078000,543953000,662195000,870453000,1131000000
77,Change in Working Capital,- -,- -,5300000,1798000,7109000,29214000,259199000,-69672000,-45990000,-82962000,38896000,22187000,-258004000,710582000,58000000
78,Accounts Receivable,- -,- -,- -,-5176000,-14762000,-33341000,-29506000,-56785000,-50855000,-125106000,-98432000,-146148000,-259835000,-151431000,-401000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,912000,254000,4887000,-252000,10223000,14785000,-3554000,-5504000,-4757000,21355000,-33583000,55000000
81,Other Working Capital,- -,- -,- -,1798000,8907000,37257000,469661000,399989000,353999000,271037000,309933000,332120000,74116000,784698000,395000000
82,Other Non-Cash Items,- -,- -,600000,19461000,16241000,17897000,-191589000,194816000,245383000,297449000,254184000,156229000,528734000,-224839000,334000000
83,Cash Provided by Operating Activities,- -,- -,200000,-7532000,37468000,48766000,81746000,138900000,315091000,159921000,642825000,811089000,1235972000,1786599000,2191000000
84,CAPEX,- -,- -,-300000,-1584000,-8733000,-42066000,-55321000,-54379000,-89231000,-124312000,-157180000,-248862000,-337581000,-432517000,-399000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-13330000,-99813000,-1100000,-34297000,-58203000,-37440000,-7414000,-107236000,-785000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-240626000,-570679000,-521393000,-723282000,-519164000,-1194261000,-1295782000,-1595667000,-2933876000,-2556000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,43498000,236712000,358712000,582092000,569535000,525696000,1234662000,1216185000,1966757000,2119000000
88,Other Investing Activites,- -,- -,-600000,129000,350000,45000,-177000,-55000,-1972000,-18960000,-6670000,-24400000,-72689000,-13190000,7000000
89,Cash Used for Investing Activites,- -,- -,-900000,-1455000,-8383000,-239149000,-402795000,-316928000,-231743000,-108448000,-883948000,-347422000,-724477000,-1506872000,-1607000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-223000,-2223000,-4918000,-430578000,-9000,-1627690000,-61000000
91,Common Stock Issued,- -,- -,- -,- -,- -,238193000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,3700000,-20814000,- -,-1960000,- -,- -,- -,- -,-55000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,51486000,1227000,5606000,568570000,70772000,83216000,-53529000,598810000,-176850000,-301847000,2224337000,-445000000
95,Cash Used/Provided by Financing Activities,- -,- -,3700000,30672000,1227000,241839000,568570000,70772000,82993000,-55752000,538892000,-607428000,-301856000,596647000,-506000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-71000,139000,-555000,-207000,-6592000,-6491000,-6788000,28128000,-15530000,-186000,25065000,-25000000
97,Net Change In Cash,- -,- -,3000000,21614000,30451000,50901000,247314000,-113848000,159850000,-11067000,325897000,-159291000,209453000,901439000,53000000
98,Cash at the End of Period,- -,- -,569204000,29402000,59853000,118989000,366303000,252455000,412305000,401238000,727829000,568538000,777991000,1679430000,1732000000
99,Cash at the Beginning of Period,- -,- -,566204000,7788000,29402000,68088000,118989000,366303000,252455000,412305000,401932000,727829000,568538000,777991000,1679000000
100,Free Cash Flow,- -,- -,-100000,-9116000,28735000,6700000,26425000,84521000,225860000,35609000,485645000,562227000,898391000,1354082000,1792000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1373715/000137371514000044/now-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371515000067/now-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371516000324/0001373715-16-000324-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/0001373715-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000058/0001373715-18-000058-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/0001373715-19-000070-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000072/0001373715-20-000072-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000061/0001373715-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/0001373715-22-000024-index.htm
102,false,,,,,,,,,,,,,,,
