,https://roic.ai/company/ILPT,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,4415000,6537000,5794000,- -,- -,7811000,8394000
52,Other Current Liabilities,- -,- -,7114000,1653000,2498000,2279000,2185000
53,Total Current Liabilities,14290000,16768000,773990000,426693000,328973000,245806000,208860000
54,Long-Term Debt,64577000,64269000,49427000,49195000,1096608000,660209000,658559000
55,Deferred Revenue,4415000,6537000,5794000,6004000,9442000,7811000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,25765000,21576000,20264000,24446000,24188000,-1271000,3097000
58,Total Non-Current Liabilities,94757000,92382000,75485000,79645000,1130238000,666749000,661656000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,24581000,22472000,20384000,18316000,17508000,14630000,12435000
61,Total Liabilities,109047000,109150000,849475000,506338000,1459211000,912555000,870516000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,450000,651000,652000,653000,654000
64,Retained Earnings,- -,- -,15269000,89657000,142155000,224226000,343908000
65,Other Comprehensive Income/Loss,-23899000,-34427000,-44647000,-52647000,-76885000,- -,- -
66,Other Total Stockholders Equity,1358069000,1347612000,591136000,990612000,929768000,778311000,- -
67,Total Stockholders Equity,1334170000,1313185000,562208000,1028273000,995690000,1003190000,1038042000
68,Total Liabilities And Stockholders Equity,1443217000,1422335000,1411683000,1534611000,2454901000,1915745000,1908558000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1443217000,1422335000,1411683000,1534611000,2454901000,1915745000,1908558000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1717307/000171730718000006/0001717307-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1717307/000171730719000011/0001717307-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1717307/000171730720000011/0001717307-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1717307/000171730721000009/0001717307-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1717307/000171730722000008/0001717307-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,71640000,86898000,80103000,74388000,52498000,82071000,119682000
74,Depreciation and Amortization,24088000,25982000,26172000,27373000,59642000,68394000,49113000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1892000,3166000,-752600000,363563000,128618000,79341000,-5838000
78,Accounts Receivable,-757000,301000,436000,-1727000,-1497000,-2907000,54000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,560000,295000,245000,1618000,3095000,2613000,2525000
81,Other Working Capital,27116000,30282000,-722318000,-358755000,-230137000,-150796000,-4111000
82,Other Non-Cash Items,-6360000,-6791000,749780000,-368561000,-124458000,-115242000,-52307000
83,Cash Provided by Operating Activities,87476000,109255000,103455000,96763000,116300000,114564000,110650000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,-8632000,- -,106283000,804000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-604963000,-1356000,-6307000,-126895000,-893393000,-110805000,22071000
89,Cash Used for Investing Activites,-604963000,-1356000,-6307000,-135527000,-893393000,-4522000,22875000
90,Debt Repayment,- -,-16000,-764344000,-530000000,-847000000,-371750000,-340000000
91,Common Stock Issued,- -,- -,- -,444309000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-52000,-253000,-382000,-922000
93,Dividends Paid,-145547000,-154093000,-153887000,-69669000,-85937000,-86089000,-86236000
94,Other Financing Activites,663034000,46210000,821083000,203784000,1735225000,336463000,300196000
95,Cash Used/Provided by Financing Activities,517487000,-107899000,-97148000,48372000,802035000,-121758000,-126962000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,517487000,-107899000,-97148000,48372000,24942000,-11716000,6563000
98,Cash at the End of Period,- -,- -,- -,9608000,34550000,22834000,29397000
99,Cash at the Beginning of Period,- -,- -,- -,- -,9608000,34550000,22834000
100,Free Cash Flow,87476000,109255000,103455000,96763000,116300000,114564000,110650000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1717307/000171730718000006/0001717307-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1717307/000171730719000011/0001717307-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1717307/000171730720000011/0001717307-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1717307/000171730721000009/0001717307-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1717307/000171730722000008/0001717307-22-000008-index.htm
102,false,,,,,,,
