,https://roic.ai/company/GDNSF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-81.73,-64.86,-235.11,-111.60,-222.36,-38.80,24.70,-3.90,-3.64,-1.67,-0.18,-0.29,-0.15,-0.28,-0.71,-0.24,-0.19
26,EPS Diluted,-81.73,-64.86,-235.11,-111.60,-222.36,-38.80,24.70,-3.90,-3.64,-1.67,-0.18,-0.29,-0.15,-0.28,-0.71,-0.24,-0.19
27,Weighted Average Shares Outstanding,670,690,9067,14860,16806,19940,28219,187591,267425,332732,332732,332732,380177,641972,80822129,97551146,126363104
28,Weighted Average Shares Outstanding Diluted,670,690,9067,14860,16806,19940,28219,187591,267425,332732,332732,332732,380177,641972,80822129,97551146,126363104
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1771706/000110465921044840/0001104659-21-044840-index.htm,https://www.sec.gov/Archives/edgar/data/1771706/000155837022003583/0001558370-22-003583-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,91732,148731,35288,4132,238,232587,95067,294259,40130,1696,2125,228126,131637,7641673,25513180,15155279
32,Short-Term Investments,- -,- -,26112,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,91732,174843,35288,4132,238,232587,95067,294259,40130,1696,2125,228126,131637,7641673,25513180,15155279
34,Net Receivables,4151,4962,21726,10592,3388,2998,9262,29513,6782,4987,2172,6801,11357,13934,1025963,696994,4502469
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32437308,12644895,20422061
36,Other Current Assets,197,128689,106479,57715,3096,0,- -,2648,1588,1371,0,744,- -,- -,10040393,8183325,1560113
37,Total Current Assets,4348,225383,303048,103595,10617,3235,241849,127228,302629,46487,3868,9670,239482,145570,51145337,47038394,41639922
38,PP&E,- -,- -,612292,384307,- -,- -,- -,- -,- -,3211,2137,1759,1501,1109,39247940,38730103,107999058
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3132491,3132491,183836
40,Intangible Assets,- -,- -,2550170,117509,364033,1,- -,- -,- -,- -,- -,- -,- -,- -,9001237,8409419,10184289
41,Intangible Assets,- -,- -,2550170,117509,364033,1,- -,- -,- -,- -,- -,- -,- -,- -,12133728,11541910,10368125
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157000,1495000
44,Other Non-Current Assets,288324,42796,-0,2478935,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2681847,5162124,5468206
45,Total Non-Current Assets,288324,42796,3162462,2980752,364033,1,- -,- -,- -,3211,2137,1759,1501,1109,54063515,55591137,125330389
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,292672,268179,3465509,3084347,374650,3236,241849,127228,302629,49698,6005,11428,240984,146679,105208852,102629531,166970311
48,Accounts Payable,17220,26331,433195,694554,574755,653770,103858,325436,53644,30523,42664,34918,15372,12089,3140086,- -,- -
49,Short-Term Debt,5034,- -,282135,411420,366790,153973,- -,4445,- -,- -,- -,- -,- -,- -,619827,2867294,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7227245,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,0,- -,472576,751434,1034307,1358016,126409,5026,8758,5948,11433,133977,3046,- -,- -,17072604,16406404
53,Total Current Liabilities,22253,26331,1187906,1857408,1975852,2165759,230267,334906,62402,36471,54098,168895,18417,12089,3759913,19939898,16406404
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30593127,1110000,27329907
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4528000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19233063,80228097
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35121127,20343063,107558004
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29285508,21200357,- -
61,Total Liabilities,22253,26331,1187906,1857408,1975852,2165759,230267,334906,62402,36471,54098,168895,18417,12089,38881040,40282961,123964408
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,13237799,13534121,12413836,10384687,10721469,11934673,11018737,118453142,- -,- -
64,Retained Earnings,-54760,-99316,-7768898,-8052233,-13236223,-14499486,-13530363,-14480696,-14261114,-13465729,-11323796,-11798848,-12695371,-11860400,-60087839,- -,-135423519
65,Other Comprehensive Income/Loss,- -,- -,353428,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7962509,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,1035218,967219,1065120,891017,919913,983264,976252,- -,62346570,178429422
67,Total Stockholders Equity,270418,241849,2277604,1226939,-1601202,-2162523,11582,-207679,240227,13227,-48093,-157467,222566,134590,66327812,62346570,43005903
68,Total Liabilities And Stockholders Equity,292672,268179,3465509,3084347,374650,3236,241849,127228,302629,49698,6005,11428,240984,146679,105208852,102629531,166970311
69,Minority Interest,-0,- -,-0,0,-0,0,- -,0,-0,0,-0,-0,0,- -,- -,- -,- -
70,Total Liabilities & Equity,292672,268179,3465509,3084347,374650,3236,241849,127228,302629,49698,6005,11428,240984,146679,105208852,102629531,166970311
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1771706/000110465921044840/0001104659-21-044840-index.htm,https://www.sec.gov/Archives/edgar/data/1771706/000155837022003583/0001558370-22-003583-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-54760,-44754,-2206683,-1730508,-3877453,-642054,673168,-594403,-731590,-385077,-59158,-107814,-83974,-139344,-57010486,-6725194,-24108475
74,Depreciation and Amortization,- -,- -,257335,183005,122274,- -,- -,- -,- -,491,549,448,379,278,4066184,1028187,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1980000,1363000,- -
76,Stock Based Compensation,- -,- -,- -,46628,- -,- -,- -,- -,- -,177962,- -,- -,- -,68449,3303297,12777474,- -
77,Change in Working Capital,7705,216958,-1083911,-868955,-211423,-197289,2174106,-219260,447905,-230211,-60246,-108995,380290,-87583,47251942,-20286928,-1864978
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,930143,-396974,1251699
79,Inventory,- -,- -,4660,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6007406,-2661090,- -
80,Accounts Payable,- -,- -,- -,221514,-240631,52013,- -,236762,-135759,-20766,- -,- -,- -,- -,424346,- -,- -
81,Other Working Capital,-17905,199053,-884858,-1753813,-1965235,-2162524,11582,-207679,240227,10016,-50230,-159226,221065,133482,47385424,27098496,25233518
82,Other Non-Cash Items,17052,-208415,344202,1423411,3631720,806726,-3722076,403197,-218354,210765,86980,106030,-427361,79219,-18089396,911078,25973453
83,Cash Provided by Operating Activities,-30003,-36211,-2689057,-946419,-334882,-32617,-874802,-410466,-502039,-226069,-31875,-110332,-130666,-78981,-22458459,-10932383,- -
84,CAPEX,- -,- -,-984806,-105112,-227457,-32971,- -,- -,- -,-3702,- -,- -,- -,- -,-7690753,-8449097,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-146,- -,- -,- -,- -,- -,- -,- -,-14317054,21135760,- -
86,Purchases of Investments,-285016,- -,-693,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,287285,- -,21248,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,28486,-400775,-315531,-32971,- -,- -,- -,- -,- -,- -,- -,- -,-592243,249008,- -
89,Cash Used for Investing Activites,-285016,287285,-957012,-448603,-315531,-32971,-146,- -,- -,-3702,- -,- -,- -,- -,-22600050,12935671,- -
90,Debt Repayment,- -,- -,- -,-169300,-162626,- -,-155127,-108009,-4153,- -,- -,- -,- -,- -,-617145,-1576553,- -
91,Common Stock Issued,111087,17159,4235614,1050058,717248,9998,1456796,374838,711628,- -,- -,- -,477137,- -,48213438,7613490,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18684,-171485,-605500,428527,58909,51501,-194367,- -,- -,- -,- -,110706,-120616,- -,-4520221,9831282,- -
95,Cash Used/Provided by Financing Activities,129772,-154327,3630114,1309285,613531,61499,1107302,266829,707475,- -,- -,110706,356521,- -,43076072,15868219,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-185247,96748,-15955,-85737,-36882,-4088,232354,-143638,205436,-229772,-31875,374,225854,-78981,-1982437,17871507,- -
98,Cash at the End of Period,-5034,91732,148731,35288,4132,238,232587,95067,294259,40130,1696,2125,228126,131637,7641673,27105680,- -
99,Cash at the Beginning of Period,180214,-5015,164685,121025,41014,4326,233,238705,88823,269902,33570,1751,2271,210618,9624110,9234173,27105680
100,Free Cash Flow,-30003,-36211,-3673862,-1051531,-562339,-65588,-874802,-410466,-502039,-229772,-31875,-110332,-130666,-78981,-30149212,-19381480,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1771706/000110465921044840/0001104659-21-044840-index.htm,https://www.sec.gov/Archives/edgar/data/1771706/000155837022003583/0001558370-22-003583-index.htm
102,false,,,,,,,,,,,,,,,,,
