,https://roic.ai/company/DYN,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,267000000,246000000,-1355000000,-235000000,-2277000000,87000000,-417000000,-268000000,-427000000,-1289000000,-538000000,-4811000,-14859000,-59437000,-149291000
21,Income Before Tax Ratio,0.0860,0.0693,-0.5490,-0.1012,-1.4366,29.0000,-139.0000,-0.1828,-0.5071,-0.9436,-1.0632,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),-151000000,-75000000,315000000,197000000,-632000000,- -,-58000000,- -,-474000000,-45000000,-610000000,- -,- -,- -,- -
23,Net Income,264000000,174000000,-1262000000,-234000000,-1645000000,87000000,-356000000,-67000000,50000000,-1240000000,76000000,-4811000,-14859000,-59437000,-149291000
24,Net Income ratio,0.0851,0.0490,-0.5113,-0.1007,-1.0379,29.0000,-118.6667,-0.0457,0.0594,-0.9078,0.1502,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,0.15,0.20,-1.25,-1.95,-13.48,0.87,-3.56,-0.53,0.40,-9.61,0.47,-0.47,-1.31,-4.13,-2.91
26,EPS Diluted,0.15,0.20,-1.25,-1.93,-13.48,0.87,-3.56,-0.64,0.40,-9.61,0.47,-0.47,-1.31,-4.13,-2.91
27,Weighted Average Shares Outstanding,1760000000,870000000,1009600000,120000000,122000000,100000000,100000000,126000000,125000000,129000000,162000000,10324875,10324875,14395955,51320940
28,Weighted Average Shares Outstanding Diluted,1760000000,870000000,1009600000,121000000,122000000,100000000,100000000,105000000,126000000,129000000,162000000,10324875,10324875,14395955,51320940
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1379895/000119312508041975/0001193125-08-041975-index.htm,https://www.sec.gov/Archives/edgar/data/1105055/000136231009002804/0001362310-09-002804-index.html,https://www.sec.gov/Archives/edgar/data/1105055/000114036110008372/0001140361-10-008372-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000114036111015138/0001140361-11-015138-index.htm,https://www.sec.gov/Archives/edgar/data/1379895/000104746912002275/0001047469-12-002275-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989513000007/0001379895-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989514000004/0001379895-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1379895/000137989515000005/0001379895-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379895/000137989516000022/0001379895-16-000022-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989517000004/0001379895-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989518000003/0001379895-18-000003-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1818794/000156459021010726/0001564590-21-010726-index.htm,https://www.sec.gov/Archives/edgar/data/1818794/000095017022003290/0000950170-22-003290-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,328000000,693000000,471000000,291000000,396000000,348000000,843000000,1870000000,505000000,1776000000,365000000,8124000,14632000,300852000,2311000
32,Short-Term Investments,104000000,87000000,78000000,106000000,69000000,13000000,25000000,78000000,100000000,130000000,32000000,- -,- -,44462000,- -
33,Cash and Short-Term Investments,432000000,780000000,549000000,397000000,465000000,361000000,868000000,1948000000,605000000,1906000000,397000000,8124000,14632000,345314000,2311000
34,Net Receivables,426000000,340000000,212000000,230000000,6000000,108000000,420000000,270000000,402000000,386000000,513000000,- -,- -,- -,- -
35,Inventory,199000000,184000000,141000000,121000000,57000000,101000000,181000000,208000000,597000000,445000000,445000000,- -,- -,- -,- -
36,Other Current Assets,606000000,1499000000,1136000000,1496000000,144000000,473000000,216000000,248000000,341000000,250000000,169000000,34000,127000,3773000,380081000
37,Total Current Assets,1663000000,2803000000,2038000000,2244000000,672000000,1043000000,1685000000,2674000000,1945000000,2987000000,1524000000,8158000,14759000,349087000,382392000
38,PP&E,10689000000,10869000000,9071000000,6273000000,3334000000,3022000000,3315000000,3255000000,8347000000,7121000000,8884000000,110000,1486000,1946000,40960000
39,Goodwill,438000000,433000000,- -,- -,- -,- -,- -,- -,797000000,799000000,772000000,- -,- -,- -,- -
40,Intangible Assets,497000000,437000000,380000000,141000000,- -,271000000,108000000,27000000,102000000,38000000,25000000,- -,- -,- -,- -
41,Intangible Assets,935000000,870000000,380000000,141000000,- -,271000000,108000000,27000000,899000000,837000000,797000000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,11000000,2000000,18000000,16000000,26000000,- -,- -,- -,175746000
43,Tax Assets,- -,- -,- -,12000000,5000000,18000000,100000000,20000000,- -,427000000,571000000,- -,- -,- -,- -
44,Other Non-Current Assets,-66000000,-329000000,-536000000,1343000000,116000000,181000000,72000000,5254000000,330000000,1665000000,-31000000,- -,191000,2301000,-173435000
45,Total Non-Current Assets,11558000000,11410000000,8915000000,7769000000,3455000000,3492000000,3606000000,8558000000,9594000000,10066000000,10247000000,110000,1677000,4247000,43271000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13221000000,14213000000,10953000000,10013000000,4127000000,4535000000,5291000000,11232000000,11539000000,13053000000,11771000000,8268000,16436000,353334000,425663000
48,Accounts Payable,292000000,303000000,181000000,134000000,15000000,112000000,329000000,216000000,292000000,332000000,367000000,518000,1256000,3440000,4031000
49,Short-Term Debt,51000000,64000000,807000000,148000000,4000000,29000000,13000000,31000000,83000000,201000000,105000000,- -,- -,- -,3893000
50,Tax Payable,- -,- -,- -,- -,- -,1000000,274000000,4000000,3000000,3000000,64000000,- -,- -,- -,- -
51,Deferred Revenue,45000000,6000000,6000000,12000000,5000000,95000000,100000000,20000000,29000000,5000000,7000000,- -,- -,- -,- -
52,Other Current Liabilities,611000000,1329000000,853000000,1271000000,135000000,111000000,279000000,414000000,408000000,378000000,570000000,193000,1102000,7527000,20799000
53,Total Current Liabilities,999000000,1702000000,1847000000,1565000000,159000000,347000000,721000000,681000000,812000000,916000000,1049000000,711000,2358000,10967000,28723000
54,Long-Term Debt,51000000,64000000,807000000,4426000000,584000000,1386000000,1979000000,7075000000,7206000000,8778000000,8328000000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,641000000,5000000,95000000,100000000,20000000,29000000,5000000,7000000,- -,- -,- -,- -
57,Other Non-Current Liabilities,388000000,500000000,359000000,336000000,145000000,257000000,178000000,217000000,183000000,170000000,146000000,12436000,42000,- -,28743000
58,Total Non-Current Liabilities,439000000,564000000,1166000000,5403000000,734000000,1738000000,2257000000,7312000000,7418000000,8953000000,8481000000,12436000,42000,- -,28743000
59,Other Liabilities,8132000000,8590000000,7293000000,11105000000,3590000000,- -,4617000000,14840000000,15224000000,19048000000,17302000000,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,8692000000,9728000000,7974000000,7267000000,3015000000,2032000000,3081000000,8209000000,8618000000,11011000000,9870000000,13147000,2400000,10967000,57466000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27429000,- -,- -
63,Common Stock,5000000,5000000,6000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000,1000,5000,6000
64,Retained Earnings,- -,- -,- -,-3196000000,-4841000000,-107000000,-463000000,-736000000,-686000000,-1927000000,-1851000000,-4887000,-19746000,-79183000,-228474000
65,Other Comprehensive Income/Loss,-25000000,-215000000,-150000000,-53000000,-53000000,11000000,58000000,20000000,19000000,21000000,32000000,-24000,-295000,-27000,-269000
66,Other Total Stockholders Equity,4526000000,4725000000,3046000000,5994000000,6005000000,2598000000,2614000000,3738000000,3587000000,3947000000,3719000000,31000,6647000,421572000,596934000
67,Total Stockholders Equity,4506000000,4515000000,2902000000,2746000000,1112000000,2503000000,2210000000,3023000000,2921000000,2042000000,1901000000,-4879000,14036000,342367000,368197000
68,Total Liabilities And Stockholders Equity,13198000000,14243000000,10876000000,10013000000,4127000000,4535000000,5291000000,11232000000,11539000000,13053000000,11771000000,8268000,16436000,353334000,425663000
69,Minority Interest,23000000,-30000000,77000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13221000000,14213000000,10953000000,10013000000,4127000000,4535000000,5291000000,11232000000,11539000000,13053000000,11771000000,8268000,16436000,353334000,425663000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1379895/000119312508041975/0001193125-08-041975-index.htm,https://www.sec.gov/Archives/edgar/data/1105055/000136231009002804/0001362310-09-002804-index.html,https://www.sec.gov/Archives/edgar/data/1105055/000114036110008372/0001140361-10-008372-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000114036111015138/0001140361-11-015138-index.htm,https://www.sec.gov/Archives/edgar/data/1379895/000104746912002275/0001047469-12-002275-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989513000007/0001379895-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989514000004/0001379895-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1379895/000137989515000005/0001379895-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379895/000137989516000022/0001379895-16-000022-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989517000004/0001379895-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989518000003/0001379895-18-000003-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1818794/000156459021010726/0001564590-21-010726-index.htm,https://www.sec.gov/Archives/edgar/data/1818794/000095017022003290/0000950170-22-003290-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,264000000,174000000,-1262000000,-234000000,-1645000000,87000000,-356000000,-67000000,50000000,-1240000000,76000000,-4811000,-14859000,-59437000,-149291000
74,Depreciation and Amortization,333000000,376000000,359000000,408000000,346000000,26000000,467000000,292000000,614000000,766000000,867000000,24000,271000,700000,- -
75,Deferred Income Tax,215000000,73000000,-436000000,195000000,632000000,- -,56000000,1000000,477000000,45000000,610000000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,15000000,19000000,28000000,31000000,44000000,1000,26000,6591000,- -
77,Change in Working Capital,- -,437000000,-910000000,488000000,-166000000,183000000,268000000,1029000000,-860000000,938000000,-1596000000,-467553000,4954000,325719000,15549000
78,Accounts Receivable,-114000000,68000000,66000000,16000000,49000000,- -,-75000000,161000000,-64000000,42000000,-47000000,- -,- -,- -,- -
79,Inventory,-13000000,3000000,7000000,-16000000,-3000000,1000000,24000000,-20000000,-119000000,154000000,110000000,- -,- -,- -,- -
80,Accounts Payable,-15000000,-71000000,-112000000,-18000000,105000000,-3000000,71000000,-131000000,90000000,84000000,46000000,635000,1689000,8567000,- -
81,Other Working Capital,664000000,1101000000,191000000,679000000,513000000,696000000,964000000,1993000000,1133000000,2071000000,475000000,7447000,12401000,338120000,353669000
82,Other Non-Cash Items,-471000000,-741000000,2384000000,-434000000,813000000,-340000000,-275000000,-1336000000,-215000000,136000000,584000000,468175000,-2226000,-320081000,14179000
83,Cash Provided by Operating Activities,341000000,319000000,135000000,423000000,-20000000,-44000000,175000000,-62000000,94000000,676000000,585000000,-4164000,-11834000,-46508000,-119563000
84,CAPEX,- -,- -,- -,-333000000,-242000000,- -,-98000000,- -,-275000000,-326000000,-224000000,-134000,-1647000,-1161000,- -
85,Acquisitions Net,-128000000,- -,- -,- -,- -,- -,234000000,- -,-6078000000,- -,-3319000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-508000000,- -,- -,- -,- -,-250000000,- -,- -,- -,- -,-44500000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-689000000,-102000000,251000000,307000000,-12000000,348000000,338000000,-5148000000,5409000000,-1821000000,784000000,- -,- -,- -,-137892000
89,Cash Used for Investing Activites,-817000000,-102000000,251000000,-534000000,-254000000,348000000,474000000,-5148000000,-1194000000,-2147000000,-2759000000,-134000,-1647000,-45661000,-137892000
90,Debt Repayment,- -,- -,- -,-63000000,-1624000000,-328000000,-1917000000,-14000000,-31000000,-589000000,-2589000000,- -,- -,-10000000,- -
91,Common Stock Issued,- -,- -,- -,-6000000,3000000,- -,- -,719000000,- -,- -,- -,7000,- -,246388000,- -
92,Common Stock Repurchased,- -,- -,- -,-291000000,-396000000,-348000000,-843000000,-1870000000,-250000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-22000000,-22000000,- -,- -,- -,- -
94,Other Financing Activites,433000000,148000000,-608000000,291000000,2396000000,348000000,2606000000,6375000000,39000000,3353000000,1312000000,12415000,19989000,144302000,157821000
95,Cash Used/Provided by Financing Activities,433000000,148000000,-608000000,-69000000,379000000,-328000000,-154000000,5210000000,-265000000,2742000000,-1299000000,12422000,19989000,380690000,157821000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-43000000,365000000,-222000000,-180000000,105000000,-107000000,495000000,- -,-1365000000,1271000000,-3473000000,12422000,6508000,288521000,-99634000
98,Cash at the End of Period,328000000,693000000,471000000,291000000,396000000,348000000,843000000,1870000000,505000000,1776000000,365000000,8124000,14632000,303153000,- -
99,Cash at the Beginning of Period,371000000,328000000,693000000,471000000,291000000,455000000,348000000,1870000000,1870000000,505000000,3838000000,- -,8124000,14632000,303153000
100,Free Cash Flow,341000000,319000000,135000000,90000000,-262000000,-44000000,77000000,-62000000,-181000000,350000000,361000000,-4298000,-13481000,-47669000,-119563000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1379895/000119312508041975/0001193125-08-041975-index.htm,https://www.sec.gov/Archives/edgar/data/1105055/000136231009002804/0001362310-09-002804-index.html,https://www.sec.gov/Archives/edgar/data/1105055/000114036110008372/0001140361-10-008372-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000114036111015138/0001140361-11-015138-index.htm,https://www.sec.gov/Archives/edgar/data/1379895/000104746912002275/0001047469-12-002275-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989513000007/0001379895-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989514000004/0001379895-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1379895/000137989515000005/0001379895-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379895/000137989516000022/0001379895-16-000022-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989517000004/0001379895-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1379895/000137989518000003/0001379895-18-000003-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1818794/000156459021010726/0001564590-21-010726-index.htm,https://www.sec.gov/Archives/edgar/data/1818794/000095017022003290/0000950170-22-003290-index.htm
102,false,,,,,,,,,,,,,,,
