,https://roic.ai/company/CRSR,2018,2019,2020,2021
78,Accounts Receivable,-7339000,-48033000,-91492000,444000
79,Inventory,-29753000,15711000,-80086000,-71316000
80,Accounts Payable,25835000,16203000,116522000,-63722000
81,Other Working Capital,97199000,129880000,185590000,- -
82,Other Non-Cash Items,3384000,-17004000,-31528000,9617000
83,Cash Provided by Operating Activities,422000,37103000,168953000,20192000
84,CAPEX,-8345000,-9023000,-8989000,-10974000
85,Acquisitions Net,-30210000,-126104000,-1291000,-4846000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,-10475000,- -,-4721000
89,Cash Used for Investing Activites,-38555000,-145427000,-10280000,-20541000
90,Debt Repayment,-3088000,-3969000,-190394000,-391688000
91,Common Stock Issued,- -,53500000,118575000,- -
92,Common Stock Repurchased,- -,-1531000,- -,- -
93,Dividends Paid,-85000000,- -,- -,- -
94,Other Financing Activites,135442000,84314000,-7312000,326284000
95,Cash Used/Provided by Financing Activities,47354000,132314000,-79131000,-65404000
96,Effect of Forex Changes on Cash,-331000,37000,2079000,-2435000
97,Net Change In Cash,8890000,24027000,81621000,-68188000
98,Cash at the End of Period,27920000,51947000,133568000,65380000
99,Cash at the Beginning of Period,19030000,27920000,51947000,133568000
100,Free Cash Flow,-7923000,28080000,159964000,9218000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743759/000156459021012507/0001564590-21-012507-index.htm,https://www.sec.gov/Archives/edgar/data/1743759/000156459022007822/0001564590-22-007822-index.htm
102,false,,,,
