,https://roic.ai/company/NCMI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,134200000,275200000,274900000,280300000,492000000,- -,566700000,560500000,717200000,684500000,643700000,627800000,- -
41,Intangible Assets,- -,- -,- -,134200000,275200000,274900000,280300000,492000000,- -,566700000,560500000,717200000,684500000,643700000,627800000,606300000
42,Investments,- -,- -,- -,7400000,6700000,18200000,- -,1100000,- -,45900000,26200000,19700000,13200000,8500000,2000000,1800000
43,Tax Assets,- -,55400000,- -,267700000,68100000,57000000,59300000,61900000,- -,210900000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5200000,258900000,- -,10200000,295500000,261500000,224500000,221200000,- -,25900000,305100000,192900000,179600000,190300000,29000000,29600000
45,Total Non-Current Assets,17800000,336500000,- -,443200000,665300000,636200000,589800000,801800000,- -,874500000,921400000,960500000,910900000,875700000,686300000,659000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,90000000,463600000,- -,628200000,854500000,820200000,810500000,1067300000,- -,1084300000,1142500000,1173100000,1141800000,1130000000,886200000,817400000
48,Accounts Payable,5400000,6600000,- -,11700000,11800000,14300000,15700000,20500000,- -,14900000,17400000,19300000,18000000,20700000,13700000,16300000
49,Short-Term Debt,- -,- -,- -,4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,3200000
50,Tax Payable,- -,13000000,- -,- -,21000000,3600000,19000000,28000000,- -,- -,1600000,300000,- -,- -,- -,- -
51,Deferred Revenue,3400000,3000000,- -,2800000,3000000,2900000,5700000,4700000,- -,10200000,10300000,7100000,7300000,7600000,5100000,12600000
52,Other Current Liabilities,65800000,50300000,- -,73400000,97100000,98400000,69700000,106300000,- -,100100000,92900000,83300000,85200000,91200000,28500000,37700000
53,Total Current Liabilities,74600000,59900000,- -,92200000,111900000,115600000,91100000,131500000,- -,125200000,120600000,109700000,110500000,119500000,50000000,69800000
54,Long-Term Debt,10000000,784000000,- -,799000000,775000000,794000000,879000000,876000000,- -,936000000,924300000,923300000,920900000,923900000,1049600000,1094300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,53300000,- -,57000000,59300000,61900000,- -,49600000,48300000,300000,- -,- -,- -,- -
57,Other Non-Current Liabilities,1900000,192100000,- -,176800000,378400000,281500000,220200000,352200000,- -,145200000,407500000,502300000,478400000,466100000,55200000,36800000
58,Total Non-Current Liabilities,11900000,976100000,- -,1029100000,1153400000,1132500000,1158500000,1290100000,- -,1130800000,1380100000,1425900000,1399300000,1390000000,1104800000,1131100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,86500000,1036000000,- -,1121300000,1265300000,1248100000,1249600000,1421600000,- -,1256000000,1500700000,1535600000,1509800000,1509500000,1154800000,1200900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,400000,- -,400000,500000,500000,500000,600000,- -,600000,600000,800000,800000,800000,800000,800000
64,Retained Earnings,- -,24800000,- -,-14500000,-20500000,-34900000,-70500000,-80000000,- -,-186100000,-248300000,-130200000,-153600000,-171100000,-266400000,-332000000
65,Other Comprehensive Income/Loss,-12700000,-4000000,- -,-12000000,-18000000,-17000000,-7000000,-3000000,- -,-64100000,-64100000,-70400000,-62500000,-70700000,- -,- -
66,Other Total Stockholders Equity,16200000,-593600000,- -,-490000000,-372800000,-376500000,-362100000,-271900000,- -,-157400000,-110900000,-89100000,-152700000,-138500000,-207500000,-195500000
67,Total Stockholders Equity,3500000,-572400000,- -,-516100000,-410800000,-427900000,-439100000,-354300000,- -,-407000000,-422700000,-288900000,-368000000,-379500000,-473100000,-526700000
68,Total Liabilities And Stockholders Equity,90000000,463600000,- -,605200000,854500000,820200000,810500000,1067300000,- -,849000000,1078000000,1246700000,1141800000,1130000000,681700000,674200000
69,Minority Interest,- -,- -,- -,23000000,- -,- -,- -,- -,- -,235300000,64500000,-73600000,- -,- -,204500000,143200000
70,Total Liabilities & Equity,90000000,463600000,- -,628200000,854500000,820200000,810500000,1067300000,- -,1084300000,1142500000,1173100000,1141800000,1130000000,886200000,817400000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1377630/000119312508049510/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1377630/000119312510050498/0001193125-10-050498-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000119312511046263/d10k.htm,https://www.sec.gov/Archives/edgar/data/1377630/000119312512076198/0001193125-12-076198-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000119312513069795/0001193125-13-069795-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000119312514062920/d630896d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1377630/000156459016013464/0001564590-16-013464-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000156459017002300/0001564590-17-002300-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000156459018006130/0001564590-18-006130-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000137763019000040/0001377630-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000137763020000041/0001377630-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000137763021000079/0001377630-21-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1377630/000137763022000032/0001377630-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-10500000,20600000,- -,26100000,29200000,31500000,13400000,41200000,- -,15400000,32900000,58300000,29800000,36100000,-65400000,-48700000
74,Depreciation and Amortization,4800000,6700000,- -,15600000,17800000,18800000,20400000,26600000,- -,32200000,35800000,37600000,39900000,40300000,37700000,35600000
75,Deferred Income Tax,- -,14300000,- -,13300000,10100000,12500000,33500000,14600000,- -,12100000,8700000,128900000,22900000,12100000,162400000,- -
76,Stock Based Compensation,- -,- -,- -,5500000,14000000,11800000,9000000,5900000,- -,14800000,18300000,11200000,7800000,5500000,2200000,8100000
77,Change in Working Capital,7900000,69600000,- -,-2900000,-15500000,-8900000,61200000,4400000,- -,19400000,15900000,2400000,17500000,14400000,15100000,-18800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,800000,-800000,-300000,6600000,- -,7800000,-4100000,1700000,4800000,3600000,-18500000,2300000
81,Other Working Capital,-2400000,67200000,- -,92800000,77300000,68400000,129600000,134000000,- -,84600000,100500000,102900000,120400000,134800000,149900000,4800000
82,Other Non-Cash Items,6100000,-73900000,- -,80700000,88100000,96100000,-55900000,60400000,- -,11400000,21900000,-99500000,32400000,35200000,-96700000,-71400000
83,Cash Provided by Operating Activities,8300000,37300000,- -,138300000,143700000,161800000,81600000,153100000,- -,105300000,133500000,138900000,150300000,143600000,55300000,-95200000
84,CAPEX,-6300000,-13800000,- -,-8400000,-10100000,-29400000,-17600000,-19000000,- -,-15300000,-15200000,-13700000,-14300000,-14000000,-8000000,-5700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -
86,Purchases of Investments,- -,-7000000,- -,-2000000,-10700000,-51200000,-60000000,-135000000,- -,-70600000,-54700000,-34400000,-36800000,-24500000,-8200000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2200000,27500000,58000000,98100000,- -,83100000,62800000,51200000,32200000,34500000,31800000,300000
88,Other Investing Activites,- -,-9400000,- -,- -,3000000,-15900000,-7000000,-8900000,- -,1500000,500000,3500000,2700000,5600000,- -,- -
89,Cash Used for Investing Activites,-6300000,-30200000,- -,-10400000,-15600000,-53100000,-19400000,-55900000,- -,1400000,-4300000,8500000,-16100000,1600000,15600000,-5400000
90,Debt Repayment,- -,- -,- -,-3000000,-152500000,-403800000,-539000000,-48000000,- -,-171000000,-384900000,-83000000,-463100000,-568300000,-85400000,-2300000
91,Common Stock Issued,- -,882000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-300000,-300000,-2300000,-1700000,- -,-1400000,-4900000,-4700000,-2400000,-1300000,-1000000,-2000000
93,Dividends Paid,- -,-12600000,- -,-106600000,-34700000,-45300000,-48700000,-143000000,- -,-135000000,-122200000,-146000000,-136500000,-125500000,-68800000,-16900000
94,Other Financing Activites,4700000,-864000000,- -,3600000,42700000,332200000,534300000,77800000,- -,219000000,374100000,93500000,479000000,564400000,208700000,42700000
95,Cash Used/Provided by Financing Activities,4700000,5400000,- -,-106000000,-144800000,-117200000,-55700000,-114900000,- -,-88400000,-137900000,-140200000,-123000000,-130700000,53500000,21500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4700000,12500000,- -,21900000,-16700000,-8500000,6500000,-17700000,- -,18300000,-8700000,7200000,11200000,14500000,124400000,-79100000
98,Cash at the End of Period,6700000,20800000,- -,91100000,74400000,65900000,72400000,54700000,- -,31700000,23000000,30200000,41400000,55900000,180300000,101200000
99,Cash at the Beginning of Period,- -,8300000,- -,69200000,91100000,74400000,65900000,72400000,- -,13400000,31700000,23000000,30200000,41400000,55900000,180300000
100,Free Cash Flow,2000000,23500000,- -,129900000,133600000,132400000,64000000,134100000,- -,90000000,118300000,125200000,136000000,129600000,47300000,-100900000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1377630/000119312508049510/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1377630/000119312510050498/0001193125-10-050498-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000119312511046263/d10k.htm,https://www.sec.gov/Archives/edgar/data/1377630/000119312512076198/0001193125-12-076198-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000119312513069795/0001193125-13-069795-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000119312514062920/d630896d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1377630/000156459016013464/0001564590-16-013464-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000156459017002300/0001564590-17-002300-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000156459018006130/0001564590-18-006130-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000137763019000040/0001377630-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000137763020000041/0001377630-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000137763021000079/0001377630-21-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1377630/000137763022000032/0001377630-22-000032-index.htm
102,false,,,,,,,,,,,,,,,,
