,https://roic.ai/company/JCTCF,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-740000,-730000,-950000,-1240000,-1570000,-1890000,117500,-2210000,-2450000,-2550000,-2770000,-2850000,-2850000,-3020000,-3200000,-3350000,- -,- -,- -,- -,-3655970,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,1020000,970232,1023874,1577281,2150579,2474192,586620,2790204,3054197,3150429,3362906,3456569,3448818,3623190,3798021,3948706,600805,600805,600801,600801,4274676,1439991,- -
67,Total Stockholders Equity,- -,- -,- -,- -,6000000,6150232,6693874,7417281,7790579,8384192,9514120,11990204,14364197,17030429,18612906,20046569,17488818,17473190,20598021,18198706,17524135,17524655,19724371,21373411,20430866,19348345,22873689
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,7230000,6940232,7673874,14407281,18510579,19924192,17534120,18220204,20754197,22180429,20432906,21656569,20578818,20443190,23658021,19688706,19658415,19869775,22181031,23627561,22214676,23277961,29138399
69,Minority Interest,- -,- -,- -,- -,-10000,-232,6126,-7281,-579,5808,5880,9796,-4197,-429,-2906,3431,1182,-3190,1979,1294,5,-5,9,-1,4,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,7220000,6940000,7680000,14400000,18510000,19930000,17540000,18230000,20750000,22180000,20430000,21660000,20580000,20440000,23660000,19690000,19658420,19869770,22181040,23627560,22214680,23277961,29138399
71,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/885307/000102589400000335/0001025894-00-000335-index.html,https://www.sec.gov/Archives/edgar/data/885307/000102589401500397/0001025894-01-500397-index.html,- -,https://www.sec.gov/Archives/edgar/data/885307/000121716003000068/jewettcameronform10k2003.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716004000132/jcfy2004form10k.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716005000159/jewettcameronfy200510k.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716006000161/jcfiscal200610k.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716007000253/0001217160-07-000253-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716008000240/0001217160-08-000240-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716009000331/0001217160-09-000331-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716010000206/0001217160-10-000206-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716011000205/0001217160-11-000205-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716012000352/0001217160-12-000352-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716013000312/0001217160-13-000312-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716014000207/0001217160-14-000207-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716015000338/0001217160-15-000338-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716016000703/0001217160-16-000703-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716017000198/0001217160-17-000198-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716018000158/0001217160-18-000158-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716019000103/0001217160-19-000103-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716020000094/0001217160-20-000094-index.htm,https://www.sec.gov/Archives/edgar/data/885307/000105291821000395/0001052918-21-000395-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,400000,300000,500000,100000,590000,610000,710000,840000,300000,570000,930000,2340000,2300000,2610000,1580000,1980000,900000,3060000,3130000,1860000,1773970,2125100,2726660,2920640,2100450,3889156,3454953
74,Depreciation and Amortization,100000,100000,200000,100000,170000,125323,220070,287102,333123,352933,377298,286434,315302,313561,316964,264303,261542,244216,256487,276340,281762,276268,275214,274065,191819,217712,244279
75,Deferred Income Tax,- -,-100000,- -,-200000,- -,95000,-85100,35400,76200,50000,-131400,34200,23200,-73170,-68910,63198,40720,56289,151966,10579,-26672,-2947,-20009,70509,-20649,35748,19993
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70391
77,Change in Working Capital,400000,- -,- -,- -,4180000,430000,-940000,710000,2990000,-1820000,3450000,2710000,2000000,2480000,-380000,1530000,-2370000,-40000,3110000,-2220000,-716520,-652610,1984440,1911100,-584800,-946156,-7532139
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1801945,-270198,-22972,804244,-251935,901849,-1245319,346043,-222851,-587437,1316540,-3438474,-812077
79,Inventory,400000,- -,-1500000,1000000,300000,44260,222548,-2296756,-1844183,-1409729,2295788,-976448,-2127682,2810259,1113473,689029,450189,-1269796,-1435602,-633138,802554,282558,-738528,-995652,3425392,-2820341,-5193219
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1484995,- -,107091,-1550585,694558,304451,131556,-273021,- -,1388754,36404
81,Other Working Capital,- -,- -,- -,- -,4180000,4610000,3670000,4380000,7370000,5550000,9000000,11710000,13710000,16190000,15810000,17340000,14970000,14930000,18040000,15820000,15103480,14450870,16435310,18346410,17761610,16815454,- -
82,Other Non-Cash Items,-100000,1400000,-700000,500000,-4340000,-788172,1702041,-3930579,-7014870,1489197,-541573,-4450364,-4183074,529726,2187165,-1167803,2804953,615035,-5570273,455469,1518139,1403238,-2576157,-3609974,4619081,-5412512,-680707
83,Cash Provided by Operating Activities,800000,1700000,- -,500000,600000,472151,1607011,-2058077,-3315547,642130,4084325,920270,455428,5860117,3635219,2669698,1637215,3935540,1078180,382388,2830679,3149049,2390148,1566340,6305901,-2216052,-4423230
84,CAPEX,-500000,-900000,-100000,-100000,-100000,-44897,-1696817,-328276,-57552,-558896,-73170,-82259,-946250,-67177,-249166,-245380,-118707,-324720,-481935,-110325,-293380,-926445,-474359,-110528,-32732,-449282,-1193494
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-100000,200000,100000,- -,-400,74745,- -,- -,64103,65509,694238,6787,16500,2850,6500,5450,-13050,410000,4800,- -,5600,3480,1000,324675,400,-30755
89,Cash Used for Investing Activites,-600000,-1000000,100000,- -,-100000,-45297,-1622072,-328276,-57552,-494793,-7661,611979,-939463,-50677,-246316,-238880,-113257,-324720,-71935,-105525,-293380,-920845,-470879,-109528,291943,-448882,-1193494
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2318811,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,500000,200000,100000,100000,- -,- -,- -,41102,164889,26473,- -,137364,52750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18444,- -,- -
92,Common Stock Repurchased,-500000,-300000,-200000,-200000,-300000,-442526,-168554,-175059,-66359,- -,- -,- -,- -,- -,- -,-549075,-3460145,-3075559,-7188,-4257768,-2448542,-2124579,-526941,-1271599,-3061441,-3867046,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,-100000,-800000,-500000,- -,- -,297960,2667679,3041449,-120199,-3757202,-2132747,541606,-308092,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,680707,3000000
95,Cash Used/Provided by Financing Activities,100000,-200000,-900000,-600000,-300000,-442526,129406,2533722,3139979,-93726,-3757202,-1995383,594356,-308092,-2318811,-549075,-3460145,-3075559,-7188,-4257768,-2448542,-2124579,-526941,-1271599,-3042997,-3186339,3000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,100000,-200000,-900000,-600000,100000,-15672,114345,147369,-233120,53611,319462,-463134,110321,5501348,1070092,1881743,-1936187,535261,999057,-3980905,88757,103625,1392328,185213,3554847,-5851273,-2616724
98,Cash at the End of Period,- -,- -,- -,- -,200000,208277,322622,469991,236871,290482,609944,146810,257131,5758479,6828571,8710314,6774127,7309388,8308445,4327540,4416297,4519922,5912250,6097463,9652310,3801037,1184313
99,Cash at the Beginning of Period,100000,500000,1100000,200000,100000,223949,208277,322622,469991,236871,290482,609944,146810,257131,5758479,6828571,8710314,6774127,7309388,8308445,4327540,4416297,4519922,5912250,6097463,9652310,3801037
100,Free Cash Flow,300000,800000,-100000,400000,500000,427254,-89806,-2386353,-3373099,83234,4011155,838011,-490822,5792940,3386053,2424318,1518508,3610820,596245,272063,2537299,2222604,1915789,1455812,6273169,-2665334,-5616724
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885307/000102589400000335/0001025894-00-000335-index.html,https://www.sec.gov/Archives/edgar/data/885307/000102589401500397/0001025894-01-500397-index.html,- -,https://www.sec.gov/Archives/edgar/data/885307/000121716003000068/jewettcameronform10k2003.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716004000132/jcfy2004form10k.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716005000159/jewettcameronfy200510k.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716006000161/jcfiscal200610k.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716007000253/0001217160-07-000253-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716008000240/0001217160-08-000240-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716009000331/0001217160-09-000331-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716010000206/0001217160-10-000206-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716011000205/0001217160-11-000205-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716012000352/0001217160-12-000352-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716013000312/0001217160-13-000312-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716014000207/0001217160-14-000207-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716015000338/0001217160-15-000338-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716016000703/0001217160-16-000703-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716017000198/0001217160-17-000198-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716018000158/0001217160-18-000158-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716019000103/0001217160-19-000103-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716020000094/0001217160-20-000094-index.htm,https://www.sec.gov/Archives/edgar/data/885307/000105291821000395/0001052918-21-000395-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
