,https://roic.ai/company/AGTX,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,-400,-660,-920,-1190,-1330,- -,- -
66,Other Total Stockholders Equity,120000,369977,436811,720128,1038809,43825427,43906115,552883,1113648
67,Total Stockholders Equity,80000,119977,10151,-2402,-65081,-53133,-125785,223462,-555735
68,Total Liabilities And Stockholders Equity,90000,139977,17521,1288,7089,2267,95,292750,51207
69,Minority Interest,-10000,23,-1,2,1,3,-5,- -,- -
70,Total Liabilities & Equity,80000,140000,17520,1290,7090,2270,90,292750,51207
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603345/000147793215007657/0001477932-15-007657-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793216014034/0001477932-16-014034-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793217006133/0001477932-17-006133-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793218005427/0001477932-18-005427-index.html,https://www.sec.gov/Archives/edgar/data/1603345/000147793220006884/0001477932-20-006884-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793220007176/0001477932-20-007176-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793221007074/0001477932-21-007074-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-50000,-210000,-175130,-295640,-381100,-42788950,-132650,-363911,-1340347
74,Depreciation and Amortization,- -,429,387,453,264,264,140,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,10000,40000,-104170,-8900,2020,-6470,-33270,264252,538215
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-49439
80,Accounts Payable,- -,5741,-5741,2798,- -,4574,4784,25584,- -
81,Other Working Capital,70000,110000,5830,-3070,-1050,-7520,-40790,223462,- -
82,Other Non-Cash Items,- -,-24327,91993,291511,302401,42743593,103748,210569,381150
83,Cash Provided by Operating Activities,-40000,-193898,-186920,-12576,-76415,-51563,-62032,110910,-420982
84,CAPEX,- -,-5142,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-3814,- -,- -,-9516,- -,- -,17,- -
89,Cash Used for Investing Activites,- -,-5142,- -,- -,-9516,- -,- -,17,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,252001,65300,- -,- -,- -,- -,611507,180000
92,Common Stock Repurchased,130000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,89000,50000,60000,- -,- -
95,Cash Used/Provided by Financing Activities,130000,252001,65300,- -,89000,50000,60000,611507,180000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,80000,52961,-121620,-12576,3069,-1563,-2032,- -,-240982
98,Cash at the End of Period,80000,134815,13195,619,3688,2125,93,242750,1768
99,Cash at the Beginning of Period,- -,81854,134815,13195,619,3688,2125,- -,242750
100,Free Cash Flow,-40000,-199040,-186920,-12576,-76415,-51563,-62032,110910,-420982
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603345/000147793215007657/0001477932-15-007657-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793216014034/0001477932-16-014034-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793217006133/0001477932-17-006133-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793218005427/0001477932-18-005427-index.html,https://www.sec.gov/Archives/edgar/data/1603345/000147793220006884/0001477932-20-006884-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793220007176/0001477932-20-007176-index.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793221007074/0001477932-21-007074-index.htm
102,false,,,,,,,,,
