,https://roic.ai/company/UMC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,27282783866,62756683470,76904067018,81075968258,118570127975,101542627292,108908312805,93838717966,47680675402,48613030379,66152960000,51271105000,49070128000,42592725000,50830678000,45701335000,53290433000,57578981000,81674572000,83661739000,95492477000,94048036000,132622131000
32,Short-Term Investments,457174718,- -,1286433752,2532382704,1817249715,3148684521,4895787260,9646943293,4805182412,2095689982,2096091000,8184616000,5834235000,4986874000,2767643000,740129000,664918000,714169000,716918000,528450000,722794000,15522413000,38282039000
33,Cash and Short-Term Investments,27739958584,62756683470,78190500770,83608350961,120387377691,104691311813,113804100065,103485661259,52485857814,50708720361,68249051000,59455721000,54904363000,47579599000,53598321000,46441464000,53955351000,58293150000,82391490000,84190189000,96215271000,109570449000,170904170000
34,Net Receivables,7124802431,21802249824,9103288024,12115791759,19151342731,14029286369,16044229765,15253513232,15849289156,8970139155,17490054000,19555557000,15320229000,17164115000,17601854000,23062323000,19989042000,24003074000,22774415000,24696517000,26699855000,29237586000,36369898000
35,Inventory,3113409367,10790562008,5717203620,8460104665,8355959896,10028874461,10740306770,10876504551,11868456457,8125352421,9141385000,13032623000,12709276000,13023710000,13993259000,15242232000,17641385000,16997815000,18257500000,18203119000,21714802000,22552486000,23011183000
36,Other Current Assets,2483359776,1697317738,7775560560,7002017654,6165127809,4397590976,4649281300,2707452572,911947816,1149168811,7482126000,1725396000,1123646000,3150098000,3602790000,12117130000,3230743000,11175555000,15854553000,14103607000,9203393000,2945390000,2988182000
37,Total Current Assets,40461530158,97046813040,100786552975,111186265039,154059808127,133147063619,145237917900,132323131614,81115551242,68953380749,102362616000,93769297000,84057514000,80917522000,88796224000,96863149000,94816521000,110469594000,139277958000,141193432000,153833321000,164305911000,233273433000
38,PP&E,44503867637,163415416737,169121178200,167474649759,149302660053,192328456218,159525990010,151804707628,137226108928,108513557310,89596360000,132762000000,149324300000,159851614000,162762760000,167753596000,188767376000,226162140000,206027771000,173507997000,158883519000,141109038000,145391422000
39,Goodwill,- -,- -,- -,- -,- -,- -,3533164400,3498126869,3498864759,7621049,7615000,304728000,50863000,50863000,50863000,7791000,15188000,15188000,15188000,15012000,7614000,7614000,7614000
40,Intangible Assets,450747560,467913868,- -,- -,- -,4504849292,- -,- -,- -,- -,- -,- -,299997000,1306629000,4688784000,4525147000,4488900000,4073115000,3772321000,2976792000,5190633000,4870299000,3637319000
41,Intangible Assets,450747560,467913868,- -,- -,- -,4504849292,3533164400,3498126869,3498864759,7621049,7615000,304728000,350860000,1357492000,4739647000,4532938000,4504088000,4088303000,3787509000,2991804000,5198247000,4877913000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55226697000,47179088000,38529796000,34944695000,30122774000,34857612000,38109963000,32296806000,30893788000,31089737000,37586428000,45682369000,72546689000
43,Tax Assets,1777375665,3816357295,4371224406,5245391501,4477385744,3796925386,4022723395,4183453958,4268275122,3561165184,3152277000,2889902000,2993953000,828256000,2724257000,2267138000,2323242000,5022395000,6116129000,6795796000,7563357000,6665976000,5395993000
44,Other Non-Current Assets,63834971687,33503374669,46415356334,43901149472,46072091833,43123928803,35628825745,75787296285,73465457475,35569506125,3292886000,3981981000,4575323000,3059339000,4768265000,4373100000,6833103000,6187477000,5029065000,7018463000,3196821000,3812894000,1815752000
45,Total Non-Current Assets,110566962550,201203062569,219907758939,216621190732,199852137630,243754159700,202710703550,235273584741,218458706284,147651849668,151275835000,187117699000,195774232000,200041396000,205117703000,213784384000,240537772000,273757121000,251854262000,221403797000,212428372000,202148190000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231153338000
47,Total Assets,151028492708,298249875609,320694311914,327807455771,353911945757,376901223318,347948621450,367596716355,299574257526,216605230417,253638451000,280886996000,279831746000,280958918000,293913927000,310647533000,335354293000,384226715000,391132220000,362597229000,366261693000,366454101000,464426771000
48,Accounts Payable,12604440540,9477615098,15652030226,13729774428,6589066721,5414896805,5515406430,4864023642,5687941671,4339366286,5505895000,19643759000,13527916000,6265920000,7414188000,6167339000,5954249000,6854849000,6535570000,6801745000,8877065000,7862137000,- -
49,Short-Term Debt,10001378866,13591389587,10473637872,8981739467,22923125704,11455688992,6152224455,9409398862,23249788329,199461253,12929269000,4124115000,9411877000,5772615000,4643573000,6250754000,5505049000,20550801000,25445540000,13103808000,12585163000,11607279000,2481997000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181173000,1563391000,514977000,1191790000,961169000,3633154000,3236577000,3995145000,4851694000,2059172000,1089608000,2288582000,4254042000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,932371000,988115000,2040989000,3441754000
52,Other Current Liabilities,2485961991,19038276546,8398532678,6505287200,14552700611,19785767949,25388206550,21824793792,16353148513,8307436368,16810712000,21676751000,19966161000,27995286000,36146209000,36780449000,38026791000,45384071000,56834086000,29178928000,50504950000,57970738000,- -
53,Total Current Liabilities,25091781397,42107281231,34524200776,29216801096,44064893036,36656353746,37055837435,36098216295,45290878513,12846263907,35245876000,45444625000,42905954000,40033821000,48203970000,49198542000,49486089000,72789721000,88815196000,50016852000,72955293000,79481143000,5923751000
54,Long-Term Debt,10886351488,35533937413,54695357526,62469358864,60232025011,61385259403,41800189270,30378381002,7495718733,8138196517,766550000,6799390000,21095386000,32154813000,28415205000,33401290000,47524407000,60728692000,53319145000,67083001000,53348958000,29798129000,44340476000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153745000,321856000,451906000,509708000,491089000,469491000,- -,482080000,456480000,641386000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,51991185,52592142,47544916,13599631,9751000,20807000,35908000,32304000,3325432000,3140251000,2386100000,2397796000,2327223000,1979509000,2221230000,1965108000,1763159000
57,Other Non-Current Liabilities,516398627,3046092459,2558007361,2117147905,2723803266,3320887367,3734617910,3710548289,3729454360,3765783785,3520018000,3486145000,3669535000,3563290000,4003478000,4116511000,10595342000,32873043000,36580167000,39120384000,34340217000,31613679000,31025137000
58,Total Non-Current Liabilities,11402750115,38580029872,57253364888,64586506770,62955828277,64706146770,45586798365,34141521432,11272718009,11917579933,4296319000,10306342000,24800829000,35904152000,36065971000,41109958000,61015557000,96490620000,92696026000,108182894000,90392485000,63833396000,77770158000
59,Other Liabilities,- -,- -,114506729776,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6031025000,5576864000,5068754000
61,Total Liabilities,36494531512,80687311103,91777565664,93803307865,107020721314,101362500516,82642635800,70239737727,56563596522,24763843840,39542195000,55750967000,67706783000,75937973000,84269941000,90308500000,110501646000,169280341000,181511222000,158199746000,163347778000,143314539000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,67742652369,114714493675,133356977245,155116875382,161133424971,178205825954,198496688110,191293813657,132152002611,130001795365,129877713000,129879123000,130844556000,129521093000,126920817000,127252078000,127581329000,126243187000,126243187000,124243187000,117243187000,124224015000,124832476000
64,Retained Earnings,15991396019,56385160827,34152382540,20051687708,26748796627,42468905054,26641651210,34790614034,31652784709,-7043261983,10648813000,28195559000,24499124000,25905225000,38303776000,49172414000,55346480000,52599501000,53058188000,66281727000,63960947000,53429442000,91476725000
65,Other Comprehensive Income/Loss,-25424708179,-62621120568,-95327251489,-621878284,821629944,-1746941304,-322963585,26728799192,21548419774,3808947831,30596891000,22436983000,12156099000,4992205000,4179349000,10107736000,9140453000,5209235000,657957000,-14063281000,-11202861000,9341536000,- -
66,Other Total Stockholders Equity,46149596296,99930455182,141140160184,43395410323,43134943899,47868207564,34137490995,38306695222,51126287260,58085107602,42474904000,38825618000,40237308000,42031283000,35920056000,29957007000,30757320000,28732722000,28704858000,27469082000,32502577000,36031213000,64670502000
67,Total Stockholders Equity,104458936506,208408989116,213322268481,217942095129,231838795441,266795997268,258952866730,291119922105,236479494354,184852588816,213598321000,219337283000,207737087000,202449806000,205323998000,216489235000,222825582000,212784645000,208664190000,203930715000,202503850000,223026206000,280979703000
68,Total Liabilities And Stockholders Equity,140953468018,289096300219,305099834144,311745402995,338859516754,368158497784,341595502530,361359659832,293043090875,209616432656,253140516000,275088250000,275443870000,278387779000,289593939000,306797735000,333327228000,382064986000,390175412000,362130461000,365851628000,366340745000,- -
69,Minority Interest,10075024690,9153575390,15594477770,16062052776,15052429003,8742725535,6353118920,6237056523,6531166651,6988797761,497935000,5798746000,4387876000,2571139000,4319988000,3849798000,2027065000,2161729000,956808000,466768000,410065000,113356000,464426771000
70,Total Liabilities & Equity,151028492708,298249875609,320694311914,327807455771,353911945757,376901223318,347948621450,367596716355,299574257526,216605230417,253638451000,280886996000,279831746000,280958918000,293913927000,310647533000,335354293000,384226715000,391132220000,362597229000,366261693000,366454101000,464426771000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10686043624,50780359973,-3157308147,7088869831,13996469669,31893849946,7044887780,32614263888,16962670447,-22341401374,3874028000,23898905000,10609695000,7819448000,12608881000,11108940000,13254071000,8621147000,9676698000,7677735000,8155097000,22860744000,55780255000
74,Depreciation and Amortization,6716317354,25580030964,36267522705,38358401438,40774604158,47237114083,54686472485,46063416991,39079780606,38383282898,34229795000,30495633000,32370799000,35737575000,38432312000,40657354000,45472109000,51983601000,53098846000,52048719000,49389535000,48908076000,47074574000
75,Deferred Income Tax,- -,- -,-3394091398,125356526,852427909,281267819,- -,-2802307,1646267047,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,646968000,796253000,195905000,28337000,24382000,838000,- -,- -,695669000,366186000,959219000,1745745000
77,Change in Working Capital,522543617,-8023807273,9038043260,-8019548127,-1565161411,5517020415,-3563484370,-4388185325,-745864927,2949346040,-2418859000,426183000,-1888627000,1137619000,79199000,-8293774000,3830281000,-9625149000,-1995943000,-2991217000,4791518000,2853847000,-4090182000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1881414000,886762000,-6013039000,3429797000,-3690072000,1587562000,-1382668000,- -,- -,- -
79,Inventory,1778253521,-6428608732,3493497007,-3647200137,-1328794669,-2837337463,17231740,-1261885548,-1354803089,700643786,1292621000,-3334002000,-1250546000,-1008090000,-112589000,-1893932000,-1917966000,517760000,-1565132000,-46497000,-1370249000,-1014039000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3103407000,- -,- -,1341039000,845365000,-711229000,-498776000,933164000,-185907000,257044000,-739066000,-944909000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,576770015,1354198768,-729843652,-318638695,655730000,787543000,543950000,1479590000,15480000,1863000,25112000,2100000,505773000,-2706189000,-552862000,1898001000,- -
82,Other Non-Cash Items,-6750804543,88377476,1002202942,-6953461130,-4517589482,-10874135922,-12062645505,-27215618643,-8861191861,26303295779,-3257518000,-1907689000,-234320000,-4355428000,-7676268000,1291350000,-2514420000,-4529102000,-8305206000,-6495930000,-7798188000,-9836694000,-10158501000
83,Cash Provided by Operating Activities,11174100052,68424961140,39756369361,30599618539,49540750844,74055116341,46105230390,47071074603,48081661312,45294523344,32427446000,53560000000,41653800000,40535119000,43472461000,44788252000,60042879000,46450497000,52474395000,50934976000,54904148000,65745192000,90351891000
84,CAPEX,-19388415488,-83482675107,-43050845360,-36063410048,-24777557086,-81238761105,-22220131420,-33234844642,-28300673528,-11525555790,-17617854000,-61290347000,-53613318000,-52948728000,-35793106000,-44390363000,-61592462000,-93114890000,-45520214000,-20428750000,-18962076000,-28354333000,-49959557000
85,Acquisitions Net,- -,- -,- -,-66156524,- -,-6825134475,- -,- -,- -,- -,- -,1589321000,-64318000,-522776000,2539631000,-123407000,-2893265000,-840000000,-204280000,-849813000,-13492994000,-815061000,714358000
86,Purchases of Investments,-20347002582,-10041489223,-5674371446,-5480034988,-9832632336,-6140221661,-5737741915,-11377205200,-7264837247,-4450364239,-4931520000,-2095078000,-5069912000,-1910417000,-2076061000,-2611740000,-5032150000,-650318000,-1167857000,-593563000,-354249000,-19540755000,-38068251000
87,Sales/Maturities of Investments,9286459438,3580529501,4880035668,12415130900,11745807356,8338066278,16778387390,28076383211,12883147993,4759673719,4029773000,4029918000,3913259000,6059328000,3561020000,4142120000,2581871000,4591401000,4280577000,62861000,288259000,6337669000,- -
88,Other Investing Activites,9238271429,18860561330,588146938,-1335791354,-1209100263,2601996742,3546877445,27632055,882078193,-217659793,-698224000,-77198000,-572974000,-588638000,-2629402000,-775780000,-2888101000,8373684000,5912244000,5470987000,-1604050000,251948000,-24809507000
89,Cash Used for Investing Activites,-21210687203,-71083073499,-43257034201,-30530262014,-24073482329,-83264054221,-7632608500,-16508034577,-21800284589,-11433906104,-19217825000,-57843384000,-55120060000,-49148413000,-31516164000,-42605814000,-68735794000,-80085872000,-35415592000,-15499603000,-31681517000,-40111501000,-62163400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-308240000,-7533450000,-5183115000,-17626042000,-22724059000,-23740855000,-20238791000,-40579676000,-58028200000,-44447950000,-37433083000,-45026605000,- -
91,Common Stock Issued,1007809719,38514764977,7106294730,194782616,8075620316,789635472,1646255985,1725406746,2092592515,- -,- -,537728000,15071000,4207000,967000,61653000,681614000,- -,- -,2204000000,- -,1677900000,- -
92,Common Stock Repurchased,- -,-1479072723,-4599651012,-2884034891,-2259049410,-5768082213,-16421124750,-27282124567,- -,-2280631822,- -,-4843588000,- -,- -,-2245445000,- -,-2203442000,-2395793000,- -,-6148273000,-2972243000,-1678272000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1763293700,-7154747033,-12446746635,-9380066194,- -,-6224963000,-14015701000,-6316420000,-5061303000,-6253150000,-6939016000,-6906726000,-6103195000,-8557684000,-6911058000,-9765694000,- -
94,Other Financing Activites,8648571849,1714172041,16108848474,5859061089,11734737746,-1864627512,-13130520110,-12337158417,-62343255125,-22751788304,5252028000,7890399000,29106734000,27526004000,26105551000,21674487000,43748872000,88677684000,73292987000,23465021000,37449338000,29191325000,12490107000
95,Cash Used/Provided by Financing Activities,9656381568,38749864295,18615492191,3169808815,17551308652,-6843074252,-29668682575,-45048623270,-72697409245,-34412486320,4943788000,-10173874000,9922989000,3587749000,-3924289000,-8257865000,15049237000,38795489000,9161592000,-33484886000,-9867046000,-25601346000,12490107000
96,Effect of Forex Changes on Cash,- -,- -,- -,749634811,776298871,-1365324835,-1540333400,-285737602,238502942,1441232382,-550708000,-424597000,1342294000,-1451858000,310180000,1457172000,721688000,-871566000,-2124804000,36680000,-1524847000,-1476786000,- -
97,Net Change In Cash,3699535,35954235390,14433988092,3988800150,43794842082,-17417368663,7263605915,-14771320845,-46177529580,889330453,17586311000,-14881855000,-2200977000,-6477403000,8342188000,-4618255000,7078010000,4288548000,24095591000,1987167000,11830738000,-1444441000,12490107000
98,Cash at the End of Period,27282783866,62756683470,76904067018,81075968258,118570127975,101542627292,108908312805,93838717966,47680675402,48613030379,66152960000,51271105000,49070128000,42592725000,50830678000,46212423000,53290433000,57578981000,81674572000,83661739000,95492477000,94048036000,- -
99,Cash at the Beginning of Period,27279084331,26802448080,62470078926,77087168108,74775285894,118959995955,101644706890,108610038811,93858204982,47723699927,48566649000,66152960000,51271105000,49070128000,42488490000,50830678000,46212423000,53290433000,57578981000,81674572000,83661739000,95492477000,94048036000
100,Free Cash Flow,-8214315436,-15057713967,-3294475999,-5463791509,24763193757,-7183644764,23885098970,13836229961,19780987784,33768967553,14809592000,-7730347000,-11959518000,-12413609000,7679355000,397889000,-1549583000,-46664393000,6954181000,30506226000,35942072000,37390859000,40392334000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,0.0304,0.0307,0.0308,0.0305,0.0313,0.03428,0.033,0.03439,0.03351,0.0316,0.03044,0.0308,0.0337,0.03269,0.03342,0.03558,0.03607
