,https://roic.ai/company/CHNR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
53,Total Current Liabilities,- -,383386080,63752920,74510100,85239390,48604045,17640588,9652241,6009937,3816227,3568487,50215900,47059325,95754000,131837000,328461000,585046000,1097879000,2568144000,37827000,59277000,76296000,45253000,29541000,35852000,30915000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,322848,206954,32294,- -,- -,20867000,174219000,318742000,523742000,569630000,- -,- -,- -,- -,- -,- -,- -,347000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294250000,290043000,267004000,- -,- -,- -,- -,- -,- -,- -,9964000
57,Other Non-Current Liabilities,- -,829840,- -,1655780,- -,- -,- -,- -,8278,- -,- -,- -,- -,- -,7743000,559300000,393444000,372872000,200902000,19595000,4639000,5302000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,829840,- -,1655780,- -,- -,- -,- -,331126,206954,32294,- -,- -,20867000,181962000,1172292000,1207229000,1209506000,200902000,19595000,4639000,5302000,- -,- -,- -,10311000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,322848,206954,32294,- -,- -,20757000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,803000,1092000
61,Total Liabilities,- -,384215920,63752920,76165880,85239390,48604045,17640588,9652241,6341063,4023181,3600781,50215900,47059325,116621000,313799000,1500753000,1792275000,2307385000,2769046000,57422000,63916000,81598000,45253000,29541000,35852000,41226000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,8278,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,8278,8267,8278,8278,8278,8278,8074,- -,- -,312081000,- -,312081000,312081000,312081000,312081000,312081000,312081000,312081000,312081000,312081000,312081000,390297000
64,Retained Earnings,- -,47300880,57957200,4139450,-3021499,-27381629,-57574046,-117772244,-149495111,-171970288,-157877293,76158183,101021951,176942000,227227000,-246510000,-322714000,-443001000,-781671000,-980085000,-1021028000,-1049647000,-1016463000,-1022639000,-1028284000,-1002705000
65,Other Comprehensive Income/Loss,- -,-3319360,-4967760,-5795230,-5761544,-2447150,-2450312,28178584,28178823,28178823,290646,7095725,-5632217,-35561000,-35662000,-9778000,550841000,583854000,631585000,690618000,696671000,750761000,688877000,688760000,688649000,713610000
66,Other Total Stockholders Equity,- -,277166560,321248480,296384620,300543972,314624174,199617621,169013559,181630889,186630892,186707761,- -,- -,228934000,- -,396434000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,321148080,374237920,294728840,291769208,284803663,139601541,79436456,60322879,42847704,29129188,130491163,535659601,682396000,353421000,452227000,540208000,452934000,161995000,22614000,-12276000,13195000,-15505000,-21798000,-27554000,101202000
68,Total Liabilities And Stockholders Equity,- -,705364000,437990840,370894720,377008597,333407707,157242130,89088697,66663942,46870885,32729969,180707063,582718927,799017000,667220000,1952980000,2332483000,2760319000,2931041000,80036000,51640000,94793000,29748000,7743000,8298000,142428000
69,Minority Interest,- -,- -,- -,- -,- -,-0,- -,-0,0,- -,- -,- -,- -,13919000,25856000,85848000,85685000,93941000,93523000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,705364000,437990840,370894720,377008597,333407707,157242130,89088697,66663942,46870885,32729969,180707063,582718927,812936000,693076000,2038828000,2418168000,2854260000,3024564000,80036000,51640000,94793000,29748000,7743000,8298000,142428000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/793628/0000950144-97-008211-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793628/000111650208000877/cnri20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344009000378/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344010000374/china_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344011000340/chnr20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344012000399/chnr20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335013000092/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335014000459/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335015000381/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335016001949/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335017000769/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335018000439/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335019000453/chnr_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,35683120,18215120,-52984960,-6994978,-23173522,-30148767,-60206476,-31730149,-22442065,-13870273,72524548,24764221,76027000,54140000,574395000,-65975000,-89703000,-335404000,-43148000,-35507000,-23036000,-29996000,-6176000,-5645000,25579000
74,Depreciation and Amortization,- -,1659680,1655920,1655780,1092707,3844341,7508219,844364,190397,248345,258352,3150190,3564879,18290000,16033000,12894000,15388000,19056000,27502000,9115000,1830000,2655000,1748000,67000,1253000,1041000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4682000,2835000,-27130000,-55134000,2098000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26016000,26016000,26016000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,58088800,-52989440,36427160,-41034443,13558536,16009807,6887363,9089409,-695365,-4117485,15501430,-7122453,24588000,-101597000,64811000,-17068000,7000000,28272000,-45342000,20439000,-6454000,-2084000,-1418000,999000,1531000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12729000,-10141000,58480000,- -,-18070000,-24424000,17889000,- -,- -,- -,- -,-3956000,3956000
79,Inventory,- -,20746000,-6623680,49673400,2458590,5100986,-16556,-41390,- -,- -,- -,-1442538,599017,88065000,-102300000,-3602000,-333000,-6616000,-687000,-20564000,15062000,-1452000,-746000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77920000,56940000,30109000,8982000,21996000,2005000,-13683000,-434000,-65000,-1426000,-115000,3796000,-3796000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15670000,- -,-7033000,-7546000,3368000,-370000,-302000,-11000,- -,- -,- -
82,Other Non-Cash Items,- -,34853280,29806560,50501290,5231747,5597030,18186942,48153591,26986769,19238421,6967431,11969163,41587820,-75943000,-107814000,-651987000,2688000,9798000,185209000,17063000,1853000,-1434000,15586000,- -,60000,-32712000
83,Cash Provided by Operating Activities,- -,130284880,-3311840,35599270,-41704967,-173615,11556200,-4321158,4536426,-3650664,-10761976,103145330,62794468,68978000,-113222000,30811000,-62132000,-80979000,-149555000,-60214000,-11385000,-28269000,-14746000,-7527000,-3333000,-4561000
84,CAPEX,- -,-2489520,-2483880,-827890,-6158892,-2910125,-662246,-33112,-322848,-24834,-24221,-5029388,-4324607,-4671000,-32445000,-251170000,-349634000,-362630000,-300593000,-54239000,-6247000,-4946000,-5029000,-5000,-5000,-9000
85,Acquisitions Net,- -,- -,- -,- -,- -,24802,- -,- -,- -,- -,- -,33997100,- -,-498531000,-133157000,-202154000,-125657000,- -,- -,- -,- -,- -,7897000,9377000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42683582,-5000000,-30795000,- -,- -,- -,- -,- -,-124009000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,884612,- -,- -,- -,- -,88809,- -,- -,30319000,- -,34754000,- -,- -,19892000,- -,124640000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-69706560,- -,-28976150,-44991365,-0,-51497936,11986660,364239,471855,- -,-16967360,-9591570,- -,- -,43649000,-34360000,-2754000,-16000000,14486000,595000,10000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-72196080,-2483880,-29804040,-51150256,-2000711,-52160182,11953548,41391,447020,64588,12000353,-56599760,-477883000,-196397000,-374921000,-494839000,-365384000,-296701000,-39753000,-5021000,-4936000,2868000,9372000,-5000,-9000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9242000,-20756000,- -,-114370000,-228100000,-489350000,-55000000,- -,- -,- -,- -,-1000000,-1150000
91,Common Stock Issued,- -,87133200,- -,- -,- -,- -,- -,- -,6630798,4942056,- -,- -,353923821,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-827890,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17996630,- -,- -,- -,- -,- -,- -,- -,-96811000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-70536400,- -,- -,1779787,1587341,11299579,-11291301,-2971856,-165563,-185691,-7798,- -,75029000,396398000,274499000,681360000,748853000,951547000,76027000,-1415000,5581000,12630000,-13813000,976000,4433000
95,Cash Used/Provided by Financing Activities,- -,16596800,- -,-827890,1779787,1587341,11299579,-11291301,3658942,4776493,-185691,-18004428,353923821,65787000,375642000,274499000,566990000,520753000,462197000,-75784000,-1415000,5581000,12630000,-13813000,-24000,3283000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,107615,- -,- -,137250,-1380158,-13046873,-19683000,-329000,9714000,-117000,-33000,-3411000,540000,2398000,1545000,-1102000,-117000,13000,293000
97,Net Change In Cash,- -,16596800,- -,-827890,-91075436,-586985,-29304403,-3551296,8228481,1564570,-10745829,95761098,347071656,-362801000,65694000,-59897000,9902000,74357000,12530000,-175211000,-15423000,-26079000,-350000,-12085000,-3349000,-994000
98,Cash at the End of Period,- -,- -,- -,- -,38128836,37492659,7632390,4081093,10463582,12036430,1299834,136947493,484217228,120888000,186582000,126685000,136587000,210944000,223474000,48263000,32840000,19228000,18878000,6793000,3444000,2450000
99,Cash at the Beginning of Period,- -,57258960,130817680,124183500,129204273,38079644,36936793,7632390,2235101,10471860,12045662,41186395,137145572,483689000,120888000,186582000,126685000,136587000,210944000,223474000,48263000,45307000,19228000,18878000,6793000,3444000
100,Free Cash Flow,- -,127795360,-5795720,34771380,-47863859,-3083740,10893953,-4354270,4213578,-3675499,-10786196,98115943,58469860,64307000,-145667000,-220359000,-411766000,-443609000,-450148000,-114453000,-17632000,-33215000,-19775000,-7532000,-3338000,-4570000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/793628/0000950144-97-008211-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793628/000111650208000877/cnri20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344009000378/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344010000374/china_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344011000340/chnr20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344012000399/chnr20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335013000092/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335014000459/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335015000381/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335016001949/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335017000769/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335018000439/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335019000453/chnr_20f.htm,- -,- -
102,Forex Rate,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1208,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
