,https://roic.ai/company/MACK,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,-7171000,-11124000,-16130000,-18969000,-21549000,-24140000,-29311000,-36215000,-32027000,-34514000,- -,- -,- -
66,Other Total Stockholders Equity,20557000,62665000,76361000,453610000,549304000,576103000,646456000,738592000,609748000,615276000,556587000,558309000,558945000
67,Total Stockholders Equity,-190762000,-219964000,-290490000,-6517000,-43465000,-102140000,-183928000,-251120000,96284000,58819000,17312000,16006000,14187000
68,Total Liabilities And Stockholders Equity,82156000,56550000,84725000,148974000,192417000,158656000,234880000,81483000,117326000,88543000,20082000,16776000,14749000
69,Minority Interest,- -,1027000,574000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,82156000,57577000,85299000,148974000,192417000,158656000,234880000,81483000,117326000,88543000,20082000,16776000,14749000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1274792/000104746912003683/0001047469-12-003683-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000104746913003118/0001047469-13-003118-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000119312514082294/0001193125-14-082294-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000119312515069143/0001193125-15-069143-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000119312516480919/0001193125-16-480919-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459017003026/0001564590-17-003026-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459018005246/0001564590-18-005246-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459019006385/0001564590-19-006385-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459020010531/0001564590-20-010531-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459021012087/0001564590-21-012087-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459022009320/0001564590-22-009320-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-49073000,-50104000,-79223000,-91277000,-130925000,-83291000,-147957000,-151740000,472028000,-40506000,-17332000,-3028000,-2449000
74,Depreciation and Amortization,2755000,4379000,5326000,3664000,2589000,3223000,4288000,6249000,5221000,4074000,2228000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-42399000,-7695000,-1500000,- -,- -
76,Stock Based Compensation,3304000,4551000,6952000,6889000,10733000,13197000,15351000,14865000,12788000,3050000,2371000,1722000,- -
77,Change in Working Capital,60941000,42546000,19475000,50343000,19129000,-87956000,76694000,-128435000,106056000,-13962000,-45385000,-148000,-1653000
78,Accounts Receivable,-1770000,-1975000,-3681000,-1841000,3410000,2587000,-3170000,-10986000,175000,100000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-3717000,-9688000,- -,- -,- -,- -,- -
80,Accounts Payable,-220000,-830000,3216000,- -,- -,- -,- -,- -,- -,- -,-12081000,-1944000,120000
81,Other Working Capital,-22583000,19963000,39438000,89781000,108910000,20954000,97648000,-30787000,75269000,61307000,15922000,15774000,14121000
82,Other Non-Cash Items,1128000,-27741000,-5347000,-49435000,3299000,120019000,-53732000,88820000,-699629000,-10549000,28250000,-3171000,4102000
83,Cash Provided by Operating Activities,19055000,-26369000,-52817000,-79816000,-95175000,-34808000,-105356000,-170241000,-145935000,-65588000,-31368000,-4625000,- -
84,CAPEX,-5038000,-5025000,-3754000,-3189000,-9857000,-6035000,-12789000,-3155000,-915000,-118000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-115665000,-112923000,-111832000,- -,-84262000,- -,-103055000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,43880000,95100000,111858000,87899000,84160000,- -,52500000,51500000,- -,- -
88,Other Investing Activites,187000,125000,7000,-247000,-59000,-2000,- -,- -,577806000,28075000,18325000,2139000,- -
89,Cash Used for Investing Activites,-4851000,-4900000,-3747000,-75221000,-27739000,-6011000,75110000,-3257000,576891000,-22598000,69825000,2139000,- -
90,Debt Repayment,-974000,-864000,-443000,-48000,- -,- -,-40000000,- -,-229662000,- -,-15000000,- -,- -
91,Common Stock Issued,183000,294000,1745000,105452000,26716000,- -,38560000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-4235000,-3000,-7000,- -,- -,-140000000,- -,-26700000,- -,- -
94,Other Financing Activites,- -,4165000,75003000,41128000,123573000,11428000,181604000,9416000,10623000,14632000,-840000,-56000,- -
95,Cash Used/Provided by Financing Activities,-791000,3595000,76305000,142297000,150286000,11421000,180164000,9416000,-359039000,14632000,-42540000,-56000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,13413000,-27674000,19741000,-12740000,27372000,-29398000,149918000,-164082000,71917000,-73554000,-4083000,-2542000,- -
98,Cash at the End of Period,58387000,30713000,50454000,37714000,65086000,35688000,185606000,21524000,93441000,20663000,16580000,14038000,- -
99,Cash at the Beginning of Period,44974000,58387000,30713000,50454000,37714000,65086000,35688000,185606000,21524000,94217000,20663000,16580000,14038000
100,Free Cash Flow,14017000,-31394000,-56571000,-83005000,-105032000,-40843000,-118145000,-173396000,-146850000,-65706000,-31368000,-4625000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1274792/000104746912003683/0001047469-12-003683-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000104746913003118/0001047469-13-003118-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000119312514082294/0001193125-14-082294-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000119312515069143/0001193125-15-069143-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000119312516480919/0001193125-16-480919-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459017003026/0001564590-17-003026-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459018005246/0001564590-18-005246-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459019006385/0001564590-19-006385-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459020010531/0001564590-20-010531-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459021012087/0001564590-21-012087-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459022009320/0001564590-22-009320-index.htm
102,false,,,,,,,,,,,,,
