,https://roic.ai/company/MGTI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-214851,-127161,-28469,2391,-8775530,-46150001,-18724000,-12596000,-15765000,-11663000,-15712000,-21923000,-29493000,-29125000,-11333000,-7862000,-4190000,-9512000,-5629000,-2722000,-20236000,-21608000,-23923000,-7501000,-2871000,-2693000
18,Operating Income ratio,-Infinity,-33.3493,-360.3671,0.2599,-17.0680,-205.0327,-228.3415,-45.6377,-29.3030,-Infinity,-Infinity,-246.3258,-83.3136,-127.7412,-20.9870,-14.6679,-10.2445,-24.0202,-5.3305,-26.1731,-64.6518,-6.8947,-11.7847,-16.6689,-1.9937,-3.0498
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-334564,-19125710,-7112000,-97000,-70000,67000,300000,4048000,- -,-15572000,-1919000,109000,-778000,-1424000,-136000,-1195000,-4606000,-28825000,74000,-1280000,-1016000,1154000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11596000,-15412000,-17875000,- -,- -,-13252000,-7753000,-4968000,-10936000,-5765000,-3917000,-24842000,-50433000,-23849000,-8781000,-3887000,-1539000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-200.8427,- -,- -,-24.5407,-14.4646,-12.1467,-27.6162,-5.4593,-37.6635,-79.3674,-16.0922,-11.7483,-19.5133,-2.6993,-1.7429
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-858000,- -,- -,- -,- -,-336000,-198000,14000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-376092,-2486773,-28469,4162,-8714079,-45844887,-17715000,-10096000,-15030000,-9260000,-14935000,-13800000,-20001000,-26377000,-9651000,-4549000,-3865000,-10202000,-5330000,-4781000,-24523000,-50433000,-23849000,-8781000,-3887000,-1539000
24,Net Income ratio,-Infinity,-652.1828,-360.3671,0.4524,-16.9484,-203.6772,-216.0366,-36.5797,-27.9368,-Infinity,-Infinity,-155.0562,-56.5000,-115.6886,-17.8722,-8.4869,-9.4499,-25.7626,-5.0473,-45.9712,-78.3482,-16.0922,-11.7483,-19.5133,-2.6993,-1.7429
25,EPS,-14.50,-68.50,-0.50,0.02,-12.00,-82.00,-30.67,-15.00,-16.33,-12.00,-13.00,-11.67,-20.00,-27.00,-9.67,-4.00,-3.75,-1.84,-0.56,-0.35,-1.08,-1.34,-0.36,-0.04,-0.01,-0.00
26,EPS Diluted,-14.50,-68.50,-0.50,0.02,-12.00,-82.00,-30.67,-15.00,-16.33,-12.00,-13.00,-11.67,-20.00,-27.00,-9.67,-4.00,-3.75,-1.84,-0.56,-0.35,-1.08,-1.34,-0.36,-0.04,-0.01,-0.00
27,Weighted Average Shares Outstanding,26173,36274,42389,180051,727668,556901,578839,666093,925612,1026720,1142788,1167011,995648,976517,988805,1179886,2245465,5590620,9493057,13894355,22651914,37744600,73056223,257122569,473752463,473752463
28,Weighted Average Shares Outstanding Diluted,26173,36274,42389,180051,727668,556901,578839,666093,925612,1026720,1142788,1167011,995648,976517,988805,1179886,2245465,5590620,9493057,13894355,22651914,37744600,73056223,257122569,473752463,473752463
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001601/000149315220005218/0001493152-20-005218-index.htm,https://www.sec.gov/Archives/edgar/data/1001601/000149315221008913/0001493152-21-008913-index.htm,https://www.sec.gov/Archives/edgar/data/1001601/000149315222008514/0001493152-22-008514-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,1778000,845000,5276000,7249000,19757000,92373000,38294000,22165000,8434000,3704000,3443000,4642000,1455000,359000,345000,9519000,96000,216000,236,1230
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4978000,2219000,1884000,- -,- -,- -,- -,- -,- -,444000,44000,48000,- -,- -,- -,50
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,1778000,845000,5276000,7249000,24735000,94592000,40178000,22165000,8434000,3704000,3443000,4642000,1455000,803000,389000,9567000,96000,216000,236,1280
34,Net Receivables,- -,- -,- -,- -,- -,- -,284000,760000,741000,405000,456000,23000,183000,600000,1227000,84000,9000,43000,5000,1575000,- -,- -,- -,- -,- -,180
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,222000,539000,498000,4213000,115000,704000,851000,620000,1069000,327000,340000,132000,172000,61000,163000,894000,223000,143000,14,75
37,Total Current Assets,- -,- -,- -,- -,- -,- -,2284000,2144000,6515000,11867000,25306000,95319000,41212000,23385000,10730000,4204000,3792000,4817000,1632000,2439000,552000,10461000,319000,359000,250,1535
38,PP&E,- -,- -,- -,- -,- -,- -,1416000,3033000,2066000,252000,683000,903000,706000,290000,247000,28000,25000,45000,43000,35000,602000,3116000,- -,3536000,1872,1284
39,Goodwill,- -,- -,- -,- -,- -,- -,100119000,11200000,11200000,11200000,11200000,11200000,12157000,- -,- -,- -,- -,6444000,6444000,1496000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,13482000,- -,- -,- -,- -,- -,299000,- -,- -,- -,- -,2423000,2417000,730000,468000,- -,- -,18000,4,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,113601000,11200000,11200000,11200000,11200000,11200000,12456000,- -,- -,- -,- -,8867000,8861000,2226000,468000,- -,- -,18000,4,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,776000,224000,- -,- -,- -,- -,- -,1380000,287000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,530000,1272000,1260000,1167000,1280000,1598000,301000,378000,499000,201000,3743000,144000,140000,39000,-1000,- -,204000,- -,- -,53
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,115547000,15505000,14526000,12619000,13163000,13701000,14239000,892000,746000,229000,3768000,9056000,9044000,3680000,1356000,3116000,204000,3554000,1876,1337
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,117831000,17649000,21041000,24486000,38469000,109020000,55451000,24277000,11476000,4433000,7560000,13873000,10676000,6119000,1908000,13577000,523000,3913000,2126,2872
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2468000,2342000,1193000,2323000,1986000,2931000,2877000,916000,411000,213000,242000,228000,245000,63000,66000,287000,537000,795000,1261,211
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000,5,35
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,77000,114000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,6477000,4198000,1160000,423000,1392000,1469000,1386000,1214000,1139000,573000,263000,757000,1134000,16000,125000,1417000,1861000,161000,511,1480
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,8945000,6540000,2353000,2746000,3378000,4420000,4340000,2244000,1550000,786000,505000,985000,1379000,79000,191000,1704000,2398000,1008000,1777,1726
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,- -,- -,- -,- -,17
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,74000,306000,223000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,74000,306000,223000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,- -,- -,- -,- -,17
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,33,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,74000,306000,223000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000,56000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,9019000,6846000,2576000,2752000,3378000,4420000,4340000,2244000,1550000,786000,505000,985000,1379000,79000,2491000,1704000,2398000,1067000,1810,1743
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,21000,24000,33000,36000,39000,39000,39000,39000,39000,71000,3000,9000,11000,18000,29000,59000,111000,414000,507,607
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-72174000,-163468000,-178498000,-190714000,-205649000,-219449000,-239450000,-265827000,-275478000,-280027000,-288447000,-293833000,-299163000,-303944000,-328467000,-378900000,-405285000,- -,- -,-419928
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-480000,-1480000,-3227000,-1542000,-768000,-1091000,-1195000,-1354000,-959000,-335000,-88000,-119000,-162000,-3000,-116000,-579000,-17000,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,180440000,175413000,200157000,213954000,219759000,231597000,275700000,277771000,278363000,278645000,294857000,304724000,308169000,309964000,327993000,391315000,403316000,2813000,490493,420450
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,107807000,10489000,18465000,21734000,13381000,11096000,35094000,10629000,1965000,-1646000,6326000,10781000,8855000,6035000,-561000,11895000,-1875000,3227000,491000,1129
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,116826000,17335000,21041000,24486000,16759000,15516000,39434000,12873000,3515000,-860000,6831000,11766000,10234000,6114000,1930000,13599000,523000,4294000,492810,2872
69,Minority Interest,- -,- -,- -,- -,- -,- -,1005000,314000,- -,- -,21710000,93504000,16017000,11404000,7961000,5293000,729000,2107000,442000,5000,-22000,-22000,- -,-381000,-490684,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,117831000,17649000,21041000,24486000,38469000,109020000,55451000,24277000,11476000,4433000,7560000,13873000,10676000,6119000,1908000,13577000,523000,3913000,2126,2872
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001601/000149315220005218/0001493152-20-005218-index.htm,https://www.sec.gov/Archives/edgar/data/1001601/000149315221008913/0001493152-21-008913-index.htm,https://www.sec.gov/Archives/edgar/data/1001601/000149315222008514/0001493152-22-008514-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-376092,-2486773,-28469,4162,-8714079,-45844887,-17715000,-10096000,-15030000,-9260000,-14935000,-13800000,-20001000,-26377000,-9651000,-4549000,-3865000,-10202000,-5330000,-4781000,-24523000,-50433000,-23849000,-8781000,-3887000,-1539000
74,Depreciation and Amortization,- -,- -,- -,- -,1513605,20252040,4735000,631000,779000,237000,278000,367000,568000,470000,138000,122000,342000,399000,704000,241000,209000,1111000,3291000,170000,1102000,675000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3932000,1999000,784000,247000,753000,2965000,449000,291000,11662000,16574000,6402000,2301000,222000,- -
77,Change in Working Capital,-4638,- -,- -,- -,- -,- -,-6661000,2265000,8558000,4959000,12807000,68971000,-54027000,-15731000,-11961000,-5762000,-131000,545000,-3579000,2107000,-1999000,8396000,-10836000,1430000,647473,1336
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000,69000,44000,-40000,75000,-34000,38000,5000,- -,- -,- -,- -,- -,-180000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89000,36000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309000,-1667000,-170000,-296000,29000,-14000,17000,-136000,3000,622000,210000,352000,466000,-375000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-6661000,-4396000,4162000,9121000,21928000,90899000,36872000,21141000,9180000,3418000,3287000,3832000,253000,2360000,361000,8757000,-2079000,-649000,-1527,-191
82,Other Non-Cash Items,379241,2238373,27140,5295,3814264,19644996,13912000,-5949000,-9422000,-6012000,-12140000,-69964000,49489000,24734000,9983000,2307000,-478000,1235000,3204000,-494000,9123000,21975000,16229000,920000,1265527,-297336
83,Cash Provided by Operating Activities,-1489,-248400,-1329,9457,-3386210,-5947851,-5729000,-13149000,-15115000,-10076000,-13990000,-14426000,-20039000,-14905000,-10707000,-7635000,-3379000,-5058000,-4552000,-2636000,-5528000,-2377000,-8763000,-3960000,-650000,-1160000
84,CAPEX,- -,- -,- -,- -,-463715,-163590,-464000,-1293000,-434000,-131000,-722000,-593000,-515000,-22000,-96000,-13000,-217000,-318000,-41000,-38000,-693000,-4067000,-6994000,-3849000,49000,-212000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-2109137,- -,- -,- -,- -,- -,-4533000,-2000000,-6625000,- -,- -,- -,- -,- -,- -,- -,-679000,- -,- -,- -,- -,-50000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1660000,2000,- -,- -,- -,- -,4395000,3588000,946000,- -,- -,- -,- -,- -,- -,2165000,26000,- -,- -,- -,- -
88,Other Investing Activites,- -,-2250000,- -,- -,-85417,75193,- -,- -,- -,-3257000,4000000,-960000,-220000,-2578000,-3191000,1981000,-233000,2234000,-60000,-114000,-6000,976000,487000,535000,310000,426000
89,Cash Used for Investing Activites,- -,-2250000,- -,- -,-2658269,1571603,-462000,-1293000,-434000,-3388000,-1255000,842000,-3772000,-1654000,-3287000,1968000,-250000,2222000,-101000,-152000,787000,-3065000,-6507000,-3314000,359000,164000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-372000,-100000,- -,- -,- -,- -,-1649000,-210000,- -,- -
91,Common Stock Issued,- -,- -,- -,496692,16479467,- -,6773000,13285000,23310000,15635000,31204000,85618000,- -,- -,- -,639000,1316000,100000,1466000,2499000,- -,9150000,1389000,5578000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18912000,- -,- -,- -,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2500000,- -,- -,-4690586,-1614667,1006000,513000,-3148000,-333000,-3618000,-7000,-1251000,- -,1000000,- -,2412000,4035000,- -,- -,4727000,5466000,6107000,2026000,311000,1990000
95,Cash Used/Provided by Financing Activities,- -,2500000,- -,496692,11788881,-1614667,7779000,13798000,20162000,15302000,27586000,85611000,-20163000,- -,1000000,639000,3351000,4035000,1466000,2499000,4727000,14616000,5847000,7394000,311000,1990000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-19416,-37558,-13000,-289000,-182000,135000,167000,589000,-10105000,430000,-737000,298000,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2500000,-1329,496692,5724986,-6028473,1575000,-933000,4431000,1973000,12508000,72616000,-54079000,-16129000,-13731000,-4730000,-261000,1199000,-3187000,-289000,-14000,9174000,-9423000,120000,20000,994000
98,Cash at the End of Period,- -,1600,271,506149,6231135,202662,1778000,845000,5276000,7249000,19757000,92373000,38294000,22165000,8434000,3704000,3443000,4642000,1455000,359000,345000,9519000,96000,216000,236000,1230000
99,Cash at the Beginning of Period,1489,- -,1600,- -,506149,6231135,203000,1778000,845000,5276000,7249000,19757000,92373000,38294000,22165000,8434000,3704000,3443000,4642000,648000,359000,345000,9519000,96000,216000,236000
100,Free Cash Flow,-1489,-248400,-1329,9457,-3849925,-6111441,-6193000,-14442000,-15549000,-10207000,-14712000,-15019000,-20554000,-14927000,-10803000,-7648000,-3596000,-5376000,-4593000,-2674000,-6221000,-6444000,-15757000,-7809000,-601000,-1372000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001601/000149315220005218/0001493152-20-005218-index.htm,https://www.sec.gov/Archives/edgar/data/1001601/000149315221008913/0001493152-21-008913-index.htm,https://www.sec.gov/Archives/edgar/data/1001601/000149315222008514/0001493152-22-008514-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
