,https://roic.ai/company/STMH,2016,2017,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,5741000
61,Total Liabilities,53810,165780,6090000,6925000,18185000,22954000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,4730,6430,10000,52000,68000,230000
64,Retained Earnings,-87700,-2834350,-11533000,-37082000,- -,-115750000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,2080021,7012605,20648051,61202000,24924000,148114000
67,Total Stockholders Equity,1997051,4184685,9125051,24172000,24992000,32594000
68,Total Liabilities And Stockholders Equity,2050861,4350465,15215051,31097000,43177000,55548000
69,Minority Interest,-1,-5,-838051,- -,-1068000,1640000
70,Total Liabilities & Equity,2050860,4350460,14377000,31097000,42109000,57188000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1697834/000149315218000546/0001493152-18-000546-index.htm,https://www.sec.gov/Archives/edgar/data/1697834/000149315219000622/0001493152-19-000622-index.htm,https://www.sec.gov/Archives/edgar/data/1697834/000149315220004359/0001493152-20-004359-index.htm,https://www.sec.gov/Archives/edgar/data/1697834/000149315220024305/0001493152-20-024305-index.htm,https://www.sec.gov/Archives/edgar/data/1697834/000149315222001152/0001493152-22-001152-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-87700,-2746650,-8698000,-25292000,-11493000,-64364000
74,Depreciation and Amortization,- -,129217,1363460,1228000,2366000,5390000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,1475545,4839504,10182000,2073000,2082000
77,Change in Working Capital,-1941,-1489310,-3543080,476000,-6600000,-4326000
78,Accounts Receivable,- -,- -,- -,-257000,316000,294000
79,Inventory,- -,- -,- -,- -,-531000,-1290000
80,Accounts Payable,19059,82318,409630,- -,- -,-1906000
81,Other Working Capital,1921390,432080,-3111000,-2635000,-9235000,- -
82,Other Non-Cash Items,1,1683304,4178513,6857000,8626000,52045000
83,Cash Provided by Operating Activities,-89640,-947894,-1859603,-6549000,-5028000,-9173000
84,CAPEX,- -,-3213873,-4985299,-1375000,-471000,-577000
85,Acquisitions Net,- -,- -,-2360185,7703000,512000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-26912,-338864,-6328,- -,-576000,775000
89,Cash Used for Investing Activites,-26912,-3500547,-7345484,6328000,-535000,198000
90,Debt Repayment,- -,-468860,-427760,-272000,-711000,-3230000
91,Common Stock Issued,922250,4528742,6570873,35000,450000,15746000
92,Common Stock Repurchased,- -,-29500,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-7500,11250,3431936,3036000,4614000,-100000
95,Cash Used/Provided by Financing Activities,914750,4041632,9575049,2799000,4353000,12416000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,914750,-406809,369962,2578000,-1210000,3441000
98,Cash at the End of Period,798198,391389,761351,3339000,2129000,5570000
99,Cash at the Beginning of Period,- -,798198,391389,761000,3339000,2129000
100,Free Cash Flow,-89640,-4161767,-6844902,-7924000,-5499000,-9750000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1697834/000149315218000546/0001493152-18-000546-index.htm,https://www.sec.gov/Archives/edgar/data/1697834/000149315219000622/0001493152-19-000622-index.htm,https://www.sec.gov/Archives/edgar/data/1697834/000149315220004359/0001493152-20-004359-index.htm,https://www.sec.gov/Archives/edgar/data/1697834/000149315220024305/0001493152-20-024305-index.htm,https://www.sec.gov/Archives/edgar/data/1697834/000149315222001152/0001493152-22-001152-index.htm
102,false,,,,,,
