,https://roic.ai/company/CP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2914700000,2780500000,3234700000,2809900000,2840283325,2809100000,2919282605,3114505654,3390153695,3454600000,3543400000,1796800000,1764100000,1920600000,1916000000,910000000,851000000,982000000,1060000000,943000000,999000000,1040000000,1065000000,944000000,1182000000
11,COGS and Expenses,2914700000,2780500000,3234700000,2809900000,5370536951,4143759274,4070725168,4560089205,5020344401,5643233430,5775881887,3874200000,3403100000,3865400000,4210000000,4398000000,4260000000,4282000000,4092000000,3692000000,3704000000,4453000000,4540000000,4293000000,4753000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,6000000,10800000,3000000,3000000,5000000,4000000,1000000,1000000,2000000,2000000,6000000,4000000,6000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270400000,279100000,268100000,255000000,279000000,283000000,286000000,395000000,472000000,475000000,455000000,454000000,462000000,446000000
14,Depreciation and Amortization,249900000,304900000,315800000,333000000,377400000,367700000,401800000,431800000,464600000,464100000,472000000,491300000,488900000,489600000,490000000,539000000,565000000,552000000,595000000,640000000,661000000,696000000,706000000,779000000,811000000
15,EBITDA,890400000,904000000,414700000,988100000,924400000,973600000,842300000,988100000,1278100000,1370300000,1273500000,1240500000,1481900000,1628500000,1442000000,1454000000,1973000000,2876000000,2949000000,3264000000,3634000000,3739000000,4306000000,4443000000,4877000000
16,EBITDA ratio,0.2396,0.2571,0.1186,0.2703,0.2499,0.2656,0.2301,0.2532,0.2910,0.2990,0.2705,0.2515,0.3444,0.3269,0.2785,0.2553,0.3217,0.4344,0.4394,0.5237,0.5545,0.5111,0.5526,0.5763,0.6100
17,Operating Income,802100000,736000000,261700000,845200000,816500000,856500000,483200000,716600000,991100000,2257200000,1164200000,1057400000,900100000,1116100000,967000000,949000000,1420000000,2339000000,2688000000,2578000000,2793000000,2831000000,3124000000,3311000000,3206000000
18,Operating Income ratio,0.2158,0.2093,0.0748,0.2312,0.2208,0.2337,0.1320,0.1836,0.2257,0.4925,0.2473,0.2144,0.2092,0.2240,0.1868,0.1666,0.2315,0.3533,0.4005,0.4137,0.4262,0.3870,0.4009,0.4294,0.4010
19,Total Other Income Expenses (Gains),-164000000,-136900000,-162800000,-190100000,-269500000,-250600000,-42700000,-160300000,-177600000,-1351000000,-362700000,-578600000,-186200000,-245300000,-270000000,-313000000,-295000000,-301000000,-729000000,-426000000,-295000000,-243000000,22000000,-109000000,414000000
20,Income Before Tax,638100000,599100000,98900000,655100000,547000000,605900000,440500000,556300000,813500000,906200000,801500000,478800000,713900000,870800000,697000000,636000000,1125000000,2038000000,1959000000,2152000000,2498000000,2588000000,3146000000,3202000000,3620000000
21,Income Before Tax Ratio,0.1717,0.1704,0.0283,0.1792,0.1479,0.1653,0.1203,0.1425,0.1852,0.1977,0.1703,0.0971,0.1659,0.1748,0.1346,0.1117,0.1834,0.3079,0.2919,0.3453,0.3811,0.3537,0.4037,0.4153,0.4528
22,Income Tax expense (Gain),171600000,236700000,32000000,122800000,136600000,109900000,41800000,143300000,270600000,109900000,-144700000,-140200000,101500000,220100000,127000000,152000000,250000000,562000000,607000000,553000000,93000000,637000000,706000000,758000000,768000000
23,Net Income,468900000,362400000,66900000,532300000,410400000,496000000,398700000,413000000,542900000,796300000,946200000,619000000,612400000,650700000,570000000,484000000,875000000,1476000000,1352000000,1599000000,2405000000,1951000000,2440000000,2444000000,2852000000
24,Net Income ratio,0.1262,0.1031,0.0191,0.1456,0.1110,0.1353,0.1089,0.1058,0.1236,0.1737,0.2010,0.1255,0.1423,0.1306,0.1101,0.0850,0.1427,0.2230,0.2014,0.2566,0.3670,0.2667,0.3131,0.3170,0.3567
25,EPS,0.59,0.46,0.04,0.31,0.52,0.63,0.50,0.52,0.69,1.01,1.23,0.81,0.67,0.77,0.67,0.56,1.00,1.71,1.69,2.14,3.30,2.73,3.52,3.61,4.21
26,EPS Diluted,0.59,0.46,0.04,0.31,0.52,0.63,0.50,0.52,0.68,1.00,1.22,0.80,0.67,0.77,0.67,0.56,0.99,1.69,1.68,2.13,3.29,2.72,3.50,3.59,4.21
27,Weighted Average Shares Outstanding,794275000,792000000,1736000000,1736000000,792277992,792332268,794223108,794230769,791399417,786857708,770521173,767990074,831500000,844000000,847500000,859000000,874500000,864000000,798500000,748000000,729500000,714500000,694000000,677500000,666900000
28,Weighted Average Shares Outstanding Diluted,794275000,792000000,1736000000,1736000000,792277992,795000000,794223108,794230769,800737463,793127490,778125000,777638191,834000000,846000000,853000000,866000000,882500000,872000000,805000000,752500000,731500000,716500000,696500000,680000000,669800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16875/000162828016011920/0001628280-16-011920-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687517000015/0000016875-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687518000029/0000016875-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687519000017/0000016875-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687520000007/0000016875-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000119312521145610/0001193125-21-145610-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687522000010/0000016875-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,558457574,285983295,135127998,352483749,121800000,124300000,378100000,117600000,679100000,360600000,47000000,333000000,476000000,226000000,650000000,164000000,338000000,61000000,133000000,147000000,69000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,558457574,285983295,135127998,352483749,121800000,124300000,378100000,117600000,679100000,360600000,47000000,333000000,476000000,226000000,650000000,164000000,338000000,61000000,133000000,147000000,69000000
34,Net Receivables,402000000,458700000,503800000,495300000,464100000,443000000,395700000,434700000,524000000,615700000,542800000,713100000,569100000,459000000,518000000,546000000,580000000,702000000,645000000,591000000,687000000,815000000,805000000,825000000,819000000
35,Inventory,173000000,194600000,176100000,131000000,102300000,108900000,106400000,134100000,140100000,158600000,179500000,215800000,132700000,114100000,138000000,136000000,165000000,177000000,188000000,184000000,152000000,173000000,182000000,208000000,235000000
36,Other Current Assets,645700000,99900000,113500000,203100000,90642427,71416705,86972002,70716252,108000000,106300000,67300000,76500000,46500000,270100000,153000000,314000000,808000000,172000000,54000000,70000000,97000000,68000000,90000000,141000000,229000000
37,Total Current Assets,1220700000,753200000,793400000,829400000,1215500000,909300000,724200000,992000000,893900000,1004900000,1167700000,1123000000,1427400000,1203800000,856000000,1329000000,2029000000,1277000000,1537000000,1009000000,1274000000,1117000000,1210000000,1321000000,1352000000
38,PP&E,6176300000,7035400000,7471600000,7389300000,7935500000,8149300000,8220000000,8393500000,8790900000,9122900000,9293100000,12576900000,11967800000,11996800000,12752000000,13013000000,13327000000,14438000000,16273000000,16689000000,17016000000,18418000000,19514000000,20738000000,21487000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154900000,- -,- -,146000000,150000000,164000000,198000000,191000000,178000000,194000000,194000000,329000000,328000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47400000,- -,- -,15000000,12000000,12000000,13000000,11000000,9000000,8000000,12000000,37000000,43000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237200000,202300000,189800000,192000000,161000000,162000000,176000000,211000000,202000000,187000000,202000000,206000000,366000000,371000000
42,Investments,- -,- -,- -,- -,- -,92200000,105600000,96000000,67300000,64900000,1668600000,151100000,156700000,144900000,167000000,83000000,92000000,112000000,152000000,194000000,182000000,203000000,341000000,199000000,42518000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,445300000,575500000,499600000,589500000,702000000,510000000,907300000,1018300000,1139000000,1223200000,1235600000,1381600000,1777200000,140600000,143000000,141000000,1450000000,637000000,1464000000,1127000000,1476000000,1314000000,1096000000,1016000000,2449000000
45,Total Non-Current Assets,6621600000,7610900000,7971200000,7978800000,8637500000,8751500000,9232900000,9507800000,9997200000,10411000000,12197300000,14346800000,14104000000,12472100000,13254000000,13398000000,15031000000,15363000000,18100000000,18212000000,18861000000,20137000000,21157000000,22319000000,66825000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7842300000,8364100000,8764600000,8808200000,9853000000,9660800000,9957100000,10499800000,10891100000,11415900000,13365000000,15469800000,15531400000,13675900000,14110000000,14727000000,17060000000,16640000000,19637000000,19221000000,20135000000,21254000000,22367000000,23640000000,68177000000
48,Accounts Payable,1227600000,1389200000,1134800000,1023500000,1028800000,984200000,907000000,975300000,1032800000,1002600000,980800000,1034900000,917300000,226000000,387000000,321000000,358000000,407000000,339000000,352000000,402000000,474000000,453000000,401000000,432000000
49,Short-Term Debt,25000000,20200000,15600000,3100000,38200000,400800000,13900000,275700000,30000000,191300000,260700000,194100000,392100000,281700000,77000000,54000000,189000000,134000000,30000000,25000000,746000000,506000000,668000000,1249000000,1609000000
50,Tax Payable,- -,- -,- -,- -,- -,92600000,13500000,16200000,30200000,16000000,68800000,42200000,31900000,30900000,39000000,36000000,46000000,95000000,218000000,146000000,72000000,104000000,139000000,115000000,164000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142000000,38000000,34000000
52,Other Current Liabilities,245600000,102800000,111000000,158100000,123600000,112800000,33700000,37200000,53900000,45100000,103300000,80300000,73600000,781800000,746000000,855000000,831000000,870000000,1078000000,970000000,836000000,975000000,1029000000,965000000,1084000000
53,Total Current Liabilities,1498200000,1512200000,1261400000,1184700000,1190600000,1497800000,954600000,1288200000,1116700000,1239000000,1344800000,1309300000,1383000000,1289500000,1210000000,1230000000,1378000000,1411000000,1447000000,1347000000,1984000000,1955000000,2292000000,2653000000,3159000000
54,Long-Term Debt,1375900000,1489200000,1646000000,2276300000,3709000000,2922100000,3348900000,3075300000,2970800000,2813500000,4146200000,4685800000,4102700000,4033200000,4695000000,4636000000,4687000000,5659000000,8927000000,8659000000,7413000000,8190000000,8443000000,8833000000,18801000000
55,Deferred Revenue,498100000,474700000,458300000,64900000,- -,- -,- -,- -,- -,- -,- -,- -,78600000,77100000,72000000,67000000,62000000,58000000,55000000,48000000,42000000,37000000,26000000,57000000,61000000
56,Deferred Tax Liabilities,759700000,881100000,904000000,937700000,1095500000,1200100000,1307200000,1386100000,1674400000,1781200000,1701500000,2616100000,1845000000,1944800000,1819000000,2092000000,2903000000,2773000000,3391000000,3571000000,3321000000,3518000000,3501000000,3666000000,11352000000
57,Other Non-Current Liabilities,870000000,772500000,1356900000,781800000,720400000,654400000,671200000,767800000,743500000,725700000,714600000,865200000,1416100000,1506600000,1665000000,1605000000,933000000,1129000000,1021000000,970000000,938000000,918000000,1036000000,1112000000,975000000
58,Total Non-Current Liabilities,3503700000,3617500000,4365200000,4060700000,5524900000,4776600000,5327300000,5229200000,5388700000,5320400000,6562300000,8167100000,7442400000,7561700000,8251000000,8400000000,8585000000,9619000000,13394000000,13248000000,11714000000,12663000000,13006000000,13668000000,31189000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280000000,- -,175000000,- -,- -,- -,354000000,311000000,283000000
61,Total Liabilities,5001900000,5129700000,5626600000,5245400000,6715500000,6274400000,6281900000,6517400000,6505400000,6559400000,7907100000,9476400000,8825400000,8851200000,9461000000,9630000000,9963000000,11030000000,14841000000,14595000000,13698000000,14618000000,15298000000,16321000000,34348000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1804500000,1812500000,1812500000,1812500000,1114100000,1116100000,1118100000,1120600000,1141500000,1175700000,1188600000,1220800000,- -,- -,- -,2127000000,2240000000,2185000000,2058000000,2002000000,2032000000,2002000000,1993000000,1983000000,25475000000
64,Retained Earnings,680500000,1042900000,959800000,1366600000,1606800000,1856900000,2174800000,2484400000,2935100000,3582100000,4187300000,4654100000,4876600000,5073000000,5445000000,5697000000,6326000000,5608000000,4172000000,4371000000,6103000000,6635000000,7550000000,8095000000,10391000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-4076565492,122300000,87700000,77000000,67500000,66400000,39600000,78300000,49500000,-2085800000,-2736000000,-2768000000,-1503000000,-2219000000,-1477000000,-1799000000,-1741000000,-2043000000,-2522000000,-2814000000,-2103000000
66,Other Total Stockholders Equity,355400000,379000000,365700000,383700000,4493165492,291100000,294600000,300400000,241600000,32300000,42400000,40200000,- -,- -,- -,41000000,34000000,36000000,43000000,52000000,43000000,42000000,48000000,55000000,- -
67,Total Stockholders Equity,2840400000,3234400000,3138000000,3562800000,3137500000,3386400000,3675200000,3982400000,4385700000,4856500000,5457900000,5993400000,6706000000,4824700000,4649000000,5097000000,7097000000,5610000000,4796000000,4626000000,6437000000,6636000000,7069000000,7319000000,33829000000
68,Total Liabilities And Stockholders Equity,7842300000,8364100000,8764600000,8808200000,9853000000,9660800000,9957100000,10499800000,10891100000,11415900000,13365000000,15469800000,15531400000,13675900000,14110000000,14727000000,17060000000,16640000000,19637000000,19221000000,20135000000,21254000000,22367000000,23640000000,68177000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7842300000,8364100000,8764600000,8808200000,9853000000,9660800000,9957100000,10499800000,10891100000,11415900000,13365000000,15469800000,15531400000,13675900000,14110000000,14727000000,17060000000,16640000000,19637000000,19221000000,20135000000,21254000000,22367000000,23640000000,68177000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16875/000162828016011920/0001628280-16-011920-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687517000015/0000016875-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687518000029/0000016875-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687519000017/0000016875-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687520000007/0000016875-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000119312521145610/0001193125-21-145610-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687522000010/0000016875-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,468900000,362400000,66900000,532300000,410400000,496000000,398700000,413000000,542900000,796300000,946200000,619000000,612400000,650700000,570000000,484000000,875000000,1476000000,1352000000,1599000000,2405000000,1951000000,2440000000,2444000000,2852000000
74,Depreciation and Amortization,249900000,304900000,315800000,333000000,377400000,367700000,401800000,431800000,464600000,464100000,472000000,491300000,488900000,489600000,490000000,539000000,565000000,552000000,595000000,640000000,661000000,696000000,706000000,779000000,811000000
75,Deferred Income Tax,203800000,155700000,16000000,111600000,134800000,99000000,32000000,131500000,258000000,75300000,38700000,160600000,153200000,211200000,187000000,140000000,212000000,354000000,234000000,320000000,-210000000,256000000,181000000,221000000,242000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-481500000,291000000,112700000,380200000,-613400000,358100000,-65800000,73400000,-11300000,57000000,-9200000,230700000,-130100000,-268300000,453000000,552000000,-785000000,224000000,-428000000,-372000000,-128000000,-244000000,-250000000,-66000000
78,Accounts Receivable,- -,- -,- -,- -,31287480,21180379,47450128,-38943469,-62077827,-100890463,70159315,-69100000,206400000,-8800000,-69000000,-40000000,-29000000,-112000000,80000000,44000000,-91000000,-107000000,27000000,-61000000,32000000
79,Inventory,- -,- -,- -,- -,28779693,-6625681,2508257,-35448466,-14666123,-15783263,-28520881,-23400000,75500000,22500000,-15000000,7000000,-19000000,7000000,15000000,14000000,9000000,-11000000,-8000000,-15000000,-14000000
80,Accounts Payable,- -,- -,- -,- -,5314083,-20477368,-77444543,112136057,39275539,-399149,-45216127,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-277500000,-759000000,-468000000,-355300000,24900000,-588500000,-230400000,-296200000,-222800000,-234100000,-177100000,-186300000,44400000,-85700000,-354000000,99000000,651000000,-134000000,90000000,-338000000,-710000000,-838000000,-1082000000,-1332000000,- -
82,Other Non-Cash Items,-174600000,338400000,-16800000,-413000000,-544300000,434900000,-864700000,-124500000,-288200000,-273400000,-199300000,-182600000,-933700000,-719300000,-466700000,-288000000,-254000000,526000000,54000000,-42000000,-302000000,-63000000,-93000000,-392000000,-151000000
83,Cash Provided by Operating Activities,748000000,679900000,672900000,676600000,758500000,784200000,325900000,786000000,1050700000,1051000000,1314600000,1079100000,551500000,502100000,512000000,1328000000,1950000000,2123000000,2459000000,2089000000,2182000000,2712000000,2990000000,2802000000,3688000000
84,CAPEX,-862900000,-71700000,-266800000,-586100000,-593400000,-575700000,-686600000,-673800000,-884400000,-793700000,-893200000,-892300000,-722400000,-726100000,-1104000000,-1148000000,-1236000000,-1449000000,-1522000000,-1182000000,-1340000000,-1551000000,-1647000000,-1671000000,-1532000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1483286168,- -,- -,- -,- -,- -,- -,236000000,281000000,- -,- -,- -,-174000000,-379000000,-12299000000
86,Purchases of Investments,-25900000,-35100000,-26300000,-11300000,-7610368,-8015852,-21900000,-2500000,-2000000,- -,-142704087,-231100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,3810368,4015852,- -,- -,- -,- -,- -,257600000,12500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,647900000,-885500000,-782500000,60500000,7600000,8000000,-12000000,10200000,17200000,100000000,4890256,9700000,251200000,90500000,60000000,137000000,-361000000,463000000,118000000,113000000,45000000,93000000,18000000,20000000,101000000
89,Cash Used for Investing Activites,-240900000,-992300000,-1075600000,-536900000,-589600000,-571700000,-720500000,-666100000,-869200000,-693700000,-2514300000,-856100000,-458700000,-635600000,-1044000000,-1011000000,-1597000000,-750000000,-1123000000,-1069000000,-1295000000,-1458000000,-1803000000,-2030000000,-13730000000
90,Debt Repayment,-16900000,-25700000,-20100000,-900000,-1221200000,-405700000,-376600000,-16100000,-274400000,-25400000,-187700000,-1340700000,-768700000,-603800000,-373000000,-77000000,-56000000,-183000000,-1398000000,-46000000,-32000000,-753000000,-500000000,-84000000,-813000000
91,Common Stock Issued,- -,- -,- -,- -,1600000,2000000,2000000,2500000,31800000,66600000,30400000,19700000,513500000,32400000,29000000,198000000,83000000,62000000,43000000,21000000,45000000,24000000,26000000,52000000,25000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-80600000,-286400000,-231100000,-30900000,- -,- -,- -,- -,- -,-2050000000,-2787000000,-1210000000,-381000000,-1103000000,-1134000000,-1509000000,- -
93,Dividends Paid,-722300000,- -,-150000000,-180500000,-150000000,-80800000,-80800000,-81700000,-89500000,-112400000,-133100000,-148700000,-162900000,-174500000,-193000000,-223000000,-244000000,-244000000,-226000000,-255000000,-310000000,-348000000,-412000000,-467000000,-507000000
94,Other Financing Activites,1172100000,-74400000,563300000,122000000,1637300000,- -,699800000,193700000,- -,2800000,1975000000,989100000,906800000,578100000,754000000,72000000,-3000000,785000000,3411000000,-3000000,-22000000,638000000,909000000,1244000000,11231000000
95,Cash Used/Provided by Financing Activities,432900000,-100100000,393200000,-59400000,267700000,-484500000,244400000,98400000,-412700000,-354800000,1453500000,-511500000,488700000,-167800000,217000000,-30000000,-220000000,-1630000000,-957000000,-1493000000,-700000000,-1542000000,-1111000000,-764000000,9936000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,-20000000,-17200000,1000000,-1000000,10000000,7000000,45000000,-13000000,-13000000,11000000,-4000000,6000000,41000000
97,Net Change In Cash,217700000,-412500000,-9500000,80300000,436600000,-272000000,-150200000,218300000,-231200000,2500000,253800000,-260500000,561500000,-318500000,-314000000,286000000,143000000,-250000000,424000000,-486000000,174000000,-277000000,72000000,14000000,-65000000
98,Cash at the End of Period,462000000,49500000,40000000,120300000,556900000,284900000,134700000,353000000,121800000,124300000,378100000,117600000,679100000,360600000,47000000,333000000,476000000,226000000,650000000,164000000,338000000,61000000,133000000,147000000,82000000
99,Cash at the Beginning of Period,244300000,462000000,49500000,40000000,120300000,556900000,284900000,134700000,353000000,121800000,124300000,378100000,117600000,679100000,361000000,47000000,333000000,476000000,226000000,650000000,164000000,338000000,61000000,133000000,147000000
100,Free Cash Flow,-114900000,608200000,406100000,90500000,165100000,208500000,-360700000,112200000,166300000,257300000,421400000,186800000,-170900000,-224000000,-592000000,180000000,714000000,674000000,937000000,907000000,842000000,1161000000,1343000000,1131000000,2156000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16875/000162828016011920/0001628280-16-011920-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687517000015/0000016875-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687518000029/0000016875-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687519000017/0000016875-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687520000007/0000016875-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000119312521145610/0001193125-21-145610-index.htm,https://www.sec.gov/Archives/edgar/data/16875/000001687522000010/0000016875-22-000010-index.htm
102,Forex Rate,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
