,https://roic.ai/company/INST,2016,2017,2018,2019,2020,2021
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1355754/000156459017001381/0001564590-17-001381-index.html,https://www.sec.gov/Archives/edgar/data/1355754/000156459018002204/0001564590-18-002204-index.html,- -,https://www.sec.gov/Archives/edgar/data/1355754/000156459020007826/0001564590-20-007826-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1841804/000095017022001776/0000950170-22-001776-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-48202000,-43084000,-43465000,-80819000,- -,-88679000
74,Depreciation and Amortization,4386000,6759000,11535000,19977000,- -,137716000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-36485000
76,Stock Based Compensation,10674000,15670000,22747000,56512000,- -,18072000
77,Change in Working Capital,11458000,101214000,-74845000,13782000,- -,-69832000
78,Accounts Receivable,-8837000,-12830000,-2643000,-2217000,- -,-4314000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3732000,740000,- -,- -,- -,- -
81,Other Working Capital,-20604000,80610000,5765000,19547000,- -,-50285000
82,Other Non-Cash Items,76000,-101688000,84126000,9409000,- -,144351000
83,Cash Provided by Operating Activities,-21608000,-21129000,98000,18861000,- -,105143000
84,CAPEX,-7021000,-15750000,-11132000,-10243000,- -,-4259000
85,Acquisitions Net,- -,- -,- -,-54963000,- -,19434000
86,Purchases of Investments,-28752000,-11085000,-113860000,-28259000,- -,- -
87,Sales/Maturities of Investments,- -,- -,61600000,71786000,- -,- -
88,Other Investing Activites,4467000,29066000,88000,103000,- -,53000
89,Cash Used for Investing Activites,-31306000,2231000,-63304000,-21576000,- -,15228000
90,Debt Repayment,163000,-31000,- -,- -,- -,-851080000
91,Common Stock Issued,7009000,10375000,109789000,- -,- -,259254000
92,Common Stock Repurchased,6982000,10083000,-405000,-3237000,- -,-1568000
93,Dividends Paid,- -,- -,- -,- -,- -,-930000
94,Other Financing Activites,-7172000,-10375000,12449000,12868000,- -,492153000
95,Cash Used/Provided by Financing Activities,6982000,10052000,121833000,9631000,- -,-102171000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-45932000,-8846000,58627000,6916000,- -,18200000
98,Cash at the End of Period,44539000,35693000,94320000,101236000,- -,169153000
99,Cash at the Beginning of Period,90471000,44539000,35693000,94320000,- -,150953000
100,Free Cash Flow,-29350000,-37189000,-11034000,8618000,- -,100884000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1355754/000156459017001381/0001564590-17-001381-index.html,https://www.sec.gov/Archives/edgar/data/1355754/000156459018002204/0001564590-18-002204-index.html,- -,https://www.sec.gov/Archives/edgar/data/1355754/000156459020007826/0001564590-20-007826-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1841804/000095017022001776/0000950170-22-001776-index.htm
102,false,,,,,,
