,https://roic.ai/company/EQX,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22581000,22581000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,765100,1045700,400000,121000,253000,253000,7162000,22287000,123858000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5319000,- -,- -,10576000
44,Other Non-Current Assets,- -,- -,- -,33295,- -,- -,- -,- -,- -,- -,- -,31916000,73916000,171838000,146366000,170322000
45,Total Non-Current Assets,- -,- -,- -,33295,105068,177080,237650,1210100,1632900,856000,43912000,400054000,617359000,690694000,2025807000,2802675000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,105753,225317,145317,385387,374969,292755,9403600,7069000,1868000,89927000,486323000,753679000,839350000,2671831000,3965906000
48,Accounts Payable,- -,9031,11658,- -,- -,- -,16141,159600,166400,190000,843000,15156000,14874000,45057000,99197000,190116000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14817000,54704000,61574000,13333000,26667000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1761000,23900000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,529000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,22560,17810,37642,- -,- -,- -,- -,- -,- -,36704000,25292000,110133000,185783000
53,Total Current Liabilities,- -,9031,11658,22560,17810,37642,16141,159600,166400,190000,1443000,30502000,106282000,131923000,222663000,402566000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28644000,161561000,202475000,531908000,514015000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3490000,3377000,4977000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7685000,13315000,14761000,243101000,309715000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17601000,50438000,42557000,87132000,227204000,153237000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21091000,90144000,222410000,304368000,1002213000,976967000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9949000,- -
61,Total Liabilities,- -,9031,11658,22560,17810,37642,16141,159600,166400,190000,22534000,120646000,328692000,436291000,1224876000,1379533000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,203878,- -,- -,- -,14615100,15326800,15327000,81560000,383297000,491100000,505686000,1518042000,2006777000
64,Retained Earnings,- -,-9033,-53912,-95356,-379187,-493255,-705647,-9989600,-13831600,-19153000,-21557000,-38371000,-96034000,-130586000,-109866000,448547000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,4618500,5407400,5504000,6234000,12620000,15402000,27959000,38779000,131049000
66,Other Total Stockholders Equity,- -,105756,267571,14235,746763,830581,982261,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,96722,213659,122757,367576,337327,276614,9244000,6902600,1678000,66237000,357546000,410468000,403059000,1446955000,2586373000
68,Total Liabilities And Stockholders Equity,- -,105753,225317,145317,385387,374969,292755,9403600,7069000,1868000,88771000,478192000,739160000,839350000,2671831000,3965906000
69,Minority Interest,- -,0,- -,- -,- -,- -,- -,- -,- -,- -,1156000,8131000,14519000,- -,- -,- -
70,Total Liabilities & Equity,- -,105753,225317,145317,385387,374969,292755,9403600,7069000,1868000,89927000,486323000,753679000,839350000,2671831000,3965906000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-9033,-43788,-51409,-261072,-95540,-225148,-5729000,-3842000,-5321000,-2404000,-16728000,-49846000,-18360000,20720000,556845000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,2000,3500,4000,146000,894000,10636000,484000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,-49048,- -,- -,- -,-85200,85000,- -,308000,2335000,7138000,20811000,-23266000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,39853,- -,946500,413000,182000,1587000,- -,5123000,8140000,7327000
77,Change in Working Capital,- -,9031,1222,4694,-26691,34925,-18616,-83400,-20900,50000,-2202000,2046000,-5569000,-16419000,-15193000,56656000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,157800,-27800,20000,-960000,-3515000,3158000,-4200000,-15194000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-553000,-1166000,-5546000,-36492000,20545000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,0,6255,- -,0,8237,-311,4263200,270500,69000,-2715000,-13741000,19437000,81756000,182035000,-276784000
83,Cash Provided by Operating Activities,- -,-3,-36311,-46715,-336812,-52377,-204221,-1547200,-2727600,-4700000,-6993000,-25634000,-23007000,59722000,216513000,320778000
84,CAPEX,- -,- -,- -,- -,-57420,-25723,-25057,-259000,-156700,-1000,-53000,-21475000,-5137000,-97577000,-172902000,-344224000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2184000,19244000,-144335000,-14586000,- -,-83498000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-352600,-117300,- -,- -,-645000,- -,- -,-12480000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2150000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-22986,- -,- -,- -,- -,- -,- -,- -,196000,-96337000,-96707000,-116841000,80155000
89,Cash Used for Investing Activites,- -,- -,- -,-22986,-57420,-25723,-25057,-611600,-274000,-1000,2131000,-530000,-240672000,-111293000,-129321000,-347567000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-337200,- -,- -,-3000000,-20827000,-817000,-136888000,-552941000,-55292000
91,Common Stock Issued,- -,105756,194501,- -,534089,6173,93213,10458700,- -,760000,47187000,61440000,87042000,- -,39938000,59498000
92,Common Stock Repurchased,- -,- -,- -,- -,-14853,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-51712,-2343,-0,- -,- -,16700,558700,- -,- -,12849000,182095000,193884000,703083000,-5801000
95,Cash Used/Provided by Financing Activities,- -,105756,142789,-2343,519236,6173,93213,10138200,558700,760000,44187000,53462000,268320000,56996000,190080000,-1595000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-8237,311,-80000,-342300,-459000,332000,29000,-6777000,1469000,-62000,-6469000
97,Net Change In Cash,- -,- -,106478,-72044,125004,-80164,-135754,7899400,-2785200,-4400000,39657000,27327000,-2136000,6894000,277210000,-34853000
98,Cash at the End of Period,- -,105753,225002,111368,262953,195637,54825,8159000,5373800,974000,40631000,67958000,60822000,67716000,344926000,310073000
99,Cash at the Beginning of Period,- -,- -,118524,183413,137949,275801,190578,259600,8159000,5374000,974000,40631000,62958000,60822000,67716000,344926000
100,Free Cash Flow,- -,-3,-36311,-46715,-394232,-78100,-229278,-1806200,-2884300,-4701000,-7046000,-47109000,-28144000,-37855000,43611000,-23446000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,
