,https://roic.ai/company/RCI,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,411137607,452822471,473756338,533809864,569659443,607494213,730778344,994431710,974977967,3932778565,4168802496,5520447726,6573000000,7628364286,7663000000,7648000000,7719000000,1743000000,1819000000,1898000000,2144000000,2277000000,2276000000,2142000000,2211000000,2488000000,2618000000,2585000000
11,COGS and Expenses,1931406929,2393100628,2253939975,2393852752,2553715171,2821469907,3317300540,3954567017,4156408562,4438729872,4966659467,6816596115,7529000000,8589730857,8966000000,9028000000,9239000000,9530000000,9548000000,9695000000,10012000000,10714000000,10947000000,10967000000,11324000000,11349000000,10677000000,11353000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620000000,- -,575000000,647000000,669000000,639000000,663000000,723000000,763000000,743000000,749000000,734000000,703000000,799000000,844000000,816000000
14,Depreciation and Amortization,392341142,430324516,454981499,512651894,569659443,607494213,730778344,920916905,981457350,1040262785,1092550996,1478011397,1584000000,1689343530,1906000000,1904000000,1866000000,1800000000,1892000000,1950000000,2210000000,2364000000,2347000000,2206000000,2269000000,2565000000,2695000000,2653000000
15,EBITDA,256697995,144805018,132246128,-107362402,1195046440,1521556713,919683562,529675262,1218759837,1146599253,1082780177,1435508781,2882000000,2575230907,3907000000,4531000000,4673000000,4537000000,4875000000,4938000000,4820000000,4954000000,4255000000,5286000000,5789000000,6119000000,5711000000,5596000000
16,EBITDA ratio,0.1141,0.0538,0.0533,-0.0398,0.4209,0.4896,0.2624,0.1354,0.2819,0.2365,0.1931,0.1919,0.3261,0.2544,0.3447,0.3862,0.3835,0.3651,0.3904,0.3886,0.3751,0.3693,0.3105,0.3738,0.3835,0.4060,0.4104,0.3818
17,Operating Income,318838547,300381783,228998219,301501072,285448916,286313658,186946611,-41911812,166636764,408633261,641589873,665557624,1309000000,1533419406,2369000000,2703000000,2947000000,2898000000,2766000000,2926000000,2838000000,2700000000,2755000000,3176000000,3772000000,3724000000,3239000000,3302000000
18,Operating Income ratio,0.1417,0.1115,0.0922,0.1119,0.1005,0.0921,0.0533,-0.0107,0.0385,0.0843,0.1144,0.0890,0.1481,0.1515,0.2090,0.2304,0.2418,0.2332,0.2215,0.2303,0.2209,0.2013,0.2011,0.2246,0.2499,0.2471,0.2328,0.2253
19,Total Other Income Expenses (Gains),-454481694,-585901281,-531040154,-921515368,339938081,627748842,1958607,-349329831,70665723,-243872215,-571779458,-708060241,-631000000,-647532029,-943000000,-723000000,-809000000,-800000000,-414000000,-661000000,-991000000,-853000000,-1596000000,-830000000,-955000000,-969000000,-1067000000,-1175000000
20,Income Before Tax,-135643147,-285519498,-302041935,-620014296,625386997,914062500,188905218,-391241643,237302487,164761046,69810415,-42502617,678000000,885887377,1426000000,1980000000,2138000000,2098000000,2352000000,2265000000,1847000000,1847000000,1159000000,2346000000,2817000000,2755000000,2172000000,2127000000
21,Income Before Tax Ratio,-0.0603,-0.1060,-0.1216,-0.2300,0.2203,0.2941,0.0539,-0.1000,0.0549,0.0340,0.0124,-0.0057,0.0767,0.0875,0.1258,0.1688,0.1754,0.1688,0.1884,0.1783,0.1437,0.1377,0.0846,0.1659,0.1866,0.1828,0.1561,0.1451
22,Income Tax expense (Gain),32402862,-2181620,-44401809,-80629021,-9442724,73640046,47462507,43049984,-74729304,-22857143,3447324,2154902,56000000,249279968,424000000,502000000,610000000,535000000,620000000,596000000,506000000,466000000,324000000,635000000,758000000,712000000,580000000,569000000
23,Net Income,-168046009,-283337878,-278333562,-539385275,634829721,840422454,141442711,-434291627,312031791,129193611,-13218143,-44657518,622000000,636607409,1002000000,1478000000,1528000000,1563000000,1700000000,1669000000,1341000000,1381000000,835000000,1711000000,2059000000,2043000000,1592000000,1558000000
24,Net Income ratio,-0.0747,-0.1052,-0.1121,-0.2001,0.2236,0.2704,0.0404,-0.1110,0.0722,0.0267,-0.0024,-0.0060,0.0704,0.0629,0.0884,0.1260,0.1254,0.1258,0.1362,0.1314,0.1044,0.1030,0.0609,0.1210,0.1364,0.1355,0.1144,0.1063
25,EPS,-0.57,-0.89,-0.86,-1.58,1.70,2.15,0.22,-1.21,0.53,0.17,-0.14,-0.07,0.99,1.00,1.57,2.38,2.65,2.88,3.28,3.24,2.60,2.68,1.62,3.32,4.00,3.99,3.15,3.09
26,EPS Diluted,-0.57,-0.89,-0.86,-1.58,1.46,1.84,0.22,-1.21,0.41,0.17,-0.14,-0.07,0.97,0.99,1.57,2.38,2.65,2.86,3.26,3.22,2.56,2.67,1.62,3.31,3.99,3.97,3.13,3.09
27,Weighted Average Shares Outstanding,295824401,317177551,322328128,356452000,357160000,379610000,407522000,402559641,497597314,453477114,458157636,595433573,631800000,638000000,638216561,621000000,576000000,543000000,519000000,515000000,515000000,515000000,515000000,515000000,515000000,512000000,505000000,505000000
28,Weighted Average Shares Outstanding Diluted,295824401,317177551,322328128,356452000,414245727,462758000,408184000,402559641,497597314,466814676,458157636,595433573,641900000,642000000,638216561,621000000,576000000,547000000,522000000,518000000,517000000,517000000,515000000,517000000,515000000,513000000,506000000,505000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733099/000095012304006579/y97599exv99w1.htm,https://www.sec.gov/Archives/edgar/data/733099/000095012305003357/y06938exv99w3.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733099/000127956909000263/0001279569-09-000263-index.html,https://www.sec.gov/Archives/edgar/data/733099/000127956910000228/0001279569-10-000228-index.html,https://www.sec.gov/Archives/edgar/data/733099/000127956911000254/0001279569-11-000254-index.html,https://www.sec.gov/Archives/edgar/data/733099/000119312512076762/0001193125-12-076762-index.html,https://www.sec.gov/Archives/edgar/data/733099/000119312513071107/0001193125-13-071107-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/733099/000119312516460082/0001193125-16-460082-index.html,https://www.sec.gov/Archives/edgar/data/733099/000073309917000010/0000733099-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/733099/000073309918000006/0000733099-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/733099/000073309919000008/0000733099-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/733099/000073309920000006/0000733099-20-000006-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,26883853,- -,243993281,- -,- -,- -,- -,383000000,- -,- -,213000000,2301000000,176000000,11000000,- -,- -,405000000,494000000,2484000000,715000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,26883853,- -,243993281,- -,- -,- -,- -,387000000,- -,- -,213000000,2301000000,176000000,11000000,- -,- -,405000000,494000000,2484000000,715000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,512126220,550829576,673935685,890701244,1077000000,1260303903,1403000000,1310000000,1480000000,1574000000,1575000000,1533000000,1591000000,1792000000,1949000000,2041000000,3311000000,3538000000,3389000000,3962000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,99990557,101003478,154588433,- -,- -,142020062,256000000,156000000,199000000,212000000,293000000,276000000,251000000,318000000,315000000,313000000,466000000,460000000,479000000,535000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,52371734,57811413,105928725,410995465,657000000,740887873,632000000,402000000,326000000,126000000,140000000,211000000,327000000,501000000,306000000,618000000,706000000,625000000,577000000,617000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,691372364,709644467,1178446124,1301696709,1734000000,2143211838,2291000000,2255000000,2005000000,1912000000,2221000000,4321000000,2345000000,2622000000,2570000000,2972000000,4888000000,5117000000,6929000000,5829000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,5051998741,5039304393,5486837053,6151525759,6732000000,7288707915,7898000000,8197000000,8493000000,9114000000,9576000000,10255000000,10655000000,10997000000,10749000000,11143000000,11780000000,13934000000,14018000000,14666000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3035786719,2779000000,3027112921,3024000000,3018000000,3115000000,3280000000,3215000000,3751000000,3883000000,3891000000,3905000000,3905000000,3905000000,3923000000,3973000000,4024000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2315733396,2291854953,6244376050,2627465985,2152000000,2157115900,2792000000,2643000000,2724000000,2721000000,2951000000,3211000000,6588000000,7243000000,7130000000,7244000000,7205000000,8905000000,8926000000,12281000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2315733396,2291854953,6244376050,5663252704,4931000000,5184228821,5816000000,5661000000,5839000000,6001000000,6166000000,6962000000,10471000000,11134000000,11035000000,11149000000,11110000000,12828000000,12899000000,16305000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000000,- -,343000000,547000000,721000000,1107000000,1484000000,1487000000,1898000000,2271000000,2174000000,2561000000,2134000000,2830000000,2536000000,2493000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129118502,299000000,- -,- -,- -,- -,30000000,31000000,31000000,9000000,9000000,8000000,3000000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,465398175,424691485,363078954,588695197,270000000,709107161,745000000,358000000,272000000,198000000,140000000,545000000,1144000000,2142000000,1806000000,1035000000,2006000000,2310000000,2472000000,2670000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,7833130312,7755850831,12094292057,12532592162,12371000000,13182043897,14802000000,14763000000,15325000000,16450000000,17397000000,19280000000,24177000000,26553000000,25772000000,25891000000,27030000000,31902000000,31925000000,36134000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,8524502676,8465495298,13272738181,13834288871,14105000000,15325255735,17093000000,17018000000,17330000000,18362000000,19618000000,23601000000,26522000000,29175000000,28342000000,28863000000,31918000000,37019000000,38854000000,41963000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1140577589,1072666495,1428296136,1411045470,- -,2260403218,2412000000,2383000000,2256000000,- -,2135000000,2344000000,2578000000,2708000000,2783000000,2931000000,3052000000,3033000000,2714000000,3416000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,10288548,618236141,286139086,470000000,61575132,20000000,81000000,40000000,57000000,348000000,1820000000,1805000000,1800000000,1621000000,3347000000,3155000000,2468000000,2949000000,4087000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376000000,- -,24000000,22000000,47000000,96000000,186000000,62000000,177000000,48000000,344000000,115000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,97576968,152722582,176265845,227000000,225444433,239000000,284000000,274000000,335000000,344000000,350000000,443000000,388000000,367000000,346000000,233000000,224000000,336000000,394000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58856492,118060240,1799000000,194656867,45000000,- -,443000000,2157000000,175000000,92000000,94000000,121000000,342000000,199000000,396000000,239000000,587000000,722000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1140577589,1180532011,2258111351,1991510641,2496000000,2742079650,2716000000,2748000000,3013000000,2549000000,3002000000,4606000000,4920000000,5017000000,5113000000,6823000000,6836000000,5964000000,6586000000,8619000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5687470884,5305016102,7432151428,7453412025,6537000000,6032376601,8506000000,8463000000,8718000000,10034000000,10441000000,12173000000,13824000000,15870000000,15330000000,12692000000,13390000000,17462000000,18308000000,18758000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,27716399,- -,- -,- -,- -,104280465,344000000,397000000,676000000,1390000000,1501000000,1702000000,1769000000,1943000000,1917000000,2206000000,2910000000,3437000000,3196000000,3439000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,132167139,19225814,706431485,861751366,872000000,1822425266,800000000,1137000000,954000000,817000000,906000000,451000000,528000000,600000000,713000000,795000000,603000000,740000000,1122000000,615000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5847354422,5324241916,8138582913,8315163391,7409000000,7959082332,9650000000,9997000000,10358000000,12241000000,12848000000,14326000000,16121000000,18413000000,17960000000,15693000000,16903000000,21639000000,22695000000,22812000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1725000000,1835000000,1957000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,6987932011,6504773927,10396694264,10306674032,9905000000,10701161982,12366000000,12745000000,13371000000,14790000000,15850000000,18932000000,21041000000,23430000000,23073000000,22516000000,23739000000,27603000000,29281000000,31431000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,370000000,370000000,575999520,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,469000000,473000000,474000000,474000000,477000000,477000000,477000000,468000000,468000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-415588606,-339435785,-416731461,-601547854,- -,341642666,702000000,1398000000,2104000000,2443000000,3046000000,3896000000,4172000000,4583000000,4247000000,4925000000,7182000000,7419000000,7916000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,1123262512,1376524539,2288669306,-7525482033,- -,49657364,-95000000,43000000,244000000,408000000,253000000,300000000,835000000,688000000,545000000,945000000,520000000,1529000000,1189000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1404035253,1767379879,2876043916,3527614839,4200000000,4624093753,4727000000,4273000000,3959000000,3572000000,3768000000,4669000000,5481000000,5745000000,5269000000,6347000000,8179000000,9416000000,9573000000,10532000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,8391967264,8272153806,13272738180,13834288871,14105000000,15325255735,17093000000,17018000000,17330000000,18362000000,19618000000,23601000000,26522000000,29175000000,28342000000,28863000000,31918000000,37019000000,38854000000,41963000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,132535412,193341492,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,8524502676,8465495298,13272738181,13834288871,14105000000,15325255735,17093000000,17018000000,17330000000,18362000000,19618000000,23601000000,26522000000,29175000000,28342000000,28863000000,31918000000,37019000000,38854000000,41963000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/733099/000095012304006579/y97599exv99w1.htm,https://www.sec.gov/Archives/edgar/data/733099/000095012305003357/y06938exv99w3.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733099/000127956909000263/0001279569-09-000263-index.html,https://www.sec.gov/Archives/edgar/data/733099/000127956910000228/0001279569-10-000228-index.html,https://www.sec.gov/Archives/edgar/data/733099/000127956911000254/0001279569-11-000254-index.html,https://www.sec.gov/Archives/edgar/data/733099/000119312512076762/0001193125-12-076762-index.html,https://www.sec.gov/Archives/edgar/data/733099/000119312513071107/0001193125-13-071107-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/733099/000119312516460082/0001193125-16-460082-index.html,https://www.sec.gov/Archives/edgar/data/733099/000073309917000010/0000733099-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/733099/000073309918000006/0000733099-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/733099/000073309919000008/0000733099-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/733099/000073309920000006/0000733099-20-000006-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-168046009,-283337878,-278333562,-539385275,634829721,840422454,141442711,-434291627,312031791,129193611,-13218143,-44657518,622000000,636607409,1002000000,1478000000,1528000000,1563000000,1700000000,1669000000,1341000000,1381000000,835000000,1711000000,2059000000,2043000000,1592000000,1558000000
74,Depreciation and Amortization,392341142,430324516,454981499,512651894,569659443,607494213,730778344,920916905,981457350,1040262785,1092550996,1478011397,1584000000,1689343530,1906000000,1904000000,1866000000,1800000000,1892000000,1950000000,2210000000,2364000000,2347000000,2206000000,2269000000,2565000000,2695000000,2653000000
75,Deferred Income Tax,-6031702,-16634851,-50705769,-89492495,-20433437,63223380,32526995,27987902,-87126220,-24531753,- -,-8575416,61000000,250273116,421000000,287000000,288000000,- -,610000000,596000000,506000000,466000000,324000000,635000000,758000000,712000000,580000000,569000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,- -,-100000000,-33000000,47000000,64000000,77000000,84000000,37000000,55000000,61000000,61000000,- -,- -,- -,- -
77,Change in Working Capital,65086267,-80992637,-31108675,-92923517,26160991,-129050926,-15080984,-51521808,126115833,-130820559,-62090233,-324007443,75000000,-309861953,-215000000,264000000,-180000000,-169000000,-248000000,238000000,11000000,-302000000,14000000,-154000000,-468000000,-426000000,-333000000,37000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000000,93000000,-163000000,-86000000,15000000,58000000,-81000000,-185000000,-141000000,-161000000,-133000000,-174000000,455000000,-78000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131000000,- -,26000000,-66000000,3000000,2000000,-31000000,7000000,-19000000,-56000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-1,-1,1,- -,11845936,-89300456,-95183162,- -,-70513457,12000000,45000000,-102000000,-4000000,8000000,-9000000,86000000,-61000000,-18000000,-21000000,-47000000,9000000,177000000,- -
82,Other Non-Cash Items,57651845,157485682,39331232,472337384,-879102167,-1015914352,-133968206,-44141993,-563929808,-160176479,258686106,126635655,70000000,558148773,293000000,-110000000,71000000,533000000,-610000000,-547000000,-407000000,-217000000,376000000,-521000000,-330000000,-368000000,-213000000,-656000000
83,Cash Provided by Operating Activities,341001543,206844832,134164725,263187991,331114551,366174769,755698860,418949379,768548946,853927605,1275928726,1227406675,2461000000,2824510875,3307000000,3790000000,3620000000,3791000000,3421000000,3990000000,3698000000,3747000000,3957000000,3938000000,4288000000,4526000000,4321000000,4161000000
84,CAPEX,-371160050,-599809108,-945045909,-979985704,-658513932,-953993056,-1212733953,-1420746578,-1261983003,-963742110,-1054937605,-1391679265,-1744000000,-1863144304,-3179000000,-2080000000,-2056000000,-2183000000,-2096000000,-2309000000,-2597000000,-2504000000,-2398000000,-2495000000,-2844000000,-2867000000,-2369000000,-2842000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-209278644,-221397644,-103424614,- -,-2988177346,-45975113,-4000000,-537292681,-191000000,-11000000,-276000000,-532000000,- -,-1021000000,-3456000000,-1077000000,- -,-184000000,- -,-1731000000,-103000000,-3404000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-126829634,-69915632,-49828455,-27936365,-4326854,- -,- -,- -,- -,-163000000,- -,- -,-707000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,139299640,27847819,12088449,20704625,7816175,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1649600225,415462230,530629025,-38313081,1009133127,1490596065,-261274746,-327133078,1280355681,- -,-45296376,2176997,71000000,-37739597,-1125000000,-295000000,-85000000,-172000000,-121000000,-212000000,-129000000,-250000000,-104000000,-2446000000,-2944000000,-2881000000,-2455000000,-2729000000
89,Cash Used for Investing Activites,-2020760275,-184346878,-414416884,-1018298785,350619195,536603009,-1670817337,-2011345113,-122791942,-970973850,-4084922006,-1435477381,-1645000000,-2438176582,-3337000000,-2324000000,-2200000000,-2831000000,-2834000000,-3473000000,-5951000000,-3767000000,-2456000000,-2630000000,-2944000000,-4612000000,-2558000000,-6133000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1836000000,- -,-3335000000,-1893000000,-3282000000,-2878000000,-1240000000,-356000000,-2635000000,-6920000000,- -,-1034000000,-823000000,-167000000,-1359000000,-269000000
91,Common Stock Issued,390798149,4635942,204467590,142959,1238390,612413194,939346131,264426934,5728675,252010821,302230622,100347715,74000000,26814977,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-24968439,-173166076,-90037002,- -,-131578947,- -,- -,- -,- -,- -,- -,- -,- -,- -,-137000000,-1347000000,-1312000000,-1099000000,-350000000,-21000000,- -,- -,- -,- -,- -,-655000000,- -,- -
93,Dividends Paid,-31000140,-31906190,-27408524,-26018585,-30030960,-26041667,-43200360,-33013372,-32999685,-44606467,-56421886,-26208861,-47000000,-210547224,-559000000,-704000000,-734000000,-758000000,-803000000,-876000000,-930000000,-977000000,-988000000,-988000000,-988000000,-1016000000,-1011000000,-1010000000
94,Other Financing Activites,1127086547,188164712,445662601,458899214,-511455108,-1473813657,304187162,1079032156,-608802330,-127530594,2817465802,-213942320,1078000000,-245307380,4103000000,2880000000,3485000000,3763000000,2076000000,2824000000,3693000000,7752000000,-595000000,779000000,878000000,2013000000,2597000000,1482000000
95,Cash Used/Provided by Financing Activities,1461916117,-12271612,532684665,433023588,-671826625,-887442130,1200332933,1310445718,-636073340,79873760,3063274538,-139803466,-731000000,-429039627,72000000,-1064000000,-1843000000,-972000000,-317000000,1571000000,128000000,-145000000,-1583000000,-1243000000,-933000000,175000000,227000000,203000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1461916117,-12271612,532684665,433023588,-671826625,15335648,285214457,-281950016,9682090,-37172485,254281258,-347874172,85000000,-41712186,42000000,402000000,-423000000,-12000000,270000000,2088000000,-2125000000,-165000000,-82000000,65000000,411000000,89000000,1990000000,-1769000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,13888889,299151170,17201528,26883853,-10288548,243993281,-103880684,-19000000,-60581984,-19000000,383000000,-40000000,-57000000,213000000,2301000000,176000000,11000000,-71000000,-6000000,405000000,494000000,2484000000,715000000
99,Cash at the Beginning of Period,265955955,48131988,58243114,310650465,-11300310,-1446759,13936713,299151544,17201763,26883937,-10287977,243993488,-104000000,-18869798,-61000000,-19000000,383000000,-45000000,-57000000,213000000,2301000000,176000000,11000000,-71000000,-6000000,405000000,494000000,2484000000
100,Free Cash Flow,-30158507,-392964276,-810881184,-716797713,-327399381,-587818287,-457035093,-1001797199,-493434057,-109814505,220991121,-164272590,717000000,961366571,128000000,1710000000,1564000000,1608000000,1325000000,1681000000,1101000000,1243000000,1559000000,1443000000,1444000000,1659000000,1952000000,1319000000
