,https://roic.ai/company/NTES,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,8769028,199407853,101753199,29760608,44609303,16175066,1731504668,44896552,1777025796,4911354765,730020673,9036191000,10930117000,1653538000,3164125000,3920575000,5005587000,7387265000,9294516000,8914094000,7693726000,7114743000,9112982000
37,Total Current Assets,134218678,908196419,626976937,589700444,1733068145,2366450367,3497302824,4129185930,4436293120,5973779491,7972561698,10626895000,14474186000,17868673000,22797763000,27732522000,34408924000,49919704000,61947760000,68715720000,85105012000,107831043000,113120254000
38,PP&E,9508360,44152232,36362592,26373069,40417347,77303013,126341533,224207833,183471666,258787534,557755641,755778000,848469000,815026000,872113000,1281225000,2092046000,2419510000,3769326000,5378560000,5085400000,5328582000,5433858000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318943000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12563485,225152109,156683000,60750000,11529000,11271000,185750000,429861000,842954000,1413641000,5967540000,7346390000,8303690000,4108090000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12563485,225152109,156683000,60750000,11529000,11271000,185750000,429861000,842954000,1413641000,5967540000,7346390000,8622633000,4108090000
42,Investments,- -,- -,- -,- -,- -,- -,- -,7804100,10575858,33480329,33583722,34677000,33482000,524323000,766129000,1050478000,2874652000,2520027000,2784776000,5346108000,11653868000,18341259000,5823840000
43,Tax Assets,- -,- -,- -,2395329,- -,- -,- -,5502361,19060225,12444636,4188376,1530000,2586000,2215000,23085000,21160000,24685000,23984000,823495000,1064295000,903904000,1086759000,1297954000
44,Other Non-Current Assets,- -,40386522,11574205,1065662,13519610,6387018,1341162,7007606,36258512,54837828,10227293,11099000,25458000,56190000,75969000,83536000,1327262000,2305681000,292417000,495705000,2029797000,664306000,23859928000
45,Total Non-Current Assets,9508360,84538753,47936797,29834060,53936957,83690031,127682695,244521900,249366261,372113812,830907141,959767000,970745000,1409283000,1748567000,2622149000,6748506000,8112156000,9083655000,18252208000,27019359000,34043539000,40523670000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,143727038,992735172,674913733,619534504,1787005101,2450140398,3624985519,4373707830,4685659381,6345893303,8803468839,11586662000,15444931000,19277956000,24546330000,30354671000,41157430000,58031860000,71031415000,86967928000,112124371000,141874582000,153643924000
48,Accounts Payable,1142218,9984886,13118787,3813728,10739972,19344096,28848690,105555248,89143868,119829878,238434710,130558000,134217000,233403000,339110000,547755000,856224000,1569002000,2442531000,2384818000,1212303000,1134413000,985059000
49,Short-Term Debt,- -,112463964,84015020,- -,- -,- -,- -,- -,641778908,- -,- -,- -,- -,- -,975504000,2049865000,2272760000,3815691000,6623502000,13658554000,17019680000,19835549000,19352313000
50,Tax Payable,- -,- -,- -,- -,- -,44009342,83828862,95476498,92438670,104754356,213727123,289332000,391769000,389465000,74463000,334290000,736214000,1722501000,1564692000,2272023000,3156513000,4282835000,4537050000
51,Deferred Revenue,- -,1806551,- -,165073,- -,134896863,231670971,385720720,354966697,447725795,648068363,916259000,1281445000,1542047000,1945097000,2589801000,5408183000,8853000000,7792758000,9322927000,10141644000,12856984000,12132743000
52,Other Current Liabilities,6520660,29111657,22651145,34666679,67039878,103254341,154959389,185132507,190936479,261492389,491422055,781410000,866915000,1801052000,973473000,1569026000,3130256000,5297305000,6891323000,9742711000,9869386000,12916545000,18031211000
53,Total Current Liabilities,7662878,153367058,119784952,38645480,77779850,257495300,415479050,676408475,1276825952,829048062,1377925128,1828227000,2282577000,3576502000,4233184000,6756447000,11667423000,19534998000,23750114000,35109010000,38243013000,46743491000,50501326000
54,Long-Term Debt,- -,- -,- -,- -,827815000,839399578,806858596,780253918,- -,200000,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,279949000,474882000,1275140000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1455000,- -,- -,- -,- -,81434000,33721000,213215000,393681000,382030000,713439000,1345874000
57,Other Non-Current Liabilities,- -,- -,- -,- -,231490,- -,11554512,11377256,10200000,- -,- -,33142000,63890000,99968000,144883000,240064000,84974000,200000,632946000,5439392000,10626524000,10944966000,1242946000
58,Total Non-Current Liabilities,- -,- -,- -,- -,828046490,839399578,818413108,791631174,10200000,200000,200000,34797000,63890000,99968000,144883000,240064000,166408000,33921000,846161000,5833073000,11288503000,12133287000,3863960000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471403000,805735000,- -
61,Total Liabilities,7662878,153367058,119784952,38645480,905826340,1096894878,1233892158,1468039649,1287025952,829248062,1378125128,1863024000,2346467000,3676470000,4378067000,6996511000,11833831000,19568919000,24596275000,40942083000,49531516000,58876778000,54365286000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1907799,2489339,2504078,2565948,2590208,2635419,2700407,2645941,2525952,2642105,2663661,2673000,2687000,2696000,2663000,2674000,2685000,2676000,2678000,2620000,2640000,2794000,- -
64,Retained Earnings,-51702984,-194284743,-454217314,-437732942,-148687619,235576830,1123210272,2338108763,3225838165,4739076625,6425840682,8565446000,11649092000,14309609000,18509161000,21223973000,26419698000,35328812000,42733081000,43997388000,56393640000,64162689000,- -
65,Other Comprehensive Income/Loss,-1074958,-9714600,-26526685,-33351946,33847427,91079111,135449673,163117928,170061514,195872087,225784155,321968000,472586000,634108000,878466000,937282000,1038369000,1221640000,1242809000,1231628000,1143763000,577991000,- -
66,Other Total Stockholders Equity,186934303,1040878119,1033368703,1049407963,993428745,1023954160,1129733009,401795549,- -,578845159,784488931,850724000,1002336000,734192000,854878000,1226416000,1779331000,1637953000,1753439000,- -,3913656000,17383324000,- -
67,Total Stockholders Equity,136064160,839368115,555128782,580889024,881178761,1353245520,2391093361,2905668181,3398425631,5516435976,7438777429,9740811000,13126701000,15680605000,20245168000,23390345000,29240083000,38191081000,45732007000,45231636000,61453699000,82126798000,95328080000
68,Total Liabilities And Stockholders Equity,143727038,992735172,674913733,619534504,1787005101,2450140398,3624985519,4373707830,4685451583,6345684038,8816902557,11603835000,15473168000,19357075000,24623235000,30386856000,41073914000,57760000000,70328282000,86173719000,110985215000,141003576000,149693366000
69,Minority Interest,- -,- -,0,- -,- -,- -,- -,- -,207798,209265,-13433718,-17173000,-28237000,-79119000,-76905000,-32185000,83516000,271860000,703133000,794209000,1139156000,871006000,3950558000
70,Total Liabilities & Equity,143727038,992735172,674913733,619534504,1787005101,2450140398,3624985519,4373707830,4685659381,6345893303,8803468839,11586662000,15444931000,19277956000,24546330000,30354671000,41157430000,58031860000,71031415000,86967928000,112124371000,141874582000,153643924000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1110646/000119312505131680/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312506138671/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312507142483/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312508140745/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312509141163/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312510149321/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465911035900/a11-14725_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465912028598/a12-6054_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465913031064/a12-28368_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465914029684/a13-25245_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465915030142/a15-4743_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465916113375/a16-3849_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465917025196/a17-1327_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465918025392/a18-5396_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465919023833/a18-41432_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465920052796/ntes-20191231x20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-51965341,-142643810,-232639594,16297859,322929290,441420682,931990169,1242777584,1264086122,1596687907,1850436004,2235772000,3234264000,3637452000,4443910000,4756623000,6735108000,11604520000,10707939000,6152407000,21237516000,12062754000,16856842000
74,Depreciation and Amortization,975265,8641806,17337892,21792211,20944142,26452040,40904586,78370029,99110799,90962041,143579975,232171000,293239000,233509000,158363000,174462000,182450000,327515000,801804000,2083501000,2613782000,3457782000,3275727000
75,Deferred Income Tax,- -,- -,- -,-2395329,-7274929,- -,- -,-11786451,- -,- -,-43059751,8619000,-42442000,-31568000,142283000,-117342000,-147285000,66676000,-438043000,-69899000,150629000,88179000,407948000
76,Stock Based Compensation,- -,- -,- -,- -,- -,55340,13835,101286676,95428175,67948661,31384695,102406000,122032000,203018000,306308000,349277000,684467000,990131000,2004263000,2529650000,2404089000,2663489000,3041492000
77,Change in Working Capital,-10100317,-37536923,2546950,-16709288,33397815,130431844,112202710,147421662,-125864019,84579970,113411526,186651000,361611000,214464000,156292000,638139000,679149000,2640427000,-1503070000,2476978000,-358151000,4771479000,3187985000
78,Accounts Receivable,- -,- -,- -,- -,- -,7568165,-16888544,-69580977,-29756151,-72907716,27709389,-89997000,10800000,-70318000,-131030000,-474381000,-1744059000,-1646885000,565228000,-710932000,-11314000,-530413000,-1186586000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-789514000,-760365000,-3896799000,457053000,415057000,29699000,-343587000
80,Accounts Payable,- -,- -,- -,- -,- -,6009418,12823515,45117500,945594,32756625,119614930,-37557000,22710000,43168000,70959000,190453000,243140000,604089000,1100787000,-85195000,13229000,-86352000,-155262000
81,Other Working Capital,- -,- -,- -,- -,- -,86839272,81112133,148547388,-44311887,139912958,135743733,190482000,240121000,145946000,321018000,486744000,2683970000,2879489000,-1291890000,1804579000,883742000,2342916000,1351261000
82,Other Non-Cash Items,45405608,15063046,27032037,96886176,5000268,15793952,19678131,38039293,47141365,177620609,-1257470,89335000,104244000,-32585000,28734000,71864000,-56969000,-141003000,316345000,243240000,-8831407000,1844488000,-1843267000
83,Cash Provided by Operating Activities,-15684784,-156475881,-185722715,115871630,374996586,614153858,1104789431,1596108793,1379902442,2017799188,2094494979,2854954000,4072948000,4224290000,5235890000,5873023000,8076920000,15488266000,11889238000,13415877000,17216458000,24888171000,24926727000
84,CAPEX,-9310787,-43297093,-21099104,-12564313,-27829774,-60142252,-92608975,-142513502,-98472351,-175302716,-612546191,-297980000,-450462000,-178686000,-219836000,-618344000,-1030659000,-1140027000,-2524224000,-6886013000,-3328784000,-3290487000,-3110009000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,-33559525,-4207050,- -,- -,-7915000,-200000000,-20000000,-187532000,-114917000,114649000,-272451000,8987058000,376414000,1115457000
86,Purchases of Investments,- -,- -,-46771326,- -,-332151729,- -,-1693163682,-2163076006,- -,-4253084375,-6406601065,- -,-1001026000,-16733898000,-22687617000,-24065728000,-26115059000,-36691879000,-48271158000,-58899794000,-101588008000,-115141727000,-103124647000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,166561546,165599684,- -,- -,1042752487,4136425777,4136425000,20000000,12746594000,19271797000,20922600000,25685943000,26256768000,38045141000,53026001000,74606989000,89006527000,98238032000
88,Other Investing Activites,- -,-19043675,595326,55231366,-364694,-584810,1423617,1087347050,1026313975,-32037551,774525980,-6459607000,-1817087000,-280165000,-1618523000,-819662000,-1053562000,-2316253000,-1294990000,-4895122000,-2933303000,-2378049000,-1705306000
89,Cash Used for Investing Activites,-9310787,-62340768,-67275104,42667054,-360346197,105834484,-1618749356,-1218242458,952298424,-3409258149,-1907583549,-2621162000,-3208233000,-4454038000,-5453279000,-4520166000,-2536524000,-14001814000,-13249291000,-13569515000,-22136741000,-29192407000,-7078294000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,- -,- -,-20000,- -,- -,-975504000,-5741616000,-9860110000,-58228239000,-18761000,-296823000,-818539000,-2297135000
91,Common Stock Issued,142575963,832636401,6291068,3886517,15066788,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10638000,21911815000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-38164225,- -,- -,-873406019,-1003747328,-165726730,- -,- -,- -,-414942000,-106809000,- -,-132192000,-1199102000,-2061591000,-7516679000,- -,- -,-12924333000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-815413000,-1983010000,-1467965000,-2546165000,-3257607000,-1440194000,-8840634000,-4280462000,-3508377000
94,Other Financing Activites,- -,112463964,17147323,-81994267,804604400,32043212,105497366,44350207,43337827,18433586,40532342,24139000,73564000,24712000,1009070000,2180072000,5709037000,11354870000,62244709000,10563053000,10209344000,-6899727000,6144276000
95,Cash Used/Provided by Financing Activities,142575963,945100364,23438390,-78107749,781506963,32043212,105497366,-829055812,-960409501,-157293144,40532342,24139000,73544000,-390230000,86848000,-778442000,-1632736000,-2250507000,-1302728000,1587419000,1082525000,9913087000,-12585569000
96,Effect of Forex Changes on Cash,- -,-348165,566014,11581,-18071,- -,-29684897,-28078078,-95447070,-140660794,20438618,-14084000,-8778000,-3871000,-1930000,-11260000,142374000,132067000,-12578000,81511000,29080000,161894000,-55354000
97,Net Change In Cash,117580391,725935550,-228993414,80442516,796139280,752031554,-438147456,-479267555,1276344295,-1689412899,247882390,243847000,929481000,-623849000,-132471000,563155000,4050034000,-631988000,-2675359000,1515292000,-3808678000,5770745000,5207510000
98,Cash at the End of Period,117779893,707704991,479694297,559939836,1356307113,2123891537,1685744081,1206476526,2482820821,793407922,1041290312,1285137000,2214618000,1590769000,1458298000,2021453000,6071487000,5439499000,2764140000,10206538000,6397860000,12168605000,17376115000
99,Cash at the Beginning of Period,199502,-18230559,708687712,479497321,560167833,1371859983,2123891537,1685744081,1206476526,2482820821,793407922,1041290000,1285137000,2214618000,1590769000,1458298000,2021453000,6071487000,5439499000,8691246000,10206538000,6397860000,12168605000
100,Free Cash Flow,-24995572,-199772974,-206821819,103307318,347166811,554011606,1012180456,1453595291,1281430091,1842496472,1481948788,2556974000,3622486000,4045604000,5016054000,5254679000,7046261000,14348239000,9365014000,6529864000,13887674000,21597684000,21816718000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1110646/000119312505131680/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312506138671/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312507142483/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312508140745/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312509141163/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312510149321/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465911035900/a11-14725_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465912028598/a12-6054_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465913031064/a12-28368_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465914029684/a13-25245_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465915030142/a15-4743_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465916113375/a16-3849_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465917025196/a17-1327_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465918025392/a18-5396_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465919023833/a18-41432_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465920052796/ntes-20191231x20f.htm,- -,- -
102,Forex Rate,0.1148,0.1148,0.1148,0.1208,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
