,https://roic.ai/company/GPL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,0,- -,48508,-22669,6322,-104089,64109,-148085,52688,116259,355183,282924,-9142004,-7584392,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,21660,772106,4600000,16500000,27600000,31200000,17600000,35300000,45700000,101000000,117700000,94300000,50674712,38616479,89441000,121880000,112776000,270742000,280420000,264043000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1300050/000108503706001336/form20f874421v1.htm,https://www.sec.gov/Archives/edgar/data/1300050/000106299307001730/form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1300050/000106299309000912/0001062993-09-000912-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299310000932/0001062993-10-000932-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299311001059/form20f.htm,https://www.sec.gov/Archives/edgar/data/1300050/000106299312000872/0001062993-12-000872-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299313001181/0001062993-13-001181-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000119907314000073/exh99_2.htm,https://www.sec.gov/Archives/edgar/data/1300050/000127956915000620/0001279569-15-000620-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000127956916003054/0001279569-16-003054-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000127956917000345/0001279569-17-000345-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299318001420/0001062993-18-001420-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000127956919000649/0001279569-19-000649-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000110465920040795/0001104659-20-040795-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-171130,-191798,-432511,-211092,-910000,-4320000,-13300000,-18360000,-13390000,-760000,4820000,11640000,5510000,-12360000,-23299457,-5361049,-4118000,1290000,-10063000,-91022000,334000,-42241000
74,Depreciation and Amortization,4418,1661,1319,1519,2262,10831,1219774,3638966,3520977,3140000,2340000,4610000,8936200,12535101,14541805,13132616,5576000,3954000,3573000,35185000,446000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-319024,-14979,2445223,-427190,575943,-1852704,1838394,4221827,-3438301,1622935,-3603,1509000,1466000,652000,744000,3791000,39000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,4008900,1140563,- -,2270965,868861,2164545,1536946,855584,737384,889968,1026000,1413000,1321000,1726000,2462000,1738000
77,Change in Working Capital,115,103311,16079,-1242,-109982,-721286,-3049721,-851129,3436852,-4883264,-3014518,-4973555,-3934341,2933028,1983013,-1098949,-2343000,-666000,7049000,15273000,-156000,7016000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-2676272,-1775885,- -,- -,- -,-4349657,-3983595,3464598,3341488,-564247,-2285000,-3688000,- -,4568000,-1335000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-519155,-144750,-293809,-449962,-1085826,-1783546,-1933999,-20662,-1043192,-907263,-94000,355000,510000,10521000,-5063000,6912000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1992300,-1564657,-603863,635589,-179000,- -,- -,- -,- -,- -
81,Other Working Capital,115,103311,16079,-1242,- -,- -,- -,- -,-56124,- -,- -,-18609,245268,- -,- -,- -,- -,- -,- -,- -,-902000,- -
82,Other Non-Cash Items,60341,23534,257881,0,208798,718123,1327050,-619873,4185061,897364,1052686,3426787,-3062346,7568355,7406929,-2038298,11982000,-1754000,-2205000,51881000,62012000,32762000
83,Cash Provided by Operating Activities,-106256,-63292,-157232,-210815,-808922,-4631356,-9808975,-12606250,-2674300,1241008,4214326,18706170,13208287,8093767,2992609,5520685,13632000,5703000,327000,13787000,68889000,-686000
84,CAPEX,- -,-249862,-8556,- -,-1494800,-810952,-4921560,-3361015,-1583915,-1683031,-8034714,-23590597,-27666033,-12941762,-7275640,-4616305,-4695000,-5265000,-2069000,-25910000,-41948000,-43977000
85,Acquisitions Net,- -,- -,- -,- -,- -,-4577941,- -,- -,- -,- -,- -,- -,- -,- -,- -,-741520,- -,105000,- -,1441000,- -,-328000
86,Purchases of Investments,-92519,- -,- -,- -,-1455737,-4907870,- -,-34182,-8362,- -,- -,- -,-85442,- -,- -,- -,-15020000,-5071000,-5965000,- -,- -,- -
87,Sales/Maturities of Investments,- -,2472,- -,- -,17361,4520406,- -,- -,- -,- -,- -,- -,- -,4775679,- -,- -,- -,- -,- -,25941000,- -,- -
88,Other Investing Activites,- -,-0,2068,- -,- -,- -,- -,0,82674,4944,-113982,-320274,-728768,-182199,-2584,-1578883,-22000,-1048000,-5000000,3086000,-21000,-1418000
89,Cash Used for Investing Activites,-92519,-247391,-6488,- -,-2933177,-5776357,-4921560,-3395196,-1509603,-1678087,-8148696,-23296768,-27665028,-8107854,-7262719,-6936708,-19715000,-11279000,-13034000,4558000,-41969000,-45723000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-4201702,-1471163,- -,-357736,-1229803,-860921,-130676,- -,- -,- -,- -,- -,- -,-54634000,-50610000,-45917000
91,Common Stock Issued,222524,310417,67331,613347,3265603,12955568,11896567,- -,514347,11735351,- -,22048972,- -,- -,- -,- -,- -,- -,- -,15939000,- -,23077000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-9429,16817,40722,302335,-142925,-32421,10392439,13584827,-234908,1193785,5892057,8304603,509635,364398,652964,6486,35324000,1207000,349000,32714000,51438000,54028000
95,Cash Used/Provided by Financing Activities,213095,327233,108053,915682,3122678,12923147,18087304,12113664,279439,12571400,4662254,29492654,378959,364398,652964,6486,35324000,1207000,349000,-5981000,828000,31188000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72988,44074,304575,612339,350602,1331710,-1284000,-476000,85000,82000,-1322000,-483000
97,Net Change In Cash,14320,16550,-55667,704867,-619421,2515434,3356770,-3887782,-3904464,12134321,654895,24946131,-13773207,962649,-3266544,-77827,27957000,-4845000,-12273000,12446000,26426000,-15704000
98,Cash at the End of Period,43342,57375,2352,707722,144012,2664497,7899835,5410458,498146,12713295,13964766,38625857,20842757,20436338,15478180,12870310,41642000,36797000,24524000,36970000,63396000,47692000
99,Cash at the Beginning of Period,29022,40825,58019,2856,763433,149063,4543065,9298241,4402611,578974,13309870,13679726,34615965,19473689,18744724,12948137,13685000,41642000,36797000,24524000,36970000,63396000
100,Free Cash Flow,-106256,-313155,-165788,-210815,-2303723,-5442308,-14730534,-15967264,-4258214,-442024,-3820389,-4884427,-14457747,-4847995,-4283032,904381,8937000,438000,-1742000,-12123000,26941000,-44663000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1300050/000108503706001336/form20f874421v1.htm,https://www.sec.gov/Archives/edgar/data/1300050/000106299307001730/form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1300050/000106299309000912/0001062993-09-000912-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299310000932/0001062993-10-000932-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299311001059/form20f.htm,https://www.sec.gov/Archives/edgar/data/1300050/000106299312000872/0001062993-12-000872-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299313001181/0001062993-13-001181-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000119907314000073/exh99_2.htm,https://www.sec.gov/Archives/edgar/data/1300050/000127956915000620/0001279569-15-000620-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000127956916003054/0001279569-16-003054-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000127956917000345/0001279569-17-000345-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299318001420/0001062993-18-001420-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000127956919000649/0001279569-19-000649-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000110465920040795/0001104659-20-040795-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,
