,https://roic.ai/company/CUK,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-41787000,-45722000,24333000,-16406000,22212000,-82680000,-160000000,-272000000,-309000000,-295000000,-301000703,-352000000,-348000000,-368000000,-343000000,-340000000,-280000000,-547000000,-775000000,-243000000,-143000000,-118000000,-216000000,-1388000000,-2433000000
20,Income Before Tax,672283000,850802000,1044032000,966552000,913943000,959379000,1223000000,1901000000,2330000000,2318000000,2424000029,2377000000,1806000000,1979000000,1912000000,1302000000,1072000000,1245000000,1799000000,2828000000,2666000000,3207000000,3060000000,-10253000000,-9522000000
21,Income Before Tax Ratio,0.2747,0.2827,0.2985,0.2558,0.2015,0.2196,0.1820,0.1954,0.2102,0.1958,0.1860,0.1623,0.1373,0.1368,0.1211,0.0846,0.0694,0.0784,0.1145,0.1726,0.1523,0.1699,0.1469,-1.8329,-4.9906
22,Income Tax expense (Gain),6233000,3815000,2778000,1094000,-12257000,-56562000,29000000,47000000,73000000,39000000,16000570,47000000,16000000,1000000,- -,4000000,-6000000,9000000,42000000,49000000,60000000,54000000,71000000,-17000000,-21000000
23,Net Income,666050000,835885000,1027240000,965458000,926200000,1015941000,1194000000,1854000000,2257000000,2279000000,2407999459,2330000000,1790000000,1978000000,1912000000,1298000000,1078000000,1236000000,1757000000,2779000000,2606000000,3152000000,2990000000,-10236000000,-9501000000
24,Net Income ratio,0.2721,0.2778,0.2937,0.2555,0.2042,0.2326,0.1777,0.1906,0.2036,0.1925,0.1848,0.1591,0.1360,0.1367,0.1211,0.0844,0.0697,0.0778,0.1118,0.1696,0.1488,0.1669,0.1436,-1.8298,-4.9796
25,EPS,0.93,1.17,1.40,1.34,1.31,1.44,16.70,231.00,2.80,2.85,3.04,2.96,2.27,2.51,2.43,1.67,1.39,1.59,2.26,3.73,3.61,4.45,4.34,-13.20,-12.26
26,EPS Diluted,0.93,1.17,1.38,1.33,1.31,1.44,16.60,224.00,2.70,2.77,2.95,2.90,2.24,2.47,2.42,1.67,1.39,1.59,2.26,3.72,3.59,4.44,4.32,-13.20,-12.26
27,Weighted Average Shares Outstanding,713841721,714996459,735960774,720557464,703012902,704818907,718000000,802000000,806000000,801000000,793000000,786000000,787000000,788000000,787000000,778000000,775000000,776000000,777000000,745000000,723000000,709000000,690000000,775000000,775000000
28,Weighted Average Shares Outstanding Diluted,716812076,719095116,740185600,723257459,705173379,706608089,759000000,851000000,853000000,836000000,828000000,816000000,804000000,805000000,789000000,779000000,777000000,778000000,779000000,747000000,725000000,710000000,692000000,775000000,775000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1125259/000116923208000308/0001169232-08-000308-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312509013746/0001193125-09-013746-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312510016470/0001193125-10-016470-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312511018320/0001193125-11-018320-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312512028375/0001193125-12-028375-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312513027239/0001193125-13-027239-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312514025514/0001193125-14-025514-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509715000007/0000815097-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509716000030/0000815097-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509717000001/0000815097-17-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509718000005/0000815097-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509719000004/0000815097-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509720000003/0000815097-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509721000027/0000815097-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509722000009/0000815097-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,137273000,521771000,189282000,1421300000,666700000,1070000000,643000000,1178000000,1163000000,942999424,650000000,538000000,429000000,450000000,465000000,462000000,331000000,1395000000,603000000,395000000,982000000,518000000,9513000000,8939000000
32,Short-Term Investments,- -,5956000,22800000,- -,36784000,39005000,1000000,17000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000
33,Cash and Short-Term Investments,- -,143229000,544571000,189282000,1458084000,705705000,1071000000,660000000,1187000000,1163000000,942999424,650000000,538000000,429000000,450000000,465000000,462000000,331000000,1395000000,603000000,395000000,982000000,518000000,9513000000,9139000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,75449000,84019000,100451000,91996000,91310000,171000000,240000000,250000000,263000000,330999202,315000000,320000000,320000000,374000000,390000000,374000000,364000000,330000000,322000000,387000000,450000000,427000000,335000000,356000000
36,Other Current Assets,- -,151601000,163046000,259749000,408908000,335137000,890000000,828000000,778000000,569000000,701999830,685000000,660000000,495000000,488000000,966000000,1101000000,808000000,726000000,764000000,814000000,793000000,1114000000,715000000,638000000
37,Total Current Assets,- -,370279000,791636000,549482000,1958988000,1132152000,2132000000,1728000000,2215000000,1995000000,1975998456,1650000000,1518000000,1244000000,1312000000,1821000000,1937000000,1503000000,2451000000,1689000000,1596000000,2225000000,2059000000,10563000000,10133000000
38,PP&E,- -,5768114000,6410527000,8001318000,8390230000,10115404000,17522000000,20823000000,21312000000,23458000000,27201999446,26457000000,29870000000,30967000000,32054000000,32137000000,32905000000,32773000000,31888000000,32429000000,34430000000,35336000000,38131000000,39444000000,39440000000
39,Goodwill,- -,437464000,462340000,701385000,651814000,681056000,3031000000,3321000000,3206000000,3313000000,3610000000,3266000000,3451000000,3320000000,3322000000,3174000000,3210000000,3127000000,3010000000,2910000000,2967000000,2925000000,2912000000,807000000,579000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1324000000,1306000000,1282000000,1321000000,1392999157,1294000000,1346000000,1320000000,1330000000,1314000000,1292000000,1270000000,1238000000,1275000000,1200000000,1176000000,1174000000,1186000000,1181000000
41,Intangible Assets,- -,437464000,462340000,701385000,651814000,681056000,4355000000,4627000000,4488000000,4634000000,5002999157,4560000000,4797000000,4640000000,4652000000,4488000000,4502000000,4397000000,4248000000,4185000000,4167000000,4101000000,4086000000,1993000000,1760000000
42,Investments,- -,546693000,586922000,437391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942999424,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,56773000,34930000,141744000,562520000,406236000,482000000,458000000,417000000,465000000,-942999424,733000000,650000000,639000000,619000000,715000000,760000000,859000000,650000000,633000000,585000000,738000000,782000000,1594000000,2011000000
45,Total Non-Current Assets,- -,6809044000,7494719000,9281838000,9604564000,11202696000,22359000000,25908000000,26217000000,28557000000,32204998603,31750000000,35317000000,36246000000,37325000000,37340000000,38167000000,38029000000,36786000000,37247000000,39182000000,40175000000,42999000000,43031000000,43211000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7179323000,8286355000,9831320000,11563552000,12334848000,24491000000,27636000000,28432000000,30552000000,34180997059,33400000000,36835000000,37490000000,38637000000,39161000000,40104000000,39532000000,39237000000,38936000000,40778000000,42400000000,45058000000,53594000000,53344000000
48,Accounts Payable,- -,168546000,195879000,332694000,269467000,268687000,645000000,631000000,690000000,438000000,561000717,512000000,568000000,503000000,576000000,549000000,639000000,626000000,627000000,713000000,762000000,730000000,756000000,624000000,797000000
49,Short-Term Debt,- -,67626000,206267000,248219000,21764000,148642000,1838000000,3535000000,3670000000,1492000000,2538999758,1608000000,950000000,1353000000,1300000000,1734000000,1468000000,1725000000,1374000000,1097000000,2202000000,2426000000,1827000000,4977000000,4859000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,898941000,1002767000,1134381000,1189009000,1202477000,832000000,868000000,832000000,3485000000,4160000213,3661000000,3449000000,3899000000,4229000000,5057000000,4613000000,4570000000,4955000000,5262000000,5836000000,6048000000,6544000000,3085000000,4752000000
53,Total Current Liabilities,- -,1135113000,1404913000,1715294000,1480240000,1619806000,3315000000,5034000000,5192000000,5415000000,7260000688,5781000000,4967000000,5755000000,6105000000,7340000000,6720000000,6921000000,6956000000,7072000000,8800000000,9204000000,9127000000,8686000000,10408000000
54,Long-Term Debt,- -,1563014000,867515000,2099077000,2954854000,3011969000,6918000000,6291000000,5727000000,6355000000,6313000094,7735000000,9097000000,8011000000,8053000000,7168000000,8092000000,7363000000,7413000000,8357000000,6993000000,7897000000,9675000000,23403000000,29748000000
55,Deferred Revenue,- -,63036000,82680000,146332000,157998000,170814000,299000000,- -,- -,- -,- -,- -,- -,693000000,647000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,379683000,114356000,166000000,551000000,541000000,572000000,645000626,786000000,736000000,- -,- -,724000000,736000000,960000000,1097000000,910000000,769000000,857000000,891000000,949000000,1044000000
58,Total Non-Current Liabilities,- -,1626050000,950195000,2245409000,3492535000,3297139000,7383000000,6842000000,6268000000,6927000000,6958000720,8521000000,9833000000,8704000000,8700000000,7892000000,8828000000,8323000000,8510000000,9267000000,7762000000,8754000000,10566000000,24352000000,30792000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1424000000,1381000000
61,Total Liabilities,- -,2761163000,2355108000,3960703000,4972775000,4916945000,10698000000,11876000000,11460000000,12342000000,14218001407,14302000000,14800000000,14459000000,14805000000,15232000000,15548000000,15244000000,15466000000,16339000000,16562000000,17958000000,19693000000,33038000000,41200000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5955000,6170000,6176000,6200000,5868000,355000000,359000000,359000000,360000000,360000493,360000000,360000000,361000000,363000000,363000000,365000000,365000000,365000000,365000000,365000000,365000000,365000000,372000000,372000000
64,Retained Earnings,- -,3379628000,4176498000,4884023000,5556296000,6325850000,7191000000,8623000000,10233000000,11600000000,12920999135,13980000000,15770000000,17224000000,18349000000,18479000000,18782000000,19242000000,20060000000,21843000000,23292000000,25066000000,26653000000,16075000000,6448000000
65,Other Comprehensive Income/Loss,- -,-1052299000,-1269883000,-1484345000,-1708445000,-1986759000,- -,- -,159000000,661000000,1296000000,-623000000,462000000,-254000000,-209000000,-207000000,161000000,-616000000,-1741000000,-2454000000,-1782000000,-1949000000,-2066000000,-1436000000,- -
66,Other Total Stockholders Equity,- -,2084876000,3018462000,2464763000,2736726000,3072944000,6247000000,6778000000,6221000000,5589000000,5385996024,5381000000,5443000000,5700000000,5329000000,5294000000,5248000000,5297000000,5087000000,2843000000,2341000000,961000000,413000000,5544000000,- -
67,Total Stockholders Equity,- -,4418160000,5931247000,5870617000,6590777000,7417903000,13793000000,15760000000,16972000000,18210000000,19962995652,19098000000,22035000000,23031000000,23832000000,23929000000,24556000000,24288000000,23771000000,22597000000,24216000000,24443000000,25365000000,20555000000,12144000000
68,Total Liabilities And Stockholders Equity,- -,7179323000,8286355000,9831320000,11563552000,12334848000,24491000000,27636000000,28432000000,30552000000,34180997059,33400000000,36835000000,37490000000,38637000000,39161000000,40104000000,39532000000,39237000000,38936000000,40778000000,42401000000,45058000000,53593000000,53344000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,1000000,- -
70,Total Liabilities & Equity,- -,7179323000,8286355000,9831320000,11563552000,12334848000,24491000000,27636000000,28432000000,30552000000,34180997059,33400000000,36835000000,37490000000,38637000000,39161000000,40104000000,39532000000,39237000000,38936000000,40778000000,42400000000,45058000000,53594000000,53344000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1125259/000116923208000308/0001169232-08-000308-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312509013746/0001193125-09-013746-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312510016470/0001193125-10-016470-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312511018320/0001193125-11-018320-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312512028375/0001193125-12-028375-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312513027239/0001193125-13-027239-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000119312514025514/0001193125-14-025514-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509715000007/0000815097-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509716000030/0000815097-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509717000001/0000815097-17-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509718000005/0000815097-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509719000004/0000815097-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509720000003/0000815097-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509721000027/0000815097-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1125259/000081509722000009/0000815097-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,666050000,835885000,1027240000,965458000,926200000,1015941000,1194000000,1854000000,2257000000,2279000000,2407999459,2330000000,1790000000,1978000000,1912000000,1298000000,1078000000,1236000000,1757000000,2779000000,2606000000,3152000000,2990000000,-10236000000,-9501000000
74,Depreciation and Amortization,167287000,200668000,243658000,287667000,372224000,382343000,585000000,812000000,902000000,988000000,1101000428,1249000000,1309000000,1416000000,1522000000,1527000000,1588000000,1635000000,1626000000,1738000000,1846000000,2017000000,2160000000,2241000000,2233000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000000,64000225,50000000,50000000,43000000,46000000,39000000,42000000,52000000,55000000,55000000,63000000,65000000,46000000,105000000,121000000
77,Change in Working Capital,88272000,-764834000,151557000,-552535000,1644560000,-966402000,-695346000,-2123000000,329000000,-443000000,-1864002232,1153002232,682000000,-1062000000,-282000000,-726000000,736000000,-635000000,913000000,-878000000,-1821000000,225000000,-89000000,8945000000,-2152000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-1689000,-3913000,-8570000,-8205000,8455000,1667000,-17000000,-73000000,-15000000,-5000000,-56999204,-8000000,10000000,-12000000,-54000000,-16000000,19000000,1000000,5000000,1000000,-49000000,-67000000,79000000,77000000,-63000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-764834000,-613277000,-1165812000,478748000,-487654000,-1183000000,-3306000000,-2977000000,-3420000000,-5284002232,-4131000000,-3449000000,-4511000000,-4793000000,-5519000000,-4783000000,-5418000000,-4505000000,-5383000000,-7204000000,-6979000000,-7068000000,1877000000,-275000000
82,Other Non-Cash Items,-44029000,820121000,-92731000,578945000,-1704048000,1037150000,849346000,2673000000,-78000000,741000000,2421003834,-1391002232,-489000000,1443000000,568000000,861000000,-610000000,1142000000,194000000,1440000000,2628000000,90000000,368000000,-7356000000,5190000000
83,Cash Provided by Operating Activities,877580000,1091840000,1329724000,1279535000,1238936000,1469032000,1933000000,3216000000,3410000000,3633000000,4130001714,3391000000,3342000000,3818000000,3766000000,2999000000,2834000000,3430000000,4545000000,5134000000,5322000000,5549000000,5475000000,-6301000000,-4109000000
84,CAPEX,-497657000,-1150413000,-872984000,-1003348000,-826568000,-1986482000,-2516000000,-3586000000,-1977000000,-2480000000,-3312000834,-3353000000,-3380000000,-3579000000,-2696000000,-2332000000,-2149000000,-2583000000,-2294000000,-3062000000,-2944000000,-3749000000,-5429000000,-3620000000,-3607000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-65700000,- -,- -,- -,-338999488,- -,-33000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81000000,-90000000
86,Purchases of Investments,-38378000,- -,-68280000,- -,-33395000,- -,-7300000,-772000000,-935000000,-18000000,-2098000000,-4000000,-4000000,- -,- -,- -,- -,- -,-219000000,- -,- -,- -,-6000000,- -,-2873000000
87,Sales/Maturities of Investments,42288000,- -,- -,- -,531225000,2213000,42000000,1216000000,943000000,6000000,2078000000,11000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2676000000
88,Other Investing Activites,-458811000,-1321053000,-842100000,-1292027000,-13178000,-35784000,214000000,53000000,-1000000,49000000,-75000044,91000000,31000000,78000000,50000000,560000000,93000000,76000000,35000000,-261000000,-145000000,247000000,158000000,461000000,351000000
89,Cash Used for Investing Activites,-454901000,-1321053000,-910380000,-1292027000,-341916000,-2020053000,-2333000000,-3089000000,-1970000000,-2443000000,-3746000366,-3255000000,-3384000000,-3501000000,-2646000000,-1772000000,-2056000000,-2507000000,-2478000000,-3323000000,-3089000000,-3502000000,-5277000000,-3240000000,-3543000000
90,Debt Repayment,-424391000,-1006586000,-564838000,-388429000,-1971026000,-189678000,-1137000000,-932000000,-1096000000,-2537000000,-1985999327,-5448000000,-3310000000,-2192000000,-1237000000,-1052000000,-2212000000,-2466000000,-1238000000,-1278000000,-1256000000,-1556000000,-1651000000,-1621000000,-5956000000
91,Common Stock Issued,- -,- -,- -,7811000,- -,- -,53000000,142000000,63000000,66000000,51000000,- -,196000000,545000000,- -,- -,35000000,- -,264000000,40000000,- -,- -,- -,3249000000,1215000000
92,Common Stock Repurchased,- -,- -,- -,-705137000,- -,- -,- -,- -,-386000000,-841000000,-326000823,-83000000,-188000000,-524000000,-454000000,-90000000,-138000000,- -,-533000000,-2340000000,-552000000,-1468000000,-603000000,-12000000,-188000000
93,Dividends Paid,-130456000,-178458000,-219179000,-254333000,-245844000,-246323000,-292000000,-400000000,-566000000,-803000000,-989999813,-1261000000,-314000000,-237000000,-671000000,-779000000,-1164000000,-776000000,-816000000,-977000000,-1087000000,-1355000000,-1387000000,-689000000,- -
94,Other Financing Activites,160528000,1411541000,749171000,1020091000,2554024000,237636000,2202000000,1111000000,1093000000,2903000000,2646997971,6477000000,3523000000,2004000000,1269000000,731000000,2699000000,2214000000,1381000000,1964000000,443000000,2919000000,2986000000,17723000000,11878000000
95,Cash Used/Provided by Financing Activities,-394319000,226497000,-34846000,-319997000,337154000,-198365000,826000000,-79000000,-892000000,-1212000000,-604001992,-315000000,-93000000,-404000000,-1093000000,-1190000000,-780000000,-1028000000,-942000000,-2591000000,-2452000000,-1460000000,-655000000,18650000000,6949000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2156000,-5214000,-23000000,-15000000,-13000000,7000000,- -,-114000000,23000000,-22000000,-6000000,-22000000,-1000000,-26000000,-61000000,-12000000,11000000,-1000000,-9000000,53000000,-13000000
97,Net Change In Cash,28360000,-2716000,384498000,-332489000,1232018000,-754600000,403000000,33000000,535000000,-15000000,-220000000,-293000000,-112000000,-109000000,21000000,15000000,-3000000,-131000000,1064000000,-792000000,-208000000,587000000,-466000000,9162000000,-716000000
98,Cash at the End of Period,139989000,137273000,521771000,189282000,1421300000,666700000,1070000000,643000000,1178000000,1163000000,943000000,650000000,538000000,429000000,450000000,465000000,462000000,331000000,1395000000,603000000,395000000,982000000,530000000,9692000000,8976000000
99,Cash at the Beginning of Period,111629000,139989000,137273000,521771000,189282000,1421300000,667000000,610000000,643000000,1178000000,1163000000,943000000,650000000,538000000,429000000,450000000,465000000,462000000,331000000,1395000000,603000000,395000000,996000000,530000000,9692000000
100,Free Cash Flow,379923000,-58573000,456740000,276187000,412368000,-517450000,-583000000,-370000000,1433000000,1153000000,818000880,38000000,-38000000,239000000,1070000000,667000000,685000000,847000000,2251000000,2072000000,2378000000,1800000000,46000000,-9921000000,-7716000000
