,https://roic.ai/company/EQNR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,1241036521,1281141276,1775000000,2010000000,2426000000,2448000000,2892000000,3124000000,3491000000,7248000000,6179000000,9328121899,8608413139,8603069294,10836157302,11904722755,13638509556,15221081084,11550000000,8644000000,9249000000,13204000000,15235000000,11719000000
15,EBITDA,1816327120,2968954466,8160000000,8212000000,9796000000,9066000000,14548000000,16567000000,22896000000,34175000000,32111000000,31405792975,32252632295,45114595899,48198511237,35007119813,28850693291,16131160670,11975000000,22546000000,28697000000,23481000000,11941000000,44058000000
16,EBITDA ratio,0.1307,0.1700,0.3139,0.3193,0.2790,0.2417,0.2867,0.2844,0.3357,0.3551,0.3406,0.3910,0.3588,0.4025,0.3813,0.3437,0.3535,0.3047,0.2621,0.3698,0.3653,0.3732,0.2610,0.4965
17,Operating Income,2652743461,3492388624,6767000000,5665000000,6206000000,7356000000,10789000000,14084000000,18748000000,25259000000,28572000000,20990690170,23342462025,35481838896,37004133860,25568845143,14727976295,1695023230,80000000,13771000000,20137000000,9299000000,-3423000000,33663000000
18,Operating Income ratio,0.1908,0.2000,0.2603,0.2203,0.1768,0.1961,0.2126,0.2418,0.2749,0.2624,0.3031,0.2613,0.2596,0.3166,0.2928,0.2510,0.1805,0.0320,0.0018,0.2259,0.2563,0.1478,-0.0748,0.3793
19,Total Other Income Expenses (Gains),-2088086942,-1842498213,-382000000,537000000,1164000000,-738000000,950000000,-528000000,772000000,1769000000,-2639000000,-1164807289,-70081138,344625385,17911004,-2811750816,-13450207,-1205855452,-258000000,-351000000,-1263000000,-7000000,-836000000,-2080000000
20,Income Before Tax,564656519,1649890411,6385000000,6202000000,7370000000,6618000000,11739000000,13556000000,19520000000,27028000000,25933000000,19825882881,23272380888,35826464281,37022044863,22757094327,14714526089,489167778,-178000000,13420000000,18874000000,9292000000,-4259000000,31583000000
21,Income Before Tax Ratio,0.0406,0.0945,0.2457,0.2411,0.2099,0.1765,0.2314,0.2327,0.2862,0.2808,0.2751,0.2468,0.2589,0.3197,0.2929,0.2234,0.1803,0.0092,-0.0039,0.2201,0.2403,0.1477,-0.0931,0.3559
22,Income Tax expense (Gain),557698417,1263302600,4563000000,4283000000,4944000000,4128000000,7527000000,8892000000,12890000000,18809000000,19715000000,16768910862,16868631887,22684291650,24573897219,16311443333,11755480623,4732413850,2724000000,8822000000,11335000000,7441000000,1237000000,23007000000
23,Net Income,17592182,424510590,1822000000,1919000000,2426000000,2490000000,4129000000,4551000000,6515000000,8118000000,6217000000,3160165316,6477742435,13199805656,12340681621,6560751905,2945595259,-4265998062,-2922000000,4590000000,7535000000,1843000000,-5510000000,8563000000
24,Net Income ratio,0.0013,0.0243,0.0701,0.0746,0.0691,0.0664,0.0814,0.0781,0.0955,0.0843,0.0659,0.0393,0.0721,0.1178,0.0976,0.0644,0.0361,-0.0806,-0.0640,0.0753,0.0959,0.0293,-0.1204,0.0965
25,EPS,0.01,0.22,0.92,0.93,1.12,1.15,1.90,2.10,3.02,2.54,1.94,0.99,2.03,4.15,3.88,2.06,0.93,-1.34,-0.91,1.40,2.27,0.55,-1.69,2.62
26,EPS Diluted,0.01,0.22,0.92,0.93,1.12,1.15,1.90,2.10,3.02,2.54,1.94,0.99,2.03,4.15,3.87,2.06,0.92,-1.34,-0.91,1.40,2.27,0.55,-1.69,2.62
27,Weighted Average Shares Outstanding,1965989216,1965989216,1975885600,2076180942,2165422239,2166143693,2166142636,2165740054,2161028202,3195870000,3185953538,3183873643,3182574787,3182112843,3181500000,3180700000,3180000000,3179400000,3195000000,3268000000,3326000000,3326000000,3269000000,3269000000
28,Weighted Average Shares Outstanding Diluted,1965989216,1965989216,1975885600,2076180942,2165422239,2166143693,2166143715,2165832864,2164357459,3195870000,3185953538,3183873643,3182574787,3182112843,3190185185,3192000000,3187772926,3179400000,3195000000,3268000000,3326000000,3326000000,3277000000,3269000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,965000000,1100000000,833000000,1040000000,1182000000,3362000000,2678000000,4266300831,5160319107,5779051066,11266021393,13664122388,10787065743,8099708319,4555000000,3953000000,7053000000,4626000000,5757000000,12033000000
32,Short-Term Investments,- -,- -,- -,- -,758000000,1401000000,1926000000,1013000000,165000000,- -,- -,2138241055,1957679158,3330317652,2668739567,6445650994,7962522344,9840235529,8211000000,8448000000,7041000000,7426000000,11865000000,21246000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,1723000000,2501000000,2759000000,2053000000,1347000000,3362000000,2678000000,6404541886,7117998265,9109368717,13934760960,20109773383,18749588087,17939943848,12766000000,12401000000,14094000000,12052000000,17622000000,33279000000
34,Net Receivables,- -,- -,- -,- -,4889000000,4541000000,5259000000,6422000000,6620000000,12772000000,10601000000,10194048266,13134259811,17396126525,13254142815,13433920567,11204022150,6689084960,7839000000,9425000000,8998000000,8233000000,8232000000,17927000000
35,Inventory,- -,- -,- -,- -,781000000,751000000,1155000000,1279000000,1904000000,3258000000,2177000000,3485103409,4018949123,4652526471,4531483962,4867124220,3187698979,2502718863,3227000000,3398000000,2144000000,3363000000,3084000000,3395000000
36,Other Current Assets,- -,- -,- -,- -,987000000,1106000000,1609000000,1075000000,2493000000,4502000000,5353000000,- -,1033186480,2029218603,1056749224,855035336,1102916946,1092095504,1564000000,1965000000,819000000,1130000000,3247000000,7900000000
37,Total Current Assets,- -,- -,- -,- -,8380000000,8899000000,10782000000,10829000000,12364000000,23894000000,20809000000,20083693561,25304393679,33187240316,32777136962,39265853506,34244226163,28223843175,25396000000,27189000000,26055000000,24778000000,32185000000,62501000000
38,PP&E,- -,- -,- -,- -,17623000000,19030000000,25338000000,26877000000,33620000000,51245000000,47398000000,58815865538,59229447686,68285920118,78647217705,80159562748,75603611649,62147059760,59556000000,63636000000,65261000000,69951000000,65673000000,62074000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1843084037,1737367369,1726513659,928064260,329903850,328000000,339000000,565000000,1458000000,1481000000,1467000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8257000000,9489000000,9362117016,6752113491,13683319930,13952671964,13335262644,10531511817,9157675839,8914000000,8282000000,9107000000,9280000000,6667000000,4986000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8257000000,9489000000,9362117016,6752113491,15526403967,15690039333,15061776303,11459576076,9487579689,9242000000,8621000000,9672000000,10738000000,8148000000,6453000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4024711171,4973889673,4121766519,4173263886,3913430961,3766057865,3173902558,4589000000,5392000000,5318000000,5042000000,6345000000,6032000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000000,187000000,338225524,319447516,955635974,698529148,1348324953,1735076659,2024927080,2195000000,2441000000,3304000000,3881000000,4974000000,6259000000
44,Other Non-Current Assets,- -,- -,- -,- -,3579000000,5400000000,5014000000,4514000000,4617000000,5418000000,5236000000,4501333057,12796271411,6693807801,8507726807,5919475403,5864290105,4959933746,3550000000,3821000000,2896000000,3671000000,4647000000,3801000000
45,Total Non-Current Assets,- -,- -,- -,- -,21202000000,24430000000,30352000000,31391000000,38237000000,65066000000,62310000000,77042252306,84071169777,95583534379,107716776879,106402570368,98428612356,81793402833,79132000000,83911000000,86451000000,93283000000,89787000000,84619000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,29582000000,33329000000,41134000000,42220000000,50601000000,88960000000,83119000000,97125945867,109375563456,128770774695,140493913841,145668423874,132672838518,110017246008,104528000000,111100000000,112506000000,118061000000,121972000000,147120000000
48,Accounts Payable,- -,- -,- -,- -,3636000000,3623000000,4126000000,4891000000,4800000000,11897000000,2239000000,10319502325,12511013965,5214280927,6358406351,4653365386,2932145052,2059055064,2358000000,3181000000,2532000000,3047000000,2748000000,6249000000
49,Short-Term Debt,- -,- -,- -,- -,623000000,645000000,784000000,226000000,885000000,- -,2974000000,1406396949,1995271224,3325123978,3295624700,2811750816,3564304766,2332078940,3674000000,4091000000,2463000000,4087000000,5777000000,6386000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7074090372,7942472231,9096635840,11140644366,8681897258,5326281838,2741614754,2184000000,4057000000,4654000000,3699000000,1148000000,13119000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,4312000000,4381000000,5220000000,6354000000,6795000000,11919000000,17739000000,7567623534,8650257701,20131182147,19630460170,19994672472,17579420108,11000587001,10766000000,11744000000,11610000000,12423000000,11295000000,26504000000
53,Total Current Liabilities,- -,- -,- -,- -,8571000000,8649000000,10130000000,11471000000,12480000000,23816000000,22952000000,19293522809,23156542891,28670587053,29284491220,27459788675,24075869926,15391721006,16798000000,19016000000,16605000000,19557000000,19820000000,39139000000
54,Long-Term Debt,- -,- -,- -,- -,4724000000,4962000000,5213000000,4838000000,4855000000,- -,7847000000,16559590678,16975454592,18699068489,18090113842,27213143866,27586373865,30032626353,27999000000,24183000000,23264000000,24945000000,32338000000,29854000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,6214000000,5692000000,7336000000,5842000000,7216000000,12423000000,9792000000,13170432877,13276633384,13825224501,14543735089,11674520934,9616897764,7439900619,6427000000,7654000000,8671000000,9410000000,11224000000,14037000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,1640000000,3249000000,4098000000,4054000000,6210000000,19755000000,11481000000,13569228380,17457177363,19801635170,21278272520,20734606898,20121509167,16711336406,18207000000,20362000000,20978000000,22992000000,24698000000,25066000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,12578000000,13903000000,16647000000,14734000000,18281000000,32178000000,29120000000,43299251935,47709265339,52325928160,53912121451,59622271697,57324780795,54183863379,52633000000,52199000000,52913000000,57347000000,68260000000,68957000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95418530678,- -,- -,- -,- -,108367726758,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146093017,- -,- -,- -,- -,- -,- -,- -,- -,4406000000,3562000000
61,Total Liabilities,- -,- -,- -,- -,21149000000,22552000000,26777000000,26205000000,30761000000,55994000000,52072000000,62592774744,70865808229,80996515212,83196612671,87082060372,81400650721,69575584385,69431000000,71215000000,69518000000,76904000000,88080000000,108096000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,788000000,823000000,907000000,811000000,869000000,1468000000,1146000000,1375680549,1356035993,1335611848,1432880304,1315438978,1076016533,910079586,1156000000,1180000000,1185000000,1185000000,1164000000,1164000000
64,Retained Earnings,- -,- -,- -,- -,2499000000,4155000000,7648000000,9686000000,14157000000,25941000000,21267000000,25178646925,28055418531,36610038869,48502998302,46780298670,36100354682,24469764881,32573000000,34406000000,38790000000,37481000000,30050000000,36683000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-501000000,-90000000,-631000000,-204000000,-827000000,-2322000000,2479000000,- -,989300720,1953659027,-35822008,3732558101,8648482884,10420411265,-5264000000,-3658000000,-5250000000,-5258000000,-4194000000,-5245000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,5424000000,5666000000,6165000000,5501000000,5406000000,7549000000,5871000000,7668400935,6943305720,6829681008,7271867545,6626523854,5393532872,4550397932,6607000000,7933000000,8245000000,7731000000,6853000000,6408000000
67,Total Stockholders Equity,- -,- -,- -,- -,8210000000,10554000000,14089000000,15794000000,19605000000,32636000000,30763000000,34222728410,37344060964,46728990752,57171924143,58454819604,51218386971,40350653665,35072000000,39861000000,42970000000,41139000000,33873000000,39010000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,29359000000,33106000000,40866000000,41999000000,50366000000,88630000000,82835000000,96815503154,108209869193,127725505964,140368536814,145536879976,132619037692,109926238050,104503000000,111076000000,112488000000,118043000000,121953000000,147106000000
69,Minority Interest,- -,- -,- -,- -,223000000,223000000,268000000,221000000,235000000,330000000,284000000,310442713,1165694263,1045268731,125377027,131543898,53800827,91007959,25000000,24000000,18000000,18000000,19000000,14000000
70,Total Liabilities & Equity,- -,- -,- -,- -,29582000000,33329000000,41134000000,42220000000,50601000000,88960000000,83119000000,97125945867,109375563456,128770774695,140493913841,145668423874,132672838518,110017246008,104528000000,111100000000,112506000000,118061000000,121972000000,147120000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,17592182,424510590,1822000000,1919000000,2426000000,2490000000,4129000000,4551000000,6515000000,8118000000,6217000000,3160165316,6477742435,13199805656,12340681621,6560751905,2945595259,-4265998062,-2922000000,4590000000,7535000000,1843000000,-5510000000,8563000000
74,Depreciation and Amortization,1241036521,1281141276,1775000000,2010000000,2426000000,2448000000,2892000000,3124000000,3491000000,7248000000,6179000000,9328121899,8608413139,8603069294,10836157302,11904722755,13638509556,15221081084,11550000000,8644000000,9249000000,13204000000,15235000000,11719000000
75,Deferred Income Tax,- -,- -,138000000,94000000,90000000,-929000000,829000000,-752000000,869000000,- -,- -,-17338027075,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,717000000,52000000,-92000000,-354000000,-1160000000,1240000000,-1239000000,92000000,326000000,-981371712,-2624470564,-3317584774,-519419110,904364298,2434487406,3264910516,-544000000,-933000000,564000000,1275000000,394000000,-4546000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1904416777,-2820935889,-2406848948,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,15000000,-117000000,-21000000,52000000,-273000000,-246000000,-552000000,-448000000,355000000,-870585596,-583612581,-687240316,143288030,-180872860,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-235549918,1644355237,3411070902,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,247000000,- -,- -,- -,- -,-175000000,- -,1836000000,- -,-101039310,-2256232409,-1343325285,1446982876,2434487406,3264910516,-544000000,-933000000,564000000,1275000000,394000000,- -
82,Other Non-Cash Items,63935765,811098401,1950000000,285000000,-1391000000,977000000,-260000000,168000000,134000000,1834000000,2012000000,18428459262,1284934256,188982710,268665057,-2713092893,-2004080793,-1820159173,950000000,2062000000,2346000000,-2573000000,267000000,13080000000
83,Cash Provided by Operating Activities,1322564467,2516750267,6402000000,4360000000,3459000000,4632000000,6430000000,8331000000,9770000000,17292000000,14734000000,12597347691,13746619266,18674272886,22926084870,16656746064,17014511428,12399834366,9034000000,14363000000,19694000000,13749000000,10386000000,28816000000
84,CAPEX,-2911768644,-3211211171,-1951000000,-1853000000,-2579000000,-3320000000,-5269000000,-4649000000,-6727000000,-13066000000,-9967000000,-12830999405,-13315246049,-15451514542,-20131968276,-18629904532,-16489953368,-14185865554,-12191000000,-10755000000,-11367000000,-10204000000,-8476000000,-8040000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-1948000000,- -,- -,-1885000000,- -,- -,-4309408926,- -,- -,- -,-398159819,761000000,- -,-3557000000,-2274000000,- -,-111000000
86,Purchases of Investments,- -,- -,- -,-315000000,-215000000,-1155000000,-439000000,- -,- -,- -,- -,-282314774,-675636599,- -,- -,- -,- -,- -,- -,- -,- -,-1012000000,-4323000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298000000,- -,- -
88,Other Investing Activites,193120144,827939109,145000000,739000000,381000000,986000000,412000000,1019000000,298000000,-762000000,-483000000,-1133400633,-941672762,3706607693,-107466023,-1167452093,-15064231462,-12695610231,-11207000000,-9678000000,-7655000000,-7606000000,-7769000000,-16100000000
89,Cash Used for Investing Activites,-2718648500,-2383272062,-1806000000,-1429000000,-2413000000,-3489000000,-5296000000,-5578000000,-6429000000,-13828000000,-12335000000,-13003736012,-12964670261,-14855582362,-17302029675,-18153057902,-15064231462,-13093770050,-10446000000,-9678000000,-11212000000,-10594000000,-12092000000,-16211000000
90,Debt Repayment,-551396740,-731385716,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2074219795,-552654408,-1240115266,-2185142464,-2400676136,-1345020666,-1922543126,-1405000000,-4775000000,-3351000000,-2419000000,-3332000000,-3913000000
91,Common Stock Issued,- -,- -,- -,1435000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-162000000,-40000000,-44000000,-59189467,-50009355,-68355448,- -,- -,- -,- -,- -,- -,- -,-442000000,-1059000000,-321000000
93,Dividends Paid,-385977718,-16840708,-2410000000,-631000000,-913000000,-998000000,-1151000000,-1835000000,-2848000000,-4730000000,-3892000000,-3983640929,-3248056609,-3332495644,-3707577787,-3535242255,-4532719645,-2605102816,-1876000000,-1491000000,-2672000000,-3342000000,-2330000000,-1797000000
94,Other Financing Activites,2228430541,1047367298,-1556000000,-4307000000,246000000,-184000000,-349000000,-611000000,-284000000,3314000000,1489000000,8065470798,3947166987,2504020909,2632917559,10309752993,2770742572,3674446330,1322000000,444000000,999000000,707000000,9712000000,1195000000
95,Cash Used/Provided by Financing Activities,1291056082,299140874,-3966000000,-3503000000,-667000000,-1182000000,-1500000000,-2446000000,-3294000000,-1456000000,-2447000000,1948420608,96446614,-2136945450,-3259802692,4373834603,-3106997739,-853199612,-1959000000,-5822000000,-5024000000,-5496000000,2991000000,-4836000000
96,Effect of Forex Changes on Cash,- -,- -,12000000,-24000000,-47000000,132000000,-13000000,-11000000,8000000,-29000000,102000000,-491980086,76544932,-52941965,-340309072,476846630,766661780,807695633,-152000000,436000000,-292000000,-38000000,294000000,-538000000
97,Net Change In Cash,-105027951,432619079,641000000,-596000000,332000000,92000000,-379000000,295000000,55000000,1978000000,53000000,1050052201,954940550,1628803110,2023943430,3354369395,-390055993,-739439664,-3523000000,-700000000,3166000000,-2379000000,1580000000,7230000000
98,Cash at the End of Period,79296103,507965655,1099000000,489000000,965000000,1100000000,833000000,1040000000,1182000000,3362000000,2678000000,4266300831,5160319107,6507003083,11624241469,14025868108,11082970290,8634380077,5090000000,4390000000,7556000000,5177000000,6757000000,13987000000
99,Cash at the Beginning of Period,184324053,75346576,458000000,1085000000,633000000,1008000000,1212000000,745000000,1127000000,1384000000,2625000000,3216248630,4205378557,4878199973,9600298039,10671498713,11473026283,9373819741,8613000000,5090000000,4390000000,7556000000,5177000000,6757000000
100,Free Cash Flow,-1589204177,-694460904,4451000000,2507000000,880000000,1312000000,1161000000,3682000000,3043000000,4226000000,4767000000,-233651714,431373216,3222758343,2794116593,-1973158468,524558060,-1786031188,-3157000000,3608000000,8327000000,3545000000,1910000000,20776000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,
