,https://roic.ai/company/EDRY,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,137517,184799,245922,230644
77,Change in Working Capital,3046926,-2883464,-3269604,7942294,714654,-1078079
78,Accounts Receivable,-241359,44436,-1809442,393202,314953,- -
79,Inventory,-99499,-184071,-114756,58236,-876569,- -
80,Accounts Payable,128508,37630,360599,185151,238081,- -
81,Other Working Capital,66022,209192,-93507,249593,-199699,- -
82,Other Non-Cash Items,7521622,157778,560367,512083,686563,1175267
83,Cash Provided by Operating Activities,4255829,2910287,3970170,15113924,2325534,39138291
84,CAPEX,-24243012,-9635504,-29045685,-1111297,-611106,-36823327
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-24243012,-9635504,-29045685,-1111297,-611106,-36823327
90,Debt Repayment,-2347000,-2452541,-23337271,-11494000,-5524000,-45397000
91,Common Stock Issued,- -,- -,- -,- -,- -,9975312
92,Common Stock Repurchased,- -,- -,- -,-4300000,- -,-16606000
93,Dividends Paid,- -,- -,- -,-1311612,-713552,-1085902
94,Other Financing Activites,22819737,11735900,51266156,4477500,- -,75719674
95,Cash Used/Provided by Financing Activities,20472737,9283359,27928885,-12628112,-6237552,22606084
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,485554,2558142,2853370,1374515,-4523124,24921048
98,Cash at the End of Period,2343415,4901557,7754927,9129442,4606318,29527366
99,Cash at the Beginning of Period,1857861,2343415,4901557,7754927,9129442,4606318
100,Free Cash Flow,-19987183,-6725217,-25075515,14002627,1714428,2314964
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1731388/000091957419003068/d8225562_20-f.htm,https://www.sec.gov/Archives/edgar/data/1731388/000091957420002943/d8483984_20-f.htm,- -,- -
102,false,,,,,,
