,https://roic.ai/company/AMRK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,91000000,95000000,135200000,147000000,212000000,180500000,200000000,167000000,135000000,185000000
50,Tax Payable,- -,21644000,8505000,2178000,- -,- -,1418000,- -,- -,2135000,5016000
51,Deferred Revenue,- -,21369000,42533000,42916000,49078000,42915000,40159000,44722000,59235000,135765000,194416000
52,Other Current Liabilities,- -,133391000,116738000,77167000,73734000,111075000,183424000,420972000,313456000,283679000,328608000
53,Total Current Liabilities,- -,253211000,255802000,255649000,269940000,366593000,404360000,665869000,540937000,556760000,709585000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,7226000,91859000,92517000,98540000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,333000,552000,33000,- -,7245000,- -,- -,- -,62000,19514000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1117000,798000,- -,3802000,- -
58,Total Non-Current Liabilities,- -,333000,552000,33000,- -,7245000,1117000,8024000,91859000,96381000,118054000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,1117000,798000,- -,3802000,5291000
61,Total Liabilities,- -,253544000,256354000,255682000,269940000,373838000,405477000,673893000,632796000,653141000,827639000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,75000,75000,70000,70000,71000,71000,71000,71000,71000,113000
64,Retained Earnings,- -,31296000,28810000,27069000,33422000,41018000,45994000,40910000,43135000,73644000,212090000
65,Other Comprehensive Income/Loss,- -,-1112000,-1183000,-1728000,- -,-3043000,-3885000,-5597000,-7395000,-9267000,- -
66,Other Total Stockholders Equity,- -,25312000,25552000,24045000,22470000,25263000,27411000,30314000,33847000,36556000,150420000
67,Total Stockholders Equity,- -,55571000,53254000,49456000,55962000,63309000,69591000,65698000,69658000,101004000,362623000
68,Total Liabilities And Stockholders Equity,- -,309115000,309608000,305138000,325902000,437147000,475068000,739591000,702454000,754145000,1190262000
69,Minority Interest,- -,- -,- -,- -,- -,- -,3432000,3410000,2908000,3890000,1319000
70,Total Liabilities & Equity,- -,309115000,309608000,305138000,325902000,437147000,478500000,743001000,705362000,758035000,1191581000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1591588/000159158814000110/0001591588-14-000110-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158815000072/0001591588-15-000072-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158816000181/a-mark10xkw2016junfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158817000062/0001591588-17-000062-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158818000044/0001591588-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158819000024/0001591588-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000156459020043316/0001564590-20-043316-index.htm,https://www.sec.gov/Archives/edgar/data/1591588/000156459021047760/0001564590-21-047760-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,12660000,10574000,12514000,8259000,7051000,9271000,7086000,-3397000,2225000,30509000,159637000
74,Depreciation and Amortization,681000,727000,826000,934000,895000,1216000,1521000,2626000,2807000,2900000,10788000
75,Deferred Income Tax,-1660000,-17268000,11091000,6930000,-1364000,6695000,-10780000,89000,707000,3225000,-2034000
76,Stock Based Compensation,138000,137000,169000,194000,253000,419000,996000,1191000,1096000,953000,1173000
77,Change in Working Capital,-87423000,46320000,-1752000,-4894000,3012000,8982000,-9007000,-1547000,86799000,29346000,97383000
78,Accounts Receivable,-56833000,-35804000,18138000,14282000,20224000,-13277000,4007000,4044000,8992000,-22247000,-20880000
79,Inventory,-42946000,29840000,-18914000,-13176000,-15947000,-53556000,-39602000,16946000,-12745000,-28420000,-79031000
80,Accounts Payable,47139000,9814000,-4509000,-8584000,-8890000,-3870000,-4822000,2221000,16183000,78750000,-27446000
81,Other Working Capital,- -,46320000,44568000,39674000,42686000,51668000,42661000,41114000,127913000,157259000,254642000
82,Other Non-Cash Items,- -,-15097000,-24054000,-28168000,-13752000,-82739000,403000,8684000,-108167000,-18998000,-319601000
83,Cash Provided by Operating Activities,-75604000,25393000,-1206000,-16745000,-3905000,-56156000,-9781000,7646000,-14533000,47935000,-52654000
84,CAPEX,-369000,-568000,-480000,-1011000,-1784000,-1466000,-2265000,-1317000,-490000,-986000,-2113000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-3421000,-9515000,- -,- -,-63352000
86,Purchases of Investments,- -,- -,- -,-500000,-2000000,-4672000,- -,- -,-2300000,- -,-7996000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-568000,- -,-5132000,-12178000,-25547000,-33066000,-8317000,-12505000,48774000,-59045000
89,Cash Used for Investing Activites,-369000,-568000,-480000,-5632000,-14178000,-30219000,-36487000,-17832000,-14805000,48774000,-130393000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-500000,-7500000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,75344000
92,Common Stock Repurchased,- -,- -,- -,-2198000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2926000,- -,-15000000,-10000000,-698000,-1675000,-2110000,-1687000,- -,- -,-21191000
94,Other Financing Activites,83569000,-22929000,26978000,26203000,26515000,84264000,44295000,5605000,38867000,-52704000,177974000
95,Cash Used/Provided by Financing Activities,80643000,-22929000,11978000,14005000,25817000,82590000,42185000,3418000,31367000,-52704000,232127000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4670000,1896000,10292000,-8372000,7734000,-3785000,-4083000,-6768000,2029000,44005000,49080000
98,Cash at the End of Period,9377000,11273000,21565000,13193000,20927000,17142000,13059000,6291000,8320000,52325000,101405000
99,Cash at the Beginning of Period,4707000,9377000,11273000,21565000,13193000,20927000,17142000,13059000,6291000,8320000,52325000
100,Free Cash Flow,-75973000,24825000,-1686000,-17756000,-5689000,-57622000,-12046000,6329000,-15023000,46949000,-54767000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1591588/000159158814000110/0001591588-14-000110-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158815000072/0001591588-15-000072-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158816000181/a-mark10xkw2016junfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158817000062/0001591588-17-000062-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158818000044/0001591588-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000159158819000024/0001591588-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1591588/000156459020043316/0001564590-20-043316-index.htm,https://www.sec.gov/Archives/edgar/data/1591588/000156459021047760/0001564590-21-047760-index.htm
102,false,,,,,,,,,,,
