,https://roic.ai/company/GLBS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19,Total Other Income Expenses (Gains),-6720000,-29372000,-3329000,-2386000,-2550000,-2797000,-2022000,-2688000,-2597000,-2460000,-2120000,-2702000,-5949000
20,Income Before Tax,- -,- -,6000000,6930000,-82800000,5680000,3212000,-32396000,-9825000,-6475000,-3568000,-36351000,-17372000
21,Income Before Tax Ratio,- -,- -,0.2079,0.1949,-2.5714,0.1930,0.1218,-2.5479,-1.0895,-0.4489,-0.2056,-2.3268,-1.4781
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,42818000,-10079000,6000000,6930000,-82800000,5680000,3212000,-32396000,-9825000,-6475000,-3568000,-36351000,-17372000
24,Net Income ratio,0.4343,-0.1908,0.2079,0.1949,-2.5714,0.1930,0.1218,-2.5479,-1.0895,-0.4489,-0.2056,-2.3268,-1.4781
25,EPS,956.48,-224.16,3320.00,3200.00,-32880.00,2080.00,1160.00,-12800.00,-3770.00,-250.00,-111.00,-873.00,-18.11
26,EPS Diluted,923.36,-224.16,3280.00,3160.00,-32880.00,2080.00,1160.00,-12800.00,-3770.00,-250.00,-111.00,-873.00,-18.11
27,Weighted Average Shares Outstanding,44766,44952,1808,2172,2535,2553,2558,2566,2603,25749,32009,41659,959157
28,Weighted Average Shares Outstanding Diluted,46371,44952,1830,2191,2535,2553,2558,2566,2603,25749,32009,41659,959157
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499780/000114420412024331/v310668_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420413024896/v342601_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420414025704/v375937_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420415026283/v408111_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420416097396/v437835_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420417019941/v462766_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420418013849/0001144204-18-013849-index.html,https://www.sec.gov/Archives/edgar/data/1499780/000114420419016636/0001144204-19-016636-index.html,https://www.sec.gov/Archives/edgar/data/1499780/000110465920041302/0001104659-20-041302-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,65342000,59157000,24618000,9301000,11653000,5889000,6083000,2005000,163000,2756000,46000,2366000,19037000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,65342000,59157000,24618000,9301000,11653000,5889000,6083000,2005000,163000,2756000,46000,2366000,19037000
34,Net Receivables,830000,336000,281000,1386000,730000,847000,1178000,690000,243000,177000,577000,240000,153000
35,Inventory,565000,355000,467000,554000,658000,633000,441000,453000,516000,661000,650000,1545000,1248000
36,Other Current Assets,1634000,1488000,1530000,2226000,11715000,14586000,2533000,1549000,1227000,636000,1521000,1338000,1843000
37,Total Current Assets,68371000,61336000,26896000,13467000,24756000,21955000,10235000,4697000,2149000,4230000,2794000,5489000,22281000
38,PP&E,216065000,93194000,191546000,242582000,140956000,133697000,141824000,110130000,91837000,87363000,83870000,48907000,62900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,33040000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1260000,1260000
45,Total Non-Current Assets,216075000,126234000,191556000,242592000,140966000,133707000,141834000,110140000,91847000,87373000,83880000,50167000,64160000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,284446000,187570000,218452000,256059000,165722000,155662000,152069000,114837000,93996000,91603000,86674000,55656000,86441000
48,Accounts Payable,2212000,1158000,1346000,945000,1720000,2097000,2607000,4011000,4757000,4258000,6433000,4735000,4758000
49,Short-Term Debt,77278000,33900000,10906000,5297000,20074000,12323000,44143000,63645000,23550000,41538000,35368000,1403000,5860000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1358000,511000,526000,1577000,1387000,534000,306000,171000,220000,302000,86000,- -,285000
52,Other Current Liabilities,2080000,2325000,2498000,2637000,8547000,7567000,1380000,1802000,2609000,1455000,1319000,2593000,2159000
53,Total Current Liabilities,82928000,37894000,15276000,10456000,31728000,22521000,48436000,69629000,31136000,47553000,43206000,8731000,13062000
54,Long-Term Debt,79705000,36175000,85332000,105518000,78735000,72737000,40245000,14600000,42022000,41538000,1500000,36551000,30887000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,30000,43000,56000,66000,77000,64000,69000,73000,78000,-41456000,918000,495000,398000
58,Total Non-Current Liabilities,79735000,36218000,85388000,105584000,78812000,72801000,40314000,14673000,42100000,82000,2418000,37046000,31285000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,677000,562000
61,Total Liabilities,162663000,74112000,100664000,116040000,110540000,95322000,88750000,84302000,73236000,47635000,45624000,45777000,44347000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,29000,29000,29000,40000,41000,41000,41000,41000,10000,126000,13000,21000,12000
64,Retained Earnings,34154000,24913000,28942000,30750000,-54612000,-49504000,-46585000,-79429000,-89254000,-95729000,-99297000,-135648000,-153020000
65,Other Comprehensive Income/Loss,-48235000,-61367000,-7367000,-11258000,-91599000,-97621000,-103780000,-111058000,-91218000,-96911000,-102655000,-108937000,-112525000
66,Other Total Stockholders Equity,135835000,149883000,96184000,120487000,201352000,207424000,213643000,220981000,201222000,236482000,242989000,254443000,307627000
67,Total Stockholders Equity,121783000,113458000,117788000,140019000,55182000,60340000,63319000,30535000,20760000,43968000,41050000,9879000,42094000
68,Total Liabilities And Stockholders Equity,284446000,187570000,218452000,256059000,165722000,155662000,152069000,114837000,93996000,91603000,86674000,55656000,86441000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,284446000,187570000,218452000,256059000,165722000,155662000,152069000,114837000,93996000,91603000,86674000,55656000,86441000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499780/000114420412024331/v310668_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420413024896/v342601_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420414025704/v375937_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420415026283/v408111_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420416097396/v437835_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420417019941/v462766_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420418013849/0001144204-18-013849-index.html,https://www.sec.gov/Archives/edgar/data/1499780/000114420419016636/0001144204-19-016636-index.html,https://www.sec.gov/Archives/edgar/data/1499780/000110465920041302/0001104659-20-041302-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,42818000,-10079000,6000000,6930000,-82800000,5680000,3212000,-32396000,-9825000,-6475000,-3568000,-36351000,-17372000
74,Depreciation and Amortization,18979000,12716000,7367000,10498000,13841000,7317000,6944000,7188000,6019000,5716000,5767000,6425000,3733000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,770000,1754000,311000,364000,977000,-189000,60000,60000,50000,30000,- -,- -,40000
77,Change in Working Capital,-3250000,-863000,-388000,-707000,427000,-719000,874000,3175000,273000,-631000,695000,-1576000,-508000
78,Accounts Receivable,-795000,494000,55000,-1105000,658000,-118000,-331000,489000,-270000,66000,-400000,337000,87000
79,Inventory,-12000,210000,-112000,-87000,-104000,25000,192000,-12000,-161000,-145000,11000,-895000,297000
80,Accounts Payable,-881000,-1054000,188000,-401000,775000,377000,510000,1404000,746000,-499000,1303000,-1013000,89000
81,Other Working Capital,- -,- -,- -,- -,-190000,-853000,-228000,-135000,49000,82000,-216000,-86000,285000
82,Other Non-Cash Items,11066000,30038000,2892000,2689000,81925000,268000,-1569000,21913000,-117000,1991000,957000,31715000,7864000
83,Cash Provided by Operating Activities,70383000,33566000,16182000,19774000,14370000,12357000,9521000,-60000,-3600000,631000,3851000,213000,-6243000
84,CAPEX,-331000,-2000,-106110000,-61827000,-394000,-58000,-7000,-5000,-19000,-266000,-126000,-67000,-18558000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,27408000,60255000,33391000,45000,53000,42000,12000,5356000,381000,3000,- -,47000,16000
89,Cash Used for Investing Activites,27077000,60253000,-72719000,-61782000,-341000,-1016000,5000,5351000,362000,-263000,-126000,-20000,-18542000
90,Debt Repayment,-120635000,-87038000,-36282000,-22296000,-5425000,-16425000,-12425000,-45506000,-3100000,-4399000,-19497000,-35693000,-3199000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,9653000,600000,- -,49317000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-18482000,- -,-1984000,-5106000,-3010000,-163000,-390000,-505000,-14000,- -,- -,- -,- -
94,Other Financing Activites,66260000,12542000,65300000,53083000,-3245000,-535000,3482000,37642000,4510000,-3029000,12462000,37820000,-4662000
95,Cash Used/Provided by Financing Activities,-72857000,-74496000,27034000,25681000,-11680000,-17123000,-9333000,-8369000,1396000,2225000,-6435000,2127000,41456000
96,Effect of Forex Changes on Cash,-2000,-108000,-36000,10000,3000,18000,1000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,24601000,19215000,-29539000,-16317000,2352000,-5764000,194000,-3078000,-1842000,2593000,-2710000,2320000,16671000
98,Cash at the End of Period,33942000,53157000,23618000,7301000,9653000,3889000,4083000,2005000,163000,2756000,46000,2366000,19037000
99,Cash at the Beginning of Period,9341000,33942000,53157000,23618000,7301000,9653000,3889000,5083000,2005000,163000,2756000,46000,2366000
100,Free Cash Flow,70052000,33564000,-89928000,-42053000,13976000,12299000,9514000,-65000,-3619000,365000,3725000,146000,-24801000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499780/000114420412024331/v310668_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420413024896/v342601_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420414025704/v375937_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420415026283/v408111_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420416097396/v437835_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420417019941/v462766_20f.htm,https://www.sec.gov/Archives/edgar/data/1499780/000114420418013849/0001144204-18-013849-index.html,https://www.sec.gov/Archives/edgar/data/1499780/000114420419016636/0001144204-19-016636-index.html,https://www.sec.gov/Archives/edgar/data/1499780/000110465920041302/0001104659-20-041302-index.html,- -
102,false,,,,,,,,,,,,,
