,https://roic.ai/company/EA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1243,0.1248,0.1407,0.1381,0.1446,0.1312,0.1008,0.1077,0.1054,0.1223,0.1129,-0.0229,0.0785,0.1838,0.2623,0.2138,0.1101,0.0126,-0.1329,-0.1963,-0.1877,-0.0869,0.0084,0.0319,0.0092,0.2100,0.2043,0.2526,0.2784,0.2012,0.2610,0.1858
19,Total Other Income Expenses (Gains),600000,1100000,1500000,3100000,3700000,16000000,5700000,12900000,12600000,-31100000,9068000,15071000,12848000,3919000,20963000,56000000,64000000,99000000,-20000000,-28000000,-20000000,33000000,-17000000,18000000,-26000000,-23000000,-21000000,-14000000,15000000,83000000,63000000,-29000000
20,Income Before Tax,9600000,13800000,24300000,44300000,64200000,80700000,59300000,80200000,108400000,118300000,169393000,-15245000,148287000,460146000,796560000,725000000,389000000,138000000,-507000000,-855000000,-706000000,-279000000,18000000,139000000,7000000,925000000,877000000,1210000000,1449000000,1079000000,1508000000,1017000000
21,Income Before Tax Ratio,0.1326,0.1356,0.1499,0.1485,0.1535,0.1636,0.1115,0.1284,0.1193,0.0968,0.1193,-0.0115,0.0860,0.1854,0.2694,0.2317,0.1318,0.0446,-0.1383,-0.2030,-0.1932,-0.0777,0.0043,0.0366,0.0020,0.2049,0.1995,0.2497,0.2814,0.2180,0.2723,0.1807
22,Income Tax expense (Gain),3600000,4700000,8600000,13400000,19500000,25000000,18800000,27200000,35800000,45400000,52642000,-4163000,45969000,143049000,219268000,221000000,147000000,66000000,-53000000,233000000,-29000000,-3000000,-58000000,41000000,-1000000,50000000,-279000000,243000000,406000000,60000000,-1531000000,180000000
23,Net Income,6000000,9100000,15700000,30900000,44700000,55700000,40500000,53000000,72600000,72900000,116751000,-11082000,101509000,317097000,577292000,504000000,236000000,76000000,-454000000,-1088000000,-677000000,-276000000,76000000,98000000,8000000,875000000,1156000000,967000000,1043000000,1019000000,3039000000,837000000
24,Net Income ratio,0.0829,0.0894,0.0969,0.1036,0.1069,0.1129,0.0761,0.0848,0.0799,0.0597,0.0822,-0.0084,0.0589,0.1277,0.1952,0.1611,0.0800,0.0246,-0.1239,-0.2583,-0.1853,-0.0769,0.0183,0.0258,0.0022,0.1938,0.2630,0.1996,0.2025,0.2059,0.5489,0.1487
25,EPS,0.04,0.06,0.10,0.17,0.23,0.27,0.19,0.24,0.31,0.30,0.47,-0.04,0.46,1.17,1.95,1.65,0.78,0.25,-1.45,-3.40,-2.08,-0.84,0.23,0.32,0.03,2.81,3.73,3.19,3.39,3.36,10.37,2.90
26,EPS Diluted,0.04,0.06,0.10,0.17,0.21,0.27,0.19,0.24,0.30,0.29,0.44,-0.04,0.35,1.08,1.87,1.59,0.75,0.24,-1.45,-3.40,-2.08,-0.84,0.23,0.31,0.03,2.69,3.50,3.08,3.34,3.33,10.30,2.87
27,Weighted Average Shares Outstanding,133333333,151666667,165263158,187272727,194347826,208920000,216652000,221932000,235468000,242992000,251320000,274838000,273664000,281978000,295396000,305000000,304000000,308000000,314000000,320000000,325000000,330000000,331000000,310000000,308000000,311000000,310000000,303000000,308000000,303000000,293000000,289000000
28,Weighted Average Shares Outstanding Diluted,133333333,151666667,165263158,187272727,207906977,208920000,216652000,243428571,243832000,253088000,265484000,276142000,286284000,292892000,308233000,318000000,314000000,317000000,314000000,320000000,325000000,330000000,336000000,313000000,316000000,325000000,330000000,314000000,312000000,306000000,295000000,292000000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712515/000091205796013563/0000912057-96-013563-index.html,https://www.sec.gov/Archives/edgar/data/712515/000101287097001195/0001012870-97-001195-index.html,https://www.sec.gov/Archives/edgar/data/712515/000095000598000571/0000950005-98-000571-index.html,- -,https://www.sec.gov/Archives/edgar/data/712515/000095000500000777/0000950005-00-000777-index.html,https://www.sec.gov/Archives/edgar/data/712515/000095000501500255/0000950005-01-500255-index.html,https://www.sec.gov/Archives/edgar/data/712515/000101287002002877/0001012870-02-002877-index.html,https://www.sec.gov/Archives/edgar/data/712515/000089161803002939/0000891618-03-002939-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000089161804001046/0000891618-04-001046-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000089161805000406/0000891618-05-000406-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000095013406011401/0000950134-06-011401-index.htm,- -,https://www.sec.gov/Archives/edgar/data/712515/000089161808000290/0000891618-08-000290-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000119312509116895/0001193125-09-116895-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000095013010001579/0000950130-10-001579-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000119312511149262/0001193125-11-149262-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000119312512249324/0001193125-12-249324-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251513000022/0000712515-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251514000024/0000712515-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251515000033/0000712515-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251516000111/0000712515-16-000111-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251517000035/0000712515-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251518000024/0000712515-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251519000019/0000712515-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251520000019/0000712515-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251521000064/0000712515-21-000064-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,143400000,105600000,125600000,374600000,242200000,246265000,466492000,796936000,949995000,2414346000,1270000000,1242000000,1371000000,1553000000,1621000000,1273000000,1579000000,1293000000,1292000000,1782000000,2068000000,2493000000,2565000000,4258000000,4708000000,3768000000,5260000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93775000,10022000,6869000,638734000,1225000,1828000000,1190000000,1605000000,1463000000,899000000,723000000,658000000,556000000,388000000,583000000,953000000,1341000000,1967000000,1073000000,737000000,1967000000,1106000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,143400000,105600000,125600000,374600000,242200000,340040000,476514000,803805000,1588729000,2415571000,3098000000,2432000000,2976000000,3016000000,2520000000,1996000000,2237000000,1849000000,1680000000,2365000000,3021000000,3834000000,4532000000,5331000000,5445000000,5735000000,6366000000
34,Net Receivables,- -,- -,- -,- -,- -,56400000,73100000,95400000,139400000,149500000,234087000,174449000,190495000,82083000,211916000,296000000,199000000,256000000,306000000,116000000,206000000,335000000,366000000,312000000,327000000,362000000,233000000,359000000,385000000,623000000,461000000,521000000
35,Inventory,- -,- -,- -,- -,- -,12400000,14600000,15800000,19600000,22400000,22986000,15686000,23780000,25170000,55143000,62000000,61000000,62000000,168000000,217000000,100000000,77000000,59000000,42000000,56000000,36000000,33000000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,60000000,107000000,132300000,56200000,155400000,108210000,152078000,134463000,215155000,228177000,250000000,320000000,303000000,435000000,267000000,283000000,383000000,335000000,291000000,390000000,301000000,254000000,308000000,288000000,313000000,321000000,326000000
37,Total Current Assets,- -,- -,- -,- -,- -,272200000,300300000,369100000,589800000,569500000,705323000,818727000,1152543000,1911137000,2910807000,3706000000,3012000000,3597000000,3925000000,3120000000,2585000000,3032000000,2609000000,2325000000,3138000000,3720000000,4354000000,5199000000,6004000000,6381000000,6517000000,7213000000
38,PP&E,- -,- -,- -,- -,- -,30500000,70100000,85100000,105100000,181300000,285466000,337199000,308827000,262252000,298073000,353000000,392000000,484000000,396000000,354000000,537000000,513000000,568000000,548000000,510000000,459000000,439000000,434000000,453000000,448000000,449000000,491000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647000000,734000000,1152000000,807000000,1093000000,1110000000,1718000000,1721000000,1723000000,1713000000,1710000000,1707000000,1883000000,1892000000,1885000000,2868000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,90700000,117236000,136764000,110512000,88162000,110445000,189000000,232000000,210000000,265000000,221000000,204000000,144000000,369000000,253000000,177000000,111000000,57000000,8000000,71000000,87000000,53000000,309000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,90700000,117236000,136764000,110512000,88162000,110445000,189000000,879000000,944000000,1417000000,1028000000,1297000000,1254000000,2087000000,1974000000,1900000000,1824000000,1767000000,1715000000,1954000000,1979000000,1938000000,3177000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13523000,40755000,19000000,- -,25000000,164000000,61000000,52000000,49000000,42000000,53000000,28000000,13000000,387000000,286000000,84000000,35000000,1903000000,2045000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,38500000,53800000,62500000,50800000,60400000,84287000,86228000,127492000,84459000,40531000,93000000,92000000,96000000,157000000,115000000,175000000,80000000,185000000,170000000,140000000,131000000,103000000,84000000,89000000,114000000,305000000,362000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,69000000,123900000,147600000,155900000,332400000,486989000,560191000,546831000,448396000,489804000,664000000,1374000000,1549000000,2134000000,1558000000,2061000000,1896000000,2882000000,2745000000,2578000000,2427000000,2696000000,2519000000,2580000000,2576000000,4595000000,6075000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,341200000,424200000,516700000,745700000,901900000,1192312000,1378918000,1699374000,2359533000,3400611000,4370000000,4386000000,5146000000,6059000000,4678000000,4646000000,4928000000,5491000000,5070000000,5716000000,6147000000,7050000000,7718000000,8584000000,8957000000,11112000000,13288000000
48,Accounts Payable,- -,- -,- -,- -,- -,34200000,37000000,41600000,56200000,63900000,97703000,73061000,88563000,106329000,114087000,134000000,163000000,180000000,229000000,152000000,91000000,228000000,215000000,136000000,119000000,68000000,89000000,87000000,48000000,113000000,68000000,96000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633000000,163000000,- -,- -,- -,668000000,76000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16967000,- -,- -,- -,- -,52000000,90000000,460000000,261000000,869000000,1005000000,1048000000,1123000000,1611000000,1397000000,1535000000,1686000000,1730000000,1194000000,1049000000,1622000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,68800000,63600000,85800000,125500000,172300000,167599000,249998000,364419000,464547000,608166000,694000000,654000000,756000000,610000000,723000000,614000000,768000000,857000000,658000000,660000000,680000000,633000000,642000000,713000000,958000000,879000000,1170000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,103000000,100600000,127400000,181700000,236200000,265302000,340026000,452982000,570876000,722253000,828000000,869000000,1026000000,1299000000,1136000000,1574000000,2001000000,2120000000,1917000000,2390000000,2778000000,2420000000,2415000000,2491000000,2265000000,2664000000,2964000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,539000000,559000000,580000000,- -,989000000,990000000,992000000,994000000,397000000,1876000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,8000000,5000000,42000000,2000000,37000000,8000000,1000000,18000000,80000000,2000000,1000000,1000000,2000000,1000000,43000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,- -,- -,- -,- -,42000000,33000000,68000000,80000000,416000000,366000000,341000000,326000000,366000000,326000000,306000000,253000000,243000000,252000000,505000000,365000000,589000000,565000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,- -,- -,- -,- -,42000000,33000000,97000000,88000000,421000000,408000000,343000000,363000000,913000000,886000000,904000000,333000000,1234000000,1243000000,1498000000,1361000000,987000000,2484000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000000,76000000
61,Total Liabilities,- -,- -,- -,- -,- -,103000000,100600000,127500000,181700000,236300000,265302000,340026000,452982000,570876000,722253000,861000000,966000000,1114000000,1720000000,1544000000,1917000000,2364000000,3033000000,2803000000,3294000000,3111000000,3654000000,3658000000,3989000000,3626000000,3651000000,5448000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,704000,1410000,1446000,1443000,3015000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
64,Retained Earnings,- -,- -,- -,- -,- -,161500000,199500000,252500000,330500000,402100000,516368000,505286000,606795000,923892000,1501184000,2005000000,2241000000,2323000000,1888000000,800000000,123000000,-153000000,-77000000,21000000,29000000,904000000,2060000000,3027000000,4062000000,5358000000,7508000000,7887000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-24100000,-38800000,-57500000,-81400000,-89900000,-121135000,-162824000,-206690000,1534000,20479000,56000000,83000000,294000000,584000000,189000000,228000000,219000000,173000000,69000000,37000000,2000000,-16000000,-19000000,-127000000,-30000000,-50000000,-50000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,100800000,162900000,194200000,314900000,353400000,531073000,695020000,844841000,857870000,1153680000,1434000000,1081000000,- -,1864000000,2142000000,2375000000,2495000000,2359000000,2174000000,2353000000,2127000000,1349000000,1049000000,657000000,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,238200000,323600000,389200000,564000000,665600000,927010000,1038892000,1246392000,1784739000,2678358000,3498000000,3408000000,4032000000,4339000000,3134000000,2729000000,2564000000,2458000000,2267000000,2422000000,3036000000,3396000000,4060000000,4595000000,5331000000,7461000000,7840000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,341200000,424200000,516700000,745700000,901900000,1192312000,1378918000,1699374000,2355615000,3400611000,4359000000,4374000000,5146000000,6059000000,4678000000,4646000000,4928000000,5491000000,5070000000,5716000000,6147000000,7050000000,7718000000,8584000000,8957000000,11112000000,13288000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3918000,- -,11000000,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,341200000,424200000,516700000,745700000,901900000,1192312000,1378918000,1699374000,2359533000,3400611000,4370000000,4386000000,5146000000,6059000000,4678000000,4646000000,4928000000,5491000000,5070000000,5716000000,6147000000,7050000000,7718000000,8584000000,8957000000,11112000000,13288000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/712515/000091205796013563/0000912057-96-013563-index.html,https://www.sec.gov/Archives/edgar/data/712515/000101287097001195/0001012870-97-001195-index.html,https://www.sec.gov/Archives/edgar/data/712515/000095000598000571/0000950005-98-000571-index.html,- -,https://www.sec.gov/Archives/edgar/data/712515/000095000500000777/0000950005-00-000777-index.html,https://www.sec.gov/Archives/edgar/data/712515/000095000501500255/0000950005-01-500255-index.html,https://www.sec.gov/Archives/edgar/data/712515/000101287002002877/0001012870-02-002877-index.html,https://www.sec.gov/Archives/edgar/data/712515/000089161803002939/0000891618-03-002939-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000089161804001046/0000891618-04-001046-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000089161805000406/0000891618-05-000406-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000095013406011401/0000950134-06-011401-index.htm,- -,https://www.sec.gov/Archives/edgar/data/712515/000089161808000290/0000891618-08-000290-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000119312509116895/0001193125-09-116895-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000095013010001579/0000950130-10-001579-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000119312511149262/0001193125-11-149262-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000119312512249324/0001193125-12-249324-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251513000022/0000712515-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251514000024/0000712515-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251515000033/0000712515-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251516000111/0000712515-16-000111-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251517000035/0000712515-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251518000024/0000712515-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251519000019/0000712515-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251520000019/0000712515-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251521000064/0000712515-21-000064-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6000000,9100000,15700000,30900000,44700000,55700000,40500000,53000000,72600000,72900000,116751000,-11082000,101509000,317097000,577292000,504000000,236000000,76000000,-454000000,-1088000000,-677000000,-276000000,76000000,98000000,8000000,875000000,1156000000,967000000,1043000000,1019000000,3039000000,837000000
74,Depreciation and Amortization,1200000,1500000,1700000,4000000,7900000,10800000,15900000,21500000,26900000,40500000,46725000,69668000,110901000,91639000,77513000,75000000,95000000,147000000,164000000,58000000,53000000,180000000,216000000,264000000,227000000,220000000,197000000,172000000,136000000,145000000,150000000,181000000
75,Deferred Income Tax,- -,- -,-2600000,-3500000,3900000,6800000,3200000,600000,-12300000,-12000000,2994000,-33080000,-42056000,-29341000,5866000,24000000,8000000,-54000000,-160000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000000,187000000,176000000,170000000,164000000,150000000,144000000,178000000,196000000,242000000,284000000,347000000,435000000
77,Change in Working Capital,3000000,- -,- -,169200000,30500000,-30500000,30500000,42000000,166400000,-74800000,106721000,38680000,220860000,640700000,848293000,689446000,-735000000,428000000,55000000,-642000000,-973000000,20000000,-542000000,-81000000,340000000,194000000,992000000,850000000,729000000,603000000,-263000000,396000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,1800000,-200000,-3000000,-3200000,2900000,-2900000,-2300000,-1100000,-1800000,1300000,-579000,7300000,-8094000,-1390000,-23322000,-14000000,-3000000,12000000,-100000000,-49000000,123000000,25000000,21000000,16000000,-13000000,19000000,3000000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000000,-57000000,114000000,-50000000,-78000000,-18000000,-46000000,13000000,5000000,-44000000,59000000,-36000000,18000000
81,Other Working Capital,- -,- -,- -,169200000,199700000,169200000,199700000,241700000,408100000,333300000,440021000,478701000,699561000,1340261000,2188554000,2878000000,2143000000,2571000000,2626000000,1984000000,1011000000,1031000000,489000000,408000000,748000000,942000000,1934000000,2784000000,3513000000,4116000000,3853000000,4249000000
82,Other Non-Cash Items,-200000,-5400000,11200000,-157900000,-46200000,21000000,-83200000,-36500000,-174600000,124200000,-227855000,129753000,-106243000,-305644000,-839679000,-658446000,992000000,-200000000,733000000,1481000000,1562000000,220000000,357000000,-121000000,-13000000,-366000000,-1300000000,-802000000,-458000000,-504000000,-1476000000,85000000
83,Cash Provided by Operating Activities,10000000,5200000,26000000,42700000,40800000,63800000,6900000,80600000,79000000,150800000,45336000,193939000,284971000,714451000,669285000,634000000,596000000,397000000,338000000,12000000,152000000,320000000,277000000,324000000,712000000,1067000000,1223000000,1383000000,1692000000,1547000000,1797000000,1934000000
84,CAPEX,-800000,-1600000,-3200000,-17800000,-14000000,-17900000,-56800000,-36200000,-45200000,-250300000,-134884000,-120347000,-51518000,-59108000,-89595000,-126000000,-123000000,-178000000,-84000000,-115000000,-305000000,-59000000,-172000000,-106000000,-97000000,-95000000,-93000000,-123000000,-107000000,-119000000,-140000000,-124000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44596000,-42571000,- -,-12868000,-3031000,-81000000,-661000000,-103000000,-607000000,-58000000,-283000000,-16000000,-676000000,21000000,-5000000,- -,- -,- -,-150000000,-58000000,- -,-1239000000
