,https://roic.ai/company/IMUN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,290000,840000,2077190,1924672,1818610,2319930,2065480,2655950,2562515,2185
49,Short-Term Debt,- -,817197,186067,2793701,4225419,4820063,5187727,5545371,2844851,3070
50,Tax Payable,5600,- -,1784,3567,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1130000,782803,1111843,1281039,3156751,4158937,4089053,5493119,6269786,5832
53,Total Current Liabilities,1420000,2440000,3375100,5999412,9200780,11298930,11342260,13694440,11677152,11087
54,Long-Term Debt,260000,120000,327460,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,606490,- -,-3990360,-4608580,- -,- -,- -,- -
58,Total Non-Current Liabilities,260000,120000,933950,- -,-3990360,-4608580,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1680000,2560000,4309050,5999412,5210420,6690350,11342260,13694440,11677152,11087
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,50000,70000,13440,17485,25040,38680,43430,50,48,0
64,Retained Earnings,-176940000,-283000000,-333547380,-349861173,-365718980,-373035180,-381210410,-384607070,- -,-379432
65,Other Comprehensive Income/Loss,-6000000,-13000000,-4000000,- -,-1000000,-8710,-10450,-12520,- -,- -
66,Other Total Stockholders Equity,200233837,312561248,339279885,- -,361559962,366510409,369926792,370930919,-11667029,371484
67,Total Stockholders Equity,17343837,16631248,1745945,-5929016,-5133978,-6494801,-11250638,-13688621,-11666981,-7948
68,Total Liabilities And Stockholders Equity,19023837,19191248,6054995,70396,76442,195549,91622,5819,10171,3139
69,Minority Interest,6163,-1248,-5,-29168,-2,1,8,1,- -,0
70,Total Liabilities & Equity,19030000,19190000,6054990,41228,76440,195550,91630,5820,10171,3139
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559356/000135448814001571/0001354488-14-001571-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1559356/000149315217003099/0001493152-17-003099-index.html,https://www.sec.gov/Archives/edgar/data/1559356/000149315218004485/0001493152-18-004485-index.html,https://www.sec.gov/Archives/edgar/data/1559356/000149315219005481/0001493152-19-005481-index.htm,https://www.sec.gov/Archives/edgar/data/1559356/000149315220008717/0001493152-20-008717-index.htm,https://www.sec.gov/Archives/edgar/data/1559356/000149315221008834/0001493152-21-008834-index.htm,https://www.sec.gov/Archives/edgar/data/1559356/000149315222007249/0001493152-22-007249-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-174990000,-106060000,-48253220,-16313796,-19521400,-7316210,-8175230,-3396660,- -,3586034000
74,Depreciation and Amortization,1570232,2853436,2879311,594785,1557,826,1734,2074,639,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,624955,-710000,-1333110,-2806956,-3166324,-1979720,-147490,-2435910,2022329,11659233
78,Accounts Receivable,- -,- -,- -,-16197,13536,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-178098,95297,82801,- -,- -
80,Accounts Payable,121314,553211,1795518,900484,540983,919141,341562,894951,99234,- -
81,Other Working Capital,-1110000,-1820000,-3153110,-5960066,-9126390,-11106110,-11253600,-13689510,-11667181,-7948
82,Other Non-Cash Items,171886330,97345732,42863924,15693654,19846428,7241841,6951483,5829562,-2214922,-3597693233
83,Cash Provided by Operating Activities,-908483,-6570832,-3843095,-2832313,-2839739,-2053263,-1369503,-934,-191954,- -
84,CAPEX,-1062,-166377,-58453,- -,-1725,-1505,-1971,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-160539,-57340,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1062,-166377,-58453,- -,-1725,-1505,-1971,- -,- -,- -
90,Debt Repayment,- -,-100000,-50000,- -,-75927,-319882,- -,- -,- -,- -
91,Common Stock Issued,1136500,6553377,2231747,605500,200000,706539,240500,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,86128,377333,1505192,2057975,2768631,1608440,1122115,- -,197000,- -
95,Cash Used/Provided by Financing Activities,1222628,6830710,3686939,2663475,2892704,1995097,1362615,- -,197000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,313083,93501,-214609,-168838,51240,-59671,-8859,-934,5046,- -
98,Cash at the End of Period,313095,406596,191987,23149,74389,14718,5859,4925,9971,- -
99,Cash at the Beginning of Period,12,313095,406596,191987,23149,74389,14718,5859,4925,9971
100,Free Cash Flow,-909545,-6737209,-3901548,-2832313,-2841464,-2054768,-1371474,-934,-191954,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559356/000135448814001571/0001354488-14-001571-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1559356/000149315217003099/0001493152-17-003099-index.html,https://www.sec.gov/Archives/edgar/data/1559356/000149315218004485/0001493152-18-004485-index.html,https://www.sec.gov/Archives/edgar/data/1559356/000149315219005481/0001493152-19-005481-index.htm,https://www.sec.gov/Archives/edgar/data/1559356/000149315220008717/0001493152-20-008717-index.htm,https://www.sec.gov/Archives/edgar/data/1559356/000149315221008834/0001493152-21-008834-index.htm,https://www.sec.gov/Archives/edgar/data/1559356/000149315222007249/0001493152-22-007249-index.htm
102,false,,,,,,,,,,
