,https://roic.ai/company/AZYO,2018,2019,2020,2021
89,Cash Used for Investing Activites,-190000,-577000,-640000,- -
90,Debt Repayment,-5457000,-112000,-300000,- -
91,Common Stock Issued,- -,- -,43024000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,12768000,8091000,8484000,- -
95,Cash Used/Provided by Financing Activities,7311000,7979000,51208000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,1674000,177000,36942000,- -
98,Cash at the End of Period,2413000,2590000,39532000,- -
99,Cash at the Beginning of Period,739000,2413000,2590000,39532000
100,Free Cash Flow,-5637000,-7802000,-14266000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1708527/000110465921036360/0001104659-21-036360-index.htm,https://www.sec.gov/Archives/edgar/data/1708527/000155837022003073/0001558370-22-003073-index.htm
102,false,,,,
