,https://roic.ai/company/SSTK,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-14811000,-60232000,-24977000,- -,- -,- -,-26493000
93,Dividends Paid,-20500000,-25900000,-28575000,-36000000,- -,- -,- -,- -,- -,-104925000,- -,-24401000,-30651000
94,Other Financing Activites,- -,- -,- -,6913000,7074000,22819000,8882000,4894000,-8911000,-4814000,-1696000,-3339000,-20578000
95,Cash Used/Provided by Financing Activities,-20500000,-25900000,-28575000,46724000,66969000,24943000,-4061000,-53535000,-33888000,-109739000,-1696000,-4587000,-77722000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,3000,-691000,-1573000,-7535000,12454000,-2212000,-1307000,-2475000,-2769000
97,Net Change In Cash,3962000,1607000,7553000,87999000,53259000,78098000,7851000,-17114000,29238000,-22576000,72409000,122700000,-114557000
98,Cash at the End of Period,4937000,6544000,14097000,102096000,155355000,233453000,241304000,224190000,253428000,233465000,305874000,428574000,314017000
99,Cash at the Beginning of Period,975000,4937000,6544000,14097000,102096000,155355000,233453000,241304000,224190000,256041000,233465000,305874000,428574000
100,Free Cash Flow,26404000,27610000,36105000,41472000,42305000,64909000,71328000,61189000,52975000,67312000,76565000,139442000,188247000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549346/000104746913002091/0001047469-13-002091-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000104746914001577/0001047469-14-001577-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000104746915001422/0001047469-15-001422-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934616000024/0001549346-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934617000007/0001549346-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934618000006/0001549346-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934619000008/0001549346-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934620000007/0001549346-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934621000012/0001549346-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1549346/000154934622000007/0001549346-22-000007-index.htm
102,false,,,,,,,,,,,,,
