,https://roic.ai/company/FDMT,2017,2018,2019,2020,2021
55,Deferred Revenue,22188000,13076000,13603000,13226000,2491000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,18814000,103426000,104646000,1974000,334000
58,Total Non-Current Liabilities,41002000,116502000,118249000,15200000,18042000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,46910000,124556000,131204000,31944000,34380000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,3000,3000
64,Retained Earnings,-20475000,-30026000,-79025000,-135679000,-206996000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-423000
66,Other Total Stockholders Equity,884000,2438000,6054000,392063000,526523000
67,Total Stockholders Equity,-19590000,-27587000,-72970000,256387000,319107000
68,Total Liabilities And Stockholders Equity,27320000,96969000,58234000,288331000,353487000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,27320000,96969000,58234000,288331000,353487000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650648/000156459021015502/0001564590-21-015502-index.htm,https://www.sec.gov/Archives/edgar/data/1650648/000095017022004794/0000950170-22-004794-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-11223000,-9551000,-49306000,-56693000,-71317000
74,Depreciation and Amortization,626000,697000,1004000,1443000,3020000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,256000,1377000,3541000,4984000,13799000
77,Change in Working Capital,18539000,67423000,-46461000,226359000,-25970000
78,Accounts Receivable,-320000,-803000,146000,-508000,1439000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-114000,438000,533000,43000,2285000
81,Other Working Capital,18591000,86014000,39553000,265912000,239942000
82,Other Non-Cash Items,39000,-76198000,54511000,-227002000,11334000
83,Cash Provided by Operating Activities,8237000,-16252000,-36711000,-50909000,-69134000
84,CAPEX,-573000,-414000,-3203000,-1000000,-9110000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-168570000
87,Sales/Maturities of Investments,8224000,- -,- -,- -,5000000
88,Other Investing Activites,24000,- -,- -,- -,- -
89,Cash Used for Investing Activites,7675000,-414000,-3203000,-1000000,-172680000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,16000,105000,75000,206515000,114296000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,84472000,-2270000,72468000,3793000
95,Cash Used/Provided by Financing Activities,16000,84577000,-2195000,278983000,118089000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,15928000,67911000,-42109000,227074000,-123725000
98,Cash at the End of Period,23850000,91761000,49652000,276726000,153001000
99,Cash at the Beginning of Period,7922000,23850000,91761000,49652000,276726000
100,Free Cash Flow,7664000,-16666000,-39914000,-51909000,-78244000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650648/000156459021015502/0001564590-21-015502-index.htm,https://www.sec.gov/Archives/edgar/data/1650648/000095017022004794/0000950170-22-004794-index.htm
102,false,,,,,
