,https://roic.ai/company/GORO,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,-2686762,-8076342,-26015203,-34129307,-23074000,48088000,46968000,8975000,31266000,10453000,9146000,28478000,16551000,14882000,-758000,17643000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-1.5639,0.4573,0.3564,0.0714,0.2709,0.1128,0.1099,0.2585,0.1435,0.1099,-0.0084,0.1995
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-12037000,13297000,8890000,15021000,7391000,4759000,24328000,7263000,9050000,5573000,9615000
23,Net Income,-853593,-1217911,-2686762,-8076342,-26015203,-34129307,-23074000,58369000,33671000,85000,16245000,3062000,4387000,4150000,9288000,5832000,4359000,8028000
24,Net Income ratio,-7553.9204,-197.2645,-Infinity,-Infinity,-Infinity,-Infinity,-1.5639,0.5550,0.2555,0.0007,0.1408,0.0330,0.0527,0.0377,0.0805,0.0431,0.0481,0.0908
25,EPS,-0.08,-0.08,-0.13,-0.28,-0.76,-0.78,-0.46,1.10,0.64,0.00,0.30,0.06,0.08,0.07,0.16,0.09,0.06,0.11
26,EPS Diluted,-0.08,-0.08,-0.13,-0.28,-0.76,-0.78,-0.46,1.03,0.60,0.00,0.30,0.06,0.08,0.07,0.16,0.09,0.06,0.11
27,Weighted Average Shares Outstanding,10827672,16164715,20218659,28645038,34393854,43764703,50042471,52979481,52846163,53255259,54119095,54186547,55140237,56854670,57534830,63681156,69902708,74552545
28,Weighted Average Shares Outstanding Diluted,10827672,16164715,20218659,28645038,34393854,43764703,50042471,56414654,56315885,55299475,54620332,54259312,55725206,57594993,58369666,64032990,70686243,74898520
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1160791/000107997407000227/goldres10ksbfye2006_3302007.htm,https://www.sec.gov/Archives/edgar/data/1160791/000107997308000414/grc_10k-123107.htm,- -,https://www.sec.gov/Archives/edgar/data/1160791/000107997310000319/0001079973-10-000319-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000107997311000188/goro_10k.htm,https://www.sec.gov/Archives/edgar/data/1160791/000119312512089264/0001193125-12-089264-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000116079113000003/0001160791-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000116079114000004/0001160791-14-000004-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000116079115000010/goro-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1160791/000155837016003907/0001558370-16-003907-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837017001146/0001558370-17-001146-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837018001714/0001558370-18-001714-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837019001080/0001558370-19-001080-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837020001884/0001558370-20-001884-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837021001637/0001558370-21-001637-index.htm,https://www.sec.gov/Archives/edgar/data/1160791/000155837022003309/0001558370-22-003309-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9560,176182,7660258,22007216,3534578,6752325,47582000,51960000,35780000,14973000,27541000,12822000,14166000,22390000,7762000,11076000,25405000,33712000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,5809000,3801000,3447000,3388000,3307000,3812000,3637000,4265000,671000,- -
33,Cash and Short-Term Investments,9560,176182,7660258,22007216,3534578,6752325,47582000,51960000,41589000,18774000,30988000,16210000,17473000,26202000,11399000,15341000,26076000,33712000
34,Net Receivables,- -,- -,193271,- -,- -,- -,1185000,18706000,6768000,8795000,2170000,5533000,1793000,2884000,2282000,8607000,5072000,8672000
35,Inventory,- -,- -,- -,- -,- -,- -,3063000,4243000,7533000,7468000,7295000,8753000,8946000,11636000,14342000,24131000,9995000,10361000
36,Other Current Assets,- -,14977,12841,43940,202890,13949080,5857000,14618000,3094000,10012000,6647000,2122000,1068000,1767000,3038000,2573000,1730000,6170000
37,Total Current Assets,9560,191159,7866370,22051156,3737468,20701405,57687000,89527000,58984000,45049000,47100000,32618000,29280000,42489000,31061000,50652000,42873000,58915000
38,PP&E,- -,54352,96279,504951,812219,1952888,5076000,10545000,14277000,18354000,32348000,51637000,70059000,82599000,111242000,132695000,62511000,156771000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,226610,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,226610,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2620000,231000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,19517000,31559000,27663000,25519000,21064000,17580000,6854000,7372000,4635000,309000,- -
44,Other Non-Current Assets,1581,1469,1469,1469,4721,10465,34000,6000,809000,903000,4078000,985000,1542000,981000,656000,5030000,41000,76000
45,Total Non-Current Assets,1581,55821,97748,506420,1043550,1963353,5110000,30068000,46645000,46920000,64565000,73917000,89181000,90434000,119270000,142360000,62861000,156847000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11141,246980,7964118,22557576,4781018,22664758,62797000,119595000,105629000,91969000,111665000,106535000,118461000,132923000,150331000,193012000,105734000,215762000
48,Accounts Payable,4744,24837,451163,768452,1753285,724439,4866000,1691000,3013000,2873000,6104000,11600000,5383000,6904000,12429000,14456000,8782000,13308000
49,Short-Term Debt,30000,- -,- -,- -,- -,- -,- -,- -,- -,1469000,1498000,842000,- -,950000,1177000,8612000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,20971000,2673000,925000,7907000,230000,2033000,4577000,1926000,1538000,1028000,6801000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,723732,8770,- -,- -,- -,- -,1590000,28495000,10012000,7076000,10160000,2460000,3577000,7154000,3956000,4904000,3303000,16351000
53,Total Current Liabilities,758476,33607,451163,768452,1753285,724439,6456000,30186000,13025000,11418000,17762000,14902000,8960000,15008000,17562000,27972000,12085000,29659000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1645000,1378000,782000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13126000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1991987,2495000,2281000,2790000,5274000,3827000,2815000,2425000,4164000,4129000,6200000,3111000,52227000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1991987,2495000,2281000,2790000,5274000,3827000,2815000,2425000,5809000,5507000,6982000,3111000,65353000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,30000,- -,- -,- -,- -,- -,- -,- -,- -,3856000,2332000,842000,- -,1600000,1243000,8328000,- -,- -
61,Total Liabilities,758476,33607,451163,768452,1753285,2716426,8951000,32467000,15815000,16692000,21589000,17717000,11385000,20817000,23069000,34954000,15196000,95012000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12108,18305,28139,34147,36088,48100,53000,53000,53000,54000,55000,55000,57000,57000,69000,66000,75000,- -
64,Retained Earnings,-2690615,-3910107,-6596869,-14673211,-40688414,-74817721,-97891000,-39522000,-5851000,-5766000,3982000,-948000,2040000,4520000,12656000,16876000,12653000,17563000
65,Other Comprehensive Income/Loss,-61,139,19683,-70256,-6720,-974320,-760000,-3978000,-1178000,-1171000,-1171000,-1171000,-1171000,-1171000,-1171000,-1171000,-1171000,-1171000
66,Other Total Stockholders Equity,1931233,4105036,14062002,36498444,43686779,95692273,152444000,130575000,96790000,82160000,87210000,90882000,106150000,108700000,115708000,142287000,78981000,104358000
67,Total Stockholders Equity,-747335,213373,7512955,21789124,3027733,19948332,53846000,87128000,89814000,75277000,90076000,88818000,107076000,112106000,127262000,158058000,90538000,120750000
68,Total Liabilities And Stockholders Equity,11141,246980,7964118,22557576,4781018,22664758,62797000,119595000,105629000,91969000,111665000,106535000,118461000,132923000,150331000,193012000,105734000,215762000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11141,246980,7964118,22557576,4781018,22664758,62797000,119595000,105629000,91969000,111665000,106535000,118461000,132923000,150331000,193012000,105734000,215762000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1160791/000107997407000227/goldres10ksbfye2006_3302007.htm,https://www.sec.gov/Archives/edgar/data/1160791/000107997308000414/grc_10k-123107.htm,- -,https://www.sec.gov/Archives/edgar/data/1160791/000107997310000319/0001079973-10-000319-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000107997311000188/goro_10k.htm,https://www.sec.gov/Archives/edgar/data/1160791/000119312512089264/0001193125-12-089264-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000116079113000003/0001160791-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000116079114000004/0001160791-14-000004-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000116079115000010/goro-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1160791/000155837016003907/0001558370-16-003907-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837017001146/0001558370-17-001146-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837018001714/0001558370-18-001714-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837019001080/0001558370-19-001080-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837020001884/0001558370-20-001884-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837021001637/0001558370-21-001637-index.htm,https://www.sec.gov/Archives/edgar/data/1160791/000155837022003309/0001558370-22-003309-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-853593,-1217911,-2686762,-8076342,-26015203,-34129307,-23074000,58369000,33671000,85000,16245000,3062000,4387000,4150000,9288000,5832000,4359000,8028000
74,Depreciation and Amortization,- -,7248,18039,47480,123948,166993,324000,856000,1540000,2626000,- -,- -,- -,14998000,15169000,23318000,17601000,15996000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-30635000,-3046000,2044000,2226000,5133000,-1555000,14991000,-501000,2940000,3508000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,2843506,2694000,6570000,6600000,7617000,4951000,3472000,1240000,1192000,1497000,1932000,3039000,875000
77,Change in Working Capital,862593,906468,7257655,13867497,-19298521,17992783,31254034,8110000,-13382000,-12328000,-4293000,-11622000,2604000,7161000,-13982000,9181000,8108000,-1532000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-1185000,-13096000,8305000,4368000,891000,1095000,-309000,-2254000,-220000,-6618000,4136000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-2838000,-1180000,-4098000,-32000,-231000,-555000,-738000,-2797000,-2820000,-7846000,1036000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-758000,1397000,-37000,-2832000,3357000,-3579000,1636000,1489000,3802000,-588000,- -
81,Other Working Capital,-748916,157552,7415207,21282704,1984183,19976966,51231000,59341000,45959000,33631000,29338000,17716000,20320000,27481000,13499000,22680000,30788000,29256000
82,Other Non-Cash Items,-387289,-875083,-6384790,-12747525,22183954,-31749176,-34127034,-853000,5821000,6599000,18524000,20125000,11223000,-6859000,10785000,-21787000,-1218000,-23367000
83,Cash Provided by Operating Activities,-378289,-1179278,-1795858,-6908890,-23005822,-44875201,-22929000,42417000,31204000,6643000,37653000,20170000,17899000,35633000,22256000,21416000,35397000,- -
84,CAPEX,- -,-61600,-59966,-456152,-657816,-1204253,-3560000,-9302000,-4461000,-6703000,-17898000,-26685000,-15140000,-25432000,-40076000,-39474000,-12811000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1291000,- -,-311000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-5164000,-1050000,-1805000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,1897000,1316000,32000,37000,749000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-1204253,7876000,-6325000,-4461000,-6703000,-16135000,-26777000,-15131000,-25689000,-40070000,-39472000,-14453000,- -
89,Cash Used for Investing Activites,- -,-61600,-59966,-456152,-657816,-1204253,7876000,-9302000,-7728000,-6437000,-16617000,-26740000,-14693000,-25689000,-40070000,-39472000,-14453000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-645000,-1469000,-1501000,-606000,-257000,-979000,-1231000,- -,- -
91,Common Stock Issued,152000,1407500,9339900,21712000,5191000,48990000,63393000,- -,- -,- -,- -,- -,- -,- -,4319000,24449000,25795000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1954000,-3931000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-7740000,-26484000,-35940000,-25514000,-6494000,-6502000,-1670000,-1137000,-1149000,-1491000,-2790000,- -
94,Other Financing Activites,100000,- -,- -,- -,- -,184000,- -,- -,- -,5146000,100000,- -,391000,- -,1261000,98000,-28226000,- -
95,Cash Used/Provided by Financing Activities,252000,1407500,9339900,21712000,5191000,49174000,55653000,-28438000,-39871000,-21013000,-7863000,-8003000,-1885000,-1394000,3452000,21825000,-5221000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,123201,230000,-299000,215000,- -,-605000,-146000,23000,-326000,-266000,-455000,-528000,- -
97,Net Change In Cash,-126289,166622,7484076,14346958,-18472638,3217747,40830000,4378000,-16180000,-20807000,12568000,-14719000,1344000,8224000,-14628000,3314000,15195000,- -
98,Cash at the End of Period,9560,176182,7660258,22007216,3534578,6752325,47582000,51960000,35780000,14973000,27541000,12822000,14166000,22390000,7762000,11076000,25405000,- -
99,Cash at the Beginning of Period,135849,9560,176182,7660258,22007216,3534578,6752000,47582000,51960000,35780000,14973000,27541000,12822000,14166000,22390000,7762000,10210000,25405000
100,Free Cash Flow,-378289,-1240878,-1855824,-7365042,-23663638,-46079454,-26489000,33115000,26743000,-60000,19755000,-6515000,2759000,10201000,-17820000,-18058000,22586000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1160791/000107997407000227/goldres10ksbfye2006_3302007.htm,https://www.sec.gov/Archives/edgar/data/1160791/000107997308000414/grc_10k-123107.htm,- -,https://www.sec.gov/Archives/edgar/data/1160791/000107997310000319/0001079973-10-000319-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000107997311000188/goro_10k.htm,https://www.sec.gov/Archives/edgar/data/1160791/000119312512089264/0001193125-12-089264-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000116079113000003/0001160791-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000116079114000004/0001160791-14-000004-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000116079115000010/goro-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1160791/000155837016003907/0001558370-16-003907-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837017001146/0001558370-17-001146-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837018001714/0001558370-18-001714-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837019001080/0001558370-19-001080-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837020001884/0001558370-20-001884-index.html,https://www.sec.gov/Archives/edgar/data/1160791/000155837021001637/0001558370-21-001637-index.htm,https://www.sec.gov/Archives/edgar/data/1160791/000155837022003309/0001558370-22-003309-index.htm
102,false,,,,,,,,,,,,,,,,,,
