,https://roic.ai/company/CRNT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-1.6127,-0.4410,-2.2873,-0.7807,-0.2243,0.0294,-0.0519,-0.0504,0.0811,0.1196,0.0198,0.0563,-0.1205,-0.0524,-0.1312,-0.2061,0.0029,0.0389,0.0469,0.0670,-0.0082,-0.0650,-0.0510
25,EPS,-0.96,-3.06,-2.69,-0.64,-0.33,0.06,-0.15,-0.20,0.44,0.70,0.11,0.40,-1.49,-0.64,-1.23,-1.22,0.01,0.15,0.20,0.29,-0.03,-0.21,-0.18
26,EPS Diluted,-0.96,-3.06,-2.69,-0.64,-0.33,0.06,-0.15,-0.20,0.41,0.68,0.10,0.38,-1.49,-0.64,-1.23,-1.22,0.01,0.15,0.19,0.28,-0.03,-0.21,-0.18
27,Weighted Average Shares Outstanding,7666000,11501722,21099336,22375939,23063160,26900000,25513333,27300000,29854545,36863684,34369212,34854657,35975434,36457989,38519606,62518602,77239409,77702788,77916912,78579013,80296581,81149687,81149687
28,Weighted Average Shares Outstanding Diluted,7666000,14779027,21099336,22375939,23063160,27923477,28307070,28177826,32039024,38338584,35796878,36564830,35975434,36457989,38519606,62518602,77296681,78613528,79942353,81021527,80296581,81149687,81149687
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119769/000117891306001221/zk62577.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1119769/000117891309000778/0001178913-09-000778-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891310001039/zk1008172.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891311000981/zk1109621.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891312001021/zk1211198.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891313000993/zk1312861.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891314001465/zk1414781.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891315001181/0001178913-15-001181-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891316004817/0001178913-16-004817-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891317001087/zk1719737.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891318000977/0001178913-18-000977-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891319000997/0001178913-19-000997-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891320000976/0001178913-20-000976-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1149000,70064000,6421000,4688000,7307000,11234000,10315000,10170000,58650000,28224000,38339000,37725000,28991000,47099000,42407000,41423000,36318000,36338000,25877000,35581000,23939000,27101000,17079000
32,Short-Term Investments,- -,- -,26741000,22596000,15417000,15074000,9571000,11942000,32396000,37231000,46907000,30720000,16824000,422000,5945000,948000,- -,3493000,5543000,515000,- -,- -,- -
33,Cash and Short-Term Investments,1149000,70064000,33162000,27284000,22724000,26308000,19886000,22112000,91046000,65455000,85246000,68445000,45815000,47521000,48352000,42371000,36318000,39831000,31420000,36096000,23939000,27101000,17079000
34,Net Receivables,2539000,18005000,4414000,5228000,7478000,10465000,17227000,31484000,46974000,70811000,68452000,88074000,143247000,168087000,150012000,177402000,129211000,116006000,119412000,131583000,125196000,114233000,135489000
35,Inventory,2723000,22190000,7377000,8054000,11103000,19083000,16144000,27311000,36763000,40113000,65925000,65921000,93465000,65554000,64239000,61830000,49690000,45647000,54164000,53509000,62132000,50627000,61398000
36,Other Current Assets,- -,10256000,20364000,369000,470000,909000,2993000,2874000,4447000,15590000,10954000,19482000,45903000,28365000,22557000,11644000,11688000,4972000,5816000,4003000,4368000,7910000,- -
37,Total Current Assets,6411000,120515000,65317000,40935000,41775000,56765000,56250000,83781000,179230000,191969000,230577000,241922000,328430000,309527000,285160000,293247000,226907000,206456000,210812000,225191000,215635000,199871000,213966000
38,PP&E,1290000,7014000,5093000,3616000,2667000,2516000,2464000,2660000,4447000,8891000,11809000,16211000,30465000,33642000,35245000,33138000,28906000,27560000,29870000,33613000,34865000,38528000,49616000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1093000,14593000,15283000,14935000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13439000,9809000,7213000,5070000,3192000,1544000,2199000,6576000,7898000,6117000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1093000,28032000,25092000,22148000,5070000,3192000,1544000,2199000,6576000,7898000,6117000,6274000
42,Investments,- -,- -,- -,- -,- -,- -,13000000,7000000,31000000,32306000,2250000,13088000,10076000,4068000,3985000,- -,- -,- -,996000,504000,17000,17000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8007000,8942000,8829000,8898000,9140000,6542000,239000,189000,1344000,988000,7476000,8106000,8279000,- -
44,Other Non-Current Assets,237000,521000,1676000,17089000,17986000,13830000,2278000,2910000,2963000,4065000,15795000,6039000,5257000,12127000,12891000,10179000,6138000,7321000,8728000,9640000,23368000,19607000,22707000
45,Total Non-Current Assets,1527000,7535000,6769000,20705000,20653000,16346000,17742000,12570000,38410000,53269000,38796000,45260000,82728000,84069000,80811000,48626000,38425000,37769000,42781000,57809000,74254000,72548000,78597000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7938000,128050000,72086000,61640000,62428000,73111000,73992000,96351000,217640000,245238000,269373000,287182000,411158000,393596000,365971000,341873000,265332000,244225000,253593000,283000000,289889000,272419000,292563000
48,Accounts Payable,1850000,12463000,5040000,5744000,5662000,9348000,12382000,22147000,25173000,41748000,52898000,40537000,77395000,102079000,77979000,101752000,71721000,68408000,75476000,78892000,59635000,63722000,69436000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8232000,25232000,46922000,48832000,34922000,17000000,- -,- -,20244000,9162000,19159000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,647000,1188000,3114000,3456000,3739000,6702000,5886000,18548000,20661000,38308000,16719000,7968000,17667000,8901000,2673000,6822000,5737000,3465000,7843000,3384000
52,Other Current Liabilities,1196000,3494000,4916000,4158000,4444000,5476000,5541000,10627000,14935000,8041000,9847000,13215000,49508000,36090000,45526000,37248000,27052000,22425000,23152000,25392000,21024000,19697000,23704000
53,Total Current Liabilities,3046000,15957000,9956000,10549000,11294000,17938000,21379000,36513000,46810000,55675000,81293000,74413000,173443000,180120000,178395000,205499000,142596000,110506000,105450000,110021000,104368000,100424000,115683000
54,Long-Term Debt,1173000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26768000,18536000,10304000,2072000,- -,- -,- -,- -,- -,- -,17210000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6265000,7495000,9275000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000,28000,- -,- -,- -
57,Other Non-Current Liabilities,389000,1025000,1511000,1825000,2451000,2986000,3424000,12277000,9936000,6647000,7174000,8600000,49896000,51231000,42194000,29750000,19915000,17555000,14104000,13383000,18835000,18374000,13244000
58,Total Non-Current Liabilities,1562000,1025000,1511000,1825000,2451000,2986000,3424000,12277000,9936000,6647000,7174000,8600000,76664000,69767000,52498000,31822000,19915000,17555000,14245000,13411000,25100000,25869000,39729000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5644000,7023000,21569000
61,Total Liabilities,4608000,16982000,11467000,12374000,13745000,20924000,24803000,48790000,56746000,62322000,88467000,83013000,250107000,249887000,230893000,237321000,162511000,128061000,119695000,123432000,129468000,126293000,155412000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,16000,52000,56000,56000,61000,64000,65000,68000,91000,91000,92000,95000,97000,98000,141000,212000,214000,214000,214000,214000,215000,218000,224000
64,Retained Earnings,-11897000,-47101000,-103944000,-118304000,-126026000,-124412000,-128239000,-133699000,-120563000,-94586000,-90931000,-76869000,-130523000,-153914000,-201392000,-277871000,-276860000,-265431000,-249871000,-226755000,-229099000,-246891000,-261719000
65,Other Comprehensive Income/Loss,-673000,-1455000,-3058000,-1772000,-395000,-11000,25000,64000,280000,193000,100000,159000,-343000,-490000,-1569000,-4111000,-8616000,-7848000,-7171000,-9208000,-8666000,-8068000,-9507000
66,Other Total Stockholders Equity,15884000,159572000,167565000,169286000,175043000,176546000,177338000,181128000,281086000,277218000,271645000,280784000,291820000,298015000,337898000,386322000,388083000,389229000,390726000,395317000,397971000,400867000,408153000
67,Total Stockholders Equity,3330000,111068000,60619000,49266000,48683000,52187000,49189000,47561000,160894000,182916000,180906000,204169000,161051000,143709000,135078000,104552000,102821000,116164000,133898000,159568000,160421000,146126000,137151000
68,Total Liabilities And Stockholders Equity,7938000,128050000,72086000,61640000,62428000,73111000,73992000,96351000,217640000,245238000,269373000,287182000,411158000,393596000,365971000,341873000,265332000,244225000,253593000,283000000,289889000,272419000,292563000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7938000,128050000,72086000,61640000,62428000,73111000,73992000,96351000,217640000,245238000,269373000,287182000,411158000,393596000,365971000,341873000,265332000,244225000,253593000,283000000,289889000,272419000,292563000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119769/000117891306001221/zk62577.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1119769/000117891309000778/0001178913-09-000778-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891310001039/zk1008172.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891311000981/zk1109621.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891312001021/zk1211198.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891313000993/zk1312861.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891314001465/zk1414781.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891315001181/0001178913-15-001181-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891316004817/0001178913-16-004817-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891317001087/zk1719737.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891318000977/0001178913-18-000977-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891319000997/0001178913-19-000997-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891320000976/0001178913-20-000976-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7341000,-12876000,-56843000,-14360000,-7722000,1614000,-3827000,-5460000,13136000,25977000,3655000,14062000,-53654000,-23391000,-47478000,-76479000,1011000,11429000,15560000,23046000,-2344000,-17092000,-14828000
74,Depreciation and Amortization,2128000,10383000,8446000,4711000,2660000,1207000,1134000,1194000,1342000,2070000,3283000,4712000,14393000,15030000,15645000,13498000,12203000,10037000,9205000,7758000,9691000,12861000,12246000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2557000,3607000,4207000,6564000,5460000,3822000,3345000,1625000,1071000,1203000,1980000,2053000,1662000,2562000
77,Change in Working Capital,-1784000,-23430000,22828000,-716000,-3466000,-5090000,-2129000,-2233000,-19988000,-42508000,6309000,-34180000,13321000,10433000,-6128000,6754000,952000,3234000,-8817000,-10290000,-22331000,19814000,-15081000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30918000,4724000,-27229000,3440000,-9459000,15505000,-33876000,39545000,11051000,-6403000,-11098000,4533000,9345000,-11150000
79,Inventory,-2088000,-20158000,14813000,-677000,-3049000,-7980000,2939000,-11167000,-9452000,-3350000,-25415000,4000,40643000,27210000,401000,1792000,10240000,4706000,-8592000,-956000,-9475000,9919000,-11908000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,13922000,12813000,-11670000,-3753000,24986000,-24067000,25155000,-30361000,-2355000,4836000,2340000,-15933000,1953000,5883000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,348000,7925000,-3275000,-16003000,-281000,-469000,-15084000,-22820000,-3757000,18700000,-7979000,-5722000,3075000,-7262000,4163000,3303000,9533000
82,Other Non-Cash Items,122000,100000,1493000,405000,3637000,566000,510000,2148000,1182000,360000,-42000,502000,-749000,-323000,4627000,20603000,330000,- -,- -,- -,- -,- -,82000
83,Cash Provided by Operating Activities,-6875000,-25823000,-24076000,-9960000,-4891000,-1703000,-4312000,-4351000,-4328000,-11544000,16812000,-10697000,-20125000,7209000,-29512000,-32279000,16121000,25771000,17151000,22494000,-12931000,17245000,-15019000
84,CAPEX,-933000,-5121000,-3177000,-343000,-413000,-711000,-938000,-1393000,-2855000,-5029000,-6737000,-9798000,-14447000,-14530000,-16423000,-12691000,-5266000,-8190000,-9940000,-13715000,-14866000,-6489000,-9595000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1232000,-42405000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-30672000,-12669000,-12833000,-8106000,-4540000,-57840000,-81118000,-48712000,-32093000,-7304000,-1330000,-8546000,-36000,-19000,-153000,-996000,-1580000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,39152000,19345000,17687000,11739000,7984000,14819000,74876000,57931000,48271000,36123000,9781000,513000,5161000,122000,- -,- -,48000,1002000,- -,- -
88,Other Investing Activites,- -,-9928000,-36353000,57000,90000,33000,20000,48000,25000,- -,- -,- -,- -,7920000,635000,69000,432000,153000,-1407000,-3460000,-3274000,-412000,-12000
89,Cash Used for Investing Activites,-933000,-15049000,-39530000,8194000,6353000,4176000,2715000,2099000,-45851000,-11271000,2482000,5148000,-28033000,1841000,-23821000,-7497000,-4731000,-8190000,-10936000,-15295000,-13864000,-6489000,-9395000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18232000,-10234000,-29012000,-20182000,-17922000,-17000000,- -,- -,- -,- -
91,Common Stock Issued,8853000,110960000,4000,33000,1157000,1454000,678000,2107000,98659000,- -,- -,- -,- -,- -,34959000,45149000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8306000,-12168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1173000,-41000,- -,- -,- -,- -,- -,- -,695000,2989000,4935000,39474000,27736000,24835000,22691000,4338000,75000,294000,2611000,15202000,-7384000,14530000
95,Cash Used/Provided by Financing Activities,8853000,109787000,-37000,33000,1157000,1454000,678000,2107000,98659000,-7611000,-9179000,4935000,39474000,9504000,49560000,38828000,-15844000,-17847000,-16706000,2611000,15202000,-7384000,14530000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,-446000,-919000,-36000,-651000,286000,30000,-106000,-49000,-210000,-138000
97,Net Change In Cash,1045000,68915000,-63643000,-1733000,2619000,3927000,-919000,-145000,48480000,-30426000,10115000,-614000,-8734000,18108000,-4692000,-984000,-5105000,20000,-10461000,9704000,-11642000,3162000,-10022000
98,Cash at the End of Period,1149000,70064000,6421000,4688000,7307000,11234000,10315000,10170000,58650000,28224000,38339000,37725000,28991000,47099000,42407000,41423000,36318000,36338000,25877000,35581000,23939000,27101000,17079000
99,Cash at the Beginning of Period,104000,1149000,70064000,6421000,4688000,7307000,11234000,10315000,10170000,58650000,28224000,38339000,37725000,28991000,47099000,42407000,41423000,36318000,36338000,25877000,35581000,23939000,27101000
100,Free Cash Flow,-7808000,-30944000,-27253000,-10303000,-5304000,-2414000,-5250000,-5744000,-7183000,-16573000,10075000,-20495000,-34572000,-7321000,-45935000,-44970000,10855000,17581000,7211000,8779000,-27797000,10756000,-24614000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119769/000117891306001221/zk62577.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1119769/000117891309000778/0001178913-09-000778-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891310001039/zk1008172.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891311000981/zk1109621.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891312001021/zk1211198.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891313000993/zk1312861.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891314001465/zk1414781.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891315001181/0001178913-15-001181-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891316004817/0001178913-16-004817-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891317001087/zk1719737.htm,https://www.sec.gov/Archives/edgar/data/1119769/000117891318000977/0001178913-18-000977-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891319000997/0001178913-19-000997-index.html,https://www.sec.gov/Archives/edgar/data/1119769/000117891320000976/0001178913-20-000976-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
