,https://roic.ai/company/RIO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.1983,0.1369,0.1356,0.1784,0.1793,0.2273,0.1225,0.1604,0.1366,0.4030,0.2762,0.2446,0.2787,0.2121,0.2822,0.3188,0.2204,0.1610,0.2268,0.2982,0.3842,0.4558,0.3312,0.1691,0.1879,0.3637,0.2183,-0.0504,0.0685,0.2004,-0.0208,0.1878,0.3202,0.4483,0.2576,0.3450,0.4856
22,Income Tax expense (Gain),458127440,400638656,472148839,578420066,670731707,582539254,349912054,373106032,170108278,414302018,755609123,601089153,1104713351,1038407835,881251779,1207052515,718000000,708000000,567534600,619000574,1813999580,2372999481,2089999638,3741999301,2076000000,5296000000,6439000000,429000000,2426000000,3053000000,993000000,1567000000,3965000000,4242000000,4147000000,4991000000,8258000000
23,Net Income,248656592,356139677,532853690,1403704772,1330231065,1033910729,383593428,362489194,424531093,956803152,1259348538,1200465801,2014477286,1168208814,2064944998,2219994922,1079000000,651000000,1506286800,3297001041,5214999994,7437999353,7311999231,3675999711,4872000000,14324000000,5826000000,-2990000000,3665000000,6527000000,-866000000,4617000000,8762000000,13638000000,8010000000,9769000000,21094000000
24,Net Income ratio,0.0557,0.0554,0.0628,0.1581,0.1347,0.1386,0.0577,0.0736,0.0901,0.2675,0.1581,0.1547,0.1639,0.0986,0.1783,0.1914,0.1324,0.0771,0.1632,0.2545,0.2740,0.3311,0.2462,0.0677,0.1165,0.2532,0.0962,-0.0587,0.0716,0.1369,-0.0249,0.1367,0.2189,0.3366,0.1856,0.2190,0.3322
25,EPS,0.11,0.15,0.57,1.48,1.06,0.81,0.29,0.28,0.33,0.74,0.75,0.71,1.19,0.69,1.25,1.34,1.00,0.39,90.46,197.52,3.16,4.61,4.70,1.93,0.03,7.30,3.03,-1.62,1.98,3.53,-0.47,2.57,4.90,7.93,4.91,6.04,12.94
26,EPS Diluted,0.11,0.15,0.57,1.48,1.06,0.81,0.29,0.28,0.33,0.74,0.75,0.71,1.19,0.69,1.25,1.34,1.00,0.39,90.46,197.19,3.15,4.59,4.68,1.93,0.03,7.26,3.01,-1.62,1.97,3.51,-0.47,2.55,4.87,7.88,4.88,6.00,12.94
27,Weighted Average Shares Outstanding,2345343750,2345343750,939348000,948426750,1126975500,1193553000,1200816000,1284340500,1286761500,1290393000,1689858000,1693489500,1694700000,1682595000,1658385000,1662016500,1080338710,16660208340,1668069000,1669521600,1293322410,1614080700,1556460900,1900606050,1523969171,1960848734,1923100000,1849100000,1847300000,1848400000,1824700000,1797300000,1786700000,1755547151,1630100000,1617400000,1630100000
28,Weighted Average Shares Outstanding Diluted,2345343750,2345343750,939348000,948426750,1126975500,1193553000,1200816000,1284340500,1286761500,1290393000,1689858000,1693489500,1694700000,1682595000,1658385000,1662016500,1080338710,16660208340,2045745000,1669521600,1656456967,1614080700,1562983578,1900606050,1523969171,1972459378,1923100000,1849100000,1847300000,1848400000,1824700000,1797300000,1786700000,1768029457,1642100000,1628600000,1630100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,429026263,408030514,421374103,904569699,566431322,1093707804,1117098911,891814418,1445180759,1341400497,1753816676,1743329794,2501850823,1499615570,1027257991,1093263831,679000000,325000000,394418700,288999200,2378999429,735999941,1645000964,1181000555,4233000000,9948000000,9670000000,7082000000,1548000000,1146000000,843000000,5774000000,8310000000,9497000000,6068000000,8664000000,11591000000
32,Short-Term Investments,141039863,185387777,158694471,558598818,1948010270,596041819,297518805,177452869,168629075,422119038,613449533,505188889,143504430,684907295,250296363,22311507,11000000,306000000,230226300,193194033,308000792,525000163,539999023,368000101,- -,- -,- -,533000000,289000000,157000000,104000000,335000000,1055000000,2604000000,2612000000,2677000000,2481000000
33,Cash and Short-Term Investments,570066126,593418290,580068574,1463168517,2514441592,1689749624,1414617716,1069267286,1613809834,1763519535,2367266209,2248518683,2645355254,2184522865,1277554355,1115575338,690000000,631000000,624645000,482193233,2687000221,1261000104,2184999987,1549000656,4233000000,9948000000,9670000000,7615000000,1837000000,1303000000,947000000,6109000000,9365000000,12101000000,8680000000,11341000000,14072000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,867272701,1068714704,1253630113,1418120225,1371951220,1506500521,1266793907,940348536,612389799,628488345,1177452253,1400828852,2350223501,2145858743,2067552252,2139673497,1482000000,1502000000,1782915300,1952000537,2047999947,2540001705,5397000763,5607000646,4889000000,4756000000,5307000000,6136000000,5737000000,4350000000,3168000000,2937000000,3472000000,3447000000,3463000000,3917000000,5436000000
36,Other Current Assets,840620633,1025546258,1271616735,1273965691,1392811297,1346398673,1375322780,1305871112,920063902,1172552882,2217380555,2250231188,3314140052,3037895261,2862764656,3197238917,2489000000,2239000000,2482517700,2078000429,2745999630,3073999672,14348999777,11278997641,5810000000,6755000000,6921000000,6442000000,14708000000,15472000000,11439000000,6040000000,5841000000,5354000000,5160000000,5597000000,4924000000
37,Total Current Assets,2277959460,2687679253,3105315422,4155254433,5279204108,4542648818,4056734404,3315486934,3146263535,3564560762,5762099017,5899578724,8309718806,7368276869,6207871263,6452487752,4661000000,4372000000,4890078000,4512194199,7480999798,6875001481,21931000527,18434998944,14932000000,21459000000,21898000000,20193000000,22282000000,21125000000,15554000000,15086000000,18678000000,20902000000,17303000000,20855000000,24432000000
38,PP&E,2134758619,2536146181,2906525771,2569554562,4544287548,4712395355,4612477078,3812961643,3578190640,4075793818,8285431732,9261225468,15122117801,15581640966,15750420118,18148179591,11598000000,12183000000,15264539100,16720999756,17619999000,22207000171,41967999112,41753000775,45803000000,56024000000,64967000000,77184000000,72681000000,71289000000,61763000000,59566000000,62486000000,56594000000,57545000000,63153000000,65290000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020000000,841000000,21105000000,14296000000,14268000000,15296000000,8187000000,2774000000,1349000000,1228000000,892000000,951000000,1037000000,912000000,922000000,946000000,879000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475016350,357193769,1744759828,1077000000,1072000000,1185040800,1263999745,220000842,383999072,6803999554,6284999803,5730000000,5700000000,7955000000,4575000000,3567000000,3284000000,2630000000,2568000000,2726000000,2546000000,2464000000,2484000000,2469000000
41,Intangible Assets,41778917,20697200,- -,- -,60975610,96446896,127240747,165319339,149399444,173537827,- -,- -,- -,475016350,357193769,1744759828,1077000000,1072000000,1185040800,1263999745,1240000842,1224999072,27908999554,20580999803,19998000000,20996000000,16142000000,7349000000,4916000000,4512000000,3522000000,3519000000,3763000000,3458000000,3386000000,3430000000,3348000000
42,Investments,899543313,991395878,1322391471,1477583970,1742618742,1963658809,1865573893,1827612880,1900775102,2246611322,1546758143,2099530774,3885450142,3609571915,2964447554,2677380810,- -,2272273335,2509288200,2108806204,1832998573,2175000676,6012001434,5576999640,- -,- -,- -,5930000000,4164000000,5040000000,5096000000,4959000000,3664000000,2003000000,1647000000,1384000000,1341000000
43,Tax Assets,429026263,408030514,421374103,904569699,566431322,1093707804,1117098911,891814418,1445180759,1341400497,1753816676,1743329794,2501850823,1499615570,1027257991,1093263831,- -,- -,394418700,51999127,54999711,225000070,584999611,1366999797,2231000000,1863000000,1875000000,3358000000,3555000000,3540000000,3309000000,3728000000,3395000000,3137000000,3102000000,3385000000,3375000000
44,Other Non-Current Assets,-401653869,-382898199,-211904896,-881144587,-526315789,-1030052853,-1053478537,-829630079,-1394887876,-1316386036,-1648742197,-1630304483,-2336685347,-1499615570,-1027257991,-1093263831,2280000000,304726665,-164192400,1650194442,1574002247,1787001550,2685999437,1903000579,14272000000,12060000000,14663000000,3559000000,3427000000,2321000000,2320000000,2405000000,3740000000,4855000000,4819000000,5183000000,5110000000
45,Total Non-Current Assets,3103453244,3573371574,4438386450,4070563644,6387997433,6836156012,6668912092,5868078201,5678658068,6520957429,9937264355,11473781553,19172733419,19666229231,19072061440,22570320229,14955000000,15832000000,19189094400,21795999274,22322000373,27619001539,79159999148,71181000594,82304000000,90943000000,97647000000,97380000000,88743000000,86702000000,76010000000,74177000000,77048000000,70047000000,70499000000,76535000000,78464000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5381412704,6261050826,7543701872,8225818077,11667201540,11378804830,10725646495,9183565134,8824921602,10085518190,15699363372,17373360277,27482452225,27034506100,25279932704,29022807982,19616000000,20204000000,24079172400,26308193472,29803000171,34494003020,101090999674,89615999538,97236000000,112402000000,119545000000,117573000000,111025000000,107827000000,91564000000,89263000000,95726000000,90949000000,87802000000,97390000000,102896000000
48,Accounts Payable,312765620,365896928,508684166,522560185,386713736,391574399,353654429,303338237,162712266,206369307,648989431,638764257,812289228,892036518,766532613,876842215,2075000000,1974000000,737081100,879000075,1054999780,1290999328,3144999811,2875000244,5759000000,6576000000,9381000000,3214000000,3095000000,2592000000,2567000000,2787000000,3255000000,3180000000,2855000000,3124000000,3410000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351000000,1136000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1981000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1013787043,977499187,1395649486,1491999423,1540436457,1442845569,1307960031,1311937876,1841607006,2440473399,2982260956,3661335069,7272696224,7047917006,4917280639,8761728701,3835000000,3366000000,3596170500,2063998507,3730998682,4489002991,16406000858,19225000667,3770000000,5219000000,5585000000,11020000000,12276000000,9988000000,7590000000,6613000000,8094000000,7685000000,8270000000,8132000000,8081000000
53,Total Current Liabilities,1326552663,1343396115,1904333652,2014559608,1927150193,1834419968,1661614461,1615276114,2004319271,2646842706,3631250386,4300099325,8084985453,7939953523,5683813252,9638570916,5910000000,5340000000,4333251600,2942998582,4785998462,5780002319,19551000669,22100000910,9529000000,11795000000,14966000000,14234000000,15371000000,12580000000,10157000000,9400000000,11349000000,10865000000,11125000000,11607000000,12627000000
54,Long-Term Debt,836298676,1255433015,1253630113,1120801499,3700256739,2660005401,2471838629,2062700014,803206911,634741960,2195747574,2397506593,2396253224,2783816748,2362171930,2293622894,2566000000,2708000000,3849597900,3882999158,2782999842,2006999131,38655998814,29724001295,22155000000,14156000000,20357000000,- -,24505000000,22362000000,20765000000,16889000000,14575000000,12401000000,12086000000,12302000000,12395000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295000000,127000000,110000000,98000000,325000000,331000000,252000000,214000000,204000000,205000000
56,Deferred Tax Liabilities,313485946,412022116,414441759,- -,510269576,603757571,479023989,379172797,227797172,273595672,917856481,1058327910,1732883687,1375338036,1316663162,1363233062,858000000,1050000000,1397420100,2135000104,2197000291,2338999051,4912000674,4054000148,4304000000,5175000000,6210000000,4736000000,4140000000,3574000000,3286000000,3121000000,3628000000,3673000000,3220000000,3239000000,3503000000
57,Other Non-Current Liabilities,316367251,310753674,324133925,796453798,842426187,792793488,823322480,744695373,902313473,939605710,1276345880,1298078570,1981985717,3159411071,3266888993,3476132752,2279000000,2866000000,3458748600,4756000896,4297999240,4983000684,11678999701,11276999907,15323000000,16002000000,18804000000,40287000000,13380000000,14607000000,13130000000,13798000000,14728000000,13935000000,15915000000,18135000000,17576000000
58,Total Non-Current Liabilities,1466151874,1978208805,1992205797,1917255298,5052952503,4056556460,3774185098,3186568183,1933317555,1847943342,4389949935,4753913073,6111122628,7318565856,6945724084,7132988708,5703000000,6624000000,8705766600,10774000157,9277999374,9328998867,55246999189,45055001351,41782000000,35333000000,45371000000,45318000000,42152000000,40653000000,37279000000,34133000000,33262000000,30261000000,31435000000,33880000000,33679000000
59,Other Liabilities,2932303747,3956417610,- -,- -,- -,8113112920,- -,- -,- -,- -,- -,- -,12222245256,14637131712,- -,- -,- -,- -,- -,- -,- -,18657997734,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,54000000,52000000,45000000,53000000,44000000,1309000000,1178000000,1363000000
61,Total Liabilities,2792704537,3321604920,3896539449,3931814906,6980102696,5890976428,5435799558,4801844296,3937636826,4494786048,8021200321,9054012399,14196108080,15258519379,12629537337,16771559625,11613000000,11964000000,13039018200,13716998740,14063997835,15109001186,74797999858,67155002261,51311000000,47128000000,60337000000,59552000000,57523000000,53233000000,47436000000,43533000000,44611000000,41126000000,42560000000,45487000000,46306000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,111650555,114573786,145579225,142352602,157252888,190964855,188989933,153185810,156795456,167284211,652079857,707264445,993700489,1681889285,1736431021,1414549528,154000000,154000000,1240366500,1304999986,1190999816,1270999191,1391000814,1120999999,5170000000,5601000000,5816000000,5945000000,5141000000,4765000000,4174000000,4139000000,4360000000,3688000000,3655000000,3988000000,3777000000
64,Retained Earnings,1166063994,1430176518,1913889045,2589375811,2039473684,2577061070,2396991131,2241669574,2798650967,3325359974,4003646703,4293249306,7223958871,5871423023,6778859842,6733612737,4396000000,4579000000,6833616300,8396999432,11892999879,14400999867,19033000015,17134000195,34487000000,48228000000,27784000000,21827000000,23605000000,26110000000,19736000000,21631000000,23761000000,27025000000,23387000000,26792000000,33337000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6233388961,-6884268932,-10056140647,-11242974189,-12178482432,-12539066794,-9265000000,-11205000000,-4165489800,-14738000075,-15110000446,-14803998605,- -,-18867999768,-24342000000,-27767000000,-31184000000,-40661000000,-47591000000,-46750000000,-47391000000,-50859000000,-56061000000,-50046000000,-58111000000,11960000000,- -
66,Other Total Stockholders Equity,840908763,829809881,927997302,946014127,1880616175,2054318892,2153736761,1789695600,1746938051,1880774823,8529575375,9422200911,13884730543,14314010125,15153359001,15352547795,11891000000,13934000000,6128659800,16913196000,16974002266,17364000447,4347999597,21250997499,28516000000,32271000000,50123000000,59754000000,64731000000,62160000000,60830000000,64379000000,72651000000,63019000000,71601000000,4314000000,14318000000
67,Total Stockholders Equity,2118623313,2374560185,2987465572,3677742540,4077342747,4822344817,4739717825,4184550984,4702384474,5373419008,6951912974,7538445731,12046249256,10624348245,11490167432,10961643267,7176000000,7462000000,10037152800,11877195344,14948001515,18232000900,24772000427,20637997925,43831000000,58333000000,52539000000,46865000000,45886000000,46285000000,37349000000,39290000000,44711000000,43686000000,40532000000,47054000000,51432000000
68,Total Liabilities And Stockholders Equity,4911327849,5696165105,6884005021,7609557446,11057445443,10713321245,10175517383,8986395280,8640021301,9868205056,14973113295,16592458129,26242357337,25882867624,24119704769,27733202892,18789000000,19426000000,23076171000,25594194084,29011999350,33341002086,99570000285,87793000186,95142000000,105461000000,112876000000,106417000000,103409000000,99518000000,84785000000,82823000000,89322000000,84812000000,83092000000,92541000000,97738000000
69,Minority Interest,470084854,564885722,659696850,616260631,609756098,665483585,550129112,197169854,184900302,217313134,726250077,780902147,1240094889,1151638476,1160227935,1289605090,827000000,778000000,1003001400,713999388,791000821,1153000934,1520999389,1822999352,2094000000,6941000000,6669000000,11156000000,7616000000,8309000000,6779000000,6440000000,6404000000,6137000000,4710000000,4849000000,5158000000
70,Total Liabilities & Equity,5381412704,6261050826,7543701872,8225818077,11667201540,11378804830,10725646495,9183565134,8824921602,10085518190,15699363372,17373360277,27482452225,27034506100,25279932704,29022807982,19616000000,20204000000,24079172400,26308193472,29803000171,34494003020,101090999674,89615999538,97236000000,112402000000,119545000000,117573000000,111025000000,107827000000,91564000000,89263000000,95726000000,90949000000,87802000000,97390000000,102896000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,383593428,362489194,424531093,956803152,1259348538,1200465801,2014477286,1168208814,2064944998,2219994922,1079000000,651000000,1506286800,3297001041,5214999994,7437999353,7311999231,3675999711,4872000000,14324000000,5826000000,-2990000000,3665000000,6527000000,-866000000,4617000000,8762000000,13638000000,8010000000,9769000000,21094000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,366752741,247220663,310632507,356456076,661351134,794602185,1231971996,1198587767,1243660056,1186972159,929000000,954000000,1056542400,1171000378,1333999754,1509000233,2114999519,3474999965,3427000000,3437000000,3817000000,4441000000,4791000000,4860000000,4645000000,4794000000,4375000000,4015000000,4384000000,4279000000,4697000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,61749186,66734412,71001716,-17197442,-10816491,125012844,251809661,248555067,-39108807,-49085315,-401000000,186000000,248073300,-51999127,-561999646,-1262001387,324000618,8247000295,991000000,-825000000,187000000,295000000,557000000,1519000000,1499000000,-273000000,-199000000,-532000000,- -,-285000000,-1079000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,38459263,-17197442,-55627665,-265438230,-132673907,138086148,65181345,44623014,-227000000,85000000,-42832800,-216999814,-248999663,-453999382,130000583,-1177999579,653000000,-492000000,-1000000000,-432000000,-330000000,937000000,526000000,292000000,-482000000,-587000000,28000000,-281000000,-1397000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-293776431,-206270001,0,-328314807,-463563879,-857964859,-782505290,80089966,-657027954,-698350161,843000000,929000000,-1352802600,-1533004487,947998840,-1385999488,-2882998977,-1740997475,-78000000,1341000000,10200000000,7622000000,6065000000,1380000000,4105000000,-673000000,946000000,-5300000000,2518000000,2112000000,633000000
