,https://roic.ai/company/SNDD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
77,Change in Working Capital,30,35697,-16031,-24790,-13583,-13719,-104827,-40734,27974,- -,140646,813882,-430218,-1251927,-491477
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-1607,1607,-225,- -,-471974,-279412,175354,17266,-98700
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-10080,- -,-104039,-249933,151147,30278,-266248
80,Accounts Payable,- -,2200,-1200,- -,2000,2320,- -,- -,- -,- -,- -,- -,- -,- -,169128
81,Other Working Capital,9992,45689,29658,4868,-8715,-22434,-127261,-167995,- -,- -,- -,639161,208943,-1042984,-1534461
82,Other Non-Cash Items,- -,-35607,17106,24795,15383,16464,84436,102913,199140,- -,-132789,-665172,755041,1422832,955970
83,Cash Provided by Operating Activities,22,-14213,-14957,-24785,-11783,-10974,-71808,-73540,-112474,- -,-1172960,-154640,-411268,-943662,-1264675
84,CAPEX,- -,- -,- -,- -,- -,- -,-53410,-485015,- -,- -,-5000,- -,- -,-51250,-16600
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147170,-356152,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1477800,367575,- -,- -,100374
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,60000,- -,-5000,- -,-100073,316577,-11000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-53410,-485015,60000,- -,1325630,11423,-100073,316577,83774
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-33000,- -,-15100,- -,-5297,-1015899,-96030,-152600,-1034718
91,Common Stock Issued,1000,1000,- -,- -,- -,- -,- -,580000,49900,- -,50000,5950,19350,- -,27500
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76102,- -,- -,-78566,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62552,- -,- -,- -,-69171
94,Other Financing Activites,9000,49000,- -,- -,8796,9204,171697,- -,15100,- -,668012,493725,561293,841385,2334080
95,Cash Used/Provided by Financing Activities,10000,50000,- -,- -,8796,9204,138697,580000,49900,- -,574061,-516224,484613,610219,1257691
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14251,-8177,-520,-2588
97,Net Change In Cash,- -,35787,-14957,-24785,-2987,-1770,13479,21445,-3104,- -,726731,-673692,-34905,-17386,74202
98,Cash at the End of Period,10022,45809,30853,6068,3081,1311,14790,36235,4188,- -,727631,53939,19034,1648,75850
99,Cash at the Beginning of Period,- -,10022,45810,30853,6068,3081,1311,14790,7292,- -,900,727631,53939,19034,1648
100,Free Cash Flow,22,-14213,-14957,-24785,-11783,-10974,-125218,-558555,-112474,- -,-1177960,-154640,-411268,-994912,-1281275
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1353406/000116552708000211/0001165527-08-000211-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552709000296/0001165527-09-000296-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552710000334/0001165527-10-000334-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552711000396/0001165527-11-000396-index.html,https://www.sec.gov/Archives/edgar/data/1353406/000116552712000497/0001165527-12-000497-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000116552714000285/0001165527-14-000285-index.htm,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1353406/000149315217012238/0001493152-17-012238-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000149315218014521/0001493152-18-014521-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000175392619000210/0001753926-19-000210-index.htm,https://www.sec.gov/Archives/edgar/data/1353406/000175392620000393/0001753926-20-000393-index.htm
102,false,,,,,,,,,,,,,,,
