,https://roic.ai/company/TRVN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,745000,- -,300000,- -
23,Net Income,-15810004,-15635658,-23251435,-49700875,-50528240,-102994000,-71865000,-30784000,-24871000,-29369000,-51588
24,Net Income ratio,-6.5293,-19.3608,-172.2584,-Infinity,-8.0845,-27.4651,-Infinity,-5.3706,-802.2903,-9.5696,-90.9841
25,EPS,-1.53,-1.50,-0.92,-2.02,-1.15,-1.97,-1.21,-0.42,-0.27,-0.23,-0.00
26,EPS Diluted,-1.53,-1.50,-0.92,-2.02,-1.15,-1.97,-1.21,-0.42,-0.27,-0.23,-0.00
27,Weighted Average Shares Outstanding,10393092,10393092,25734361,24655603,43794276,52399000,59436649,73558548,91677963,127623859,127623859
28,Weighted Average Shares Outstanding Diluted,10393092,10393092,25734361,24655603,43794276,52399000,59436649,73558548,91677963,127623859,127623859
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1429560/000104746914002712/0001047469-14-002712-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000104746915002400/0001047469-15-002400-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000104746916010926/0001047469-16-010926-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837017001472/0001558370-17-001472-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000142956018000004/0001429560-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837019001898/0001558370-19-001898-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837020002472/0001558370-20-002472-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837021002598/0001558370-21-002598-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837022004825/0001558370-22-004825-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,17060109,6738659,37965198,36205559,46773566,24266000,16557000,32892000,32305000,109403000,66923
32,Short-Term Investments,- -,- -,- -,70698640,125864447,86335000,49543000,28590000,3500000,- -,- -
33,Cash and Short-Term Investments,17060109,6738659,37965198,106904199,172638013,110601000,66100000,61482000,35805000,109403000,66923
34,Net Receivables,22994,11875,- -,- -,- -,- -,- -,- -,- -,9071000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2352
36,Other Current Assets,351997,257679,3957044,669155,1892217,1788000,1393000,607000,1683000,570000,1448
37,Total Current Assets,17435100,7008213,41922242,107573354,174530230,112389000,67493000,62089000,37488000,119044000,70723
38,PP&E,1675979,909801,343059,553294,696280,1059000,3805000,3387000,8177000,7372000,6547
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,14844,13000,11000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,296138,169672,127625,210811,112620,1193000,1413000,1303000,1329000,1323000,2854
45,Total Non-Current Assets,1972117,1079473,470684,764105,823744,2265000,5229000,4690000,9506000,8695000,9401
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19407217,8087686,42392926,108337459,175353974,114654000,72722000,66779000,46994000,127739000,80124
48,Accounts Payable,623324,459035,545053,4342480,6749625,8749000,1424000,1416000,1047000,1693000,4547
49,Short-Term Debt,193874,2085129,- -,- -,- -,5039000,12425000,12562000,5657000,703000,792
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,3750000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1461432,1387436,2191906,2616628,3073689,8260000,4364000,3512000,2403000,14168000,3847
53,Total Current Liabilities,2278630,3931600,2736959,6959108,13573314,22048000,18213000,17490000,9107000,16564000,9186
54,Long-Term Debt,250656,2783078,- -,1791285,18185898,13270000,15725000,4811000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1460834,1412189,664438,383438,463297,755000,4151000,2952000,7809000,7107000,6309
58,Total Non-Current Liabilities,1711490,4195267,664438,2174723,18649195,14025000,19876000,7763000,7809000,7107000,6309
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,10677,7942,18000,31000,20000,8424000,7804000,- -
61,Total Liabilities,3990120,8126867,3401397,9133831,32222509,36073000,38089000,25253000,16916000,23671000,15495
62,Preferred Stock,58641192,58957834,120562138,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,654,682,958,39241,50802,56000,62000,82000,94000,160000,165
64,Retained Earnings,-43381757,-59017415,-82268850,-131969725,-182497965,-285625000,-357490000,-388274000,-413145000,-442514000,-494102
65,Other Comprehensive Income/Loss,-2438137,-3225659,-3932438,-18782,-205856,2000,-42000,-9000,- -,- -,- -
66,Other Total Stockholders Equity,2595145,3245377,4629721,231152894,325784484,364148000,392103000,429727000,443129000,546422000,558566
67,Total Stockholders Equity,15417097,-39181,38991529,99203628,143131465,78581000,34633000,41526000,30078000,104068000,64629
68,Total Liabilities And Stockholders Equity,19407217,8087686,42392926,108337459,175353974,114654000,72722000,66779000,46994000,127739000,80124
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19407217,8087686,42392926,108337459,175353974,114654000,72722000,66779000,46994000,127739000,80124
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1429560/000104746914002712/0001047469-14-002712-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000104746915002400/0001047469-15-002400-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000104746916010926/0001047469-16-010926-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837017001472/0001558370-17-001472-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000142956018000004/0001429560-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837019001898/0001558370-19-001898-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837020002472/0001558370-20-002472-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837021002598/0001558370-21-002598-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837022004825/0001558370-22-004825-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-15810004,-15635658,-23251435,-49700875,-50528240,-102994000,-71865000,-30784000,-24871000,-29369000,-51588000
74,Depreciation and Amortization,801580,787522,706779,239390,207897,246000,490000,645000,562000,477000,428000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,180584,176308,927996,2383399,3426730,5903000,6387000,4367000,3232000,3284000,4407000
77,Change in Working Capital,1541393,-12079857,36108670,61428963,60342670,-70615916,-41061000,-4681000,-16218000,74099000,-102418463
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1049000,-2337000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2352000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,15156470,3076613,39185283,100614246,160956916,90341000,49280000,44599000,28381000,102480000,61537
82,Other Non-Cash Items,4857,11946532,-38731240,-54128807,-53524017,75906916,34794000,5078000,13628000,-69885000,98974463
83,Cash Provided by Operating Activities,-13281590,-14805153,-24239230,-39777930,-40074960,-91554000,-71255000,-25375000,-23667000,-21394000,-50197000
84,CAPEX,-97783,-21344,-140036,-440381,-376247,-605000,-3495000,-169000,- -,-27000,-16000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-70717422,-56563087,-77421000,-62743000,-47813000,-53806000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,115824000,99018000,68982000,79389000,3500000,- -
88,Other Investing Activites,- -,- -,- -,- -,-15000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-97783,-21344,-140036,-71157803,-56939334,37798000,32780000,21000000,25583000,3473000,-16000
90,Debt Repayment,-903067,-797863,-4946667,-1019,-2563,-4000,-8000,-12678000,-12679000,-5055000,-8000
91,Common Stock Issued,- -,- -,- -,107290323,90310634,32077000,20712000,33195000,10312000,101010000,187000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17486782,5302910,60552472,1886790,17274230,256000,10282000,83000,-130000,-935000,7555000
95,Cash Used/Provided by Financing Activities,16583715,4505047,55605805,109176094,107582301,32329000,30986000,20600000,-2497000,95020000,7734000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3204342,-10321450,31226539,-1759639,10568007,-21427000,-7489000,16225000,-581000,77099000,-42479000
98,Cash at the End of Period,17060109,6738659,37965198,36205559,46773566,25459000,17970000,34195000,33614000,110713000,68234000
99,Cash at the Beginning of Period,13855767,17060109,6738659,37965198,36205559,46886000,25459000,17970000,34195000,33614000,110713000
100,Free Cash Flow,-13379373,-14826497,-24379266,-40218311,-40451207,-92159000,-74750000,-25544000,-23667000,-21421000,-50213000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1429560/000104746914002712/0001047469-14-002712-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000104746915002400/0001047469-15-002400-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000104746916010926/0001047469-16-010926-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837017001472/0001558370-17-001472-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000142956018000004/0001429560-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837019001898/0001558370-19-001898-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837020002472/0001558370-20-002472-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837021002598/0001558370-21-002598-index.htm,https://www.sec.gov/Archives/edgar/data/1429560/000155837022004825/0001558370-22-004825-index.htm
102,false,,,,,,,,,,,
