,https://roic.ai/company/URGN,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,872000,3612000,- -,- -,2604000,4214000,88953000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,2604000,1497000,- -
61,Total Liabilities,3109000,6749000,7035000,13465000,22086000,25650000,111333000
62,Preferred Stock,13000,13000,- -,- -,- -,- -,- -
63,Common Stock,6000,6000,37000,44000,57000,60000,- -
64,Retained Earnings,-25273000,-27214000,-47214000,-122871000,-228017000,-356501000,-467321000
65,Other Comprehensive Income/Loss,-157000,-370000,-577000,-747000,276000,271000,-25000
66,Other Total Stockholders Equity,41692000,43872000,116269000,213668000,407986000,452525000,475759000
67,Total Stockholders Equity,16281000,16307000,68515000,90094000,180302000,96355000,8413000
68,Total Liabilities And Stockholders Equity,19390000,23056000,75550000,103559000,202388000,122005000,119746000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19390000,23056000,75550000,103559000,202388000,122005000,119746000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1668243/000156459019005323/0001564590-19-005323-index.htm,https://www.sec.gov/Archives/edgar/data/1668243/000156459020007970/0001564590-20-007970-index.htm,https://www.sec.gov/Archives/edgar/data/1668243/000156459021014016/0001564590-21-014016-index.htm,https://www.sec.gov/Archives/edgar/data/1668243/000119312522080081/0001193125-22-080081-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-12689000,-1941000,-20000000,-75657000,-105146000,-128484000,-110820000
74,Depreciation and Amortization,113000,213000,207000,417000,1324000,2044000,831000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,449000,1967000,6300000,30642000,29967000,28025000,23113000
77,Change in Working Capital,609000,2010000,48533000,21341000,40374000,-34969000,-2173000
78,Accounts Receivable,- -,-83000,83000,- -,- -,-7047000,-4671000
79,Inventory,- -,-105000,-211000,316000,- -,-1964000,-2868000
80,Accounts Payable,1155000,481000,2534000,4205000,2928000,-1245000,- -
81,Other Working Capital,16894000,18904000,67437000,88778000,129152000,94183000,92010000
82,Other Non-Cash Items,4343000,1940000,-44611000,-14077000,-37536000,27498000,4157000
83,Cash Provided by Operating Activities,-7175000,4189000,-9571000,-37334000,-71017000,-105886000,-84892000
84,CAPEX,-301000,-695000,-271000,-560000,-325000,-1215000,-752000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-36001000,- -,-197686000,-29688000,-51898000
87,Sales/Maturities of Investments,- -,- -,- -,35901000,52590000,124141000,56719000
88,Other Investing Activites,- -,-98000,-105000,-54000,-172000,- -,- -
89,Cash Used for Investing Activites,-301000,-793000,-36377000,35287000,-145593000,93238000,4069000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,60841000,64235000,161662000,15853000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,21581000,-9000,744000,2186000,3588000,674000,72319000
95,Cash Used/Provided by Financing Activities,21581000,-9000,61585000,66421000,165250000,16527000,72319000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,14105000,3387000,15637000,64374000,-51360000,3879000,-8504000
98,Cash at the End of Period,17975000,21362000,36999000,101571000,50211000,54090000,45586000
99,Cash at the Beginning of Period,3870000,17975000,21362000,37197000,101571000,50211000,54090000
100,Free Cash Flow,-7476000,3494000,-9842000,-37894000,-71342000,-107101000,-85644000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1668243/000156459019005323/0001564590-19-005323-index.htm,https://www.sec.gov/Archives/edgar/data/1668243/000156459020007970/0001564590-20-007970-index.htm,https://www.sec.gov/Archives/edgar/data/1668243/000156459021014016/0001564590-21-014016-index.htm,https://www.sec.gov/Archives/edgar/data/1668243/000119312522080081/0001193125-22-080081-index.htm
102,false,,,,,,,
