,https://roic.ai/company/DLOC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,-413641,-878679,-1041721,-1180558,-2302583,-1861490,-3273158,-3497502,-7704843,-5218161,-277663,-2388454,-8168814,2941425,-2747195,-13120527000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-343.5739,Infinity,-Infinity,-546.0288
25,EPS,- -,-372.31,-900.09,-900.09,-900.09,-900.09,-652.57,-675.07,-292.53,-112.51,-45.00,-2.25,-13.50,-47.25,7.17,-0.04,-75776.37
26,EPS Diluted,- -,-372.31,-900.09,-900.09,-900.09,-900.09,-652.57,-675.07,-292.53,-112.51,-45.00,-2.25,-13.50,-47.25,0.02,-0.04,-75776.37
27,Weighted Average Shares Outstanding,- -,1111,1545,1648,1738,2081,2902,4787,12429,70484,131152,155133,163641,173148,409955,63539624,173148
28,Weighted Average Shares Outstanding Diluted,- -,1111,1545,1648,1738,2081,2902,4787,12429,70484,131152,155133,163641,173148,164537744,63539624,173148
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1407878/000101376208000573/0001013762-08-000573-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1407878/000101376212000649/0001013762-12-000649-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000144586613000328/0001445866-13-000328-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000144586614000198/0001445866-14-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000144586615000296/0001445866-15-000296-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000144586616001750/0001445866-16-001750-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000144586617000250/0001445866-17-000250-index.html,- -,https://www.sec.gov/Archives/edgar/data/1407878/000147793219001311/0001477932-19-001311-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000147793220001921/0001477932-20-001921-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000147793221001746/0001477932-21-001746-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000147793222001669/0001477932-22-001669-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,75142,9539,45292,270562,38422,7265,14257,11382,15447,37696,39934,23461,56414,8275,18605,68366
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,75142,9539,45292,270562,38422,7265,14257,11382,15447,37696,39934,23461,56414,8275,18605,68366
34,Net Receivables,- -,- -,- -,2400,- -,- -,- -,- -,- -,- -,- -,- -,- -,3434,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,50000,943993,2720,24023,7563,17719,12888,3758,70593,2007,1905,1998,5635,2808,- -,- -
37,Total Current Assets,- -,125142,953532,50412,294585,45985,24984,27145,15140,86040,39703,41839,25459,65483,11083,18605,68366
38,PP&E,- -,16156,68773,101007,78291,75719,101008,3536,1182,547,339,1194,2464,5193,8303,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,8773,14417,37114,70585,1584,1784,- -,- -,- -,- -,122917,- -,- -,8000
41,Intangible Assets,- -,- -,- -,8773,14417,37114,70585,1584,1784,- -,- -,- -,- -,122917,- -,- -,8000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,16156,68773,109780,92708,112833,171593,5120,2966,547,339,1194,2464,128110,8303,- -,8000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,141298,1022305,160192,387293,158818,196577,32265,18106,86587,40042,43033,27923,193593,19386,18605,76366
48,Accounts Payable,- -,- -,2676,34806,4046,12635,141361,274485,217418,160270,139735,108381,112768,191312,126478,248946,127067
49,Short-Term Debt,- -,- -,- -,50000,- -,25000,100000,86182,675555,820699,1457006,401536,1146880,1925064,2474213,2599528,57958
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25718,- -,- -,- -
52,Other Current Liabilities,- -,15564,8074,43552,34196,18715,14477,797623,2887439,9623262,13474604,6747507,8229985,10724989,6745837,12106622,6150743
53,Total Current Liabilities,- -,15564,10750,128358,38242,56350,255838,1158290,3780412,10604231,15071345,7257424,9489633,12867083,9346528,14955096,6335768
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,86117,40232,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199343
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,86117,40232,- -,- -,- -,- -,- -,199343
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7708,- -,- -
61,Total Liabilities,- -,15564,10750,128358,38242,56350,255838,1158290,3780412,10690348,15111577,7257424,9489633,12867083,9346528,14955096,6535111
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16,17,52,17,15,- -
63,Common Stock,- -,128445,148342,148342,177350,204778,9595,11578,72135,241186,321499,35179,38776,40750,1049,133338,276383
64,Retained Earnings,- -,-413641,-1292320,-2334041,-3514599,-5817182,-7678672,-10951830,-14449332,-22154175,-27372336,-27649999,-30038453,-38207267,-35265842,-38013037,-51133564
65,Other Comprehensive Income/Loss,- -,-1403,-9637,-28302,-51018,-45800,-65229,-7663,- -,- -,- -,- -,- -,-53163,-13167,- -,- -
66,Other Total Stockholders Equity,- -,412333,2165170,2245835,3737318,5760672,7675045,9821890,10614891,11309228,11979302,20400413,20537950,25546138,25950801,22943193,39412236
67,Total Stockholders Equity,- -,125734,1011555,31834,349051,102468,-59261,-1126025,-3762306,-10603761,-15071535,-7214391,-9461710,-12673490,-9327142,-14936491,-11444945
68,Total Liabilities And Stockholders Equity,- -,141298,1022305,160192,387293,158818,196577,32265,18106,86587,40042,43033,27923,193593,19386,18605,-4909834
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4986200
70,Total Liabilities & Equity,- -,141298,1022305,160192,387293,158818,196577,32265,18106,86587,40042,43033,27923,193593,19386,18605,76366
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1407878/000101376208000573/0001013762-08-000573-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1407878/000101376212000649/0001013762-12-000649-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000144586613000328/0001445866-13-000328-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000144586614000198/0001445866-14-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000144586615000296/0001445866-15-000296-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000144586616001750/0001445866-16-001750-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000144586617000250/0001445866-17-000250-index.html,- -,https://www.sec.gov/Archives/edgar/data/1407878/000147793219001311/0001477932-19-001311-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000147793220001921/0001477932-20-001921-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000147793221001746/0001477932-21-001746-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000147793222001669/0001477932-22-001669-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,-413641,-878679,-1041721,-1180558,-2302583,-1861490,-3273158,-3497502,-7704843,-5218161,-277663,-2388454,-8168814,2941425,-2747195,-13120527000
74,Depreciation and Amortization,- -,1403,8234,18665,22716,15579,19429,111541,2354,2419,208,617,675,3625,522,595,774910
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,176038,1230000,217761,691814,101755,36825,28000,- -,1,188127,15000,108514,1699964
77,Change in Working Capital,- -,-34436,833204,-1020728,334289,-266708,-220489,-900291,-2634127,-6752919,-4513451,7816057,321873,-3337426,3466155,-5601046,8669089
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18801,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,32130,-30760,8589,128726,250124,32903,-57148,-20535,-25910,4387,3864,13042,122468,-41879
81,Other Working Capital,- -,109578,942782,-77946,256343,-10365,-230854,-1131145,-3765272,-10518191,-15031642,-7215585,-9464174,-12801600,-9335445,-14936491,-6267402
82,Other Non-Cash Items,- -,- -,-835506,1205704,-393308,271231,334821,2760657,5771465,13759175,9168653,-8227618,1206794,10679119,-7051059,8023461,13108805798
83,Cash Provided by Operating Activities,- -,-446674,-872747,-838080,-1040823,-1052481,-1509968,-609437,-256055,-659343,-534751,-688607,-859111,-635369,-627957,-215671,-577239
84,CAPEX,- -,-17559,-60851,-59672,-5644,-55159,-78189,-19146,-200,- -,- -,-1472,-1945,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24178,- -,- -,-10000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,821505,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-821505,-8773,-5644,1803,-33471,-19146,-200,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-17559,-882356,761833,-5644,-30659,-78189,-19146,-200,- -,- -,-1472,-1945,-24178,- -,- -,-10000
90,Debt Repayment,- -,- -,- -,- -,-115000,- -,-25000,-35000,- -,-74592,- -,-14683,-10417,- -,- -,- -,- -
91,Common Stock Issued,- -,539375,1689500,62000,693962,826000,1482000,253075,- -,- -,- -,- -,- -,- -,- -,- -,416200
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,50000,692775,25000,100000,417500,253380,738000,557000,707000,855000,692500,617000,226001,220800
95,Cash Used/Provided by Financing Activities,- -,539375,1689500,112000,1271737,851000,1557000,635575,253380,663408,557000,692317,844583,692500,617000,226001,637000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,539375,-65603,35753,225270,-232140,-31157,6992,-2875,4065,22249,2238,-16473,32953,-10957,10330,49761
98,Cash at the End of Period,- -,75142,9539,45292,270562,38422,7265,14257,11382,15447,37696,39934,23461,56414,8275,18605,68366
99,Cash at the Beginning of Period,- -,- -,75142,9539,45292,270562,38422,7265,14257,11382,15447,37696,39934,23461,19232,8275,18605
100,Free Cash Flow,- -,-464233,-933598,-897752,-1046467,-1107640,-1588157,-628583,-256255,-659343,-534751,-690079,-861056,-635369,-627957,-215671,-577239
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1407878/000101376208000573/0001013762-08-000573-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1407878/000101376212000649/0001013762-12-000649-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000144586613000328/0001445866-13-000328-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000144586614000198/0001445866-14-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000144586615000296/0001445866-15-000296-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000144586616001750/0001445866-16-001750-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000144586617000250/0001445866-17-000250-index.html,- -,https://www.sec.gov/Archives/edgar/data/1407878/000147793219001311/0001477932-19-001311-index.html,https://www.sec.gov/Archives/edgar/data/1407878/000147793220001921/0001477932-20-001921-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000147793221001746/0001477932-21-001746-index.htm,https://www.sec.gov/Archives/edgar/data/1407878/000147793222001669/0001477932-22-001669-index.htm
102,false,,,,,,,,,,,,,,,,,
