,https://roic.ai/company/SWX,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
16,EBITDA ratio,- -,0.0386,0.0526,0.0847,0.0514,0.0506,0.0431,-0.0179,0.0246,0.0286,0.2642,0.0715,0.1101,0.0292,0.1665,0.0650,0.1239,0.0984,0.1100,0.1098,0.1175,0.0926,0.1103,0.1056,0.0907,0.2141,0.2332,0.2362,0.2594,0.2685,0.2567,0.2274,0.2411,0.2307,0.2048,0.2187,0.2268
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51500000,58300000,71500000,102200000,154200000,131300000,128630000,133983000,146499000,135105000,169767000,150648000,209182000,220587000,207862000,208391000,232117000,250080000,271524000,274215000,284483000,288332000,295714000,323700000,357433000,371811000,423004000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0845,0.1035,0.1110,0.1396,0.1681,0.1401,0.1244,0.0959,0.1109,0.1098,0.1149,0.0879,0.1033,0.1025,0.0969,0.1100,0.1268,0.1325,0.1408,0.1406,0.1341,0.1170,0.1202,0.1270,0.1241,0.1192,0.1282
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7500000,-54800000,-61000000,-80800000,-70300000,-70400000,-76691000,-77242000,-81117000,-79721000,-82755000,-82213000,-80825000,-89563000,-106054000,-76356000,-73739000,-75014000,-63609000,-51400000,-64962000,-69000000,-64191000,-64670000,-114097000,-99141000,-118266000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,3500000,10500000,21400000,83900000,60900000,51939000,56741000,65382000,55384000,87012000,68435000,128357000,131024000,101808000,132035000,158378000,175066000,207915000,222815000,219521000,219332000,231523000,259030000,243336000,272670000,304738000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0722,0.0062,0.0163,0.0292,0.0915,0.0650,0.0502,0.0406,0.0495,0.0450,0.0589,0.0399,0.0634,0.0609,0.0475,0.0697,0.0865,0.0928,0.1079,0.1142,0.1035,0.0890,0.0941,0.1016,0.0845,0.0874,0.0924
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,800000,3900000,4900000,36400000,21600000,13628000,19585000,21417000,16882000,30237000,24612000,44497000,47778000,40835000,44917000,54925000,63303000,75276000,77942000,78373000,79902000,78468000,65088000,61684000,56023000,65753000
23,Net Income,- -,23600000,23700000,39700000,41200000,42700000,37200000,-14200000,17700000,15400000,26300000,-14800000,6600000,16500000,47500000,39300000,38311000,37156000,43965000,38502000,56775000,43823000,83860000,83246000,60973000,87482000,103877000,112287000,133331000,145320000,141126000,138317000,152041000,193841000,182277000,213936000,238985000
24,Net Income ratio,- -,0.0386,0.0526,0.0847,0.0514,0.0506,0.0431,-0.0179,0.0246,0.0286,0.0431,-0.0263,0.0102,0.0225,0.0518,0.0419,0.0370,0.0266,0.0333,0.0313,0.0384,0.0256,0.0414,0.0387,0.0284,0.0462,0.0568,0.0595,0.0692,0.0745,0.0665,0.0561,0.0618,0.0761,0.0633,0.0686,0.0724
25,EPS,- -,1.92,1.66,2.16,2.13,2.15,1.81,-0.76,0.81,0.71,1.22,-0.66,0.25,0.61,1.66,1.28,1.22,1.16,1.33,1.14,1.61,1.15,2.07,1.97,1.40,1.95,2.29,2.45,2.89,3.14,3.04,2.94,3.20,4.04,3.69,3.94,4.15
26,EPS Diluted,- -,1.92,1.66,2.16,2.13,2.15,1.81,-0.76,0.81,0.71,1.22,-0.66,0.25,0.61,1.65,1.27,1.21,1.15,1.32,1.13,1.60,1.14,2.05,1.95,1.39,1.94,2.27,2.43,2.86,3.11,3.01,2.92,3.18,4.04,3.68,3.94,4.14
27,Weighted Average Shares Outstanding,- -,11250000,13132530,18379630,18450704,19023256,19668508,20394737,20493827,20704225,21078000,23167000,25888000,27069000,28611000,30690000,31371000,32122000,32953000,33760000,35204000,38132000,40566000,42336000,43476000,44752000,45405000,45858000,46115000,46318000,46494000,46992000,47469000,47965000,49419000,54245000,55998000
28,Weighted Average Shares Outstanding Diluted,- -,11250000,13132530,18379630,18450704,19023256,19668508,20394737,20493827,20704225,23333333,23167000,25888000,27600000,28815000,30965000,31575000,32398000,33233000,34041000,35488000,38467000,40975000,42714000,43775000,45062000,45823000,46291000,46555000,46758000,46944000,47383000,47814000,47991000,49476000,54312000,56076000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1692115/000119312517062419/0001193125-17-062419-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000119312518063850/0001193125-18-063850-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000169211519000013/0001692115-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000169211520000016/0001692115-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000169211521000008/0001692115-21-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,11200000,8300000,17600000,18500000,17100000,19955000,32486000,19392000,17183000,13641000,29603000,18786000,31991000,26399000,65315000,116096000,21937000,25530000,41077000,39566000,35997000,28066000,43622000,85361000,49539000,83352000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,11200000,8300000,17600000,18500000,17100000,19955000,32486000,19392000,17183000,13641000,29603000,18786000,31991000,26399000,65315000,116096000,21937000,25530000,41077000,39566000,35997000,28066000,43622000,85361000,49539000,83352000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1043600000,82100000,115500000,132400000,144900000,144900000,206876000,245852000,195768000,193483000,244290000,266481000,299228000,278560000,241429000,237971000,233519000,287339000,271858000,295959000,377577000,423387000,365800000,433535000,505779000,584948000,522172000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631300000,223900000,36000000,138500000,84000000,47100000,176398000,121811000,46608000,70421000,174062000,246576000,183610000,191908000,170248000,114346000,96279000,152356000,161029000,157636000,189640000,98790000,139441000,179875000,248629000,225369000,265489000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1804900000,317200000,159800000,288500000,247400000,209100000,403229000,400149000,261768000,281087000,431993000,542660000,501624000,502459000,438076000,417632000,445894000,461632000,458417000,494672000,606783000,558174000,533307000,657032000,839769000,859856000,871013000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1071500000,1137800000,1278500000,1360300000,1459400000,1581100000,1686082000,1825571000,1979459000,2263179000,2435871000,2607241000,2804346000,2988397000,3108088000,3034503000,3072436000,3218944000,3505794000,3654108000,3886383000,4068843000,4329901000,4753787000,5602384000,6337298000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143160000,126145000,139983000,179314000,359045000,343023000,345184000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36773000,37669000,80702000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143160000,162918000,177652000,260016000,359045000,343023000,345184000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115860000,134648000,192004000,80000000,93000000,99000000,99000000,106744000,117341000,114405000,132072000,140874000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,428000,1288000,1480000,1264000,856000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,77500000,122000000,120300000,123900000,133200000,143026000,143892000,136701000,63840000,70252000,78525000,178995000,179332000,274220000,338297000,331215000,403427000,443750000,323523000,479446000,469322000,432234000,447410000,440862000,496943000,-140874000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1285100000,1215300000,1400500000,1480600000,1583300000,1714300000,1829108000,1969463000,2116160000,2327019000,2506123000,2685766000,2983341000,3167729000,3382308000,3488660000,3538299000,3814375000,4029544000,4070631000,4607989000,4800511000,5047819000,5580034000,6517960000,7310192000,345184000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3090000000,1532500000,1560300000,1769100000,1830700000,1923400000,2232337000,2369612000,2377928000,2608106000,2938116000,3228426000,3484965000,3670188000,3820384000,3906292000,3984193000,4276007000,4487961000,4565303000,5214772000,5358685000,5581126000,6237066000,7357729000,8170048000,1216197000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208700000,41900000,50000000,62300000,64300000,64200000,194679000,109167000,88309000,110114000,165872000,259476000,265739000,220731000,191434000,158856000,165536000,186755000,155667000,183511000,167988000,164857000,184669000,228315000,248993000,238921000,231301000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61705000,58435000,129821000,107215000,27545000,47079000,62833000,1327000,75080000,322618000,50137000,11105000,24192000,37475000,50101000,239846000,185060000,374512000,147433000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40868000,41672000,42102000,37644000,39681000,44339000,48277000,44830000,49825000,44643000,50229000,61196000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83839000,77858000,73367000,71546000,72631000,72296000,69781000,67940000,69165000,455000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1747400000,288300000,211300000,262100000,186500000,200700000,286851000,543874000,163167000,141863000,187338000,254262000,202780000,260122000,255628000,314047000,356345000,254356000,251467000,166181000,206391000,260082000,321309000,277939000,436652000,397263000,532778000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1956100000,330200000,261300000,324400000,250800000,264900000,481530000,653041000,313181000,310412000,483031000,620953000,496064000,527932000,509895000,474230000,596961000,847568000,535129000,434164000,470117000,535045000,628375000,815881000,938645000,1079861000,911967000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,790800000,607900000,665200000,778700000,812900000,859300000,896417000,796351000,1092148000,1221164000,1262936000,1324898000,1386354000,1366067000,1285474000,1269357000,1124681000,930858000,1268373000,1381327000,1637592000,1551204000,1549983000,1798576000,2107258000,2300482000,2732200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138900000,152100000,168300000,179700000,178400000,204168000,217804000,229358000,277332000,281743000,234739000,308493000,347497000,387539000,436113000,466628000,557118000,616184000,674411000,723688000,769445000,840653000,476960000,529201000,599840000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624506000,628927000,715432000,759873000,662877000,896852000,910666000,900842000,1333246000,1531035000,1683951000,1199564000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,790800000,746800000,817300000,947000000,992600000,1037700000,1100585000,1014155000,1321506000,1498496000,1544679000,1559637000,1694847000,1713564000,1673013000,2329976000,2220236000,2203408000,2644430000,2718615000,3258132000,3231315000,3291478000,3608782000,4167494000,4584273000,3931764000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,790800000,1533000000,1676700000,1945700000,2036100000,2130800000,2257925000,2109526000,2730086000,3165723000,3294088000,3415975000,3782323000,3872147000,3945661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11755650000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2746900000,1116400000,1120700000,1323100000,1294300000,1358000000,1638870000,1748412000,1721761000,1977639000,2232440000,2477291000,2583540000,2686515000,2782543000,2804206000,2817197000,3050976000,3179559000,3152779000,3728249000,3766360000,3919853000,4424663000,5106139000,5664134000,8735853000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22900000,26100000,28400000,29000000,32000000,32600000,33340000,34123000,34919000,35862000,38424000,40958000,43400000,44436000,45822000,46722000,47229000,47586000,47778000,47986000,48153000,49007000,49112000,49720000,54656000,56637000,58823000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52400000,17300000,2100000,-3700000,19500000,33500000,45995000,56667000,73460000,84084000,111498000,123574000,173433000,219768000,240982000,285316000,343131000,406125000,484369000,567714000,639164000,699221000,759263000,857398000,944285000,1039072000,1067978000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-461600000,-474900000,-506000000,-551100000,-612100000,-662500000,-728466000,-789751000,-869908000,-896309000,-10892000,-41645000,-13666000,-12850000,-19426000,-22250000,-30784000,-49331000,-50745000,-41698000,-50175000,-50268000,-48008000,-47682000,-52668000,-56732000,-61003000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,729400000,787600000,855100000,911800000,1037000000,1101800000,1182598000,1260161000,1357696000,1406830000,566646000,628248000,698258000,732319000,770463000,792339000,807885000,821640000,828777000,840521000,851381000,896448000,903123000,955332000,1305769000,1466937000,1609155000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343100000,356100000,379600000,386000000,476400000,505400000,533467000,561200000,596167000,630467000,705676000,751135000,901425000,983673000,1037841000,1102127000,1167461000,1226020000,1310179000,1414523000,1488523000,1594408000,1663490000,1814768000,2252042000,2505914000,2674953000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3090000000,1472500000,1500300000,1709100000,1770700000,1863400000,2172337000,2309612000,2317928000,2608106000,2938116000,3228426000,3484965000,3670188000,3820384000,3906333000,3984658000,4276996000,4489738000,4567302000,5216772000,5360768000,5583343000,6239431000,7358181000,8170048000,11410806000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000000,60000000,60000000,60000000,60000000,60000000,60000000,60000000,- -,- -,- -,- -,- -,- -,-41000,-465000,-989000,-1777000,-1999000,-2000000,-2083000,-2217000,-2365000,-452000,- -,-10194609000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3090000000,1532500000,1560300000,1769100000,1830700000,1923400000,2232337000,2369612000,2377928000,2608106000,2938116000,3228426000,3484965000,3670188000,3820384000,3906292000,3984193000,4276007000,4487961000,4565303000,5214772000,5358685000,5581126000,6237066000,7357729000,8170048000,1216197000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1692115/000119312517062419/0001193125-17-062419-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000119312518063850/0001193125-18-063850-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000169211519000013/0001692115-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000169211520000016/0001692115-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000169211521000008/0001692115-21-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26300000,-14800000,6600000,16500000,47500000,39300000,38311000,37156000,43965000,38502000,56775000,43823000,83860000,83246000,60973000,87482000,103877000,112287000,133331000,145320000,141126000,138317000,152041000,193841000,182277000,213936000,238985000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190082000,190463000,200469000,223422000,236817000,253027000,270111000,289132000,250951000,249212000,303237000,332027000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8200000,-15300000,17500000,47500000,-200000,-20000000,80836000,-11175000,-15684000,44144000,38001000,-5514000,3909000,16068000,36135000,42798000,50111000,56467000,66280000,68639000,64309000,48785000,68732000,63389000,51041000,54162000,50717000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5137000,6958000,7973000,2914000,5456000,10888000,6111000,6896000,7114000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138200000,-88500000,65600000,32500000,-52400000,-22501000,-174591000,201479000,22088000,-21713000,-27255000,83853000,-31033000,-46346000,15221000,-94469000,-234869000,309224000,137220000,76158000,-113537000,-118197000,-63781000,59973000,-121129000,179051000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11107000,10117000,-61641000,12333000,-22556000,-3683000,-39850000,30096000,-40947000,-15862000,-54245000,-48772000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32578000,6680000,15826000,-25998000,27668000,-41499000,-3491000,21695000,19961000,11778000,-1865000,-7694000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151200000,-13000000,-101500000,-35900000,-3400000,-55800000,-78301000,-252892000,-51413000,-29325000,-51038000,-78293000,5560000,-25473000,-71819000,-56598000,-151067000,-385936000,-76712000,60508000,136666000,23129000,-95068000,-158849000,-98876000,-220005000,-40954000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94800000,-10300000,116600000,-73200000,123700000,211700000,28661000,271362000,68714000,103042000,78428000,226570000,109732000,279530000,248986000,70219000,121011000,117688000,-351070000,-248745000,-196170000,200557000,201225000,-85333000,-19758000,43270000,-181814000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112900000,97800000,52200000,56400000,203500000,178600000,125307000,122752000,298474000,207776000,151491000,237624000,281354000,347811000,299748000,405802000,370993000,252042000,386324000,346209000,346423000,547147000,598389000,369955000,528856000,500372000,626080000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144600000,-166200000,-218800000,-169600000,-194600000,-229500000,-223240000,-265580000,-282851000,-240671000,-302688000,-294369000,-345325000,-340875000,-300217000,-216985000,-215439000,-380991000,-395712000,-364276000,-396898000,-488000000,-529531000,-623649000,-765914000,-938148000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190497000,-9261000,-17000000,-94204000,-251373000,-47638000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-296300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101600000,2500000,169500000,-1300000,4300000,3500000,3923000,4318000,23985000,-18215000,6106000,1985000,33199000,8940000,47007000,-264917000,-203006000,-358799000,21719000,16238000,31807000,27439000,20939000,16968000,17804000,34154000,23036000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245700000,-163700000,-49300000,-170900000,-190300000,-226000000,-219317000,-261262000,-258866000,-258886000,-296582000,-292384000,-312126000,-331935000,-253210000,-264917000,-203006000,-358799000,-373993000,-348038000,-555588000,-469822000,-525592000,-700885000,-999483000,-951632000,-802069000
