,https://roic.ai/company/PRTG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,4035973,- -,- -,117388000,117388000,117388000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3000000,7035973,- -,- -,160712000,160712000,160712000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,700000,1381000,6407000,8634000,9144000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,1929770,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,67500,1006000,45000,34000,58000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,1929770,179026,- -,- -,6028,7471,6404914,7183480,6732,5622,3004122,3000000,7735973,767500,2387000,167164000,169380000,169914000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,19537,2353216,4195386,4675564,5784429,5089984,1261540,10221490,9622084,7513661,3430925,5263413,4735864,12628842,59903553,10003000,173715000,173174000,174860000
48,Accounts Payable,- -,- -,- -,- -,- -,47087,267433,90692,26374,16515,29475,76458,1383487,519652,- -,446865,191972,620560,299740,109061,127000,388000,343000,113000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1045299,- -,- -,- -,- -,- -,- -,- -,- -,663000,300000,1801000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,186713,393200,12077,115149,25485,27868,43933,1023723,163104,2661722,- -,- -,- -,- -,- -,- -,743000,1925000,1294000
53,Total Current Liabilities,- -,- -,- -,- -,- -,233800,660634,102769,141523,42001,57344,120391,3452509,682756,2661722,446865,191972,620560,299740,109061,127000,1794000,2568000,3208000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180815,233000,3000000,3361000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20364000,21604000,24050000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,19550,24000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,200365,257000,23364000,24965000,24050000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,3,- -,-2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,233800,660634,102771,141523,42000,57344,120391,3452509,682756,2661722,446865,191972,620560,299740,309426,384000,25158000,27533000,27258000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,13893844,18523133,23378433,- -,- -,- -,- -,- -,- -,- -,35638509,7256715,9691715,17055197,18360197,23654000,116237000,117817000,130649000
64,Retained Earnings,- -,- -,- -,- -,- -,-14108107,-16830551,-22423023,-27371817,-27803491,-31716609,-26400032,-36553428,-42175605,-43561025,-44162456,-6334433,-9452864,-14617652,14981472,-14334000,-16969000,-22302000,-38135000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,3137207,- -,6034286,-1269570,-3504410,-2644902,173213,- -,- -,- -,- -,- -,24546993,32000,82000,958000,958000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,-0,0,-1,- -,- -,- -,- -,- -,- -,- -,11508007,1470842,2420921,7831826,1705465,267000,324000,58000,7977000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,-214263,1692582,4092616,4534040,5742429,5032642,1141149,7119004,8939329,4851939,2984060,2393124,2659772,10269371,59594127,9619000,99674000,96531000,101449000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,19537,2353216,4195386,4675564,5784429,5089985,1261540,10571514,9622084,7513661,3430925,2585096,3280332,10569111,59903553,10003000,124832000,124064000,128707000
69,Minority Interest,- -,- -,- -,- -,- -,-0,0,-1,- -,- -,-1,0,-350024,- -,- -,- -,2678317,1455532,2059731,- -,- -,48883000,49110000,46153000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,19537,2353216,4195386,4675564,5784429,5089984,1261540,10221490,9622084,7513661,3430925,5263413,4735864,12628842,59903553,10003000,173715000,173174000,174860000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-396643,-316503,-957259,-1089596,-835742,-217582,-1037933,-4180026,-4104420,-142201,-555522,-545985,-3852505,-3836083,-2476048,-1446578,-6304947,-3118431,-5706189,16298662,123741000,-2635000,-5333000,-15833000
74,Depreciation and Amortization,11483,12184,14780,22162,23040,- -,- -,- -,- -,- -,794,1605,2259,2503,2245,1742,1164,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2446000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3127,- -,1053440,1012853,3863334,1708794,1129000,1168000,2159000,8827000
77,Change in Working Capital,-52425,6978,-18501,-163015,184667,10161,179749,- -,-14612,-75318,21885,22716,2246940,-392288,260500,-455346,-189717,695472,-507185,-50880,50000,715000,-114000,-744000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52431,1288781,151193,- -,- -,- -,485814,-320820,-190679,18000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,14611,-47747,494076,883448,471233,60520,536677,4180026,3473536,-241325,63921,234284,1247166,1601581,870114,108525,3504642,-1203663,-3489200,-19277670,-125993000,-106000,-426000,1020000
83,Cash Provided by Operating Activities,-422974,-345087,-466904,-347001,-156802,-146901,-321507,- -,-645497,-458844,-468923,-287379,-356140,-2624286,-1340063,-1791658,-1935418,-2613769,-5839240,-1321094,-1073000,-858000,-3714000,-4284000
84,CAPEX,-820,-13864,-114166,-11326,-221,- -,- -,- -,-3141139,-3590,-6823,-4163,-4604532,-319467,- -,-763,- -,- -,-1000000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3408458,-681000,504000,- -,-1000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1459542,-1333018,-3270848,-1910290,-52092,-5688,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,11916,32909,- -,- -,- -,530715,563895,1933647,1439849,402643,973535,664524,45573,- -,- -,- -,- -,7289000,- -,- -,140000
88,Other Investing Activites,- -,-27611,-1840992,215010,-9797,33696,-1929770,- -,3469791,-2,-1,-0,0,- -,384768,5008110,- -,- -,-1000000,- -,-950000,-950000,- -,- -
89,Cash Used for Investing Activites,-820,-41475,-1847805,215600,22891,33696,-1929770,- -,-600176,-772716,-1344025,-474604,-4253982,648380,1049292,5052921,- -,- -,-1700000,-3408458,5658000,-446000,- -,-860000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1149449,- -,- -,- -,- -,- -,- -,- -,-50000,-300000,-1020000
91,Common Stock Issued,- -,- -,2238603,20371,63880,- -,2433684,- -,3316055,1016654,107064,44391,5353733,2125150,- -,- -,295441,2300000,6155080,- -,- -,- -,- -,6980000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,410179,425442,325049,-133406,74402,94222,184192,- -,-9556,- -,- -,- -,1215942,-1059721,- -,- -,3481075,- -,4354800,200000,2776000,- -,1000000,-1198000
95,Cash Used/Provided by Financing Activities,410179,425442,2563653,-113035,138283,94222,2617876,- -,3306499,1016654,107064,44391,6569674,-84019,- -,- -,3776516,2300000,10509880,200000,2776000,-50000,700000,4762000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-13615,38880,248943,-244437,4371,-18980,366599,- -,2060827,-214904,-1705885,-717592,1959553,-2059925,-290771,3261263,1841098,-313769,2970640,-4529552,7361000,-1354000,-3014000,-382000
98,Cash at the End of Period,4015,42657,293257,25848,29913,13523,381736,- -,2798801,2613496,1223222,279526,2305794,358535,58493,3318621,2032058,1718289,4688929,159377,7520000,6166000,3152000,2770000
99,Cash at the Beginning of Period,17629,3777,44314,270285,25543,32504,15137,- -,737974,2828400,2929106,997119,346241,2418461,349264,57358,190960,2032058,1718289,4688929,159000,7520000,6166000,3152000
100,Free Cash Flow,-423794,-358952,-581070,-358327,-157024,-146901,-321507,- -,-3786636,-462435,-475746,-291542,-4960672,-2943753,-1340063,-1792420,-1935418,-2613769,-6839240,-1321094,-1073000,-858000,-3714000,-4284000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,
