,https://roic.ai/company/AKBA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,-19732,-229000,-414000,-2662000,-1622000,-1606000,-6655000,-317000,-59000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,6147000,- -,- -,- -
86,Purchases of Investments,- -,-13394944,-77708000,-77175000,-147009000,-330636000,-224216000,- -,-99932000,- -
87,Sales/Maturities of Investments,1366000,1990000,12585000,63901000,162376000,154998000,256269000,217831000,60245000,40000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,1366000,-11424676,-65352000,-13688000,12705000,-177260000,36594000,211176000,-40004000,39941000
90,Debt Repayment,- -,- -,-3000,-7000,-20000,-5000,-19000,-15000000,- -,- -
91,Common Stock Issued,- -,5336,104328000,82750000,66736000,114580000,95452000,25785000,209419000,88202000
92,Common Stock Repurchased,- -,- -,-162000,- -,- -,- -,- -,-426000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2475000,42325201,237000,350000,230000,1665000,1129000,78611000,22301000,45529000
95,Cash Used/Provided by Financing Activities,2475000,42330537,104400000,83093000,66946000,116240000,96562000,88970000,231720000,133731000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3370000,19574190,11565000,16998000,137557000,-117179000,35662000,42705000,81328000,-79293000
98,Cash at the End of Period,1641000,21215228,32780000,49778000,187335000,70156000,107099000,149804000,231132000,151839000
99,Cash at the Beginning of Period,5011000,1641038,21215000,32780000,49778000,187335000,71437000,107099000,149804000,231132000
100,Free Cash Flow,-7211000,-11351403,-27712000,-52821000,55244000,-57781000,-99100000,-264096000,-110705000,-253024000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517022/000156459015001260/0001564590-15-001260-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459016014700/0001564590-16-014700-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459017003466/0001564590-17-003466-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459018005286/0001564590-18-005286-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459019009340/0001564590-19-009340-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000156459020010491/0001564590-20-010491-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000162828021003283/0001628280-21-003283-index.htm,https://www.sec.gov/Archives/edgar/data/1517022/000162828022004522/0001628280-22-004522-index.htm
102,false,,,,,,,,,,
