,https://roic.ai/company/HUBS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.8549,-0.3639,-0.4415,-0.4162,-0.2531,-0.1681,-0.1057,-0.1244,-0.0796,-0.0963,-0.0598
25,EPS,-1.03,-0.75,-1.39,-4.20,-1.39,-1.29,-1.08,-1.66,-1.28,-1.90,-1.74
26,EPS Diluted,-1.03,-0.75,-1.39,-4.20,-1.39,-1.29,-1.08,-1.66,-1.28,-1.90,-1.74
27,Weighted Average Shares Outstanding,24643000,25166000,24643000,11562000,33222000,35197000,36827000,38529000,42025000,44757000,44757000
28,Weighted Average Shares Outstanding Diluted,24643000,25166000,24643000,11562000,33222000,35197000,36827000,38529000,42025000,44757000,44757000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404655/000119312515079000/0001193125-15-079000-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459016013204/0001564590-16-013204-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459017001694/0001564590-17-001694-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459018001962/0001564590-18-001962-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459019002699/0001564590-19-002699-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459020004381/0001564590-20-004381-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459021006083/0001564590-21-006083-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000095017022001221/0000950170-22-001221-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,41097000,12643000,123721000,55580000,59702000,87680000,111489000,269670000,378123000,377013000
32,Short-Term Investments,- -,- -,- -,- -,48972000,54648000,416663000,480761000,691834000,873073000,820962000
33,Cash and Short-Term Investments,- -,41097000,12643000,123721000,104552000,114350000,504343000,592250000,961504000,1251196000,1197975000
34,Net Receivables,- -,5231000,7220000,14270000,25142000,38984000,60676000,77100000,92517000,126433000,157362000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4195000,8822000,11518000,16060000,22919000,37482000,43068000,55703000,79292000,98237000
37,Total Current Assets,- -,50523000,28685000,149509000,145754000,176253000,602501000,712418000,1109724000,1456921000,1453574000
38,PP&E,- -,2562000,7243000,11381000,18161000,30201000,43294000,52468000,318039000,377016000,376962000
39,Goodwill,- -,9330000,9330000,9330000,9773000,9773000,14950000,14950000,30250000,31318000,47075000
40,Intangible Assets,- -,2708000,3626000,4522000,4755000,6539000,15072000,17665000,28545000,35225000,50423000
41,Intangible Assets,- -,12038000,12956000,13852000,14528000,16312000,30022000,32615000,58795000,66543000,97498000
42,Investments,- -,- -,- -,- -,40566000,35718000,31394000,11450000,53776000,30697000,174895000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,528000,1675000,116000,1370000,1271000,4964000,25002000,28934000,42189000,71925000
45,Total Non-Current Assets,- -,15128000,21874000,25349000,74625000,83502000,109674000,121535000,459544000,516445000,721280000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,65651000,50559000,174858000,220379000,259755000,712175000,833953000,1569268000,1973366000,2174854000
48,Accounts Payable,- -,2200000,2547000,2800000,2588000,4350000,4657000,7810000,12842000,13540000,2773000
49,Short-Term Debt,- -,107000,96000,100000,542000,796000,- -,- -,23613000,37857000,45994000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,15716000,24662000,40805000,64407000,95426000,136880000,183305000,231030000,312866000,430414000
52,Other Current Liabilities,- -,8282000,12239000,15723000,23770000,26811000,36759000,45894000,55004000,81238000,138293000
53,Total Current Liabilities,- -,26305000,39544000,59428000,91307000,127383000,178296000,237009000,322489000,445501000,617474000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,298447000,318782000,340564000,750763000,666974000
55,Deferred Revenue,- -,301000,244000,500000,732000,1171000,2277000,2179000,3058000,3636000,4473000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,102254000,104019000,4231000,6632000,12501000,22795000,31342000,253199000,10811000,12134000
58,Total Non-Current Liabilities,- -,102555000,104263000,4731000,7364000,13672000,323519000,352303000,596821000,765210000,683581000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,107000,299000,178000,819000,1071000,- -,- -,267829000,309684000,310237000
61,Total Liabilities,- -,128860000,143807000,64159000,98671000,141055000,501815000,589312000,919310000,1210711000,1301055000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5000,5000,32000,34000,36000,38000,40000,44000,46000,47000
64,Retained Earnings,- -,-71798000,-106072000,-154301000,-200354000,-245916000,-286082000,-344384000,-398130000,-483161000,-560998000
65,Other Comprehensive Income/Loss,- -,-10000,-79000,-145000,-805000,-864000,-57000,-723000,-336000,4603000,-1339000
66,Other Total Stockholders Equity,- -,8594000,12898000,265113000,322833000,365444000,496461000,589708000,1048380000,1241167000,1436089000
67,Total Stockholders Equity,- -,-63209000,-93248000,110699000,121708000,118700000,210360000,244641000,649958000,762655000,873799000
68,Total Liabilities And Stockholders Equity,- -,65651000,50559000,174858000,220379000,259755000,712175000,833953000,1569268000,1973366000,2174854000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,65651000,50559000,174858000,220379000,259755000,712175000,833953000,1569268000,1973366000,2174854000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1404655/000119312515079000/0001193125-15-079000-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459016013204/0001564590-16-013204-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459017001694/0001564590-17-001694-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459018001962/0001564590-18-001962-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459019002699/0001564590-19-002699-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459020004381/0001564590-20-004381-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459021006083/0001564590-21-006083-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000095017022001221/0000950170-22-001221-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-24411000,-18778000,-34274000,-48229000,-46053000,-45562000,-39714000,-63828000,-53746000,-85031000,-77837000
74,Depreciation and Amortization,1891000,2736000,4472000,5714000,7343000,11177000,15786000,23428000,28793000,37060000,45159000
75,Deferred Income Tax,- -,- -,- -,-133000,-50000,-133000,-11546000,36000,-799000,-2185000,-2869000
76,Stock Based Compensation,4619000,2515000,3464000,16358000,21308000,32675000,47317000,76261000,97754000,121488000,166761000
77,Change in Working Capital,5048000,- -,-35077000,100940000,-35634000,-5577000,375335000,51204000,311826000,224185000,109513000
78,Accounts Receivable,-1429000,-3077000,-2478000,-7890000,-11249000,-14099000,-20180000,-17726000,-15428000,-29971000,-34107000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,480000,1190000,-1158000,286000,-508000,983000,1100000,3298000,3927000,3697000,-10608000
81,Other Working Capital,24218000,24218000,-10859000,90081000,54447000,48870000,424205000,475409000,787235000,1011420000,95156000
82,Other Non-Cash Items,324000,7720000,41607000,-87114000,52663000,26786000,-337564000,-2250000,-264855000,-206604000,-1999000
83,Cash Provided by Operating Activities,-12529000,-5807000,-19808000,-12464000,-423000,19366000,49614000,84851000,118973000,88913000,238728000
84,CAPEX,-2856000,-2583000,-7980000,-11980000,-12741000,-21538000,-27347000,-33473000,-53846000,-58873000,-61865000
85,Acquisitions Net,1022000,- -,- -,- -,-600000,- -,-12915000,-500000,-23867000,-2500000,-19910000
86,Purchases of Investments,- -,- -,- -,- -,-113615000,-52131000,-893509000,-682132000,-1305400000,-1517357000,-1497851000
87,Sales/Maturities of Investments,- -,- -,- -,- -,23018000,50840000,533660000,644375000,1066366000,1363163000,1400118000
88,Other Investing Activites,-1684000,-2071000,-4812000,-3214000,-4480000,-5877000,-8157000,-10668000,-12921000,-21599000,-33139000
89,Cash Used for Investing Activites,-1834000,-2393000,-9170000,-10480000,-104104000,-22957000,-401197000,-71230000,-316194000,-215567000,-179508000
90,Debt Repayment,-197000,-458000,-107000,-18121000,-206000,-743000,-1054000,-744000,-617000,-236021000,-89525000
91,Common Stock Issued,21348000,- -,- -,130764000,33669000,- -,- -,- -,342628000,- -,- -
92,Common Stock Repurchased,-9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,238000,35793000,621000,21794000,3476000,9216000,377860000,13522000,17331000,458481000,38056000
95,Cash Used/Provided by Financing Activities,21380000,35335000,514000,134437000,36939000,8473000,376806000,12778000,359342000,222460000,-51469000
96,Effect of Forex Changes on Cash,- -,-10000,10000,-415000,-553000,-760000,2755000,-2069000,-720000,6831000,-8861000
97,Net Change In Cash,7017000,27125000,-28454000,111078000,-68141000,4122000,27978000,24330000,161401000,102637000,-1110000
98,Cash at the End of Period,13972000,41097000,12643000,123721000,55580000,59702000,87680000,117114000,278515000,381152000,380042000
99,Cash at the Beginning of Period,6955000,13972000,41097000,12643000,123721000,55580000,59702000,92784000,117114000,278515000,381152000
100,Free Cash Flow,-15385000,-8390000,-27788000,-24444000,-13164000,-2172000,22267000,51378000,65127000,30040000,176863000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404655/000119312515079000/0001193125-15-079000-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459016013204/0001564590-16-013204-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459017001694/0001564590-17-001694-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459018001962/0001564590-18-001962-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459019002699/0001564590-19-002699-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459020004381/0001564590-20-004381-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000156459021006083/0001564590-21-006083-index.htm,https://www.sec.gov/Archives/edgar/data/1404655/000095017022001221/0000950170-22-001221-index.htm
102,false,,,,,,,,,,,
