,https://roic.ai/company/GMED,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,1700000,980000,977000,909000,975000,590000,30928000,36280000,10364000,21741000,32039000,36334000
45,Total Non-Current Assets,- -,47603000,70615000,87023000,149496000,233522000,289301000,413871000,458160000,669989000,844609000,857720000,1092747000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,266575000,329390000,447133000,566304000,703547000,834100000,927637000,1078502000,1300670000,1532077000,1679485000,1957263000
48,Accounts Payable,- -,7250000,6501000,12547000,12729000,21263000,15971000,17472000,25039000,25895000,24614000,18205000,21955000
49,Short-Term Debt,- -,5253000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,427000,302000,523000,5296000,5289000,7571000,8857000,9599000,4510000,6053000,6053000,7461000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2598000,5402000,8125000,12025000
52,Other Current Liabilities,- -,19224000,22770000,26961000,55213000,68149000,66720000,62420000,68034000,67625000,81387000,94462000,106184000
53,Total Current Liabilities,- -,31727000,29271000,39508000,67942000,89412000,82691000,79892000,93073000,96118000,111403000,120792000,140164000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2808000,5755000,7714000,6385000,5166000,13260000,7876000,10669000,8114000,6023000,6202000,4314000
57,Other Non-Current Liabilities,- -,3845000,11888000,13409000,19617000,23515000,22825000,7791000,6982000,10922000,12199000,46194000,71397000
58,Total Non-Current Liabilities,- -,6653000,17643000,21123000,26002000,28681000,36085000,15667000,17651000,19036000,18222000,52396000,75711000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,38380000,46914000,60631000,93944000,118093000,118776000,95559000,110724000,115154000,129625000,173188000,215875000
62,Preferred Stock,- -,51000,51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,74000,73000,91000,93000,95000,95000,96000,97000,98000,99000,99000,101000
64,Retained Earnings,- -,126079000,176846000,250677000,319289000,411774000,524558000,628899000,736247000,892721000,1047931000,1045082000,1194272000
65,Other Comprehensive Income/Loss,- -,-718000,-1202000,-767000,-1009000,-1657000,-1958000,-8642000,-6907000,-7172000,-2898000,3955000,-6772000
66,Other Total Stockholders Equity,- -,102709000,106708000,136501000,153987000,175242000,192629000,211725000,238341000,299869000,357320000,457161000,- -
67,Total Stockholders Equity,- -,228195000,282476000,386502000,472360000,585454000,715324000,832078000,967778000,1185516000,1402452000,1506297000,1741388000
68,Total Liabilities And Stockholders Equity,- -,266575000,329390000,447133000,566304000,703547000,834100000,927637000,1078502000,1300670000,1532077000,1679485000,1957263000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,266575000,329390000,447133000,566304000,703547000,834100000,927637000,1078502000,1300670000,1532077000,1679485000,1957263000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1237831/000123783113000013/0001237831-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783114000012/0001237831-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1237831/000123783115000009/gmed12311410k.htm,https://www.sec.gov/Archives/edgar/data/1237831/000123783116000075/0001237831-16-000075-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783117000009/0001237831-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783118000012/0001237831-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783119000014/0001237831-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783120000010/0001237831-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000156276221000036/0001562762-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1237831/000156276222000037/0001562762-22-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,48733000,54458000,60784000,73831000,68612000,92485000,112784000,104341000,107348000,156474000,155210000,102285000,149191000
74,Depreciation and Amortization,13502000,15196000,16949000,18108000,19397000,21754000,24084000,38771000,42067000,41630000,52734000,62874000,69867000
75,Deferred Income Tax,-2654000,1999000,2057000,-6079000,-14858000,-4379000,6235000,-3810000,8292000,971000,4302000,-4338000,-17615000
76,Stock Based Compensation,3511000,4025000,3286000,4635000,5177000,7111000,9639000,11382000,14686000,21899000,26085000,27073000,30586000
77,Change in Working Capital,-39747000,195068000,42259000,91098000,28264000,31747000,81495000,-28234000,93395000,7294000,41502000,124908000,-17252000
78,Accounts Receivable,-11963000,-6560000,-4672000,-6886000,-9612000,-12667000,-4193000,-4668000,-24955000,-21789000,-18306000,10696000,-25895000
79,Inventory,-18478000,-10188000,-15280000,-20541000,-16678000,-18001000,-19327000,-10503000,-5277000,-31382000,-50018000,-50111000,-11971000
80,Accounts Payable,-2186000,2720000,-2051000,4426000,1940000,7331000,-9184000,-23000,9843000,-3008000,773000,-6352000,3684000
81,Other Working Capital,-7823000,187245000,229504000,320602000,348866000,380613000,462108000,433874000,527269000,534563000,576065000,700973000,5212000
82,Other Non-Cash Items,8734000,-199458000,-48925000,-105074000,-13121000,-69546000,-112280000,49443000,-106253000,-46625000,-107858000,-114009000,61497000
83,Cash Provided by Operating Activities,32079000,71288000,76410000,76519000,93471000,79172000,121957000,171893000,159535000,181643000,171975000,198793000,276274000
84,CAPEX,-25963000,-12303000,-22487000,-24684000,-23680000,-24754000,-50760000,-40909000,-51303000,-59697000,-70750000,-63658000,-56898000
85,Acquisitions Net,-3371000,- -,-7500000,-6031000,-16775000,-36128000,-48513000,-76068000,-29944000,-14825000,-23799000,-33483000,-34488000
86,Purchases of Investments,- -,- -,- -,- -,-240892000,-251422000,-297707000,-287263000,-392895000,-537942000,-346526000,-223540000,-622359000
87,Sales/Maturities of Investments,1639000,300000,- -,- -,54197000,212304000,246430000,334687000,362865000,384437000,300794000,203359000,337806000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-30000000,- -,35000000,- -,- -,- -
89,Cash Used for Investing Activites,-27695000,-12003000,-29987000,-30715000,-227150000,-100000000,-150550000,-99553000,-111277000,-193027000,-140281000,-117322000,-375939000
90,Debt Repayment,-531000,-340000,-5253000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,918000,1321000,886000,22464000,7555000,9738000,5477000,5874000,11735000,39309000,31036000,72322000,63496000
92,Common Stock Repurchased,- -,- -,-10021000,- -,- -,- -,- -,- -,- -,- -,- -,-104669000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1107000,787000,-346000,1561000,3456000,3208000,850000,-3833000,-10109000,-6739000,-6597000,-6316000,-9349000
95,Cash Used/Provided by Financing Activities,1494000,1768000,-14734000,24025000,11011000,12946000,6327000,2041000,1626000,32570000,24439000,-38663000,54147000
96,Effect of Forex Changes on Cash,50000,-2000,-722000,-97000,230000,185000,153000,-1894000,1979000,-256000,-156000,865000,-810000
97,Net Change In Cash,5928000,61051000,30967000,69732000,-122438000,-7697000,-22113000,72487000,51863000,20930000,55977000,43673000,-46328000
98,Cash at the End of Period,50650000,111701000,142668000,212400000,89962000,82265000,60152000,132639000,118817000,139747000,195724000,239397000,193069000
99,Cash at the Beginning of Period,44722000,50650000,111701000,142668000,212400000,89962000,82265000,60152000,66954000,118817000,139747000,195724000,239397000
100,Free Cash Flow,6116000,58985000,53923000,51835000,69791000,54418000,71197000,130984000,108232000,121946000,101225000,135135000,219376000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1237831/000123783113000013/0001237831-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783114000012/0001237831-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1237831/000123783115000009/gmed12311410k.htm,https://www.sec.gov/Archives/edgar/data/1237831/000123783116000075/0001237831-16-000075-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783117000009/0001237831-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783118000012/0001237831-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783119000014/0001237831-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000123783120000010/0001237831-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1237831/000156276221000036/0001562762-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1237831/000156276222000037/0001562762-22-000037-index.htm
102,false,,,,,,,,,,,,,
