,https://roic.ai/company/KPRX,2012,2013,2014,2015,2016,2017,2018,2019,2020
89,Cash Used for Investing Activites,- -,- -,- -,-20000,149746,-36999,-270000,- -,-244438
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,14101260,3768698,11922252,10108762,1777918,5000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-75406,1461009,613273,-1485004,-270471,-1250899,1196043,2142887,-2497
95,Cash Used/Provided by Financing Activities,-75406,1461009,613273,12616256,3498227,10671353,11304805,3920805,4997503
96,Effect of Forex Changes on Cash,-3854,24593,3173,90045,6298,4992,7915,5503,-26931
97,Net Change In Cash,-5301147,-1472013,-334171,8227132,-4758909,4170805,198208,-4227525,-2591035
98,Cash at the End of Period,1973185,501172,167001,8394133,3635224,7851029,8049237,3821712,1230677
99,Cash at the Beginning of Period,7274332,1973185,501172,167001,8394133,3680224,7851029,8049237,3821712
100,Free Cash Flow,-5221887,-2957615,-950617,-4459169,-8424180,-6505540,-11114512,-8153833,-7450963
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372514/000110465921041515/0001104659-21-041515-index.htm
102,false,,,,,,,,,
