,https://roic.ai/company/NVGI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.67,-1.05,-0.88,-0.39,-0.05,-0.02,-0.02,- -,-0.80,-0.06,-0.01
26,EPS Diluted,-0.67,-1.05,-0.88,-0.39,-0.05,-0.02,-0.02,- -,-0.80,-0.06,-0.01
27,Weighted Average Shares Outstanding,65445,82500,98844,163134,2663134,2663134,2663134,- -,153879552,210746352,210804160
28,Weighted Average Shares Outstanding Diluted,65445,82500,98844,163134,2663134,2663134,2663134,- -,153879552,210746352,210804160
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1500122/000114420412017437/0001144204-12-017437-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000106299313001925/0001062993-13-001925-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1500122/000101968715001088/0001019687-15-001088-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000101968716005879/0001019687-16-005879-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000168316817001034/0001683168-17-001034-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000168316818000745/0001683168-18-000745-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1500122/000168316820002689/0001683168-20-002689-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000168316821002931/0001683168-21-002931-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,9991,342,525,- -,115935,88247,75428,- -,691331,223527,48214
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9991,342,525,- -,115935,88247,75428,- -,691331,223527,48214
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,6728671,217948,355244
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,16636,14339,15152
36,Other Current Assets,- -,- -,- -,- -,4642,4642,4944,- -,2600732,6290614,4872404
37,Total Current Assets,9991,342,525,- -,120577,92889,80372,- -,10037370,6746428,5291014
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,3754685,3467527000,3570210
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,566262,6170,4218
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,566262,6170,4218
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,630000,630000,630000,- -,- -,-3464059473,- -
45,Total Non-Current Assets,- -,- -,- -,- -,630000,630000,630000,- -,4320947,3473697,3574428
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9991,342,525,- -,750577,722889,710372,- -,14358317,10220125,8865442
48,Accounts Payable,- -,- -,28930,40342,25774,36413,57227,- -,- -,2216563,4288981
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,618757,554737,2129586
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,84672,- -,28976
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,8979352,6239296,4085010
52,Other Current Liabilities,44615,121909,18500,70096,189063,214517,238714,- -,2666528,1045568,28976
53,Total Current Liabilities,44615,121909,47430,110438,214837,250930,295941,- -,12264637,10056164,10532553
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2008708,1692485,1581130
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2008708,1692485,1581130
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,2255665,- -,116216
61,Total Liabilities,44615,121909,47430,110438,214837,250930,295941,- -,14273345,11748649,12113683
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,550,8250,16313,16313,266313,266313,266313,- -,21070,21080,21080
64,Retained Earnings,-89924,-176867,-263474,-327007,-499478,-548861,-599858,- -,-125141278,-137703504,-139375793
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,20089,-366158,-262131
66,Other Total Stockholders Equity,54750,47050,200256,200256,387055,387055,387055,- -,- -,136575175,136427910
67,Total Stockholders Equity,-34624,-121567,-46905,-110438,153890,104507,53510,- -,191041,-1473407,-3188934
68,Total Liabilities And Stockholders Equity,9991,342,525,- -,368727,355437,349451,- -,14464386,10275242,8924749
69,Minority Interest,- -,- -,- -,- -,381850,367452,360921,- -,-106069,-55117,-59307
70,Total Liabilities & Equity,9991,342,525,- -,750577,722889,710372,- -,14358317,10220125,8865442
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1500122/000114420412017437/0001144204-12-017437-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000106299313001925/0001062993-13-001925-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1500122/000101968715001088/0001019687-15-001088-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000101968716005879/0001019687-16-005879-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000168316817001034/0001683168-17-001034-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000168316818000745/0001683168-18-000745-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1500122/000168316820002689/0001683168-20-002689-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000168316821002931/0001683168-21-002931-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-59720,-86944,-86607,-63533,-123581,-49383,-50997,- -,-123690831,-12511274,-1676479
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,463872,500533,252116
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,123009343,11010357,- -
77,Change in Working Capital,-4721,-86943,74662,-63533,16178,-63781,-57528,- -,-1076094,-1082469,-1931803
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-6134950,5916068,81544
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-16608,1558,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-403341,1530842,1953781
81,Other Working Capital,-34624,-121567,-46905,-110438,-94260,-158041,-215569,- -,5138455,-3309736,-5241539
82,Other Non-Cash Items,-6122,85848,-61047,74945,-89953,60022,71509,- -,1982366,2145472,1950678
83,Cash Provided by Operating Activities,-70563,-88039,-72992,-52121,-197356,-53142,-37016,- -,688656,62619,-1405488
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-3992563,-118843,-174249
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,37576,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,45724,12658
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-3770863,-66337,-161591
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215024
91,Common Stock Issued,75000,- -,- -,- -,- -,- -,- -,- -,152726,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5254,78390,73175,51596,118967,25454,24197,- -,2473454,-119664,1571872
95,Cash Used/Provided by Financing Activities,80254,78390,73175,51596,118967,25454,24197,- -,2626180,-119664,1356848
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-389622,-344422,34918
97,Net Change In Cash,9691,-9649,183,- -,-78389,-27688,-12819,- -,-845649,-467804,-175313
98,Cash at the End of Period,9991,342,525,- -,115935,88247,75428,- -,691331,223527,48214
99,Cash at the Beginning of Period,300,9991,342,525,194324,115935,88247,- -,1536980,691331,223527
100,Free Cash Flow,-70563,-88039,-72992,-52121,-197356,-53142,-37016,- -,-3303907,-56224,-1579737
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1500122/000114420412017437/0001144204-12-017437-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000106299313001925/0001062993-13-001925-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1500122/000101968715001088/0001019687-15-001088-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000101968716005879/0001019687-16-005879-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000168316817001034/0001683168-17-001034-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000168316818000745/0001683168-18-000745-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1500122/000168316820002689/0001683168-20-002689-index.htm,https://www.sec.gov/Archives/edgar/data/1500122/000168316821002931/0001683168-21-002931-index.htm
102,false,,,,,,,,,,,
