,https://roic.ai/company/ELLO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,300000,500000,1500000,5900000,7700000,9670884,17997728,19181799,28990440,52027888,117478088,136040314,101529424,70366145,70618844,68521667,59459723,61351757,18821226,1531324,2414351,4837619,5627950,7937013,10519629,10528651,11284569,12226000,18636000,21094000,15929000,40769000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132000,- -,5594642,6567783,1019720,- -,1520725,331189,147733,189143,237812,275744,1333000,2239000,1827000,2134000,2931000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6786684,438187,92131,- -,2475904,1163699,1467189,3701442,2978133,3266135,3639000,5140000,7632000,4167000,23916000
14,Depreciation and Amortization,- -,- -,10000,30000,100000,311964,321388,636363,767394,1092175,3415686,5993812,14698609,3504054,2433606,1854105,1016062,980108,183895,7678,16542,1300062,2054432,2911928,4483507,4492810,4643903,4518000,5816000,6416000,2975000,15076000
15,EBITDA,-100000,-300000,-190000,-370000,-100000,545937,-7472271,1181817,2302182,9015663,13783059,-2330989,-8202213,-18306362,-14161243,-10530234,-365207,3938266,63794339,-503927,-2397809,2240581,858219,11847585,13825516,12611332,7929055,2414000,12228000,25821000,2390000,21095000
16,EBITDA ratio,-0.5000,-1.5000,-0.1462,-0.0627,-0.0118,0.0507,-0.5602,0.0591,0.0742,0.1494,0.1062,-0.0172,-0.1010,-0.3516,-0.2502,-0.1747,-0.0062,0.0671,7.7833,-Infinity,-Infinity,0.4750,0.1277,1.2602,1.0653,0.9979,0.6478,0.1770,0.6749,1.3599,0.2478,0.4710
17,Operating Income,-100000,-300000,-200000,- -,800000,1091874,-4660126,818181,2046384,8314047,8978952,-4648492,-21522827,-19887275,-14021821,-8256507,-384149,-2636484,-10624967,-1531324,-2414351,-120362,540640,9680838,8422611,4365672,2479791,2959000,2910000,17650000,-2659000,4131000
18,Operating Income ratio,-0.5000,-1.5000,-0.1538,- -,0.0941,0.1014,-0.3494,0.0409,0.0659,0.1378,0.0692,-0.0344,-0.2649,-0.3820,-0.2477,-0.1370,-0.0065,-0.0449,-1.2963,-Infinity,-Infinity,-0.0255,0.0804,1.0297,0.6490,0.3454,0.2026,0.2170,0.1606,0.9295,-0.2757,0.0922
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-100000,-857901,-3133533,-272727,-511596,-390559,1871813,-3676310,-1377995,-1923141,-2573028,-4127832,-997120,-1192042,73797223,927589,1003035,-1415023,-2917944,-2198610,-2791912,541479,-2905767,-9228000,-2091000,-8153000,-3634000,-26884000
20,Income Before Tax,-100000,-300000,-200000,- -,700000,233973,-7793659,545454,1534788,7923488,10850765,-8324801,-22900822,-21810416,-16594849,-12384339,-1381269,-3828526,63172256,-603735,-1411316,-1535385,-2377304,7482228,5630699,4907151,-425976,-6269000,819000,9497000,-6293000,-22753000
21,Income Before Tax Ratio,-0.5000,-1.5000,-0.1538,- -,0.0824,0.0217,-0.5843,0.0273,0.0495,0.1313,0.0836,-0.0615,-0.2819,-0.4189,-0.2932,-0.2055,-0.0234,-0.0652,7.7074,-Infinity,-Infinity,-0.3255,-0.3537,0.7959,0.4338,0.3883,-0.0348,-0.4597,0.0452,0.5002,-0.6525,-0.5081
22,Income Tax expense (Gain),- -,-100000,- -,100000,- -,155982,321388,90909,255798,793044,1324537,-214667,32401,160394,14016,32084,74254,574759,693916,73286,-33084,-785438,-764458,177424,165294,-1768038,594275,372000,215000,-287000,-125000,-2489000
23,Net Income,-100000,-200000,-200000,-500000,-200000,77991,-8115047,454545,1278990,7130443,9042837,-8110135,-22933223,-21970810,-16608865,-12416423,-1455522,-4403285,62478340,-677021,3911384,-749947,-1595455,7291044,5475273,6908427,-575258,-6115000,1057000,12060000,-4627000,-15408000
24,Net Income ratio,-0.5000,-1.0000,-0.1538,-0.0847,-0.0235,0.0072,-0.6084,0.0227,0.0412,0.1182,0.0697,-0.0599,-0.2823,-0.4220,-0.2935,-0.2060,-0.0246,-0.0750,7.6228,-Infinity,Infinity,-0.1590,-0.2373,0.7755,0.4219,0.5466,-0.0470,-0.4484,0.0583,0.6351,-0.4797,-0.3441
25,EPS,-0.01,-0.02,-1.00,-1.25,-0.50,0.08,-11.81,0.64,1.11,6.36,6.92,-5.51,-13.53,-12.70,-6.86,-3.88,-0.23,-0.62,8.55,-0.07,0.53,-0.07,-0.15,0.68,0.51,0.64,-0.06,-0.57,0.10,1.09,-0.38,-1.20
26,EPS Diluted,-0.01,-0.02,-1.00,-1.25,-0.50,0.08,-11.81,0.64,1.11,5.57,6.07,-5.51,-13.53,-12.70,-6.86,-3.88,-0.23,-0.62,7.26,-0.07,0.45,-0.07,-0.15,0.68,0.51,0.64,-0.06,-0.57,0.10,1.09,-0.38,-1.20
27,Weighted Average Shares Outstanding,12849300,12849300,200000,400000,400000,454545,687075,729364,1153846,1121094,1306615,1472653,1694718,1729375,2423540,3193234,6050685,7153750,7297256,7378642,7378642,10776091,10709294,10692371,10738710,10790000,10083333,10728070,10570000,11064220,12176316,12840000
28,Weighted Average Shares Outstanding Diluted,12849300,12849300,200000,400000,400000,454545,687075,750000,1153846,1281250,1490000,1472653,1694718,1729375,2423540,3193234,6050685,7153750,8610274,7378642,7378642,10776091,10709294,10752808,10738710,10790000,10083333,10728070,10570000,11064220,12176316,12840000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946394/000117891307001301/zk73826.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891308001696/zk85328.htm,- -,https://www.sec.gov/Archives/edgar/data/946394/000117891310000685/zk1008014.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891311001123/zk1109712.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891312001024/zk1211214.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891313000877/zk1312720.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891314001137/zk1414603.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891315001403/zk1516626.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891316004812/zk1618230.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891317001001/zk1719677.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891318001031/zk1821390.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891319000989/zk1922799.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891320001067/zk2024194.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,100000,400000,3431604,1365899,1090908,1961118,9132930,20463238,14033140,10010950,8179303,6451012,7848706,3688435,2950613,19380095,52542429,57582758,22310911,25173413,5241615,12958749,17119691,22487366,23962000,36882000,44509000,66845000,41229000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1108304,612991,503098,- -,- -,- -,35198660,- -,- -,7715500,3999981,3731700,6274607,5944375,972709,3411000,3414000,10106000,9874000,30356000
33,Cash and Short-Term Investments,- -,- -,- -,100000,400000,3431604,1365899,1090908,1961118,9132930,20463238,14033140,11119254,8792294,6954109,7848706,3688435,2950613,54578755,52542429,57582758,30026411,29173393,8973314,19233356,23064067,23460075,27373000,40296000,54615000,76719000,71585000
34,Net Receivables,- -,- -,- -,3600000,3000000,6785217,4820820,6999993,10061388,15224863,52664170,48378706,32694495,19351305,10600462,9206356,7745865,13782558,1545149,658874,1735385,5372303,2818134,2512905,4611795,6933123,6717685,10801000,12100000,4162000,8593000,11271000
35,Inventory,- -,- -,- -,1500000,800000,545937,2089022,2090907,3154842,10622621,25071433,28095502,23154312,12662396,15755369,11091700,12426116,13779814,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000,306000,- -
36,Other Current Assets,- -,- -,- -,1900000,600000,623928,- -,- -,85266,- -,- -,- -,- -,-0,- -,583418,1897256,100137,- -,- -,766938,12662679,6721328,4833177,672690,655811,2760289,4395000,6468000,24061000,2417000,1000000
37,Total Current Assets,- -,- -,- -,7100000,4800000,11386686,8275741,10181808,15262614,34980414,98198841,90507348,66968061,40805996,33309940,28730181,25757672,30613122,56123904,53201303,60085081,48061393,38712856,16319396,24517841,30653001,32938048,42569000,58864000,83122000,88035000,83856000
38,PP&E,- -,- -,- -,100000,300000,311964,562429,1454544,2643246,2706090,7502158,14136540,11031581,4830879,3503242,3914221,4362779,4076811,- -,98412,16355329,37526649,40725700,67834665,76901351,72235274,73277435,78837000,87220000,129790000,281304000,363432000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,545937,401735,363636,170532,96398,- -,- -,813836,584406,278843,176461,42000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5505000,4882000,5042000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,545937,401735,363636,170532,96398,- -,- -,813836,584406,278843,176461,31823,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5505000,4882000,5042000,4604000,4762000
42,Investments,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38790,- -,- -,10066413,14516376,17815552,22398619,31071000,29274462,27655000,27746000,33561000,32234000,34029000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21834623,- -,1514269,785296,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2597634,2485496,1777000,2423000,2285000,3605000,12952000
44,Other Non-Current Assets,- -,- -,- -,600000,400000,857901,562429,545454,682128,1618884,239567,20568677,3433551,2178818,961935,1015705,1066828,1199587,67524,46763,3316631,1863293,3390532,4434154,7008974,10087785,10521045,41745000,30025000,56372000,50390000,52116000
45,Total Non-Current Assets,- -,- -,- -,700000,900000,1715802,1526593,2363634,3495906,4421372,29576348,34705217,16793237,8379399,4744020,5106387,5461430,5276398,106314,145176,19671960,49456355,58632608,90084371,106308944,115991693,115558438,155519000,152296000,227050000,372137000,467291000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,7800000,5700000,13102488,9802334,12545442,18758520,39401786,127775188,125212565,83761298,49185394,38053960,33836568,31219101,35889519,56230219,53346479,79757041,97517748,97345464,106403767,130826785,146644694,148496486,198088000,211160000,310172000,460172000,551147000
48,Accounts Payable,- -,- -,- -,900000,900000,2027766,3535268,2909088,5201226,8191811,21531172,22103938,15670639,6927118,11892877,8643201,8666458,14669388,26579,30710,2120358,2152625,1456326,1559884,1010680,794840,1601215,1349000,2126000,1765000,12387000,2904000
49,Short-Term Debt,- -,- -,- -,500000,- -,233973,1847981,1090908,2728512,3552799,1630117,7999991,7494156,12677483,31389759,9243506,6938167,10021247,- -,- -,- -,9358130,5326250,14088198,4573144,5498021,5837207,7747000,14622000,31136000,25343000,166716000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2839304,1752733,- -,1248342,1443333,1249404,184000,126000,110000,60000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1850839,4001185,- -,1669408,- -,- -,- -,- -,217012,74591,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,1200000,1100000,857901,2330063,1909089,2728512,7318270,16278810,12248371,8818784,6218049,8642659,9750092,9883308,7663226,1418003,702148,3602353,11413539,10558739,3771529,3399636,2947949,3117804,2187000,3103000,4785000,7422000,35589000
53,Total Current Liabilities,- -,- -,- -,2600000,2000000,3119640,7713312,5909085,10658250,19062880,39440099,42352301,31983579,25822650,53776134,31637984,25487934,34023267,1444582,732858,5722711,22924294,17558327,19494201,8983461,9240810,10556226,11283000,19851000,37686000,45152000,205209000
54,Long-Term Debt,- -,- -,- -,4300000,3100000,779910,321388,999999,852660,1639754,36038255,35650425,28637701,23805813,784892,23660099,20271996,13604231,- -,- -,- -,8663735,14047569,12936752,40893496,48331549,50026545,98768000,102813000,149395000,273339000,209607000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290358,28967,828939,752765,879527,5982000,6219000,6467000,7806000,8836000
57,Other Non-Current Liabilities,- -,- -,- -,100000,100000,- -,321388,363636,852660,947082,1269170,1132901,1069232,750358,933165,1802602,1372934,3473932,3834499,3736878,7441554,1072455,2603390,1698926,2715433,2282077,2628122,4555000,5320000,9058000,8849000,14012000
58,Total Non-Current Liabilities,- -,- -,- -,4400000,3200000,779910,642776,1363635,1705320,2586835,37307425,36783326,29706934,24556172,1718057,25462701,21644930,17078163,3834499,3736878,7441554,9736189,16941317,14664645,44437867,51366391,53534194,109305000,114352000,164920000,289994000,232455000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73566653,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4717257,5215854,4934563,4643045,4320854,4020152,3690000,- -,15627000,17789000,20129000
61,Total Liabilities,- -,- -,- -,7000000,5200000,3899550,8356088,7272720,12363570,21649715,76747524,79135627,61690513,50378821,55494191,57100685,47132864,51101430,5279081,4469736,13164265,32660483,34499644,34158846,53421328,60607201,64090419,120588000,134203000,202606000,335146000,437664000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,600000,500000,- -,- -,- -,- -,2921743,3852229,4129245,4004380,3383362,4572141,11507101,10331103,11331944,12082479,11739687,19626846,20199179,19795745,18959032,21529385,24327212,25289491,19980000,19980000,21998000,25102000,25605000
64,Retained Earnings,- -,- -,- -,-1700000,-1700000,-1325847,-9480946,-10272717,-8356068,-2648450,6205305,-1559987,-24255945,-42181256,-59649542,-79532313,-72828405,-72123346,-13059421,-13365934,-10524344,-11549332,-12914115,-5077226,-290293,6585552,3984970,-299000,758000,12818000,8191000,-7217000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-100000,-155982,-241041,-727272,-1023192,-1456896,-3419945,-6997464,-1225519,209624,-576128,-6388894,-359903,87105,- -,-7678,145869,-1325523,-1424568,3008244,-6683320,-13916552,-16187100,2357000,1169000,9389000,10270000,12985000
66,Other Total Stockholders Equity,- -,- -,- -,1900000,1900000,10684767,11168233,16272711,15774210,18935675,44390075,50505144,43547870,37394843,38213299,51149988,46943442,45492385,51928080,50510667,57344405,57532940,57381952,55334594,62836528,69286410,72018523,56603000,56608000,62424000,80665000,84147000
67,Total Stockholders Equity,- -,- -,- -,800000,600000,9202938,1446246,5272722,6394950,17752071,51027665,46076938,22070785,-1193427,-17440231,-23264118,-15913763,-15211911,50951138,48876743,66592775,64857265,62839015,72224644,77392300,86282622,85105885,78641000,78515000,106629000,124228000,115520000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,7800000,5800000,13102488,9802334,12545442,18758520,39401786,127775188,125212565,83761298,49185394,38053960,33836568,31219101,35889519,56230219,53346479,79757041,97517748,97338658,106383490,130813628,146889823,149196304,199229000,212718000,309235000,459374000,553184000
69,Minority Interest,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0,- -,- -,- -,0,- -,- -,- -,6805,20277,13158,-245129,-699818,-1141000,-1558000,937000,798000,-2037000
70,Total Liabilities & Equity,- -,- -,- -,7800000,5700000,13102488,9802334,12545442,18758520,39401786,127775188,125212565,83761298,49185394,38053960,33836568,31219101,35889519,56230219,53346479,79757041,97517748,97345464,106403767,130826785,146644694,148496486,198088000,211160000,310172000,460172000,551147000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946394/000117891307001301/zk73826.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891308001696/zk85328.htm,- -,https://www.sec.gov/Archives/edgar/data/946394/000117891310000685/zk1008014.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891311001123/zk1109712.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891312001024/zk1211214.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891313000877/zk1312720.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891314001137/zk1414603.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891315001403/zk1516626.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891316004812/zk1618230.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891317001001/zk1719677.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891318001031/zk1821390.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891319000989/zk1922799.htm,https://www.sec.gov/Archives/edgar/data/946394/000117891320001067/zk2024194.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-200000,-500000,-200000,77991,-8115047,454545,1278990,7130443,9042837,-8110135,-22933223,-21970810,-16608865,-12416423,-1455522,-4403285,62478340,-677021,3911384,-749947,-1595455,7291044,5475273,6908427,-575258,-6115000,1057000,12060000,-4627000,-20264000
74,Depreciation and Amortization,- -,- -,10000,30000,100000,311964,321388,636363,767394,1092175,3415686,5993812,14698609,3504054,2433606,1854105,1016062,980108,183895,7678,16542,1300062,2054432,2911928,4483507,4492810,4643903,4518000,5816000,6416000,2975000,15076000
75,Deferred Income Tax,- -,- -,-390000,50000,20000,155982,321388,- -,- -,-861616,27683,-745152,-40978,476418,- -,-89497,- -,- -,- -,- -,- -,- -,-148960,177424,165294,-1768038,594275,372000,215000,-287000,-125000,-2489000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1577475,48159,- -,24690,5293,378022,- -,6403,3803,5000,5000,8000,50000,63000
77,Change in Working Capital,- -,- -,-700000,-2060000,500000,-2495712,3615615,-3181815,-1193724,-3525967,-28851260,1497048,3855717,385105,13142507,4786393,-5206088,120713,2983984,-244984,-1915089,-5015847,2793181,695937,-1942414,740875,174955,-857000,534000,5588000,-3299000,1686000
78,Accounts Receivable,- -,- -,- -,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358053,- -,-73297,-756,157871,78124,114333,- -,2012000,-17000,403000,-3868000,-1883000
79,Inventory,- -,- -,- -,- -,700000,233973,-1365899,272727,-1193724,-6622617,-10018139,-1417251,718539,-1832621,899970,5324219,-3293678,-2269544,-1846852,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1574601,4886,2116599,-27004,-92249,272292,-409535,-230494,808214,-258000,633000,461000,190000,154000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135090,- -,116598,515768,- -,-313542,279301,4537,15932,-23848,-915,-17115,2000,15000,- -,- -,- -
82,Other Non-Cash Items,- -,- -,40000,-1310000,2260000,701919,482082,90909,1620054,-108323,5464246,724922,375470,11339542,474328,2420637,722836,465706,-73805125,-0,-5672334,2093987,1357271,-6827569,-5438267,-5888581,2960916,4382000,-1037000,-20073000,-800000,21168000
83,Cash Provided by Operating Activities,- -,- -,-1240000,-3790000,2680000,-1247856,-3374574,-1999998,2472714,3726713,-10900808,-639505,-4044405,-6265691,-558424,-3444785,-4922712,-2836758,-6581431,-866168,-3659497,-2347055,4465763,4626786,2743393,4491895,7802593,2305000,6590000,3712000,-5826000,15240000
84,CAPEX,- -,- -,-100000,-70000,-220000,-233973,-160694,-1363635,-2131650,-1488697,-3435916,-10163518,-3029492,-951248,-1566095,-635765,-1248673,-802468,-106314,-106090,-11060449,-19240142,-916442,-6627695,-583053,- -,-5123126,-7576000,-3708000,-74587000,-128420000,-82810000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19882955,123630,- -,- -,-169666,- -,- -,- -,74386980,484384,-41355,- -,-9708081,-25428857,-14131434,-6934952,-763525,-9851000,-1000000,-1000000,-7464000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-723304,- -,-15491,- -,- -,- -,- -,- -,-547383,-7715500,- -,-122386,-3032041,-2624160,-1832269,-14677000,- -,-6302000,-4358000,-19687000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,233973,241041,- -,- -,- -,- -,142737,- -,422424,66391,54880,- -,- -,104878,34200040,- -,- -,84688,99213,964628,5549242,6190919,1897000,3980000,35118000,1800000,- -
88,Other Investing Activites,- -,- -,- -,-1260000,-1390000,-1247856,321388,90909,-937926,299131,126704,771002,1140705,-362872,216140,526849,31065,-19890,-35198660,- -,2506835,-21495383,9140976,1100029,3570687,-92381,2478840,2864000,-5067000,-22091000,26307000,-4925000
89,Cash Used for Investing Activites,- -,- -,-100000,-1330000,-1610000,-1247856,401735,-1272726,-3069576,-1189567,-23192167,-9126149,-2612091,-891696,-1468721,-54036,-1217608,-822358,39186884,34578334,-9142352,-48451025,-1398859,-30979696,-13211213,-4102250,950840,-27343000,-5795000,-68862000,-112135000,-107422000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1182754,- -,-15303515,- -,- -,- -,-5373887,-5661639,-25372273,-5628818,-6065408,-7066000,-22487000,-15680000,-30882000,-54438000
91,Common Stock Issued,- -,- -,- -,- -,- -,5381379,- -,3181815,- -,3349072,12756650,552964,6415394,412896,3325461,4167514,6062,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7807000,21275000,- -
92,Common Stock Repurchased,- -,- -,350000,2310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37806,-357654,- -,- -,-1326257,-12361,-14000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2285819,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1100000,2780000,-730000,77991,883817,-363636,1534788,1072299,32105105,2248944,-879591,7490085,-2207139,-488855,3932411,3142656,-673085,- -,13770297,16256559,5705832,12812193,45880287,11019824,5705991,36750000,34745000,80391000,151244000,108634000
95,Cash Used/Provided by Financing Activities,- -,- -,1450000,5090000,-730000,5459370,883817,2818179,1534788,4421372,44861755,2801908,5535803,7902981,1118323,3678659,2755719,3142656,-15976600,- -,13770297,16218753,-25709,7150553,20508014,4064749,-2657598,29670000,12258000,72518000,141637000,54196000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-20000,- -,- -,- -,- -,-138137,-90503,-603540,-680421,-907576,-239008,285377,29550,128258,-339056,- -,11279,-2197374,266917,334571,-3033686,-1747915,-1405342,-3156000,-133000,259000,-1340000,12370000
97,Net Change In Cash,- -,- -,110000,-20000,320000,5459370,883817,2818179,1534788,6820381,10678277,-7567286,-1801113,-161982,-1147830,465215,-3355051,-388202,16289796,33712166,979726,-36776702,3308113,-18867786,7006507,2706479,4690494,1476000,12920000,7627000,22336000,-25616000
98,Cash at the End of Period,- -,- -,36992000,-20000,420000,- -,- -,- -,- -,9132930,20463238,14033140,10010950,8179303,6451012,7848706,3688435,2950613,19380095,52542429,57582758,22310911,25173413,5241615,12958749,17119691,22487366,23962000,36882000,44509000,66845000,41229000
