,https://roic.ai/company/LOMA,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,2347967680,2553973286,4911433261,6009182549,22016093238,45429829000,54004478000,81605000000
39,Goodwill,39347434,39347434,39347434,39347434,16577250,25501000,34717000,52000000
40,Intangible Assets,16511002,22723211,26541364,44960664,80378851,128166000,192333000,289000000
41,Intangible Assets,55858436,62070645,65888798,84308098,96956101,153667000,227050000,341000000
42,Investments,511231368,543845293,330062,330062,1661984,2557000,3481000,5000000
43,Tax Assets,- -,- -,- -,- -,942000000,- -,- -,- -
44,Other Non-Current Assets,258271130,309304235,483733394,359896639,681552974,2138839000,2636970000,3780000000
45,Total Non-Current Assets,3173328614,3469193459,5461385515,6453717348,23738264297,47724892000,56871979000,85731000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4718804747,5589198811,8962006445,12972263667,32865838422,59077759000,70945890000,104851000000
48,Accounts Payable,431632867,579735444,1005308084,1239573602,2069974054,2151876000,3202358000,7876000000
49,Short-Term Debt,879067457,1131721132,3061974070,1759598408,3355317884,5639425000,4711660000,2192000000
50,Tax Payable,80944205,83287016,225086288,573083940,779550251,542737000,2884059000,3345000000
51,Deferred Revenue,47573932,74198789,106956982,206360071,168655637,193176000,731925000,1026000000
52,Other Current Liabilities,775981285,1086724916,1855351927,2268797666,4237505028,8496692000,6633294000,5541000000
53,Total Current Liabilities,2134255541,2872380281,6029591063,5474329747,9831452603,16481169000,15279237000,16635000000
54,Long-Term Debt,1121686367,688039897,1277054290,2604280835,2607359542,7029094000,2259988000,634000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,232982791,295846470,292892013,229291404,3186099237,5482688000,7276106000,14312000000
57,Other Non-Current Liabilities,183218413,235143701,231957502,248567523,687697275,757236000,739940000,760000000
58,Total Non-Current Liabilities,1537887571,1219030068,1801903805,3082139762,6481156054,13269018000,10276034000,15706000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,442677000,530808000,315000000
61,Total Liabilities,3672143112,4091410349,7831494868,8556469509,16312608657,29750187000,25555271000,32341000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,54602649,56602649,56602649,59602649,59602649,59603000,59603000,20368000000
64,Retained Earnings,239931036,349671383,460157290,1590842382,5438107418,3839189000,11351024000,6586000000
65,Other Comprehensive Income/Loss,291969866,629371843,192999843,309608355,2554817301,12203670000,18719432000,45389000000
66,Other Total Stockholders Equity,435249702,434013924,30606959,1862498079,7126124290,10994373000,14989345000,-1000000
67,Total Stockholders Equity,1021753253,1469659799,740366741,3822551465,15178651658,27096835000,45119404000,72342000000
68,Total Liabilities And Stockholders Equity,4693896365,5561070148,8571861609,12379020974,31491260315,56847022000,70674675000,104683000000
69,Minority Interest,24908382,28128663,390144836,593242693,1374578107,2230737000,271215000,168000000
70,Total Liabilities & Equity,4718804747,5589198811,8962006445,12972263667,32865838422,59077759000,70945890000,104851000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,239931036,348299466,491173013,1590842382,1799871980,3839189000,11351024000,6586000000
74,Depreciation and Amortization,211644305,333956297,509073880,625880708,2121389879,3263720000,3987936000,5959000000
75,Deferred Income Tax,107600766,242359114,257734325,585537956,1131955333,1686453000,3780642000,9968000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,40000000
77,Change in Working Capital,-44599913,9064454,-211840057,-248678620,-579015597,428605000,1139171000,-7325000000
78,Accounts Receivable,-102242258,-87387645,-164726684,-535018838,-708537181,-693682000,-541437000,-1350000000
79,Inventory,-195894244,-211358257,-562166309,-87735857,-391110755,51967000,788549000,288000000
80,Accounts Payable,171327544,379555491,450394525,133303218,667425624,981488000,-248948000,1465000000
81,Other Working Capital,-2488661,9746162,16072259,67792378,-424941911,-1249903000,477435000,-8195000000
82,Other Non-Cash Items,368598669,449396762,566783262,666728713,-295431133,-675694000,-8033615000,-178000000
83,Cash Provided by Operating Activities,883174863,1383076093,1612924423,3220311139,4178770462,8542273000,12225158000,15050000000
84,CAPEX,-303915548,-494839820,-669353594,-1274179079,-4182623196,-11870460000,-9725546000,-7191000000
85,Acquisitions Net,- -,30552,207927790,- -,- -,- -,8344118000,463000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-4229000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,1916000000
88,Other Investing Activites,-13457602,-16305625,-27836362,-12018386,-63757223,-21916000,-271847000,93000000
89,Cash Used for Investing Activites,-302443241,-488807270,-462982491,-1258132364,-4223908326,-11834877000,-1566711000,-8845000000
90,Debt Repayment,-510204943,-1262052887,-840235934,-3521683295,-2915170732,-5832757000,-17622710000,-7053000000
91,Common Stock Issued,- -,- -,- -,1866725717,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-2387000000
93,Dividends Paid,-246383594,-16642,-853136862,-442886305,- -,- -,-2663733000,- -
94,Other Financing Activites,94045644,411805274,996675771,2395682276,524812636,7247360000,7209915000,680000000
95,Cash Used/Provided by Financing Activities,-662542893,-850264255,-696697025,297838393,-2390358096,1414603000,-13076528000,-8760000000
96,Effect of Forex Changes on Cash,18161291,23563263,21636098,116384750,642686604,-18839000,3145216000,-744000000
97,Net Change In Cash,-63649980,67567831,474881005,2376401918,-1792809356,-1896840000,2600001000,-3299000000
98,Cash at the End of Period,260836959,328404790,803285795,3179687713,2901859328,2567160000,4375548000,3306000000
99,Cash at the Beginning of Period,324486939,260836959,328404790,803285795,4694668684,4464000000,1775547000,6605000000
100,Free Cash Flow,579259315,888236273,943570829,1946132060,-3852734,-3328187000,2499612000,7859000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.11681,0.07726,0.06296,0.05366,0.02653,0.0167,0.01189,0.00974
