,https://roic.ai/company/HAPP,2017,2018,2019,2020,2021
47,Total Assets,41527739,53396326,65679050,85097470,112744685
48,Accounts Payable,6061616,5398247,1664000,1549260,8841163
49,Short-Term Debt,- -,- -,1039578,2032434,2237000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,11944006,3446453,2059822,1925786,4029466
53,Total Current Liabilities,18005622,8844700,4763400,5507480,15107629
54,Long-Term Debt,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,209015,- -,- -,- -,- -
58,Total Non-Current Liabilities,209015,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,495783,- -,- -,- -,- -
61,Total Liabilities,18214637,8844700,4763400,5507480,15107629
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,11500,11500,11500,12500,15241
64,Retained Earnings,17779327,35269267,55999270,68687300,61475891
65,Other Comprehensive Income/Loss,-2449339,-3414795,-1000000,-4000000,-5545586
66,Other Total Stockholders Equity,7971614,12685654,5904877,14890189,38800114
67,Total Stockholders Equity,23313102,44551626,60915647,79589989,94745660
68,Total Liabilities And Stockholders Equity,41527739,53396326,65679047,85097469,109853289
69,Minority Interest,- -,- -,3,1,2891396
70,Total Liabilities & Equity,41527739,53396326,65679050,85097470,112744685
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,14516030,17489940,18721980,12688040,691956
74,Depreciation and Amortization,142969,137173,699540,690750,880879
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,778423
77,Change in Working Capital,-3343692,-4693164,-12873483,-2718732,553208
78,Accounts Receivable,-4345004,-6551304,553290,1975090,-2106752
79,Inventory,-184402,2301812,298440,-58670,389388
80,Accounts Payable,1125383,-1192982,3734250,114740,-2106752
81,Other Working Capital,- -,- -,- -,- -,1718110
82,Other Non-Cash Items,- -,- -,-3157,117782,- -
83,Cash Provided by Operating Activities,11315307,12933949,6544880,10777840,2904466
84,CAPEX,-1096748,-157966,-283100,-1159360,-3834578
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,5940,- -,-10439407
89,Cash Used for Investing Activites,-1096748,-157966,-277160,-1159360,-13222847
90,Debt Repayment,-1762036,-2032772,- -,- -,-2118893
91,Common Stock Issued,- -,- -,- -,- -,10965553
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-8330683,- -,- -,-375000
94,Other Financing Activites,-6662979,1582322,271105,10404718,2200559
95,Cash Used/Provided by Financing Activities,-8425015,-8781133,271105,10404718,10672219
96,Effect of Forex Changes on Cash,-211489,620648,-622883,-1169213,2550149
97,Net Change In Cash,1582055,4615498,5915940,18853990,2903987
98,Cash at the End of Period,4269331,8884829,14800770,33654760,36558752
99,Cash at the Beginning of Period,2687276,4269331,8884830,14800770,33654765
100,Free Cash Flow,10218559,12775983,6261780,9618480,-930112
101,SEC Link,- -,- -,- -,- -,- -
102,false,,,,,
