,https://roic.ai/company/APPF,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1433195/000143319516000016/0001433195-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319517000010/0001433195-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319518000011/0001433195-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319519000016/0001433195-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319520000019/0001433195-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319521000024/0001433195-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1433195/000143319522000023/0001433195-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,11269000,5412000,12063000,10699000,16109000,74076000,15813000,140263000,57847000
32,Short-Term Investments,- -,- -,10235000,15473000,29800000,16631000,22876000,28256000,64600000
33,Cash and Short-Term Investments,11269000,5412000,22298000,26172000,45909000,90707000,38689000,168519000,122447000
34,Net Receivables,790000,1191000,2048000,2511000,3387000,5516000,7562000,10057000,12595000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,655000,1204000,3160000,3537000,4546000,11775000,15540000,20777000,23553000
37,Total Current Assets,12714000,7807000,27506000,32220000,53842000,107998000,61791000,199353000,158595000
38,PP&E,1744000,2623000,6107000,7077000,6696000,6871000,42547000,57000000,72189000
39,Goodwill,4998000,4998000,6737000,6737000,6737000,15548000,58425000,56147000,56147000
40,Intangible Assets,7346000,9124000,14538000,18644000,19334000,26380000,51400000,51816000,52923000
41,Intangible Assets,12344000,14122000,21275000,25381000,26071000,41928000,109825000,107963000,109070000
42,Investments,- -,- -,34417000,26688000,22401000,11256000,12089000,6770000,61076000
43,Tax Assets,- -,- -,- -,- -,- -,- -,27574000,12181000,- -
44,Other Non-Current Assets,905000,882000,1176000,1217000,1238000,7688000,6276000,6213000,7087000
45,Total Non-Current Assets,14993000,17627000,62975000,60363000,56406000,67743000,198311000,190127000,249422000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27707000,25434000,90481000,92583000,110248000,175741000,260102000,389480000,408017000
48,Accounts Payable,217000,2088000,2369000,937000,610000,1481000,1927000,1040000,1704000
49,Short-Term Debt,- -,- -,- -,- -,- -,1213000,1208000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,9095000,1309000
51,Deferred Revenue,2819000,3772000,4953000,7638000,7080000,3414000,4586000,2262000,2512000
52,Other Current Liabilities,2787000,7668000,9583000,12786000,16222000,22105000,39730000,46503000,48426000
53,Total Current Liabilities,5823000,13528000,16905000,21361000,23912000,28213000,47451000,49805000,52642000
54,Long-Term Debt,- -,- -,- -,- -,- -,48602000,47375000,- -,55733000
55,Deferred Revenue,124000,8000,- -,- -,- -,7080000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,13609000,1678000
57,Other Non-Current Liabilities,65719000,63365000,879000,1540000,1257000,- -,33326000,40146000,583000
58,Total Non-Current Liabilities,65843000,63373000,879000,1540000,1257000,55682000,80701000,53755000,57994000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,33312000,40146000,55733000
61,Total Liabilities,71666000,76901000,17784000,22901000,25169000,83895000,128152000,103560000,110636000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,4000,4000,4000,4000,4000,4000,4000
64,Retained Earnings,-44393000,-53014000,-68682000,-76963000,-67247000,-44316000,-8034000,150369000,151397000
65,Other Comprehensive Income/Loss,-1204000,-1954000,-153000,-51000,-209000,-178000,33000,56000,-194000
66,Other Total Stockholders Equity,1637000,3500000,141528000,146692000,152531000,136336000,139947000,135491000,146174000
67,Total Stockholders Equity,-43959000,-51467000,72697000,69682000,85079000,91846000,131950000,285920000,297381000
68,Total Liabilities And Stockholders Equity,27707000,25434000,90481000,92583000,110248000,175741000,260102000,389480000,408017000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,27707000,25434000,90481000,92583000,110248000,175741000,260102000,389480000,408017000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1433195/000143319516000016/0001433195-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319517000010/0001433195-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319518000011/0001433195-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319519000016/0001433195-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319520000019/0001433195-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319521000024/0001433195-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1433195/000143319522000023/0001433195-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-7305000,-8621000,-15668000,-8281000,9716000,19967000,36282000,158403000,1028000
74,Depreciation and Amortization,2850000,3805000,6104000,9935000,12699000,14576000,26525000,30491000,32231000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-31455000,29002000,250000
76,Stock Based Compensation,247000,892000,1007000,4301000,6096000,6337000,7309000,9025000,17154000
77,Change in Working Capital,1399000,-12612000,16322000,258000,19071000,49855000,-65445000,135208000,-2374000
78,Accounts Receivable,-490000,-401000,-746000,-463000,-876000,-908000,-2031000,-2782000,-2103000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-146000,1831000,-439000,-904000,-100000,614000,511000,-903000,497000
81,Other Working Capital,6891000,-5721000,10601000,10859000,29930000,79785000,14340000,149548000,-186000
82,Other Non-Cash Items,-1561000,17011000,-14609000,5287000,-18211000,-54467000,65671000,-313830000,-12898000
83,Cash Provided by Operating Activities,-4370000,475000,-6844000,11500000,29371000,36268000,38887000,48299000,35391000
84,CAPEX,-3688000,-6476000,-11388000,-15410000,-12669000,-14406000,-29082000,-45080000,-32718000
85,Acquisitions Net,- -,- -,-4039000,- -,- -,-14441000,-54004000,191427000,12922000
86,Purchases of Investments,- -,- -,-74176000,-31551000,-26648000,-29516000,-25198000,-43877000,-241215000
87,Sales/Maturities of Investments,3423000,- -,30236000,33896000,16489000,53719000,18410000,44041000,150552000
88,Other Investing Activites,-2428000,-4598000,-7694000,-11168000,-10456000,-12304000,-20998000,-26042000,-24615000
89,Cash Used for Investing Activites,-265000,-6476000,-59367000,-13065000,-22828000,-4644000,-89874000,146511000,-110459000
90,Debt Repayment,- -,-24000,-10268000,-157000,-118000,-138000,-3419000,-99565000,- -
91,Common Stock Issued,- -,- -,79570000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-21562000,- -,-4194000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11961000,168000,3560000,358000,-1015000,48046000,-3853000,33401000,-7348000
95,Cash Used/Provided by Financing Activities,11961000,144000,72862000,201000,-1133000,26346000,-7272000,-70358000,-7348000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7326000,-5857000,6651000,-1364000,5410000,57970000,-58259000,124452000,-82416000
98,Cash at the End of Period,11269000,5412000,12063000,10699000,16109000,74506000,16247000,140699000,58283000
99,Cash at the Beginning of Period,3943000,11269000,5412000,12063000,10699000,16536000,74506000,16247000,140699000
100,Free Cash Flow,-8058000,-6001000,-18232000,-3910000,16702000,21862000,9805000,3219000,2673000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1433195/000143319516000016/0001433195-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319517000010/0001433195-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319518000011/0001433195-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319519000016/0001433195-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319520000019/0001433195-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1433195/000143319521000024/0001433195-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1433195/000143319522000023/0001433195-22-000023-index.htm
102,false,,,,,,,,,
