,https://roic.ai/company/ITRN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1337117/000117891307001297/zk73825.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1337117/000117891310001402/zk1008333.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891311001811/zk1110073.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891312001263/zk1211373.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891313001217/zk1312991.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891314001265/zk1414727.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891315001341/zk1516614.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891316005124/zk1618361.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891317001231/zk1719833.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891318001354/zk1821508.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891319001258/zk1922960.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891320001183/zk2024284.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1327000,3918000,4604000,58400000,43800000,28700000,12500000,60800000,46700000,35300000,29500000,41700000,38418000,27016000,31087000,36906000,51398000,53964000,72183000,50306000
32,Short-Term Investments,- -,- -,- -,- -,- -,16000000,9600000,35400000,9400000,6700000,400000,- -,5000000,2362000,2035000,398000,3559000,1897000,358000,6663000,4405000
33,Cash and Short-Term Investments,- -,1327000,3918000,4604000,58400000,59800000,38300000,47900000,70200000,53400000,35700000,29500000,46700000,40780000,29051000,31485000,40465000,53295000,54322000,78846000,54711000
34,Net Receivables,- -,- -,16732000,20023000,22500000,29700000,27600000,26700000,24900000,31200000,25300000,26200000,29200000,27960000,27436000,33865000,41009000,54261000,45090000,39343000,43916000
35,Inventory,- -,- -,5103000,6416000,6700000,11700000,13800000,12500000,8900000,10300000,11800000,15600000,15000000,12164000,12865000,14478000,14465000,31428000,26504000,22622000,27128000
36,Other Current Assets,- -,- -,1732000,1614000,2400000,5600000,83100000,4600000,5200000,11000000,14200000,14500000,18000000,22318000,22353000,35395000,41173000,49922000,48234000,38624000,36979000
37,Total Current Assets,- -,- -,27485000,32657000,90000000,106800000,162800000,91700000,109200000,105900000,87000000,85800000,108900000,103222000,91705000,115223000,137112000,188906000,174150000,179435000,162734000
38,PP&E,- -,- -,9427000,9204000,9900000,19100000,24400000,27100000,42300000,46100000,40900000,34200000,32500000,31908000,31514000,35644000,39047000,50460000,61492000,43201000,40342000
39,Goodwill,- -,- -,1451000,- -,2800000,4500000,9600000,9700000,9600000,10100000,8500000,8000000,5400000,4041000,3356000,3406000,3777000,62896000,50086000,39862000,39999000
40,Intangible Assets,- -,- -,4404000,6538000,3200000,2800000,8800000,7000000,5100000,4400000,3400000,2600000,700000,452000,26000,23000,38000,39040000,23355000,19382000,16753000
41,Intangible Assets,- -,- -,5855000,6538000,6000000,7300000,18400000,16700000,14700000,14500000,11900000,10600000,6100000,4493000,3382000,3429000,3815000,101936000,73441000,59244000,56752000
42,Investments,- -,- -,2509000,- -,900000,900000,1900000,6040000,12407000,12662000,5175000,242000,1511000,1095000,4783000,12060000,16221000,7644000,4926000,2171000,2751000
43,Tax Assets,- -,- -,6240000,5507000,200000,800000,1700000,1500000,1200000,1000000,800000,600000,200000,- -,- -,- -,- -,6458000,2867000,11910000,11091000
44,Other Non-Current Assets,- -,- -,3215000,5117000,9500000,9900000,7400000,14860000,6093000,8138000,11725000,15858000,11289000,11619000,10619000,11663000,18964000,18388000,22359000,16511000,19351000
45,Total Non-Current Assets,- -,- -,27246000,26366000,26500000,38000000,53800000,66200000,76700000,82400000,70500000,61500000,51600000,49115000,50298000,62796000,78047000,184886000,165085000,133037000,130287000
46,Other Assets,- -,54412000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,54412000,54731000,59023000,116500000,144800000,216600000,157900000,185900000,188300000,157500000,147300000,160500000,152337000,142003000,178019000,215159000,373792000,339235000,312472000,293021000
48,Accounts Payable,- -,- -,7926000,10574000,10400000,15000000,12800000,11700000,13500000,10600000,9400000,9600000,11600000,11658000,10468000,18627000,23264000,23987000,22656000,19716000,21275000
49,Short-Term Debt,- -,- -,13805000,6586000,3315000,474000,318000,320000,6000,98000,390000,221000,38000,- -,155000,3000,48000,10559000,19897000,23244000,18257000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,3824000,- -,5112000,- -,- -,5653000,4934000,5568000,4174000,3781000,2886000,2279000,2280000,8398000,12127000,10385000,24351000,24333000
52,Other Current Liabilities,- -,- -,9378000,9165000,15285000,12814000,39282000,19680000,17241000,41668000,23142000,27605000,36181000,30395000,28679000,35217000,34042000,58019000,48127000,45416000,40767000
53,Total Current Liabilities,- -,- -,31109000,30149000,29000000,33400000,52400000,31700000,36400000,57300000,38500000,41600000,51600000,44939000,41581000,56127000,65752000,104692000,101065000,112727000,104632000
54,Long-Term Debt,- -,- -,10169000,9509000,6300000,5900000,5900000,5900000,5900000,200000,200000,- -,- -,- -,- -,- -,- -,62622000,49803000,34068000,14919000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8536000,8902000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2494000,1952000
57,Other Non-Current Liabilities,- -,- -,9664000,4256000,5400000,8700000,8700000,10700000,13400000,20100000,17600000,17700000,18000000,16702000,16724000,19663000,23617000,52785000,59037000,24748000,24813000
58,Total Non-Current Liabilities,- -,- -,19833000,13765000,11700000,14600000,14600000,16600000,19300000,20300000,17800000,17700000,18000000,16702000,16724000,19663000,23617000,115407000,108840000,69846000,50586000
59,Other Liabilities,- -,57333000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12626000,5548000,1750000
61,Total Liabilities,- -,57333000,50942000,43914000,40700000,48000000,67000000,48300000,55700000,77600000,56300000,59300000,69600000,61641000,58305000,75790000,89369000,220099000,209905000,182573000,155218000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1622000,1626000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,- -,1983000,1983000,1983000,1983000,1983000,1983000,- -
64,Retained Earnings,- -,-23367000,-17522000,-7630000,4000000,19600000,66200000,52000000,66600000,43700000,43200000,32200000,38800000,- -,57739000,71717000,92065000,129580000,116479000,127684000,- -
65,Other Comprehensive Income/Loss,- -,- -,-2258000,-2487000,-3409000,3003000,13715000,12091000,18036000,23226000,14153000,11984000,8608000,-1850000,-17520000,-12967000,-9754000,-20604000,-25865000,-38832000,- -
66,Other Total Stockholders Equity,- -,20446000,21947000,23492000,73171000,72268000,67676000,43464000,43490000,41845000,41841000,41843000,41510000,96583000,41496000,41496000,41496000,42734000,36733000,36357000,- -
67,Total Stockholders Equity,- -,-2921000,3789000,15001000,75762000,96871000,149591000,109555000,130126000,110771000,101194000,88027000,90918000,90696000,83698000,102229000,125790000,153693000,129330000,127192000,132460000
68,Total Liabilities And Stockholders Equity,- -,54412000,54731000,58915000,116462000,144871000,216591000,157855000,185826000,188371000,157494000,147327000,160518000,152337000,142003000,178019000,215159000,373792000,339235000,309765000,287678000
69,Minority Interest,- -,- -,- -,108000,38000,-71000,9000,45000,74000,-71000,6000,-27000,-18000,- -,- -,- -,- -,- -,- -,2707000,5343000
70,Total Liabilities & Equity,- -,54412000,54731000,59023000,116500000,144800000,216600000,157900000,185900000,188300000,157500000,147300000,160500000,152337000,142003000,178019000,215159000,373792000,339235000,312472000,293021000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1337117/000117891307001297/zk73825.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1337117/000117891310001402/zk1008333.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891311001811/zk1110073.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891312001263/zk1211373.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891313001217/zk1312991.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891314001265/zk1414727.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891315001341/zk1516614.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891316005124/zk1618361.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891317001231/zk1719833.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891318001354/zk1821508.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891319001258/zk1922960.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891320001183/zk2024284.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,5845000,11219000,14400000,19300000,51500000,14900000,18200000,8700000,21300000,24900000,23800000,30429000,24971000,32139000,43794000,60675000,6889000,16123000,34256000
74,Depreciation and Amortization,- -,- -,3482000,3665000,3584000,4205000,8080000,10115000,12530000,15875000,17801000,14671000,16196000,12219000,11962000,11635000,13519000,14608000,22843000,18831000,18096000
75,Deferred Income Tax,- -,- -,2193000,1183000,301000,644000,991000,-1533000,988000,-1159000,-2224000,1698000,-1812000,-737000,-85000,-1114000,-516000,2346000,-2246000,-2158000,-443000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,4496000,233000,-2269000,-6160000,-13483000,2499000,6080000,7785000,7605000,-2283000,6256000,-6653000,-3326000,-4059000,-6539000,-7980000,1579000,15211000,-1151000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,1218000,722000,-4669000,3649000,-300000,-609000,-1864000,117000,-4552000,-4769000,6182000,10704000,4496000,-3994000
79,Inventory,- -,- -,3633000,-1259000,-269000,-4435000,-3645000,1752000,646000,-73000,-2985000,-3609000,1354000,783000,-658000,-1424000,1632000,3580000,3815000,3120000,-3841000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-1208000,1734000,-1229000,-180000,-372000,1446000,927000,-1176000,5884000,3751000,-3837000,-1125000,-658000,1776000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,4063000,- -,1550000,2420000,868000,2404000,471000,-232000,3263000,-2469000,-9513000,-4770000,3354000
82,Other Non-Cash Items,- -,- -,-229000,1374000,1742000,265000,-34327000,1275000,-72000,2278000,1370000,-6771000,2257000,2473000,2392000,2871000,-6351000,-16385000,30614000,12061000,5032000
83,Cash Provided by Operating Activities,- -,- -,15787000,17674000,17758000,18254000,12761000,27256000,37726000,33479000,45852000,32215000,46697000,37731000,35914000,41472000,43907000,53264000,59679000,60068000,55790000
84,CAPEX,- -,- -,-2406000,-2374000,-4286000,-12164000,-9705000,-16947000,-15698000,-18344000,-16235000,-9676000,-14216000,-14976000,-18724000,-13645000,-16159000,-21744000,-18310000,-10234000,-16626000
85,Acquisitions Net,- -,- -,- -,- -,- -,-2264000,-8549000,58720000,- -,- -,-4650000,326000,-1400000,- -,-6232000,-8920000,-900000,-70219000,-55000,-90000,-675000
86,Purchases of Investments,- -,- -,- -,- -,- -,-55863000,-6935000,-50579000,-35832000,-3378000,-563000,- -,-1400000,-2771000,-11000,-3154000,-9897000,-9617000,-1331000,-467000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,40848000,13982000,13420000,64486000,5552000,1418000,70000,- -,- -,- -,4633000,5368000,9594000,2400000,269000,- -
88,Other Investing Activites,- -,- -,-2214000,-536000,-607000,-497000,-7981000,-16714000,-15592000,-17148000,-7014000,-9955000,-12666000,-10473000,-19463000,-12419000,-9256000,-14612000,-19301000,-11191000,-17849000
89,Cash Used for Investing Activites,- -,- -,-2214000,-2910000,-4893000,-29940000,-19188000,4847000,13062000,-14974000,-10809000,-9559000,-15466000,-13244000,-25706000,-19860000,-14685000,-84854000,-18287000,-11479000,-18524000
90,Debt Repayment,- -,- -,-3586000,- -,- -,- -,- -,-2000,-316000,-18000,-46000,-44000,-182000,- -,- -,- -,- -,-8998000,-8938000,-18157000,-23576000
91,Common Stock Issued,- -,- -,19000,1420000,50061000,18000,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-877000,-4873000,-24154000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1327000,-2697000,-3703000,-4839000,-29140000,-3735000,-31620000,-22549000,-33308000,-16072000,-19324000,-17590000,-17088000,-22645000,-20219000,-19848000,-9967000,-15809000
94,Other Financing Activites,- -,- -,-7523000,-14235000,-6109000,-3600000,-3340000,- -,- -,-2204000,-22120000,6011000,-1293000,-3102000,-1069000,-1146000,-1621000,78986000,-10141000,-1325000,-19281000
95,Cash Used/Provided by Financing Activities,- -,- -,-11090000,-14142000,41255000,-8162000,-13040000,-53296000,-4051000,-33842000,-44715000,-27341000,-17547000,-22426000,-18659000,-18234000,-24266000,49769000,-38927000,-29449000,-58666000
96,Effect of Forex Changes on Cash,- -,- -,108000,64000,-295000,5231000,4324000,5035000,1565000,1198000,-1732000,-1132000,-1440000,-5340000,-2951000,693000,863000,-3687000,101000,-921000,-477000
97,Net Change In Cash,- -,- -,2591000,686000,53825000,-14617000,-15143000,-16158000,48302000,-14139000,-11404000,-5817000,12244000,-3279000,-11402000,4071000,5819000,14492000,2566000,18219000,-21877000
98,Cash at the End of Period,- -,- -,3918000,4604000,58429000,43812000,28669000,12511000,60813000,46674000,35270000,29453000,41697000,38418000,27016000,31087000,36906000,51398000,53964000,72183000,50306000
99,Cash at the Beginning of Period,- -,- -,1327000,3918000,4604000,58429000,43812000,28669000,12511000,60813000,46674000,35270000,29453000,41697000,38418000,27016000,31087000,36906000,51398000,53964000,72183000
100,Free Cash Flow,- -,- -,13381000,15300000,13472000,6090000,3056000,10309000,22028000,15135000,29617000,22539000,32481000,22755000,17190000,27827000,27748000,31520000,41369000,49834000,39164000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1337117/000117891307001297/zk73825.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1337117/000117891310001402/zk1008333.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891311001811/zk1110073.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891312001263/zk1211373.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891313001217/zk1312991.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891314001265/zk1414727.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891315001341/zk1516614.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891316005124/zk1618361.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891317001231/zk1719833.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891318001354/zk1821508.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891319001258/zk1922960.htm,https://www.sec.gov/Archives/edgar/data/1337117/000117891320001183/zk2024284.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,
