,https://roic.ai/company/RGCO,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0395,0.0514,0.0486,0.0508,0.0640,0.0736,0.0564,0.0329,0.0496,0.0543,0.0319,0.0446,0.0484,0.0668,0.0723,0.0956,0.0967,0.1059,0.1180,0.1093,0.1020,0.1212,0.1604,0.1611,0.1555,0.1668,0.2199,0.1770
22,Income Tax expense (Gain),600000,700000,1000000,1000000,1100000,1300000,1514272,1560019,1493812,2139926,1223948,2039787,1939959,2236408,2581742,2987309,2691001,2847111,2638949,2644787,2939540,3170562,3666184,3805390,2895136,2650731,3305660,3204062
23,Net Income,1700000,1800000,2200000,2300000,2700000,2900000,2873702,2237800,2486895,3528389,12934013,3506906,3511531,3806209,4221134,4869010,4445436,4653473,4296745,4262052,4708440,5094415,5806866,6232865,7297205,8698412,10564534,10102062
24,Net Income ratio,0.0292,0.0370,0.0334,0.0354,0.0455,0.0508,0.0370,0.0191,0.0310,0.0338,0.1254,0.0288,0.0326,0.0423,0.0446,0.0592,0.0602,0.0657,0.0731,0.0674,0.0628,0.0747,0.0983,0.1001,0.1113,0.1279,0.1675,0.1344
25,EPS,0.42,0.42,0.50,0.51,0.53,0.53,0.51,0.40,0.43,0.59,2.13,0.56,0.55,0.59,0.64,0.73,0.66,0.67,0.61,0.61,0.67,0.72,0.81,0.86,0.95,1.08,1.30,1.22
26,EPS Diluted,0.42,0.42,0.50,0.51,0.53,0.53,0.51,0.39,0.43,0.59,2.11,0.56,0.55,0.58,0.64,0.73,0.65,0.67,0.61,0.61,0.67,0.72,0.81,0.86,0.95,1.08,1.30,1.22
27,Weighted Average Shares Outstanding,4080000,4285714,4370861,4480519,5062500,5444592,5589825,5696091,5818533,5951910,6083724,6239553,6360801,6488409,6603789,6671181,6771393,6889069,6971158,7048090,7073217,7092315,7149906,7218686,7649025,8039484,8125938,8251802
28,Weighted Average Shares Outstanding Diluted,4080000,4285714,4370861,4480519,5062500,5455623,5601414,5706879,5826174,5968380,6126936,6279345,6392160,6519774,6633678,6693120,6792240,6901188,6976423,7048149,7074423,7097514,7159762,7256046,7695712,8078950,8146666,8264904
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069533/000106953320000046/0001069533-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1069533/000143774921027683/0001437749-21-027683-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,500000,600000,100000,100000,100000,721249,885678,288030,135998,9461217,1349518,1490141,1408317,875436,7422360,6745630,7951429,8909871,2846224,849757,985234,643252,69640,247411,1631348,291066,1518317
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,200000,500000,600000,100000,100000,100000,721249,885678,288030,135998,9461217,1349518,1490141,1408317,875436,7422360,6745630,7951429,8909871,2846224,849757,985234,643252,69640,247411,1631348,291066,1518317
34,Net Receivables,3200000,3500000,3900000,4200000,3100000,6300000,6251248,7155930,4460867,6183162,5978065,7441761,5217009,4447928,5086790,3649837,3360627,3715674,4760695,3729106,3730173,3196573,3478983,3492703,3913830,3870211,3404044,4949900
35,Inventory,6400000,5300000,7400000,7400000,8000000,8400000,12421327,13473986,2172808,2559306,2470249,24165637,23981281,19672555,26676290,16660726,14373386,13474091,10079643,11077021,12296662,9128606,8260924,8723085,8541085,7470189,6735952,8899136
36,Other Current Assets,1500000,1200000,2900000,2300000,2900000,3000000,3619874,5460491,15375221,18799511,25898410,6091639,4451126,15931739,5773336,6384655,7175347,5863051,6497105,4555685,4134025,5132945,3099165,3400176,2842276,3413444,4005499,9776502
37,Total Current Assets,11300000,10500000,14800000,14000000,14100000,17800000,23013698,26976085,22296926,27677977,43807941,39048555,35139557,41460539,38411852,34117578,31654990,31004245,30247314,22208036,21010617,18443358,15482324,15685604,15544602,16385192,14436561,25143855
38,PP&E,37000000,40100000,43200000,48200000,54200000,59100000,62925523,65897646,69138197,71751354,70608106,74102365,79039609,72587269,75608072,78509170,81455391,85722456,90830092,97736549,108743577,118629552,132128138,147927971,165963628,182002956,198445093,211649684
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1014509,327429,298314,298314,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3496404,7445106,28507146,47375459,57542805,64867319
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1300000,1000000,900000,400000,800000,900000,453764,369969,668018,769754,556509,412496,483406,2284647,4107790,6175144,7572935,8822348,8678932,4582116,9566528,11067820,14445983,12076390,9544730,12590089,11255048,8448335
45,Total Non-Current Assets,38300000,41100000,44100000,48600000,55000000,60000000,64393796,66595044,70104529,72819422,71164615,74514861,79523015,74871916,79715862,84684314,89028326,94544804,99509024,102318665,118310105,129697372,150070525,167449467,204015504,241968504,267242946,284965338
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,49600000,51600000,58900000,62600000,69100000,77800000,87407494,93571129,92401455,100497399,114972556,113563416,114662572,116332455,118127714,118801892,120683316,125549049,129756338,124526701,139320722,148140730,165552849,183135071,219560106,258353696,281679507,310109193
48,Accounts Payable,5300000,5500000,4900000,5500000,7000000,9200000,11003592,8250618,7897084,9289899,10740943,19131418,13855176,6457602,8215319,4449735,4572917,5299475,4756460,5723107,5367299,5141677,5345575,5122899,5211032,4483233,4442182,7729707
49,Short-Term Debt,- -,- -,- -,- -,- -,6400000,13321092,18510037,9096127,14024372,12761987,7662000,6613000,9808000,13960000,5805762,- -,15000000,16567501,15000000,9045050,9340997,14556785,- -,- -,- -,- -,7000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2525071,2382089,2753966,2866077,3139792,3232713,2692538,3744832,2312326,3198537,3111022
52,Other Current Liabilities,8400000,7800000,11300000,15800000,11000000,6400000,4980718,8406874,6858928,7381198,17243526,5922116,9371311,16733572,9440368,11039045,13281091,8202898,5836345,5979916,3074208,5580518,5361980,6550795,15135985,14837505,8930023,8172803
53,Total Current Liabilities,13700000,13300000,16200000,21300000,18000000,22000000,29305402,35167529,23852139,30695469,40746456,32715534,29839487,32999174,31615687,21294542,17854008,31027444,29542395,29456989,20352634,23202984,28497053,14366232,24091849,21633064,16570742,26013532
54,Long-Term Debt,16400000,17500000,20200000,17100000,20700000,23300000,23310522,22507485,30377358,30219987,26000000,30000000,30000000,23000000,23000000,28000000,28000000,13000000,13000000,13000000,30500000,30316573,33636051,61312011,70321936,103371358,123819631,133471427
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2800000,3300000,3500000,3600000,4000000,4300000,4805699,5171043,6102961,5724329,5407029,5722903,6098437,5570323,5567851,6600646,7895934,9948307,11910310,14279689,14610643,16913567,18957854,23076848,12585577,12978523,13973762,14948213
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,-16221,-78528,-80319,3855684,6292971,6977097,5201563,12429677,14232149,18106833,20623627,22787520,24620703,18287601,21836598,24866615,28794819,24339508,32977632,37274359,38427395,35974312
58,Total Non-Current Liabilities,19200000,20800000,23700000,20700000,24700000,27700000,28100000,27600000,36400000,39800000,37700000,42700000,41300000,41000000,42800000,52707479,56519561,45735827,49531013,45567290,66947241,72096755,81388724,108728367,115885145,153624240,176220788,184393952
59,Other Liabilities,38700000,20700000,23700000,20700000,24600000,- -,56216221,55278528,72880319,- -,- -,- -,85628217,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,33200000,34000000,39900000,42000000,42600000,49600000,57421623,62846057,60332458,66639785,78351034,75406059,74167704,73967222,74404656,74002021,74373569,76763271,79073408,75024279,87299875,95299739,109885777,123094599,139976994,175257304,192791530,210407484
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6900000,7200000,7400000,7600000,9000000,9200000,9408665,9573015,9802090,10016160,10327040,10494675,10692975,10930715,11047355,11194935,11372160,23123410,23352835,23546630,23601890,23707490,23941445,36204230,39973075,40366320,40800290,41875460
64,Retained Earnings,5900000,6200000,6900000,7700000,8600000,9500000,10314954,10490375,10758491,12018920,13275426,14322805,15282909,16443017,17909134,19881745,21341740,22865311,23904514,20103239,21321055,22772377,24713310,24746021,27438049,30821917,35688510,39656296
65,Other Comprehensive Income/Loss,-19100000,-21000000,-22900000,-25200000,-27700000,-30500000,-33809893,-37870964,-42045726,-38586345,-34677711,-35341798,-37797548,-36424831,-1000000,-3000000,-4000000,-4000000,-4000000,-2000000,-1000000,-2000000,-2000000,-1000000,-1000000,-2000000,-3000000,-1535434
66,Other Total Stockholders Equity,22700000,25200000,27600000,30500000,36600000,40000000,44072145,48532646,53554142,50408879,47696767,48681675,52316532,51416332,15766569,16723191,17595847,6797057,7425581,7852553,8097902,8361124,9012317,90221,13171988,13908155,15399177,19705387
67,Total Stockholders Equity,16400000,17600000,19000000,20600000,26500000,28200000,29985871,30725072,32068997,33857614,36621522,38157357,40494868,42365233,43723058,44799871,46309747,48785778,50682930,49502422,52020847,52840991,55667072,60040472,79583112,83096392,88887977,99701709
68,Total Liabilities And Stockholders Equity,49600000,51600000,58900000,62600000,69100000,77800000,87407494,93571129,92401455,100497399,114972556,113563416,114662572,116332455,118127714,118801892,120683316,125549049,129756338,124526701,139320722,148140730,165552849,183135071,219560106,258353696,281679507,310109193
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,49600000,51600000,58900000,62600000,69100000,77800000,87407494,93571129,92401455,100497399,114972556,113563416,114662572,116332455,118127714,118801892,120683316,125549049,129756338,124526701,139320722,148140730,165552849,183135071,219560106,258353696,281679507,310109193
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069533/000106953320000046/0001069533-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1069533/000143774921027683/0001437749-21-027683-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1700000,1800000,2200000,2300000,2700000,2900000,2873702,2237800,2486895,3528389,12934013,3506906,3511531,3806209,4221134,4869010,4445436,4653473,4296745,4262052,4708440,5094415,5806866,6232865,7297205,8698412,10564534,10102062
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,4538635,4967332,5297678,5422074,4128980,4280027,4480711,4301102,4526670,3815009,3959887,4164320,4387016,4656716,4838062,5219893,5709525,6378368,7090169,7600852,8126427,8669977
75,Deferred Income Tax,- -,- -,800000,-700000,-300000,300000,583589,-1218486,1686802,681386,-596789,-194261,241318,2003043,-730442,812532,1884235,2720657,2410468,786990,859788,2416841,4466954,3325379,755994,684028,1122303,106188
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84840,75310,83640,64640,73780,- -,- -,81380,11100
77,Change in Working Capital,-300000,-400000,1400000,-5900000,3400000,-300000,-2091704,-1899740,6636231,-1462279,6078977,3271536,-1032951,3161295,-1665200,6026871,977946,-13824181,728118,-7953872,7906936,-5417609,-8255103,14334101,-9866619,3299375,3113691,-4808745
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-374682,12424,638917,-258960,-191386,-476161,-122165,53213,-1124860
79,Inventory,- -,- -,-2100000,- -,-500000,-400000,-4058128,-1052659,1928685,-5796757,-1364866,-5772211,184356,813282,-7003735,- -,2287340,899295,3394448,-997378,-1219641,3168056,867682,-462161,182000,1070896,734237,-2163184
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-2400000,-2800000,-1400000,-7300000,-3900000,-4200000,-6291704,-8191444,-1555213,-3017492,3061485,6333021,5300070,8461365,6796165,12823036,13800982,-23199,704919,-7248953,657983,-4759626,-13014729,1319372,-8547247,-5247872,-2134181,- -
82,Other Non-Cash Items,3700000,6900000,-5000000,12700000,2700000,3000000,-2338581,1190274,-5247717,-3624295,-20419086,-5350313,3095851,-6650277,-6132297,7182390,-4148700,12969075,-39306,8200344,-11548798,9363647,7128758,-17363515,8227046,-5584963,-10184432,-2512474
83,Cash Provided by Operating Activities,5100000,8300000,-600000,8400000,8500000,5900000,3565641,5277180,10859889,4545275,2126095,5513895,10296460,6621372,219865,22705812,7118804,10683344,11783041,10037070,6839738,16760827,14921640,12980978,13503795,14697704,12823903,11568108
84,CAPEX,-5500000,-5600000,-5500000,-8100000,-9200000,-8900000,-7920163,-8029853,-8614454,-8347654,-7925948,-7427304,-7815341,-6004190,-6539369,-5752780,-5973586,-7589386,-8683658,-9977433,-14715428,-13780356,-17945719,-20750181,-23290994,-21884317,-22916339,-19967567
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6028760
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4991460,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000,400000,-400000,100000,100000,- -,33342,5196,30338,318063,26545514,822268,236632,-191767,-139497,-5724954,10265,-7589102,32943,29923,16858,30082,-3050782,-2742374,-10875584,-20945688,-7804672,-19820477
89,Cash Used for Investing Activites,-5700000,-5200000,-5900000,-8000000,-9100000,-8900000,-7886821,-8024657,-8584116,-8029591,13628106,-1605036,-7578709,-6195957,-3178866,-5224954,-5963321,-7589102,-8650715,-9947510,-14698570,-13750274,-20996501,-23492555,-34166578,-42830005,-30721011,-25849237
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13960000,- -,- -,- -,-4354402,-44318724,-34402977,-33094539,-39334328,-40245210,-56923688,-23370002,-38558275
91,Common Stock Issued,1600000,800000,700000,900000,4600000,800000,539286,638634,866712,816981,1398362,823417,999764,1182684,640845,764516,1031998,1118975,774696,737076,213391,432401,1031194,967698,16520016,1746661,1802639,4922337
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1300000,-1400000,-1500000,-1500000,-1800000,-1900000,-2037493,-2112636,-2196095,-2255571,-2344972,-11743988,-2527892,-2621923,-2731725,-2825450,-2951211,-3094418,-3226350,-8033053,-3465034,-3603424,-3808683,-4115873,-4647042,-5217775,-5609195,-6012703
94,Other Financing Activites,-400000,-2300000,7500000,-300000,-2300000,4200000,6401135,4385908,-1544038,4770874,-5482372,-1099987,-1049000,932000,4517000,5087000,87000,87000,277770,5497172,53432732,34698924,41604907,52420468,49212790,89911040,43733384,55157021
95,Cash Used/Provided by Financing Activities,-100000,-2900000,6700000,-900000,500000,3100000,4902928,2911906,-2873421,3332284,-6428982,-12020558,-2577128,-507239,2426120,-10933934,-1832213,-1888443,-2173884,-6153207,5862365,-2875076,5732879,9937965,20840554,29516238,16556826,15508380
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-700000,300000,100000,-500000,- -,- -,581748,164429,-597648,-152032,9325219,-8111699,140623,-81824,-532881,6546924,-676730,1205799,958442,-6063647,-1996467,135477,-341982,-573612,177771,1383937,-1340282,1227251
98,Cash at the End of Period,200000,500000,600000,100000,100000,100000,721249,885678,288030,135998,9461217,1349518,1490141,1408317,875436,7422360,6745630,7951429,8909871,2846224,849757,985234,643252,69640,247411,1631348,291066,1518317
99,Cash at the Beginning of Period,900000,200000,500000,600000,100000,100000,139501,721249,885678,288030,135998,9461217,1349518,1490141,1408317,875436,7422360,6745630,7951429,8909871,2846224,849757,985234,643252,69640,247411,1631348,291066
100,Free Cash Flow,-400000,2700000,-6100000,300000,-700000,-3000000,-4354522,-2752673,2245435,-3802379,-5799853,-1913409,2481119,617182,-6319504,16953032,1145218,3093958,3099383,59637,-7875690,2980471,-3024079,-7769203,-9787199,-7186613,-10092436,-8399459
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069533/000106953320000046/0001069533-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1069533/000143774921027683/0001437749-21-027683-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
