,https://roic.ai/company/TSOI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,58489,15621,310255,-17966,3462383,197103,214645,198712,259962,104878,26526,206932,311006,603474,1715775
69,Minority Interest,-8489,-5621,-255,17966,-2383,2897,-4645,1288,-2,2,4,-2,-6,- -,- -
70,Total Liabilities & Equity,50000,10000,310000,- -,3460000,200000,210000,200000,259960,104880,26530,206930,311000,603474,1715775
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1419051/000109690608000720/0001096906-08-000720-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419051/000107878213000576/0001078782-13-000576-index.html,https://www.sec.gov/Archives/edgar/data/1419051/000107878216002693/0001078782-16-002693-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878216002992/0001078782-16-002992-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878216003690/0001078782-16-003690-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878217000832/0001078782-17-000832-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878218000437/0001078782-18-000437-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878219000334/0001078782-19-000334-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878220000363/0001078782-20-000363-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878221000328/0001078782-21-000328-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000149315222008511/0001493152-22-008511-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-20000,-90000,-1540000,-10000,-970000,-810000,-550000,-290000,-586440,-1062460,-995470,-1866910,-1697320,-2199901,-2961445
74,Depreciation and Amortization,- -,- -,- -,- -,227187,186320,23320,21132,- -,- -,- -,- -,6591,6980,480135
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1790450,130000,1012000,310252,169200,45750,286200,288300,144950,623250,468000,1165650,397750
77,Change in Working Capital,5010,-40000,300000,-310000,-2490000,2270000,-430000,520000,-101500,-370060,-726720,-543200,-324890,206498,-346077
78,Accounts Receivable,- -,- -,- -,- -,-37416,21058,- -,- -,-2184,2184,- -,- -,-2904,463,-14172
79,Inventory,- -,- -,- -,- -,-48198,17408,3992,- -,-29675,-6759,34920,1515,-5180,-219,-34418
80,Accounts Payable,5010,-4560,12447,-7161,56777,174010,116577,-7967,-13212,50250,16218,-15017,8856,-27963,91557
81,Other Working Capital,40000,- -,300000,-10000,-2500000,-230000,-660000,-140000,-241500,-611560,-1338280,-1881480,-2206370,-1999872,-2345949
82,Other Non-Cash Items,9989,22392,-551245,167769,2321068,-2003402,765596,-356501,29690,758479,1210523,1317688,1236905,157694,1710715
83,Cash Provided by Operating Activities,-5001,-107608,-795,-22231,100255,-46830,-21884,-59619,-372050,-385741,-366717,-469172,-310714,-663079,-718922
84,CAPEX,- -,- -,- -,- -,-9826,-6135,- -,- -,- -,- -,- -,- -,- -,-5448,-260565
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,55000,- -,- -,- -,- -,- -,- -,4015
89,Cash Used for Investing Activites,- -,- -,- -,- -,-9826,-6135,- -,55000,- -,- -,- -,- -,- -,-5448,-256550
90,Debt Repayment,- -,- -,- -,- -,-4819,- -,-36616,-5000,- -,-2532,-1885,-2460,-36689,-25244,800
91,Common Stock Issued,- -,46500,- -,- -,- -,- -,- -,- -,202500,332000,191000,249000,76430,588044,1019014
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,58800,7680,425,22231,- -,- -,36002,- -,168840,76000,155721,245000,275000,331479,-202432
95,Cash Used/Provided by Financing Activities,58800,54180,425,22231,-4819,- -,-614,-5000,371340,405468,344836,491540,314741,894279,817382
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,58800,-53428,-370,- -,85610,-52965,-22498,-9619,-711,19727,-21881,22368,4027,225752,-158090
98,Cash at the End of Period,53799,371,1,1,87976,35011,12513,2894,2183,21910,29,32570,36597,262349,104259
99,Cash at the Beginning of Period,- -,53799,371,1,2366,87976,35011,12513,2894,2183,21910,10202,32570,36597,262349
100,Free Cash Flow,-5001,-107608,-795,-22231,90429,-52965,-21884,-59619,-372050,-385741,-366717,-469172,-310714,-668527,-979487
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1419051/000109690608000720/0001096906-08-000720-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419051/000107878213000576/0001078782-13-000576-index.html,https://www.sec.gov/Archives/edgar/data/1419051/000107878216002693/0001078782-16-002693-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878216002992/0001078782-16-002992-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878216003690/0001078782-16-003690-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878217000832/0001078782-17-000832-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878218000437/0001078782-18-000437-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878219000334/0001078782-19-000334-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878220000363/0001078782-20-000363-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000107878221000328/0001078782-21-000328-index.htm,https://www.sec.gov/Archives/edgar/data/1419051/000149315222008511/0001493152-22-008511-index.htm
102,false,,,,,,,,,,,,,,,
