,https://roic.ai/company/THMG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,- -,0.01,0.00,- -,0.00,-0.01,-0.01,-0.01,-0.01,-0.01,0.20,-0.02,-0.04,-0.08,-0.04,-0.08,-0.01,0.01,0.00,-0.01,-0.02,-0.02,-0.01,-0.01,0.02,0.02,-0.01
27,Weighted Average Shares Outstanding,- -,10457554,9727852,- -,9727852,9727852,9727852,9727852,9727852,9727852,9088310,8056394,10665585,13314328,15455139,21735690,27739099,29950658,30673690,35369494,43488097,51375312,54868182,57208045,59042839,60145579,60145579
28,Weighted Average Shares Outstanding Diluted,- -,10457554,9727852,- -,9727852,9727852,9727852,9727852,9727852,9727852,9130684,8056394,10665585,13314328,15455139,21735690,27739099,29950658,30673690,35369494,43488097,51375312,54868182,57208045,59329735,61690547,61690547
29,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711034/000105291807000085/0001052918-07-000085-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291808000148/0001052918-08-000148-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291809000164/0001052918-09-000164-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291810000098/0001052918-10-000098-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291811000122/0001052918-11-000122-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291812000194/0001052918-12-000194-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291813000107/0001052918-13-000107-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291814000093/0001052918-14-000093-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291815000107/0001052918-15-000107-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291816000922/0001052918-16-000922-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291817000172/0001052918-17-000172-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291818000090/0001052918-18-000090-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291819000067/0001052918-19-000067-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291820000055/0001052918-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291821000091/0001052918-21-000091-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000106299322008328/0001062993-22-008328-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,140000,140000,80000,40000,10000,10000,- -,10000,- -,1740000,1060000,500000,200000,270000,300000,83,170000,40000,31990,12140,108180,36450,3710,252420,274155,1156622
32,Short-Term Investments,- -,680000,520000,450000,510000,230000,80000,40000,- -,20000,- -,- -,1565,36,- -,- -,- -,479477,479477,479477,479477,- -,- -,- -,1735830,3018634,- -
33,Cash and Short-Term Investments,- -,820000,660000,530000,550000,240000,90000,40000,10000,20000,1740000,1060000,501565,200036,270000,300000,83,649477,519477,511467,491617,108180,36450,3710,1988250,3292789,1156622
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,-10000,-1565,39964,60000,20000,109917,-429477,-469477,-463547,-451917,33910,28480,29430,-1717010,-2998506,18390
37,Total Current Assets,- -,820000,660000,530000,550000,240000,90000,40000,10000,20000,1780000,1160000,700000,240000,330000,320000,110000,220000,50000,47920,39700,142090,64930,33140,271240,294283,1175012
38,PP&E,- -,270000,260000,260000,240000,240000,- -,- -,- -,- -,40000,30000,410000,440000,440000,440000,450000,109,- -,- -,- -,978730,866460,818030,322870,285287,282438
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36,- -,- -,- -,479477,479477,479477,479477,- -,- -,- -,1735830,3018634,1520684
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,10000,10000,- -,-36,- -,170000,50000,414,523,3,3,- -,-10,- -,- -,-3018634,- -
45,Total Non-Current Assets,- -,270000,260000,260000,230000,240000,- -,- -,- -,- -,50000,40000,410000,440000,440000,610000,500000,480000,480000,479480,479480,978730,866450,818030,2058700,285287,1803122
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1090000,920000,790000,780000,480000,90000,40000,10000,20000,1830000,1200000,1110000,680000,770000,930000,610000,700000,530000,527400,519180,1120820,931380,851170,2329940,579570,2978134
48,Accounts Payable,- -,- -,- -,- -,- -,- -,10000,60000,100000,180000,30000,10000,20000,70000,70000,50000,275869,56765,70688,77775,178786,86813,92311,138092,96973,60410,11495
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82300,- -,139786,- -,25000,38435,171076,126576,217688,126576,121841,107908,66768
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91283,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,40000,20000,40000,30000,20000,- -,- -,- -,- -,500000,- -,- -,- -,17700,- -,-46938,3235,4312,- -,397038,767541,1089761,1335972,1410066,1355100,1324549
53,Total Current Liabilities,- -,40000,20000,40000,30000,20000,10000,60000,100000,180000,530000,10000,20000,70000,170000,50000,460000,60000,100000,116210,746900,980930,1399760,1600640,1628880,1523418,1402812
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1590000,510000,500000,- -,- -,- -,243700,239110,238700,240060,- -,65000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1590000,510000,500000,- -,- -,- -,243700,239110,238700,240060,- -,65000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16625,1332,- -
61,Total Liabilities,- -,40000,20000,40000,30000,20000,10000,60000,100000,180000,530000,10000,20000,70000,170000,1640000,970000,560000,100000,116210,746900,1224630,1638870,1839340,1868940,1588418,1467812
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,490000,490000,490000,490000,490000,490000,490000,490000,490000,490000,400000,600000,20000,20000,30000,30000,30000,30000,40170,44170,54680,55100,57650,60150,60146,60856
64,Retained Earnings,- -,-40000,-20000,-150000,-110000,-210000,-590000,-660000,-800000,-900000,940000,490000,100000,-950000,-1510000,-3160000,-3460000,-3140000,-3000000,-3423850,-4441490,-5484810,-6195920,-6833610,-5751530,- -,-5106642
65,Other Comprehensive Income/Loss,- -,-260000,-260000,-270000,-260000,-240000,-10000,-72642,-10000,16712,485,485,485,-212793,-1298380,-2949902,-3248300,-2927157,-2791366,- -,- -,-15050,-75960,-124380,- -,- -,- -
66,Other Total Stockholders Equity,- -,860000,690000,670000,640000,420000,190000,225421,233300,231374,-137875,298736,392761,1744621,3387114,5372653,6316791,6171791,6193754,3794865,4169596,5341368,5509291,5912164,6152375,1777270,6382406
67,Total Stockholders Equity,- -,1050000,900000,740000,760000,460000,80000,-17221,-86700,-161914,1292610,1189221,1093246,601828,598734,-707249,-361509,134634,432388,411185,-227724,-103812,-707489,-988176,460995,1837416,1336620
68,Total Liabilities And Stockholders Equity,- -,1090000,920000,780000,790000,480000,90000,42779,13300,18086,1822610,1199221,1113246,671828,768734,932751,608491,694634,532388,527395,519176,1120818,931381,851164,2329935,3425834,2804432
69,Minority Interest,- -,- -,- -,10000,-10000,- -,- -,-2779,-3300,1914,7390,779,-3246,8172,1266,-2751,1509,5366,-2388,5,4,2,-1,6,5,-2846264,173702
70,Total Liabilities & Equity,- -,1090000,920000,790000,780000,480000,90000,40000,10000,20000,1830000,1200000,1110000,680000,770000,930000,610000,700000,530000,527400,519180,1120820,931380,851170,2329940,579570,2978134
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711034/000105291807000085/0001052918-07-000085-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291808000148/0001052918-08-000148-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291809000164/0001052918-09-000164-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291810000098/0001052918-10-000098-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291811000122/0001052918-11-000122-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291812000194/0001052918-12-000194-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291813000107/0001052918-13-000107-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291814000093/0001052918-14-000093-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291815000107/0001052918-15-000107-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291816000922/0001052918-16-000922-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291817000172/0001052918-17-000172-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291818000090/0001052918-18-000090-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291819000067/0001052918-19-000067-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291820000055/0001052918-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291821000091/0001052918-21-000091-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000106299322008328/0001062993-22-008328-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,30000,83029,17250,-130000,37050,-102602,-121782,-94339,-90866,-91926,1856493,-171879000,-392709000,-1047983000,-560944000,-1651522000,-298397,321143000,135791,-419695,-1017640,-1038317,-711120,-637690,1082080,1221681,-571796
74,Depreciation and Amortization,- -,4470,6757,10000,4145,1830,114,69,69,33,9887,10099,67115,20021,22315,12427,12258,8557,109,110,11565,15047,70251,48425,32310,20956,2849
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,- -,612945,-5000,89038,- -,- -,- -,- -,- -,117088,159740,- -
77,Change in Working Capital,- -,780000,-140000,-150000,30000,-300000,-140000,-100000,-70000,-70000,1410000,-100000,-470000,-510000,-10000,110000,-620000,510000,-210000,-18290,-638910,-131640,-495990,-232670,209860,128505,-42263
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57786,-19249,-13408,223252,- -,- -,- -,164627,- -,5498,45781,-31119,-36563,-13449
81,Other Working Capital,- -,780000,640000,490000,520000,220000,80000,-20000,-90000,-160000,1250000,1150000,680000,170000,160000,270000,-350000,160000,-50000,-68290,-707200,-838840,-1334830,-1567500,-1357640,-1229135,-2197
82,Other Non-Cash Items,- -,-806504,119415,160000,-152155,236669,155450,163596,143077,152400,-3517074,171286787,392765563,1047687660,560409689,1650272431,-340344,-322464235,-249061,41985,1317676,599451,888579,541612,-1757633,-1802142,353394
83,Cash Provided by Operating Activities,30000,60995,3422,-110000,-80960,-164103,-106218,-30674,-17720,-9493,-240694,-682114,-346322,-785319,-519496,-1127142,-633538,-807678,-234123,-395890,-327309,-555459,-248280,-280323,-316295,-271260,-257816
84,CAPEX,-20000,-25543,- -,- -,-594,- -,- -,- -,- -,- -,-49435,-2332,-391628,-33325,-29530,-10900,-26150,-35900,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2923888,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-51806,-7087,- -,-204885,-14019,-18622,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,244950,142481,122516,26098,28718,- -,16712,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-10000,42500,- -,50000,- -,7000,- -,- -,- -,- -,5500000,- -,- -,- -,- -,- -,- -,5000,5000,- -,- -,- -,41000,- -,350000,250000,1149557
89,Cash Used for Investing Activites,-30000,-34849,-7087,50000,39471,135462,103894,26098,28718,- -,2543389,-2332,-391628,-33325,-29530,-10900,-26150,-30900,5000,- -,- -,- -,41000,- -,350000,250000,1149557
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53200,-172300,-5000,-150000,- -,-25000,- -,-17500,- -,- -,-70000,- -,-39808
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182800,522000,75000,1251867,216539,150000,43500,367000,250000,644000,- -,252988,250000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-376705,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-50,- -,- -,- -,- -,- -,- -,- -,-188821,- -,- -,- -,590300,90500,150000,1005000,55000,50000,57460,25000,135550,-5409,35000,43000,30534
95,Cash Used/Provided by Financing Activities,- -,- -,-50,- -,- -,- -,- -,- -,- -,- -,-565526,- -,182800,522000,612100,1170067,361539,1005000,98500,392000,307460,651500,135550,247579,215000,43000,-9274
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,26146,-3715,-60000,-41489,-28641,-2324,-4576,10998,-9493,1737169,-684446,-555150,-296644,63074,32025,-298149,166422,-130623,-3890,-19849,96041,-71730,-32744,248705,21740,882467
98,Cash at the End of Period,13710,140792,137077,80000,36240,7599,5275,699,11697,2204,1739373,1054927,499777,203133,266207,298232,83,166505,35882,31992,12143,108184,36454,3710,252415,274155,1156622
99,Cash at the Beginning of Period,3710,114646,140792,140000,77729,36240,7599,5275,699,11697,2204,1739373,1054927,499777,203133,266207,298232,83,166505,35882,31992,12143,108184,36454,3710,252415,274155
100,Free Cash Flow,10000,35452,3422,-110000,-81554,-164103,-106218,-30674,-17720,-9493,-290129,-684446,-737950,-818644,-549026,-1138042,-659688,-843578,-234123,-395890,-327309,-555459,-248280,-280323,-316295,-271260,-257816
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711034/000105291807000085/0001052918-07-000085-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291808000148/0001052918-08-000148-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291809000164/0001052918-09-000164-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291810000098/0001052918-10-000098-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291811000122/0001052918-11-000122-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291812000194/0001052918-12-000194-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291813000107/0001052918-13-000107-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291814000093/0001052918-14-000093-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291815000107/0001052918-15-000107-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291816000922/0001052918-16-000922-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291817000172/0001052918-17-000172-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291818000090/0001052918-18-000090-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291819000067/0001052918-19-000067-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291820000055/0001052918-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000105291821000091/0001052918-21-000091-index.htm,https://www.sec.gov/Archives/edgar/data/711034/000106299322008328/0001062993-22-008328-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
