,https://roic.ai/company/AMSWA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,1700000,1000000,1500000,3500000,1900000,2900000,900000,1300000,1200000,-78000,1000,1000,1000,720000,1500000,1400000,1300000,1100000,900000,1229000,1346000,2557000,2875000,2092000,1524000,- -
14,Depreciation and Amortization,1600000,1800000,2000000,2600000,4400000,5400000,7300000,8800000,12200000,11700000,12200000,8113000,10072000,9580000,10034000,11377000,7118000,5294000,5572000,4433000,3526000,4137000,4013000,3484000,2160000,3922000,4302000,4153000,2605000,5833000,5618000,6640000,6030000,7719000,8103000,5610000
15,EBITDA,11600000,17300000,18600000,25600000,32900000,32100000,35200000,15500000,500000,2300000,1100000,12513000,23972000,-21520000,10934000,-10723000,26718000,14194000,12554000,6032000,8522000,12531000,10510000,4804000,9355000,12718000,22830000,20767000,19371000,17464000,21664000,30812000,24620000,17452000,16425000,14458000
16,EBITDA ratio,0.3029,0.3704,0.3432,0.3575,0.3611,0.3150,0.3112,0.1451,0.0053,0.0289,0.0142,0.1477,0.2230,-0.1971,0.1036,-0.1209,0.4136,0.2394,0.2295,0.0935,0.1113,0.1485,0.1181,0.0616,0.1242,0.1486,0.2225,0.2066,0.1926,0.1698,0.1902,0.2899,0.2185,0.1605,0.1422,0.1298
17,Operating Income,7700000,13700000,14000000,19700000,24200000,22000000,23200000,3200000,-14200000,-13500000,-15300000,1681000,8652000,-37998000,-2826000,-26340000,5148000,4522000,3990000,2547000,6008000,10029000,8095000,7190000,7299000,9193000,16168000,13784000,14525000,9342000,13527000,7766000,13531000,5276000,6048000,4361000
18,Operating Income ratio,0.2010,0.2934,0.2583,0.2751,0.2656,0.2159,0.2051,0.0300,-0.1507,-0.1698,-0.1972,0.0198,0.0805,-0.3480,-0.0268,-0.2970,0.0797,0.0763,0.0729,0.0395,0.0784,0.1188,0.0910,0.0922,0.0969,0.1074,0.1576,0.1372,0.1444,0.0908,0.1188,0.0731,0.1201,0.0485,0.0524,0.0391
19,Total Other Income Expenses (Gains),2300000,1800000,2600000,3300000,4300000,4700000,4700000,3500000,2500000,2200000,2500000,1719000,3748000,3398000,1726000,1340000,2052000,1278000,2010000,2253000,3592000,4671000,3205000,-1090000,1901000,1907000,1132000,1716000,1375000,1060000,1173000,13849000,2184000,2365000,750000,4487000
20,Income Before Tax,10000000,15500000,16600000,23000000,28500000,26700000,27900000,6700000,-11700000,-11300000,-12800000,3400000,12400000,-34600000,-1100000,-25000000,7200000,5800000,6000000,4800000,9600000,14700000,11300000,6100000,9200000,11100000,17300000,15500000,15900000,10402000,14700000,21615000,15715000,7641000,6798000,8848000
21,Income Before Tax Ratio,0.2611,0.3319,0.3063,0.3212,0.3128,0.2620,0.2467,0.0627,-0.1242,-0.1421,-0.1649,0.0401,0.1153,-0.3168,-0.0104,-0.2818,0.1115,0.0978,0.1097,0.0744,0.1253,0.1742,0.1270,0.0782,0.1222,0.1297,0.1686,0.1542,0.1581,0.1011,0.1291,0.2034,0.1394,0.0703,0.0589,0.0794
22,Income Tax expense (Gain),4100000,6700000,6300000,8500000,9900000,9200000,9300000,1600000,-5100000,-4700000,-3000000,1100000,4600000,-1800000,200000,-2400000,- -,- -,82000,-1623000,-5000,-7000,-4000,-2400000,-5000,-4000,5928000,5114000,5566000,2274000,4458000,6994000,3662000,838000,56000,759000
23,Net Income,5900000,8800000,10300000,14500000,18600000,17500000,18600000,5100000,-6600000,-6700000,-9800000,2300000,7800000,-32800000,-1200000,-22600000,18700000,7600000,5700000,3300000,5000000,8400000,6500000,3000000,5700000,7400000,11300000,10400000,10300000,8128000,10242000,14621000,12053000,6803000,6742000,8089000
24,Net Income ratio,0.1540,0.1884,0.1900,0.2025,0.2042,0.1717,0.1645,0.0478,-0.0701,-0.0843,-0.1263,0.0272,0.0726,-0.3004,-0.0114,-0.2548,0.2895,0.1282,0.1042,0.0512,0.0653,0.0995,0.0730,0.0385,0.0757,0.0864,0.1101,0.1035,0.1024,0.0790,0.0899,0.1376,0.1069,0.0626,0.0584,0.0726
25,EPS,0.26,0.38,0.45,0.64,0.82,0.75,0.80,0.23,-0.30,-0.30,-0.44,0.10,0.34,-1.48,-0.06,-0.99,0.82,0.34,0.25,0.14,0.21,0.34,0.26,0.12,0.23,0.29,0.43,0.38,0.37,0.29,0.36,0.50,0.40,0.22,0.21,0.25
26,EPS Diluted,0.26,0.38,0.45,0.64,0.82,0.75,0.80,0.23,-0.30,-0.30,-0.44,0.10,0.32,-1.48,-0.06,-0.99,0.82,0.33,0.23,0.13,0.20,0.33,0.25,0.12,0.22,0.28,0.42,0.38,0.37,0.28,0.35,0.49,0.40,0.22,0.21,0.24
27,Weighted Average Shares Outstanding,22692308,23157895,22888889,22656250,22682927,23333333,23250000,22173913,22000000,22317899,22261782,23355094,22667283,22230656,21721636,22730101,22773128,22411000,22851000,23734000,24086000,24616000,25423000,25327000,25318000,25751000,26455000,27173000,27636000,28283000,28727000,29232000,30080000,30950000,31747000,32559000
28,Weighted Average Shares Outstanding Diluted,22692308,23157895,22888889,22656250,22682927,23333333,23250000,22173913,22000000,22317899,26666667,23887307,24414515,22230656,21721636,22730101,22910880,23132000,24640000,24474000,25099000,25761000,26547000,25756000,25881000,26183000,27098000,27629000,28111000,28614000,29005000,29567000,30472000,31378000,32367000,33169000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/713425/000093176395000116/0000931763-95-000116-index.html,https://www.sec.gov/Archives/edgar/data/713425/000095010996004710/0000950109-96-004710-index.html,https://www.sec.gov/Archives/edgar/data/713425/000093176397001218/0000931763-97-001218-index.html,- -,https://www.sec.gov/Archives/edgar/data/713425/000093176399002165/0000931763-99-002165-index.html,https://www.sec.gov/Archives/edgar/data/713425/000093176300001768/0000931763-00-001768-index.html,- -,https://www.sec.gov/Archives/edgar/data/713425/000093176302002541/0000931763-02-002541-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312503024760/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312504118173/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312505201867/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312506147073/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312507155732/0001193125-07-155732-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312508150516/0001193125-08-150516-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312509148771/0001193125-09-148771-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312510158807/0001193125-10-158807-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312511188351/0001193125-11-188351-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312512300790/0001193125-12-300790-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312513289120/0001193125-13-289120-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312514267720/0001193125-14-267720-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312515250260/0001193125-15-250260-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312516648270/d165679d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312517228535/0001193125-17-228535-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312518217611/0001193125-18-217611-index.html,https://www.sec.gov/Archives/edgar/data/713425/000162828019008742/0001628280-19-008742-index.html,https://www.sec.gov/Archives/edgar/data/713425/000162828020010300/0001628280-20-010300-index.htm,https://www.sec.gov/Archives/edgar/data/713425/000162828021013701/0001628280-21-013701-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25300000,37400000,43800000,3700000,1700000,1400000,3900000,1300000,2200000,1200000,1900000,3400000,2200000,21600000,12900000,10100000,31400000,30700000,37500000,31100000,29400000,45600000,59200000,37600000,21700000,23900000,39100000,41200000,55800000,44655000,49004000,66001000,52794000,61288000,79814000,88658000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,31300000,24200000,21000000,58100000,27300000,21500000,15100000,20400000,29000000,28300000,24900000,32700000,27100000,16900000,16400000,16300000,20600000,20300000,18600000,14800000,17584000,20957000,19332000,26121000,24710000,14161000,16006000
33,Cash and Short-Term Investments,25300000,37400000,43800000,3700000,1700000,1400000,3900000,1300000,2200000,32500000,26100000,24400000,60300000,48900000,34400000,25200000,51800000,59700000,65800000,56000000,62100000,72700000,76100000,54000000,38000000,44500000,59400000,59800000,70600000,62239000,69961000,85333000,78915000,85998000,93975000,104664000
34,Net Receivables,11700000,15600000,16000000,19400000,25500000,21900000,31800000,29100000,19900000,24700000,16100000,20200000,28500000,21100000,20400000,15600000,11700000,10600000,9600000,12500000,15800000,16300000,15900000,13200000,11100000,18600000,19800000,16900000,18700000,19603000,20548000,19871000,22018000,20294000,25007000,26639000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2100000,800000,1000000,48000000,54800000,65100000,61900000,57000000,50200000,4800000,3900000,3700000,3300000,3000000,4000000,2900000,1200000,1100000,900000,2300000,2600000,2700000,3000000,3200000,3400000,3000000,3200000,3100000,4000000,3748000,3586000,4322000,6592000,6210000,6684000,5320000
37,Total Current Assets,39100000,53800000,60800000,71100000,82000000,88400000,97600000,87400000,72300000,62000000,46100000,48300000,92100000,73000000,58800000,43700000,64700000,71400000,76300000,70800000,80500000,91700000,95000000,70400000,52500000,66100000,82400000,79800000,93300000,85590000,94095000,109526000,107525000,112502000,125666000,136623000
38,PP&E,11600000,11400000,10600000,15800000,16700000,18100000,17800000,17400000,17500000,18100000,17600000,17400000,17200000,16500000,18600000,16800000,10200000,8900000,7600000,8000000,7700000,7100000,6900000,7200000,6500000,5700000,4900000,4500000,3700000,3548000,3396000,2055000,3034000,3585000,5426000,4882000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,6400000,7000000,7700000,4300000,4300000,10300000,11100000,11200000,11900000,11700000,12600000,12600000,12600000,12600000,13800000,18749000,18749000,19549000,25888000,25888000,25888000,25888000
40,Intangible Assets,- -,2600000,5400000,- -,- -,- -,- -,- -,- -,25800000,24200000,29000000,31200000,11300000,17000000,6900000,4400000,7300000,7100000,8800000,8600000,7600000,6200000,5800000,9600000,9400000,9100000,9400000,11300000,12563000,10998000,12013000,14848000,13795000,9494000,5127000
41,Intangible Assets,- -,2600000,5400000,- -,- -,- -,- -,- -,- -,25800000,24200000,29000000,31200000,16300000,23400000,13900000,12100000,11600000,11400000,19100000,19700000,18800000,18100000,17500000,22200000,22000000,21700000,22000000,25100000,31312000,29747000,31562000,40736000,39683000,35382000,31015000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,5900000,5400000,- -,- -,- -,- -,- -,- -,17094000,15849000,10844000,7508000,6658000,8975000,13156000,7924000,4455000,8893000,2484000,701000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,2000000,3100000,6300000,1300000,2000000,1300000,- -,- -,- -,- -,900000,1700000,1200000,1200000,1500000,1400000,1200000,1100000,1900000,995000,1319000,1994000,2615000,3514000,2897000,- -
44,Other Non-Current Assets,300000,100000,100000,8100000,11000000,15600000,20300000,26700000,27800000,-6300000,900000,-700000,-4100000,300000,300000,500000,1800000,2400000,1900000,6400000,1100000,-1500000,-1000000,-1094000,-1349000,-1244000,-1108000,-958000,-1775000,-335000,243000,-818000,162000,-458000,1221000,4637000
45,Total Non-Current Assets,11900000,14100000,16100000,23900000,27700000,33700000,38100000,44100000,45300000,45800000,44700000,48800000,50600000,34400000,54200000,38400000,29500000,22900000,20900000,33500000,29400000,26100000,25200000,41900000,44700000,38700000,34200000,33300000,37900000,48676000,42629000,39248000,55440000,48808000,45627000,40534000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,51000000,67900000,76900000,95000000,109700000,122100000,135700000,131500000,117600000,107800000,90800000,97100000,142700000,107400000,113000000,82100000,94200000,94300000,97200000,104300000,109900000,117800000,120200000,112300000,97200000,104800000,116600000,113100000,131200000,134266000,136724000,148774000,162965000,161310000,171293000,177157000
48,Accounts Payable,- -,- -,- -,6700000,4200000,4200000,4200000,4300000,4400000,5100000,4900000,5200000,3000000,3400000,3500000,2700000,1800000,400000,700000,1300000,900000,1100000,1600000,800000,1000000,1000000,1000000,1200000,1400000,920000,1280000,1541000,1974000,2448000,1643000,1732000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1493000,1587000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,763000,739000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,701000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10573000,10180000,10059000,-1150000,-1150000,911000,640000,246000,63000,77000,34000,21291000,23638000,28511000,27999000,29437000,33226000,33283000,34227000,37142000
52,Other Current Liabilities,8600000,15600000,18200000,19600000,19500000,23200000,20200000,21200000,21600000,20500000,19600000,21600000,26200000,29600000,30607000,23813000,11127000,6620000,5541000,22450000,25750000,26289000,24660000,23854000,22337000,28323000,31266000,6309000,9462000,9819000,10015000,11759000,10923000,7370000,10825000,11051000
53,Total Current Liabilities,8600000,15600000,18200000,26300000,23700000,27400000,24400000,25500000,26000000,25600000,24500000,26800000,29200000,33000000,35600000,28100000,23500000,17200000,16300000,22600000,25500000,28300000,26900000,24900000,23400000,29400000,32300000,28800000,34500000,39250000,39294000,42737000,46123000,43101000,47458000,50664000
54,Long-Term Debt,- -,- -,- -,- -,- -,300000,300000,- -,- -,- -,- -,- -,- -,1000000,900000,1000000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,821000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,670000,290000,612000,214000,147000,- -,- -,- -
56,Deferred Tax Liabilities,700000,2200000,3400000,3100000,3400000,4000000,5100000,8000000,7400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,870000,- -,- -,- -,- -,- -,1240000,1066000,1936000,995000,1319000,1994000,2615000,3514000,2897000,2627000
57,Other Non-Current Liabilities,- -,100000,- -,- -,- -,-100000,200000,- -,-100000,8200000,2000000,3200000,12900000,6200000,6800000,5100000,4100000,4200000,4500000,4000000,4130000,6800000,6800000,7600000,1500000,1400000,-40000,-66000,1594000,805000,605000,79000,1496000,88000,1516000,654000
58,Total Non-Current Liabilities,700000,2300000,3400000,3100000,3400000,4200000,5600000,8000000,7300000,8200000,2000000,3200000,12900000,7200000,7700000,6100000,4300000,4200000,4500000,4000000,5000000,6800000,6800000,7600000,1500000,1400000,1200000,1000000,4200000,2090000,2536000,2287000,4258000,3602000,4413000,4102000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2187000,1560000
61,Total Liabilities,9300000,17900000,21600000,29400000,27100000,31600000,30000000,33500000,33300000,33800000,26500000,30000000,42100000,40200000,43300000,34200000,27800000,21400000,20800000,26600000,30500000,35100000,33700000,32500000,24900000,30800000,33500000,29800000,38700000,41340000,41830000,45024000,50381000,46703000,51871000,54766000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2400000,2400000,2400000,2400000,2600000,2600000,2600000,2600000,2700000,2800000,2800000,2900000,2900000,3000000,3000000,3000000,3100000,3200000,3300000,3316000,3346000,3421000,3519000,3580000,3682000,3745000
64,Retained Earnings,20400000,28100000,34100000,43500000,57500000,66300000,78700000,76800000,63100000,52800000,43100000,45400000,53200000,20400000,19200000,-3400000,15300000,22900000,23000000,19700000,17900000,18700000,17700000,11600000,8200000,6300000,8000000,5400000,7400000,4159000,2897000,4608000,3366000,-1729000,-9013000,-15287000
65,Other Comprehensive Income/Loss,-3300000,-5200000,-7200000,-9100000,-11500000,-14400000,-16700000,-14400000,-16900000,-19300000,-21800000,-24200000,-26600000,400000,400000,400000,400000,236000,236000,139000,136000,67000,67000,- -,-26200000,-27400000,-28600000,-29500000,-30500000,-31632000,-32437000,-28153000,-28644000,-29327000,-29959000,- -
66,Other Total Stockholders Equity,24600000,27100000,28400000,31200000,36600000,38600000,43700000,35600000,38100000,38100000,40600000,43552000,78246000,48949000,52352000,52085000,52212000,47242000,50517000,55138000,58536000,61064000,65828000,65239000,87280000,92156000,100530000,104144000,112360000,117083000,121088000,123874000,134343000,142083000,154712000,133933000
67,Total Stockholders Equity,41700000,50000000,55300000,65600000,82600000,90500000,105700000,98000000,84300000,74000000,64300000,67152000,107246000,72149000,74552000,51685000,70512000,72978000,76453000,77777000,79372000,82731000,86495000,79839000,72280000,74056000,83030000,83244000,92560000,92926000,94894000,103750000,112584000,114607000,119422000,122391000
68,Total Liabilities And Stockholders Equity,51000000,67900000,76900000,95000000,109700000,122100000,135700000,131500000,117600000,107800000,90800000,97152000,149346000,112349000,117852000,85885000,98312000,94378000,97253000,104377000,109872000,117831000,120195000,112339000,97180000,104856000,116530000,113044000,131260000,134266000,136724000,148774000,162965000,161310000,171293000,177157000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52000,-6646000,-4949000,-4852000,-3785000,-4112000,-78000,-53000,-77000,28000,-31000,5000,-39000,20000,-56000,70000,56000,-60000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,51000000,67900000,76900000,95000000,109700000,122100000,135700000,131500000,117600000,107800000,90800000,97100000,142700000,107400000,113000000,82100000,94200000,94300000,97200000,104300000,109900000,117800000,120200000,112300000,97200000,104800000,116600000,113100000,131200000,134266000,136724000,148774000,162965000,161310000,171293000,177157000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/713425/000093176395000116/0000931763-95-000116-index.html,https://www.sec.gov/Archives/edgar/data/713425/000095010996004710/0000950109-96-004710-index.html,https://www.sec.gov/Archives/edgar/data/713425/000093176397001218/0000931763-97-001218-index.html,- -,https://www.sec.gov/Archives/edgar/data/713425/000093176399002165/0000931763-99-002165-index.html,https://www.sec.gov/Archives/edgar/data/713425/000093176300001768/0000931763-00-001768-index.html,- -,https://www.sec.gov/Archives/edgar/data/713425/000093176302002541/0000931763-02-002541-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312503024760/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312504118173/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312505201867/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312506147073/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312507155732/0001193125-07-155732-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312508150516/0001193125-08-150516-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312509148771/0001193125-09-148771-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312510158807/0001193125-10-158807-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312511188351/0001193125-11-188351-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312512300790/0001193125-12-300790-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312513289120/0001193125-13-289120-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312514267720/0001193125-14-267720-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312515250260/0001193125-15-250260-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312516648270/d165679d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312517228535/0001193125-17-228535-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312518217611/0001193125-18-217611-index.html,https://www.sec.gov/Archives/edgar/data/713425/000162828019008742/0001628280-19-008742-index.html,https://www.sec.gov/Archives/edgar/data/713425/000162828020010300/0001628280-20-010300-index.htm,https://www.sec.gov/Archives/edgar/data/713425/000162828021013701/0001628280-21-013701-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,14500000,18600000,17500000,18600000,5100000,-6600000,-6700000,-9800000,2300000,7800000,-32800000,-1200000,-22600000,18700000,7600000,5700000,3300000,5000000,8400000,6500000,3000000,5700000,7400000,11300000,10400000,10300000,8128000,10242000,14621000,12053000,6803000,6742000,8089000
74,Depreciation and Amortization,- -,- -,- -,2600000,4400000,5400000,7300000,8800000,12200000,11700000,12200000,8113000,10072000,9580000,10034000,11377000,7118000,5294000,5572000,4433000,3526000,4137000,4013000,3484000,2160000,3922000,4302000,4153000,2605000,5833000,5618000,6640000,6030000,7719000,8103000,5610000
75,Deferred Income Tax,- -,- -,- -,-700000,-1100000,900000,2400000,600000,-600000,1000000,-6100000,1093000,4298000,-5437000,- -,- -,- -,- -,- -,1585000,174000,1987000,-1025000,-859000,626000,-245000,789000,325000,1571000,-303000,-312000,675000,621000,320000,-609000,-270000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,807000,1036000,985000,1287000,1476000,1509000,1530000,1593000,1428000,1467000,1751000,2027000,2546000
77,Change in Working Capital,- -,- -,- -,5500000,13500000,2700000,12200000,-11300000,-15600000,-9900000,-14800000,-100000,41400000,-22900000,-16800000,-7600000,25600000,13000000,5800000,-11800000,6800000,8400000,4700000,-22600000,-16400000,7600000,13400000,900000,7800000,-12460000,8461000,11988000,-5387000,7999000,8807000,2926000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2645000,2458000,-7420000,-1252000,2892000,-1609000,-400000,-945000,1187000,-1774000,2165000,-4712000,-1632000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3271000,1465000,-1870000,1155000,1185000,-1807000,-3611000,2692000,799000
