,https://roic.ai/company/GTEC,2018,2019,2020,2021
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1735041/000161577419003176/0001615774-19-003176-index.html,https://www.sec.gov/Archives/edgar/data/1735041/000121390020008524/f10k2019_greenlandtech.htm,https://www.sec.gov/Archives/edgar/data/1735041/000121390021018961/0001213900-21-018961-index.htm,https://www.sec.gov/Archives/edgar/data/1735041/000121390022016786/0001213900-22-016786-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-66780,4464560,6758502,- -
74,Depreciation and Amortization,1581469,2298183,2435215,- -
75,Deferred Income Tax,-76955,55357,370033,- -
76,Stock Based Compensation,- -,- -,- -,- -
77,Change in Working Capital,-5506670,23548420,4588709,25007080
78,Accounts Receivable,-2737279,-2131986,486793,- -
79,Inventory,-4143729,2230666,-4329801,- -
80,Accounts Payable,709452,-16118,5940202,- -
81,Other Working Capital,697970,24246390,28835099,53842179
82,Other Non-Cash Items,7125038,-22367290,-11456889,-25007080
83,Cash Provided by Operating Activities,3056102,7999230,2695570,- -
84,CAPEX,-6687515,-2324879,- -,3570
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,709843,593159,-822769,-642550
89,Cash Used for Investing Activites,-5977672,-1600288,-822769,-638980
90,Debt Repayment,-24836158,-58390053,-29506622,-776108
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,-159612,- -,- -
94,Other Financing Activites,24678216,48905306,31813786,15239089
95,Cash Used/Provided by Financing Activities,-157942,-9644359,2307164,14462981
96,Effect of Forex Changes on Cash,160772,-5553,-494119,329778
97,Net Change In Cash,-2918740,-3250970,3685846,8397839
98,Cash at the End of Period,8968177,5717207,9403053,17800892
99,Cash at the Beginning of Period,11886917,8968177,5717207,9403053
100,Free Cash Flow,-3631413,5674351,2695570,3570
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1735041/000161577419003176/0001615774-19-003176-index.html,https://www.sec.gov/Archives/edgar/data/1735041/000121390020008524/f10k2019_greenlandtech.htm,https://www.sec.gov/Archives/edgar/data/1735041/000121390021018961/0001213900-21-018961-index.htm,https://www.sec.gov/Archives/edgar/data/1735041/000121390022016786/0001213900-22-016786-index.htm
102,false,,,,
