,https://roic.ai/company/IPTK,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390000,300000,96170,54950,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390000,300000,96170,54950,13737,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,10000,- -,10000,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,890000,700000,100000,630000,- -,- -,- -,- -,- -,10000,- -,10000,- -,390000,300000,96170,54950,13737,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,990000,740000,780000,630000,80000,200000,- -,10000,- -,10000,40000,30000,13660,459590,420190,136630,67110,22695,157601
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,150000,- -,- -,- -,- -,- -,- -,- -,- -,57604000,179267,4859
49,Short-Term Debt,- -,- -,- -,- -,2912,150903,- -,202480,61814,- -,- -,- -,- -,- -,- -,- -,39297,50400,119507,696873,716390,711043,84146
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16431,8685,2935,8235,1892,- -
52,Other Current Liabilities,- -,- -,- -,- -,417088,49097,370000,107520,408186,560000,260000,350000,540000,540000,540000,510000,504763,501429,518618,598632,-56740025,1417173,764886
53,Total Current Liabilities,- -,- -,- -,- -,420000,200000,370000,310000,470000,560000,410000,500000,540000,540000,540000,510000,544060,568260,646810,1298440,1588600,2309375,853891
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620956
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620956
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,420000,200000,370000,310000,470000,560000,410000,500000,540000,540000,540000,510000,544060,568260,646810,1298440,1588600,2309375,1474847
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,10000,10000,10000,10000,10000,10000,10000,10000,9090,13200,15840,16200,18210,18213,25515
64,Retained Earnings,- -,- -,- -,- -,-2850000,-4340000,-5040000,-6560000,-8030000,-8050000,-8280000,-8640000,-8870000,-8810000,-8870000,-8940000,-9094960,-9428690,-10299660,-11306530,-12059110,-12824290,-14195118
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-228167,-198122,-182723,-191301,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,3706282,5591530,5773353,7205534,7632647,7677474,7997995,8133852,8322703,8263639,8360585,8448623,8555471,9306812,10057201,10128518,10519404,10519397,12852357
67,Total Stockholders Equity,- -,- -,- -,- -,566282,541530,403353,325534,-387353,-362526,-272005,-496148,-537297,-536361,-499415,-481377,-530399,-108678,-226619,-1161812,-1521496,-2286680,-1317246
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,986282,741530,773353,635534,82647,197474,137995,3852,2703,3639,40585,28623,13661,459582,420191,136628,67104,22695,157601
69,Minority Interest,- -,- -,- -,- -,3718,-1530,6647,-5534,-2647,2526,-137995,6148,-2703,6361,-585,1377,-1,8,-1,2,6,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,990000,740000,780000,630000,80000,200000,- -,10000,- -,10000,40000,30000,13660,459590,420190,136630,67110,22695,157601
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067873/000139390513000536/0001393905-13-000536-index.html,https://www.sec.gov/Archives/edgar/data/1067873/000139390514000541/0001393905-14-000541-index.html,https://www.sec.gov/Archives/edgar/data/1067873/000139390515000528/0001393905-15-000528-index.html,https://www.sec.gov/Archives/edgar/data/1067873/000139390516001063/0001393905-16-001063-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1067873/000139390519000298/0001393905-19-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1067873/000139390520000023/0001393905-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1067873/000139390521000232/0001393905-21-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1067873/000139390521000451/0001393905-21-000451-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-335615,-484349,-484349,-408429,-895030,-1488562,-703489,-1517659,-762581,-25603,-226902,-193558,-47148,-120814,-63055,-68930,-153440,-333770,-872970,-1006870,-752580,-765184,-1370828
74,Depreciation and Amortization,128127,130296,130296,55695,20414,1731,2600,4944,2658,- -,- -,- -,- -,- -,- -,- -,4614,60000,90000,90000,41216,41216,13737
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6269,64420,93994,116458,9613,12837,- -,- -
77,Change in Working Capital,1534,- -,- -,- -,-320000,160000,470000,-620000,-80000,30000,-50000,-80000,-50000,- -,40000,10000,-40400,31730,-27950,-731360,-318460,-723977,1604127
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11414,-2024,8183,-55577,46138,-11963,11963,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5113,2404,-6121,-12188,12580,-3769,-792,42304,121663,405
81,Other Working Capital,- -,- -,- -,- -,-320000,-160000,310000,-310000,-390000,-360000,-410000,-490000,-540000,-540000,-500000,-490000,-530400,-498670,-526620,-1257980,-1576440,-2300417,-696290
82,Other Non-Cash Items,11429,41742,41742,103043,796286,814150,-302889,1398345,321048,-150547,258447,200550,52451,85363,-37096,-54668,73384,29552,105091,979578,663397,1115412,-664089
83,Cash Provided by Operating Activities,-194525,-312311,-312311,-249691,-398330,-512681,-533778,-734370,-518875,-146150,-18455,-73008,-44697,-35451,-60151,-107329,-51422,-118494,-589371,-659039,-353590,-332533,-417053
84,CAPEX,- -,-3402,-3402,-13575,-5048,-1253,-9602,- -,-250000,- -,- -,- -,- -,-4614,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,15453,- -,- -,- -,- -,6490,- -,451,100759,- -,- -,- -,- -,-4614,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,15453,-3402,-3402,-13575,-5048,5237,-9602,451,-149241,- -,- -,- -,- -,-4614,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,-32956,- -,- -,- -,- -,- -,- -,- -,- -,-299377,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5347,- -
91,Common Stock Issued,- -,394600,394600,2084,266295,435337,489951,526700,437817,45146,317423,78285,2500,- -,60000,80700,- -,171460,512541,65562,293808,346646,240696
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,113786,-7176,-40132,53175,116298,117848,155248,83139,235330,95660,- -,- -,36847,40008,39027,- -,39296,11104,69107,577365,19517,- -,325000
95,Cash Used/Provided by Financing Activities,113786,354468,354468,55259,382593,553185,645199,609839,673147,140806,18046,78285,39347,40008,99027,80700,39296,182564,581648,642927,313325,341299,565696
96,Effect of Forex Changes on Cash,1064,8863,8863,-15217,9391,-8607,-32537,18617,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,113786,47618,47618,-223224,-11394,37134,69282,-105463,5031,-5344,-409,5277,-5350,-57,38876,-26629,-12126,64070,-7723,-16112,-40265,8766,148643
98,Cash at the End of Period,- -,48718,48718,8482,-2912,34222,106416,953,5984,640,231,5508,158,101,38977,12348,222,64292,56569,40457,192,8958,157601
99,Cash at the Beginning of Period,- -,1100,1100,231706,8482,-2912,37134,106416,953,5984,640,231,5508,158,101,38977,12348,222,64292,56569,40457,192,8958
100,Free Cash Flow,-194525,-315713,-315713,-263266,-403378,-513934,-543380,-734370,-768875,-146150,-18455,-73008,-44697,-40065,-60151,-107329,-51422,-118494,-589371,-659039,-353590,-332533,-417053
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067873/000139390513000536/0001393905-13-000536-index.html,https://www.sec.gov/Archives/edgar/data/1067873/000139390514000541/0001393905-14-000541-index.html,https://www.sec.gov/Archives/edgar/data/1067873/000139390515000528/0001393905-15-000528-index.html,https://www.sec.gov/Archives/edgar/data/1067873/000139390516001063/0001393905-16-001063-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1067873/000139390519000298/0001393905-19-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1067873/000139390520000023/0001393905-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1067873/000139390521000232/0001393905-21-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1067873/000139390521000451/0001393905-21-000451-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
