,https://roic.ai/company/RNA,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,38000,600000,752000,850000
45,Total Non-Current Assets,740000,1231000,2220000,16439000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,3982000,96907000,333898000,427580000
48,Accounts Payable,1565000,2308000,7745000,- -
49,Short-Term Debt,2746000,2774000,2774000,3538000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,3840000,3690000,4864000
52,Other Current Liabilities,305000,1314000,378000,21256000
53,Total Current Liabilities,4616000,10236000,14587000,29658000
54,Long-Term Debt,7578000,1770000,- -,- -
55,Deferred Revenue,- -,15100000,12150000,6532000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,32917000,135158000,938000,9960000
58,Total Non-Current Liabilities,40495000,152028000,13088000,16492000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,393000,938000,- -
61,Total Liabilities,45111000,162264000,27675000,46150000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,426000,- -,4000,5000
64,Retained Earnings,-41555000,-22185000,-66540000,-184549000
65,Other Comprehensive Income/Loss,-1320000,-1643000,-5000,-187000
66,Other Total Stockholders Equity,1320000,- -,372764000,566161000
67,Total Stockholders Equity,-41129000,-65357000,306223000,381430000
68,Total Liabilities And Stockholders Equity,3982000,96907000,333898000,427580000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,3982000,96907000,333898000,427580000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1599901/000156459021013157/0001564590-21-013157-index.htm,https://www.sec.gov/Archives/edgar/data/1599901/000156459022008049/0001564590-22-008049-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-11216000,-24734000,-44355000,-118009000
74,Depreciation and Amortization,383000,348000,373000,639000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,60000,406000,4310000,17056000
77,Change in Working Capital,671000,86814000,231651000,64392000
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,- -,- -,5749000,6043000
81,Other Working Capital,-1374000,85440000,317091000,381483000
82,Other Non-Cash Items,447000,-60344000,-229096000,-58891000
83,Cash Provided by Operating Activities,-9655000,2490000,-37117000,-94813000
84,CAPEX,-49000,-235000,-1092000,-16000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-6693000,-85357000
87,Sales/Maturities of Investments,- -,- -,- -,6580000
88,Other Investing Activites,- -,- -,- -,-3724000
89,Cash Used for Investing Activites,-49000,-235000,-7785000,-82517000
90,Debt Repayment,- -,-2800000,-4683000,- -
91,Common Stock Issued,162000,65000,298080000,185939000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,-106000,- -,- -
94,Other Financing Activites,4982000,92074000,-21360000,-9623000
95,Cash Used/Provided by Financing Activities,5144000,89233000,272037000,176316000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-4560000,91488000,227135000,-1014000
98,Cash at the End of Period,3090000,94578000,321713000,320699000
99,Cash at the Beginning of Period,7650000,3090000,94578000,321713000
100,Free Cash Flow,-9704000,2255000,-38209000,-94829000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1599901/000156459021013157/0001564590-21-013157-index.htm,https://www.sec.gov/Archives/edgar/data/1599901/000156459022008049/0001564590-22-008049-index.htm
102,false,,,,
