,https://roic.ai/company/VTVT,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1089000,1384000,88003000,51505000,11758000,1683000,1777000,5747000,13415000
32,Short-Term Investments,69000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1158000,1384000,88003000,51505000,11758000,1683000,1777000,5747000,13415000
34,Net Receivables,215000,- -,69000,- -,8000000,- -,5000,158000,57000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1051000,227000,1114000,612000,604000,1790000,1056000,1310000,2149000
37,Total Current Assets,2424000,1611000,89186000,52117000,20362000,3473000,2838000,7215000,15621000
38,PP&E,5786000,3778000,624000,444000,283000,70000,1004000,849000,680000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,2480000,2480000,2480000,6725000,9173000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7294000,7562000,1722000,1934000,4792000,2536000,2944000,- -,- -
45,Total Non-Current Assets,13080000,11340000,2346000,2378000,7555000,5086000,6428000,7574000,9853000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15504000,12951000,91532000,54495000,27917000,8559000,9266000,14789000,25474000
48,Accounts Payable,4835000,2660000,4142000,3060000,2269000,2899000,2232000,1925000,- -
49,Short-Term Debt,80906000,155000,- -,- -,4271000,9383000,6282000,239000,440000
50,Tax Payable,137000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,219000,21000,8757000,1752000,31000,31000,- -
52,Other Current Liabilities,1843000,4049000,3365000,8353000,11632000,4803000,4836000,4195000,8058000
53,Total Current Liabilities,87584000,6864000,7726000,11434000,26929000,18837000,13381000,6390000,8498000
54,Long-Term Debt,2265000,36014000,- -,11058000,15316000,6330000,831000,676000,492000
55,Deferred Revenue,- -,- -,- -,- -,4497000,1067000,1033000,1009000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,229388000,468879000,161776000,122948000,132222000,65178000,43044000,86816000,1262000
58,Total Non-Current Liabilities,231653000,504893000,161776000,134006000,152035000,72575000,44908000,88501000,1754000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,941000,831000,- -
61,Total Liabilities,319237000,511757000,169502000,145440000,178964000,91412000,58289000,94891000,10252000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,329000,329000,329000,435000,641000,773000,901000
64,Retained Earnings,-303733000,-498806000,-195985000,-215486000,-279058000,-233883000,-233522000,-290036000,-248834000
65,Other Comprehensive Income/Loss,-14275000,-11836000,-11088000,-10454000,-9116000,-8431000,-148000,- -,- -
66,Other Total Stockholders Equity,14275000,11836000,128774000,134666000,136798000,159026000,184006000,209161000,238193000
67,Total Stockholders Equity,-303733000,-498806000,-77970000,-90945000,-151047000,-82853000,-49023000,-80102000,-9740000
68,Total Liabilities And Stockholders Equity,15504000,12951000,91532000,54495000,27917000,8559000,9266000,14789000,512000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,24962000
70,Total Liabilities & Equity,15504000,12951000,91532000,54495000,27917000,8559000,9266000,14789000,25474000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1641489/000156459016014035/0001564590-16-014035-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459017002317/0001564590-17-002317-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459018003515/0001564590-18-003515-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459019004516/0001564590-19-004516-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459020005627/0001564590-20-005627-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459021008149/0001564590-21-008149-index.htm,https://www.sec.gov/Archives/edgar/data/1641489/000156459022012258/0001564590-22-012258-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-48203000,-36101000,-27498000,-16352000,-16144000,-7911000,-21938000,-12802000,-12987
74,Depreciation and Amortization,1086000,864000,501000,265000,197000,218000,39000,94000,89
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2921000,- -,859000,2641000,3645000,2676000,1518000,1009000,2356
77,Change in Working Capital,-8821000,79907000,86713000,-40777000,-47250000,-8797000,-2054000,-2706000,6298000
78,Accounts Receivable,3000,-733000,-69000,69000,-8000000,8000000,-5000,-153000,101
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-997000,1828
81,Other Working Capital,-85160000,-5253000,81460000,40683000,-6567000,-15364000,-2163000,420000,7123000
82,Other Non-Cash Items,11333000,-75449000,-97521000,6014000,14992000,-13042000,-583000,-3595000,-6306766
83,Cash Provided by Operating Activities,-41684000,-30779000,-36946000,-48209000,-44560000,-26856000,-23018000,-18000000,-19308
84,CAPEX,-181000,-33000,-104000,-87000,-57000,-5000,-70000,- -,- -
85,Acquisitions Net,- -,-140000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,25000,334000,25000,4000,32000,12000,312000,- -,- -
89,Cash Used for Investing Activites,-156000,161000,-79000,-83000,-25000,7000,242000,- -,- -
90,Debt Repayment,-141000,-148000,-89000,- -,- -,-5388000,-10573000,-5456000,115
91,Common Stock Issued,11000,- -,105773000,- -,- -,21500000,32943000,24426000,26757
92,Common Stock Repurchased,- -,-2500000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40935000,33561000,17960000,11794000,7500000,500000,500000,500000,104
95,Cash Used/Provided by Financing Activities,40805000,30913000,123644000,11794000,7500000,16612000,22870000,19470000,26976
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1035000,295000,86619000,-36498000,-37085000,-10237000,94000,1470000,-5733585
98,Cash at the End of Period,1089000,1384000,88003000,51505000,14420000,4183000,4277000,5747000,13415
99,Cash at the Beginning of Period,2124000,1089000,1384000,88003000,51505000,14420000,4183000,4277000,5747000
100,Free Cash Flow,-41865000,-30812000,-37050000,-48296000,-44617000,-26861000,-23088000,-18000000,-19308
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1641489/000156459016014035/0001564590-16-014035-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459017002317/0001564590-17-002317-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459018003515/0001564590-18-003515-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459019004516/0001564590-19-004516-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459020005627/0001564590-20-005627-index.html,https://www.sec.gov/Archives/edgar/data/1641489/000156459021008149/0001564590-21-008149-index.htm,https://www.sec.gov/Archives/edgar/data/1641489/000156459022012258/0001564590-22-012258-index.htm
102,false,,,,,,,,,
