,https://roic.ai/company/IRT,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-8000,3683000,4626000,2016000,-12099000,-33822000,-11940000
66,Other Total Stockholders Equity,199800,199800,47171000,3490000,78112000,267683000,378187000,564633000,703849000,742429000,765992000,919615000,3678903000
67,Total Stockholders Equity,201196,204922,87000,3092000,74908000,251273000,364150000,506825000,624100000,622995000,613279000,708060000,3480761000
68,Total Liabilities And Stockholders Equity,203667,207425,84381000,98438000,181871000,682389000,1366534000,1272371000,1428605000,1652286000,1657628000,1730186000,6345381000
69,Minority Interest,2000,2000,46971000,47759000,- -,11761000,25880000,21866000,22019000,7050000,6478000,4711000,161315000
70,Total Liabilities & Equity,205667,209425,131352000,146197000,181871000,694150000,1392414000,1294237000,1450624000,1659336000,1664106000,1734897000,6506696000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1466085/000119312512106907/0001193125-12-106907-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000119312513105454/0001193125-13-105454-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000119312514093942/d653077d10k.htm,https://www.sec.gov/Archives/edgar/data/1466085/000119312515094016/d846890d10k.htm,https://www.sec.gov/Archives/edgar/data/1466085/000156459016014497/0001564590-16-014497-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459017003316/0001564590-17-003316-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459018002993/0001564590-18-002993-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459019003914/0001564590-19-003914-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459020005043/0001564590-20-005043-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459021006672/0001564590-21-006672-index.htm,https://www.sec.gov/Archives/edgar/data/1466085/000156459022006764/0001564590-22-006764-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,3726,-112000,-108000,625000,2940000,28242000,-9801000,30206000,26288000,45896000,14768000,44589000
74,Depreciation and Amortization,- -,- -,1771000,3466000,4413000,12520000,28094000,34824000,34201000,45221000,52815000,60687000,76487000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,77000,206000,495000,1222000,1968000,2524000,3116000,5564000,7227000
77,Change in Working Capital,- -,32,986078,318000,1724000,8620000,11672000,50064000,-74126000,62971000,-92089000,3619000,3819025000
78,Accounts Receivable,- -,- -,-333000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,164000,210000,2670000,3362000,-4328000,1578000,3284000,3490000,754000,-3633000
81,Other Working Capital,- -,206922,1193000,1511000,3235000,11855000,23527000,73591000,-535000,62436000,-29653000,-26034000,3792991000
82,Other Non-Cash Items,- -,- -,-449078,808000,-821000,-8562000,-49778000,-83842000,62075000,-68474000,65263000,-9679000,-3895071000
83,Cash Provided by Operating Activities,- -,3758,2196000,4484000,6018000,15724000,18725000,-7533000,54324000,68530000,75001000,74959000,52257000
84,CAPEX,- -,- -,-868000,-1148000,-1445000,-4158000,-8941000,-10663000,-14370000,-40426000,-45625000,-37399000,-42973000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-137096000,- -,- -,- -,- -,- -,-186122000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-18788000,-16928000,-38239000,-307337000,-16370000,27779000,-190825000,-229457000,-106396000,-124540000,-30002000
89,Cash Used for Investing Activites,- -,- -,-18788000,-16928000,-38239000,-307337000,-153466000,27779000,-190825000,-229457000,-106396000,-124540000,-216124000
90,Debt Repayment,- -,- -,- -,- -,-222000,-26001000,-272751000,-390089000,-148339000,-201453000,-157784000,-236785000,-12481000
91,Common Stock Issued,- -,- -,- -,3193000,31153000,189587000,- -,245309000,137353000,21914000,20981000,148213000,317024000
92,Common Stock Repurchased,- -,- -,- -,- -,-3637000,- -,-188000,-62156000,-569000,-354000,-642000,-1490000,- -
93,Dividends Paid,- -,- -,-5000,-164000,-2989000,-14978000,-25103000,-36575000,-52304000,-52476000,-64745000,-56146000,- -
94,Other Financing Activites,- -,- -,17495000,10841000,8717000,154434000,456321000,205856000,189453000,394722000,231973000,194971000,-88620000
95,Cash Used/Provided by Financing Activities,- -,- -,17490000,13870000,33022000,303042000,158279000,-37655000,125594000,162353000,29783000,48763000,215923000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,3758,898000,1426000,801000,11429000,23538000,-17409000,-10907000,1426000,-1612000,-818000,52056000
98,Cash at the End of Period,- -,209425,1107000,2533000,3334000,14763000,38301000,20892000,9985000,16045000,14433000,13615000,65671000
99,Cash at the Beginning of Period,- -,205667,209000,1107000,2533000,3334000,14763000,38301000,20892000,14619000,16045000,14433000,13615000
100,Free Cash Flow,- -,3758,1328000,3336000,4573000,11566000,9784000,-18196000,39954000,28104000,29376000,37560000,9284000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1466085/000119312512106907/0001193125-12-106907-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000119312513105454/0001193125-13-105454-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000119312514093942/d653077d10k.htm,https://www.sec.gov/Archives/edgar/data/1466085/000119312515094016/d846890d10k.htm,https://www.sec.gov/Archives/edgar/data/1466085/000156459016014497/0001564590-16-014497-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459017003316/0001564590-17-003316-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459018002993/0001564590-18-002993-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459019003914/0001564590-19-003914-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459020005043/0001564590-20-005043-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459021006672/0001564590-21-006672-index.htm,https://www.sec.gov/Archives/edgar/data/1466085/000156459022006764/0001564590-22-006764-index.htm
102,false,,,,,,,,,,,,,
